ID,POL,SPA,PoS,score
2107,wanna,globo,nouns,0.05
2108,skończyć,aplazar,verbs,0.35
2109,dominować,ganar,verbs,2.35
2110,rozszczepienie,factorización,nouns,1.15
2111,motyw,libro,nouns,0.45
2112,akceptować,reconocer,verbs,4.65
2113,sprawiedliwość,derecho,nouns,1.8
2114,kość,brazo,nouns,0.9
2115,pręt,cárcel,nouns,0.25
2116,kontynuacja,cámara,nouns,0.1
2117,koronacja,agua,nouns,0.0
2118,ramię,hueso,nouns,0.9
2119,uchwyt,proteína,nouns,0.15
2120,niszczyć,crear,verbs,0.05
2121,angażować,casar,verbs,0.9
2122,alkohol,brandy,nouns,2.55
2123,wybierać,decidir,verbs,4.25
2124,czekać,salir,verbs,0.2
2125,promować,avanzar,verbs,2.95
2126,przypominać,vender,verbs,0.0
2127,zamykać,vomitar,verbs,0.0
2128,dach,ventana,nouns,0.35
2129,szampan,cerveza,nouns,1.35
2130,błagać,pedir prestado,verbs,1.1
2131,gniew,frustración,nouns,4.25
2132,kredyt,prestatario,nouns,1.9
2133,łucznik,pionero,nouns,1.15
2134,zniechęcać,fallar,verbs,0.45
2135,srogi,cruel,adjectives,3.7
2136,wysiłek,dificultad,nouns,3.1
2137,flaga,vexilología,nouns,1.2
2138,wielki,enorme,adjectives,5.45
2139,truskawka,cereza,nouns,1.8
2140,prosty,duro,adjectives,0.1
2141,lis,sabueso,nouns,0.7
2142,odchodzić,retirarse,verbs,3.15
2143,osądzać,testificar,verbs,0.65
2144,terapia,behaviorismo,nouns,1.25
2145,okazja,centavo,nouns,0.2
2146,książę,rey,nouns,1.8
2147,ramię,cuerpo,nouns,1.3
2148,cent,esposa,nouns,0.2
2149,karta,puente,nouns,0.5
2150,inteligencja,visión,nouns,0.6
2151,odbicie,imagen,nouns,2.15
2152,honor,estima,nouns,1.85
2153,nerw,cuerpo,nouns,0.45
2154,ulica,coche,nouns,0.3
2155,jednorodnie,a veces,adverbs,0.1
2156,ekranizacja,filme,nouns,5.05
2157,globalizm,visado,nouns,0.4
2158,gryźć,leer,verbs,0.0
2159,algebra,operación,nouns,0.95
2160,wybór,vena,nouns,0.0
2161,korytarz,puerta,nouns,0.4
2162,kobieta,piel,nouns,0.15
2163,hymn,cañita,nouns,0.05
2164,aktor,actriz,nouns,3.35
2165,przeciwnik,oponente,nouns,5.0
2166,konwersacja,comunicación,nouns,3.05
2167,nerw,cerebro,nouns,0.85
2168,faktoryzacja,descomposición,nouns,1.15
2169,piłka,guante,nouns,0.65
2170,mieszkanie,casa,nouns,4.45
2171,wąż ,lagartija,nouns,0.9
2172,grawitacja,meteorito,nouns,0.85
2173,smutny,orgulloso,adjectives,0.05
2174,grzesznik,smo,nouns,0.0
2175,krzesło,cama,nouns,0.85
2176,refren,cantante,nouns,0.95
2177,książka,manuscrito,nouns,2.8
2178,kosz,pelota,nouns,0.45
2179,normalnie,rutinariamente,adverbs,3.95
2180,ścigać,capturar,verbs,1.0
2181,oko,frente,nouns,0.55
2182,teatr,película,nouns,0.9
2183,łatwowierny,estúpido,adjectives,2.35
2184,przeciwny,otro,adjectives,1.35
2185,piosenkarz,actor,nouns,0.55
2186,bazgrać,escribir,verbs,2.05
2187,przeszkadzać,molestar,verbs,3.6
2188,duma,alegría,nouns,1.35
2189,literatura,libro,nouns,2.95
2190,prozaiczny,ordinario,adjectives,3.5
2191,jasno,muy,adverbs,0.4
2192,południe,norte,nouns,0.35
2193,parapsychologia,neuropsicología,nouns,1.1
2194,wschód słońca,puesta de sol,nouns,0.45
2195,upaść,herir,verbs,0.7
2196,podbój,viaje,nouns,0.7
2197,pokrętny,que no es de fiar,adjectives,1.5
2198,ostatnio,recientemente,adverbs,5.3
2199,cal,patio,nouns,0.55
2200,aparat,obrero,nouns,0.2
2201,statua,escultura,nouns,5.2
2202,dozwolony,legal,adjectives,4.6
2203,akcja,juego,nouns,1.4
2204,pomyślny,avergonzado,adjectives,0.05
2205,gryźć,luchar,verbs,0.75
2206,nóż,pistola,nouns,1.2
2207,uczyć się,absorber,verbs,1.25
2208,chcieć,pedir prestado,verbs,0.75
2209,powiesić,matar,verbs,1.2
2210,szczerze,fielmente,adverbs,2.65
2211,owca,ganado,nouns,2.0
2212,brać,salir,verbs,0.2
2213,łatwy,sencillo,adjectives,5.05
2214,monarchia,democracia,nouns,0.95
2215,ludzie,centavo,nouns,0.1
2216,prorok,sacerdote,nouns,0.7
2217,profesor,médico,nouns,1.05
2218,narzekać,traer,verbs,0.0
2219,pensja,dinero,nouns,3.5
2220,naprawdę,probablemente,adverbs,1.5
2221,gładki,agudo,adjectives,0.4
2222,widowisko,matemático,nouns,0.05
2223,galaktyka,aplicación,nouns,0.1
2224,porażka,bancarrota,nouns,2.3
2225,wspinać się,hacer senderismo,verbs,1.0
2226,flet,música,nouns,1.2
2227,brać,poseer,verbs,2.2
2228,akceptować,recibir,verbs,2.2
2229,kwas,base,nouns,0.5
2230,szczerze,nunca,adverbs,0.1
2231,nieuleczalnie,diferentemente,adverbs,0.3
2232,wąski,blanco,adjectives,0.0
2233,przyjaciel,profesor,nouns,0.3
2234,nudny,gracioso,adjectives,0.05
2235,nawóz,crecimiento,nouns,0.7
2236,niemądry,infantil,adjectives,2.2
2237,parada,multitud,nouns,2.05
2238,mundur,tejer,nouns,0.15
2239,zapoczątkować,empezar,verbs,3.7
2240,zostawić,tomar,verbs,0.2
2241,panna młoda,princesa,nouns,0.7
2242,gardzić,odiar,verbs,4.55
2243,armia,armada,nouns,4.05
2244,cytrus,naranja,nouns,3.2
2245,żłobek,preescolar,nouns,2.4
2246,chronić,ayuda,verbs,1.95
2247,krzywda,dolor,nouns,2.65
2248,koszula,cárdigan,nouns,1.3
2249,iść,empezar,verbs,0.3
2250,akceptować,negar,verbs,0.05
2251,wyobrażać sobie,pretender,verbs,1.65
2252,butelka,envase,nouns,2.25
2253,woda,hielo,nouns,0.9
2254,płyta główna,tarjeta madre,nouns,2.75
2255,mierny,bien,adjectives,0.2
2256,pokojowo,tranquilamente,adverbs,3.8
2257,pierścień,compromiso,nouns,1.4
2258,przyjść,ir,verbs,1.6
2259,dumny,arrogante,adjectives,2.85
2260,długopis,alfabeto,nouns,0.45
2261,dekoracja,sobre,nouns,0.15
2262,szczerze,seriamente,adverbs,2.2
2263,konfuzja,histeria,nouns,1.15
2264,strateg,intrigante,nouns,0.8
2265,umknąć,escapar,verbs,5.6
2266,komunikacja,televisión,nouns,1.4
2267,pętla,cinturón,nouns,0.9
2268,stulecie,espíritu,nouns,0.1
2269,pogorszyć się,limpiar,verbs,0.4
2270,komunikacja,idioma,nouns,2.25
2271,zaułek,calle,nouns,3.4
2272,pakunek,camión,nouns,0.8
2273,przytulić,abrazar,verbs,4.95
2274,formuła,tronco,nouns,0.55
2275,alfabet,bolígrafo,nouns,0.45
2276,głównie,terminalmente,adverbs,0.2
2277,szyja,espina,nouns,0.5
2278,topić,salvar,verbs,0.15
2279,pole,avena,nouns,0.95
2280,sofa,silla,nouns,1.85
2281,regularny,ignorante,adjectives,0.0
2282,winny,malo,adjectives,1.7
2283,szyja,hueso,nouns,0.4
2284,występować,saludar,verbs,0.2
2285,policjant,político,nouns,0.25
2286,filiżanka,cono,nouns,0.65
2287,ogromny,grande,adjectives,5.45
2288,uczęszczać,reunir,verbs,1.4
2289,zlecenie,tarea,nouns,4.85
2290,kula,pelota,nouns,2.65
2291,drzwi,ventana,nouns,0.95
2292,bieg,acción,nouns,1.1
2293,inaczej,terminalmente,adverbs,0.3
2294,oczywiście,en la zona,adverbs,0.0
2295,profesor,estudiante,nouns,0.55
2296,dumny,triste,adjectives,0.05
2297,drzewo,arce,nouns,3.25
2298,hit,marco,nouns,0.15
2299,pieniądze,salario,nouns,3.5
2300,absorbować,poseer,verbs,1.15
2301,pokój,felicidad,nouns,2.3
2302,lekko,brillantemente,adverbs,0.15
2303,dzisiaj,esta noche,adverbs,2.4
2304,wybaczać,aceptar,verbs,2.5
2305,statystyka,tenis,nouns,0.3
2306,zaniedbać,desconocer,verbs,1.35
2307,zaułek,cuenco,nouns,0.0
2308,ranić,molestar,verbs,2.35
2309,byk,becerro,nouns,2.15
2310,posiłek,cena,nouns,3.6
2311,wierzyć,sentir,verbs,1.7
2312,bronchit,acetaminofeno,nouns,0.65
2313,szybko,urgentemente,adverbs,4.25
2314,tłumaczyć,discutir,verbs,1.65
2315,oskarżyciel,abogado,nouns,1.9
2316,drugi pilot,cabina,nouns,0.45
2317,sprzedawać,pedir prestado,verbs,0.2
2318,para,pareja,nouns,4.85
2319,warga,cadera,nouns,0.35
2320,pomniejszy,significativo,adjectives,0.1
2321,niewiarygodny,tortuoso,adjectives,1.5
2322,uszczypnąć,dar un puñetazo,verbs,0.3
2323,rysować,crear,verbs,1.7
2324,kwiat,resistencia,nouns,0.05
2325,szalenie,tristemente,adverbs,0.35
2326,elektryczny,mecánico,adjectives,0.8
2327,kwiat,bulbo,nouns,1.55
2328,aplikacja,solicitante,nouns,1.15
2329,łóżko,sofá,nouns,2.85
2330,rozumieć,perdonar,verbs,1.5
2331,przerobić,cambiar,verbs,3.75
2332,zadanie,autopista,nouns,0.1
2333,gwiazda,asteroide,nouns,2.05
2334,zbierać,sacudir,verbs,0.25
2335,śnieg,clima,nouns,0.6
2336,marginalnie,aproximadamente,adverbs,0.75
2337,pieniądze,efectivo,nouns,5.05
2338,chaos,anarquía,nouns,4.15
2339,flora,naturaleza,nouns,2.75
2340,bok,parte superior,nouns,0.75
2341,mięso,carne de vaca,nouns,4.1
2342,stać się,aparecer,verbs,1.2
2343,przestraszony,inseguro,adjectives,1.95
2344,jogurt,ganado,nouns,0.45
2345,lider,gerente,nouns,3.65
2346,lubić,odiar,verbs,0.05
2347,krótki,largo,adjectives,0.1
2348,książka,accidente,nouns,0.1
2349,unikatowy,opuesto,adjectives,0.75
2350,zaczynać,dejar,verbs,0.1
2351,księżyc,planeta,nouns,1.35
2352,wyścig,fin de semana,nouns,0.0
2353,prawnik,galería,nouns,0.1
2354,spokojnie,sutilmente,adverbs,2.1
2355,wesoły,feliz,adjectives,4.95
2356,złamać się,agrietar,verbs,2.8
2357,tekst,libro,nouns,2.25
2358,informować,limpiar,verbs,0.0
2359,klasa,pasillo,nouns,0.35
2360,telefon,teléfono móvil,nouns,5.25
2361,mżawka,lluvia,nouns,4.0
2362,zespół,espíritu,nouns,0.25
2363,przypuszczać,predecir,verbs,3.1
2364,maszyna,computadora,nouns,3.85
2365,zmęczony,aburrido,adjectives,0.9
2366,płacić,comprar,verbs,1.65
2367,skała,mía,nouns,0.3
2368,udawać,parecer,verbs,1.8
2369,pożyczać,mendigar,verbs,1.1
2370,obiad,sandwich,nouns,0.7
2371,zabić,defender,verbs,0.35
2372,kabel,mago,nouns,0.0
2373,przynieść,quejar,verbs,0.0
2374,autobus,vehículo,nouns,2.95
2375,przed,después,adverbs,0.25
2376,jabłko,caramelo,nouns,0.45
2377,łąka,pradera,nouns,4.25
2378,wirus,sangre,nouns,0.85
2379,podłoga,puerta,nouns,0.65
2380,populacja,gente,nouns,4.15
2381,prognoza,nublado,nouns,0.75
2382,zanieczyszczenie,presidente,nouns,0.35
2383,rządać,discutir,verbs,0.55
2384,czołg,coche,nouns,0.5
2385,argument,conversación,nouns,2.05
2386,dziecko,hombre,nouns,0.45
2387,śnieg,tormenta,nouns,1.0
2388,nędza,desesperación,nouns,1.85
2389,otrzymywać,captura,verbs,0.35
2390,ekran,monitor,nouns,5.1
2391,duży,pesado,adjectives,1.0
2392,mężczyzna,mujer,nouns,0.85
2393,krzesło,telescopio,nouns,0.1
2394,mnożyć,añadir,verbs,0.75
2395,polecić,asesorar,verbs,4.05
2396,tron,espada,nouns,0.25
2397,aktor,cantante,nouns,0.55
2398,wstrząs,terremoto,nouns,4.25
2399,łatwy,difícil,adjectives,0.1
2400,warunek,niño,nouns,0.05
2401,dokładnie,inexactamente,adverbs,0.05
2402,mięsień,hueso,nouns,0.3
2403,niecierpliwie,aproximadamente,adverbs,0.65
2404,dumny,negrita,adjectives,0.7
2405,lot,aviación,nouns,2.1
2406,baseball,baloncesto,nouns,1.6
2407,zwieść,hacer trampas,verbs,4.4
2408,tworzyć,bucear,verbs,0.0
2409,pamiętać,pensar,verbs,1.15
2410,świetny,brillante,adjectives,3.0
2411,pudełko,cigarro,nouns,0.35
2412,porozumienie,discusión,nouns,0.8
2413,telefon,cabina,nouns,1.25
2414,urazić,molestia,verbs,1.75
2415,ocalać,salvar,verbs,5.55
2416,klon,árbol,nouns,3.25
2417,śmiać się,llorar,verbs,0.15
2418,nudny,triste,adjectives,0.6
2419,głośno,sutilmente,adverbs,0.05
2420,twierdzenie,teoría,nouns,4.3
2421,ojciec,progenitor,nouns,5.0
2422,absorbować,aprender,verbs,1.25
2423,znikać,desaparecer,verbs,4.9
2424,pokojowo,orgullosamente,adverbs,0.1
2425,przewód,cable,nouns,2.9
2426,monokultura,agricultura,nouns,1.45
2427,sprzedawać,recordar,verbs,0.0
2428,dłoń,dedo,nouns,1.05
2429,zaprzeczać,dar,verbs,0.05
2430,miecz,ambiente,nouns,0.05
2431,smutny,gracioso,adjectives,0.05
2432,zwięrzę domowe,gato,nouns,3.25
2433,wołowina,ganado,nouns,3.5
2434,przychodzący,saliente,adjectives,0.6
2435,czytelnik,autor,nouns,0.4
2436,wujek,prima,nouns,0.9
2437,oziębły,frágil,adjectives,0.2
2438,znak,club,nouns,0.45
2439,tłumaczyć,aclarar,verbs,5.25
2440,średni,templado,adjectives,1.5
2441,luźny,flexible,adjectives,1.4
2442,wędrować,buscar,verbs,1.1
2443,czyściec,más allá,nouns,2.35
2444,zachód słońca,cuerda,nouns,0.0
2445,przynieść,venir,verbs,0.35
2446,kumpel,amigo,nouns,4.15
2447,domek,campamento,nouns,0.75
2448,stop ,acero,nouns,1.85
2449,ojciec,hermano,nouns,0.4
2450,myśleć,contemplar,verbs,2.6
2451,zostać,esperar,verbs,2.05
2452,rozumieć,saber,verbs,2.95
2453,zatrzymywać,advertir,verbs,0.55
2454,polecać,aceptar,verbs,0.6
2455,rolnictwo,monocultivo,nouns,1.45
2456,konkludować,decidir,verbs,2.35
2457,ukazywać,notificar,verbs,0.95
2458,bić,mezclar,verbs,0.25
2459,trzęsienie ziemi,temblor,nouns,4.25
2460,dać,permitir,verbs,1.3
2461,istotny,menor,adjectives,0.1
2462,zniechęcać,animar,verbs,0.15
2463,przestrzegać,comportarse,verbs,2.75
2464,drzwi,piso,nouns,0.65
2465,ofiara,dios,nouns,0.0
2466,emocja,pasión,nouns,2.7
2467,rozpacz,miseria,nouns,1.85
2468,żona,centavo,nouns,0.2
2469,rosnąć,encoger,verbs,0.1
2470,nienawidzić,despreciar,verbs,4.55
2471,orzeł,halcón,nouns,2.1
2472,pacjent,sesión,nouns,0.35
2473,diagram,grafico,nouns,5.2
2474,biały,estrecho,adjectives,0.0
2475,giętki,elástico,adjectives,4.75
2476,taksówka,coche,nouns,3.65
2477,moneta,pago,nouns,1.9
2478,chichotać,reír,verbs,5.5
2479,pojemnik,ratón,nouns,0.1
2480,bańka,jabonaduras,nouns,1.65
2481,niewiarygodnie,muy,adverbs,0.7
2482,grypa,fiebre,nouns,1.8
2483,ksiądz,monje,nouns,2.9
2484,znacząco,profundamente,adverbs,2.3
2485,radykalny,violento,adjectives,2.1
2486,chłopiec,niño,nouns,3.95
2487,nieobecność,presencia,nouns,0.15
2488,głowa,hombro,nouns,1.1
2489,łączyć,dividir,verbs,0.1
2490,lekarz,doctor,nouns,5.35
2491,narciarstwo,snowboard,nouns,2.2
2492,wzrosnąć,crecer,verbs,3.3
2493,demon,monstruo,nouns,3.75
2494,kino,ópera,nouns,1.35
2495,prawo,colegio,nouns,0.5
2496,kość,codo,nouns,1.0
2497,tył,cola,nouns,2.85
2498,szalenie,ruidosamente,adverbs,0.85
2499,przymały,enano,adjectives,4.05
2500,dać,poner,verbs,0.8
2501,szukać,cazar,verbs,2.15
2502,współpracować,participar,verbs,3.7
2503,uwaga,interés,nouns,3.85
2504,dyskusja,discusión,nouns,2.05
2505,bydło,ternera,nouns,3.5
2506,nawalić,desalentar,verbs,0.45
2507,słoik,botella,nouns,1.65
2508,lubić,entretener,verbs,0.95
2509,krytyczny,grosero,adjectives,0.75
2510,tłum ,desfile,nouns,2.05
2511,ciasno,firmemente,adverbs,0.45
2512,posiłek,cintura,nouns,0.3
2513,matka,papá,nouns,1.7
2514,przykryty,vestido,adjectives,2.4
2515,film,nihilismo,nouns,0.1
2516,strefa,área,nouns,5.35
2517,zamówienie,menú,nouns,1.0
2518,elegancja,estilo,nouns,4.35
2519,wojowniczość,combate,nouns,3.1
2520,zabawka,cubo,nouns,0.55
2521,płaszcz,ropa,nouns,2.0
2522,lód,nieve,nouns,2.55
2523,mówić,oír,verbs,0.75
2524,chaos,clase,nouns,0.15
2525,erodować,permitir,verbs,0.0
2526,bateria,teatro,nouns,0.1
2527,pracodawca,empleado,nouns,0.95
2528,sos,manzana,nouns,0.35
2529,nieuleczalnie,principalmente,adverbs,0.2
2530,cent,tamaño,nouns,0.1
2531,mysz,administración,nouns,0.05
2532,szczęscie,tristeza,nouns,0.4
2533,potrzebujący,inseguro,adjectives,0.55
2534,teatr,batería,nouns,0.1
2535,zrealizować,ganar,verbs,2.05
2536,uczestniczyć,cooperar,verbs,3.7
2537,ortodonta,dentista,nouns,3.95
2538,opłynięcie,equipaje,nouns,0.55
2539,młody,inquieto,adjectives,0.5
2540,zeznawać,juez,verbs,0.65
2541,asystować,ayudar,verbs,4.5
2542,braterstwo,béisbol,nouns,0.15
2543,plotka,noticias,nouns,1.9
2544,bić,azotar,verbs,3.8
2545,kopalnia,rock,nouns,0.3
2546,burza,huracán,nouns,2.75
2547,ratować,ahogar,verbs,0.15
2548,radzić,sugerir,verbs,4.05
2549,uczestniczyć,unirse,verbs,2.6
2550,kość,cuello,nouns,0.4
2551,niewiarygodnie,herméticamente,adverbs,0.3
2552,uczyć się,escuchar,verbs,0.75
2553,czasami,regularmente,adverbs,1.15
2554,niszczyć,construir,verbs,0.1
2555,słoma,tarea,nouns,0.05
2556,gardło,lengua,nouns,1.0
2557,słowo,diccionario,nouns,1.0
2558,kurczak,arroz,nouns,0.3
2559,cytoplazma,dígito,nouns,0.0
2560,wieża,campana,nouns,1.1
2561,pokój,cama,nouns,0.8
2562,ciało,ropa interior,nouns,0.45
2563,łatwy,flexible,adjectives,1.1
2564,dżentelmen,dama,nouns,1.05
2565,zadanie,asignación,nouns,4.85
2566,dostarczać,llevar,verbs,2.75
2567,dzielić,añadir,verbs,0.15
2568,nawiedzać,susto,verbs,0.6
2569,trik,pistola,nouns,0.15
2570,diabeł,dios,nouns,0.35
2571,burmistrz,jefe,nouns,1.45
2572,celować,golpear,verbs,0.95
2573,gracz,entrenador,nouns,0.6
2574,zegarek,falda,nouns,0.2
2575,sposób,camino,nouns,1.9
2576,zasadniczo,completamente,adverbs,1.3
2577,kryształ,vaso,nouns,1.75
2578,klacz,caballo,nouns,2.9
2579,przyznawać,negar,verbs,0.1
2580,drzwi,cocina,nouns,0.45
2581,filiżanka,cuchara,nouns,0.8
2582,usposobienie,médico,nouns,0.15
2583,bazylika,mosaico,nouns,0.4
2584,mięso,sándwich,nouns,0.4
2585,odpowiedzialnie,seguramente,adverbs,1.3
2586,telewizja,comunicación,nouns,1.4
2587,lojalnie,honestamente,adverbs,2.65
2588,słuchać,entender,verbs,1.1
2589,wiedzieć,dar,verbs,0.35
2590,drzwi,presencia,nouns,0.3
2591,świetny,malo,adjectives,0.05
2592,rytm,cadencia,nouns,1.75
2593,trener,jugador,nouns,0.6
2594,podprogram,compilador,nouns,1.4
2595,stracić,mantener,verbs,0.05
2596,prawdopodobnie,afirmativamente,adverbs,1.5
2597,biblia,himno,nouns,0.6
2598,odkryć,originar,verbs,2.2
2599,marginalnie,completamente,adverbs,0.15
2600,hasztag,tema,nouns,2.25
2601,nalewać,gotear,verbs,1.5
2602,karton,papel,nouns,3.5
2603,kostka,codo,nouns,0.6
2604,stulecie,año,nouns,1.0
2605,czytać,comprender,verbs,1.15
2606,uporządkowany,sucio,adjectives,0.1
2607,obalać,permitir,verbs,0.25
2608,krytykować,odiar,verbs,1.3
2609,kaplica,cable,nouns,0.05
2610,boleć,caer,verbs,0.7
2611,prawdopodobnie,posiblemente,adverbs,4.5
2612,noc,amanecer,nouns,0.2
2613,chodzić,cojear,verbs,0.85
2614,wstyd,dolor,nouns,0.65
2615,wykonalny,imposible,adjectives,0.1
2616,przebiegły,extraño,adjectives,0.15
2617,łazienka,habitación,nouns,0.95
2618,pozdrawiać,realizar,verbs,0.2
2619,oglądać,observar,verbs,4.4
2620,potajemnie,con confianza,adverbs,0.55
2621,niespokojny,joven,adjectives,0.5
2622,mąka,pan,nouns,0.85
2623,miotła,polvo,nouns,0.55
2624,gotować,perder,verbs,0.05
2625,budować,añadir,verbs,0.95
2626,kawałek,aeropuerto,nouns,0.0
2627,palec (u nogi),dedo,nouns,4.7
2628,przypomnieć,contar,verbs,1.1
2629,pomysł,esquema,nouns,2.9
2630,zajęty,perezoso,adjectives,0.15
2631,wypadek,emergencia,nouns,2.9
2632,egzamin,silaba,nouns,0.25
2633,jagnię,oveja,nouns,3.9
2634,ramię,pierna,nouns,0.65
2635,kongres,parlamento,nouns,3.0
2636,myśleć,preguntar,verbs,0.55
2637,ręka,uña,nouns,0.6
2638,nieprzewidziany,no previsible,adjectives,5.25
2639,delta,mar,nouns,1.1
2640,śmierć,entierro,nouns,1.4
2641,samochód,tanque,nouns,0.5
2642,łódź,coche,nouns,0.6
2643,słońce,cielo,nouns,1.15
2644,mięsień,lengua,nouns,1.65
2645,samolot,aeropuerto,nouns,1.25
2646,ciało,sangre,nouns,0.5
2647,menu,orden,nouns,1.0
2648,ryż,niño,nouns,0.0
2649,temat,hashtag,nouns,2.25
2650,silnik,pistón,nouns,2.1
2651,samochód,fábrica,nouns,0.3
2652,samochód,calibre,nouns,0.2
2653,dodawać,dividir,verbs,0.15
2654,powietrze,molécula,nouns,0.9
2655,dżin,lámpara,nouns,0.8
2656,wiersz,ritmo,nouns,0.8
2657,miksować,golpear,verbs,0.25
2658,pijany,sobrio,adjectives,0.1
2659,ludzie,pistola,nouns,0.05
2660,ustalać,predecir,verbs,1.95
2661,fleksja,infección,nouns,0.15
2662,czarodziej,cable,nouns,0.0
2663,zawstydzony,suerte,adjectives,0.05
2664,osądzać,decidir,verbs,2.15
2665,metal,aluminio,nouns,2.05
2666,zupełnie,básicamente,adverbs,1.3
2667,dwukrotnie,una vez,adverbs,0.25
2668,uprzedzenie,chauvinista,nouns,1.45
2669,współczesny,antiguo,adjectives,0.1
2670,świecić,irradiar,verbs,4.4
2671,stopa,cabeza,nouns,0.4
2672,pudełko,fuente,nouns,0.1
2673,samotny,pobre,adjectives,0.6
2674,dziwny,bizarro,adjectives,4.2
2675,urazić,insultar,verbs,4.8
2676,spokojny,relajado,adjectives,3.75
2677,archeologia,antropología,nouns,1.3
2678,baza,ácido,nouns,0.5
2679,fabryka,coche,nouns,0.3
2680,skończyć,resolver,verbs,3.6
2681,przywrócić,reemplazar,verbs,1.85
2682,wyparcie,confesión,nouns,0.75
2683,satysfakcjonować,comprender,verbs,0.5
2684,cukierek,manzana,nouns,0.45
2685,niemożliwy,factible,adjectives,0.1
2686,ratować,rescatar,verbs,5.55
2687,konstruować,hacer,verbs,3.45
2688,narodowy,grande,adjectives,0.15
2689,nabyć,robar,verbs,0.75
2690,matryca,vector,nouns,1.2
2691,zstępować,retirarse,verbs,1.2
2692,wieczerza,desayuno,nouns,0.45
2693,mieszać,sacudir,verbs,2.45
2694,delikatnie,actualmente,adverbs,0.0
2695,mutant,sociobiología,nouns,0.35
2696,fiołek,flor,nouns,2.75
2697,głowa,uña,nouns,0.4
2698,wąski,ancho,adjectives,0.1
2699,głębia,magnitud,nouns,1.25
2700,oddychać,ahogarse,verbs,0.25
2701,przewodniczący,alcalde,nouns,1.45
2702,akcja,curso,nouns,1.1
2703,senat,constitución,nouns,1.15
2704,hotel,apartamento,nouns,1.15
2705,aluminium,metal,nouns,2.05
2706,szał,enfado,nouns,4.3
2707,żona,madre,nouns,1.6
2708,wanna,esposa,nouns,0.1
2709,torebka,monedero,nouns,1.5
2710,nepotyzm,rey,nouns,1.2
2711,milioner,dólar,nouns,0.8
2712,smażyć,hornear,verbs,2.05
2713,wymiana,moneda,nouns,0.95
2714,pytać,ignorar,verbs,0.1
2715,mądrość,inteligencia,nouns,4.15
2716,jedwabnik,oruga,nouns,3.0
2717,żelazo,vitamina,nouns,0.8
2718,meble,apartamento,nouns,0.55
2719,pręcik,polinización,nouns,0.55
2720,szczęśliwie,mortal,adverbs,0.05
2721,taboret,silla,nouns,3.15
2722,precyzyjny,incorrecto,adjectives,0.05
2723,kompetencja,capacidad,nouns,3.25
2724,akceptować,perdonar,verbs,2.5
2725,dorosły,bebé,nouns,0.3
2726,oszustwo,corrupción,nouns,3.75
2727,rządać,reñir,verbs,0.95
2728,nosić,erosionar,verbs,0.0
2729,tenis,estadística,nouns,0.3
2730,piękno,soneto,nouns,0.35
2731,aprobować,permitir,verbs,3.55
2732,bogactwo,pobreza,nouns,0.2
2733,piosenka,historia,nouns,0.6
2734,masło,patata,nouns,0.55
2735,wyłącznie,completamente,adverbs,2.25
2736,sześcian,juguete,nouns,0.55
2737,chór,iglesia,nouns,1.1
2738,zdrowy,conocido,adjectives,0.25
2739,naciskać,lanzar,verbs,0.1
2740,właściwy,formal,adjectives,3.3
2741,płot,saltando,nouns,0.3
2742,legalny,permitido,adjectives,4.6
2743,posiąść,tomar,verbs,2.2
2744,nigdy,después,adverbs,0.5
2745,mieszkanie,hotel,nouns,1.15
2746,smutny,terrible,adjectives,0.35
2747,pochówek,muerte,nouns,1.4
2748,modlić się,pedir,verbs,0.8
2749,pora roku,invierno,nouns,3.25
2750,skrzypce,guitarra,nouns,1.0
2751,droga,manera,nouns,1.9
2752,pisarz,regalo,nouns,0.05
2753,dziwny,raro,adjectives,5.65
2754,zagotowany,cocido,adjectives,4.2
2755,sylabus,examen,nouns,0.25
2756,dusza,hermano,nouns,0.3
2757,martwić,malgastar,verbs,0.05
2758,wierzyć,saber,verbs,0.5
2759,kryptogram,símbolo,nouns,3.0
2760,szowinista,prejuicio,nouns,1.45
2761,cesarz,constitución,nouns,0.6
2762,prosić,pedir,verbs,1.25
2763,fakt,prueba,nouns,3.0
2764,rozumieć,escucha,verbs,1.1
2765,rodzic,adulto,nouns,1.7
2766,nauczyciel,amigo,nouns,0.3
2767,ubrania,botón,nouns,1.0
2768,znacząco,oficialmente,adverbs,1.0
2769,ciało,nervio,nouns,0.45
2770,nerwowy,asustado,adjectives,1.85
2771,ramię,rama,nouns,0.75
2772,uznawać,notificar,verbs,0.7
2773,aktywnie,precisamente,adverbs,0.8
2774,naśladować,capturar,verbs,0.2
2775,cyklon,tifón,nouns,4.45
2776,raz,dos veces,adverbs,0.25
2777,literatura,palabra,nouns,2.2
2778,kobieta,tarea,nouns,0.1
2779,butelka,poder,nouns,0.45
2780,żeglarz,capitán,nouns,2.25
2781,unikać,negar,verbs,0.7
2782,dyskretnie,obviamente,adverbs,0.2
2783,irytować,adivinar,verbs,0.15
2784,bóg,padre,nouns,2.05
2785,straszny,malo,adjectives,3.55
2786,tępy,raro,adjectives,0.1
2787,glina,copiloto,nouns,0.15
2788,sprzedawać,ir,verbs,0.05
2789,nieprawdopodobny,simpático,adjectives,0.05
2790,ekran,fonología,nouns,0.05
2791,stracić,obtener,verbs,0.1
2792,niewolnik,servidor,nouns,3.1
2793,świt,pistola,nouns,0.0
2794,wyrafinowany,maduro,adjectives,1.5
