ID,ENG,HEB,PoS,score
2190,lose,להחסיר,verbs,2.12
2191,insult,לפגוע,verbs,4.2
2192,skirt,שעון,nouns,0.25
2193,south,צפון,nouns,1.06
2194,august,חודש,nouns,2.15
2195,evening,שקיעה,nouns,1.61
2196,upset,מובך,adjectives,0.94
2197,lamp,שד,nouns,0.83
2198,adult,שומר,nouns,1.07
2199,marginally,בערך,adverbs,0.91
2200,denial,וידוי,nouns,0.62
2201,stock,נכס,nouns,3.27
2202,intend,לנסות,verbs,0.62
2203,add,להצטרף,verbs,1.94
2204,boy,מצב,nouns,0.0
2205,distance,פרספקטיבה,nouns,1.59
2206,worry,לבזבז,verbs,0.1
2207,bowl,סמטה,nouns,0.04
2208,definitely,בוודאי,adverbs,5.14
2209,wallpaper,רקע,nouns,3.14
2210,throat,לשון,nouns,0.94
2211,army,לגיון,nouns,3.02
2212,disappear,להיעלם,verbs,4.96
2213,intelligence,היגיון,nouns,2.7
2214,hang,להרוג,verbs,1.23
2215,historiographer,היסטוריון,nouns,3.32
2216,gallery,עורך דין,nouns,0.0
2217,bone,שריר,nouns,0.57
2218,tool,עבודה,nouns,0.48
2219,cursor,שבבים,nouns,0.15
2220,before,אחרי,adverbs,0.54
2221,give,להשאיל,verbs,2.4
2222,adore,להתפעל,verbs,3.22
2223,declare,להודיע,verbs,4.72
2224,bedroom,אמבטיה,nouns,1.01
2225,hawk,ציפור,nouns,2.25
2226,surely,ברור,adverbs,3.5
2227,copilot,תא הטייס,nouns,0.81
2228,receive,לקחת,verbs,0.96
2229,average,רגיל,adjectives,3.6
2230,word,עיתון,nouns,0.82
2231,crystal,זכוכית,nouns,2.13
2232,outgoing,נכנס,adjectives,0.59
2233,writer,כישרון,nouns,0.65
2234,hate,לבקר,verbs,0.59
2235,island,משימה,nouns,0.0
2236,frigid,שביר,adjectives,0.3
2237,start,החל,verbs,5.24
2238,now,כאן,adverbs,2.26
2239,precious,קדוש,adjectives,2.51
2240,weep,לבכות,verbs,4.53
2241,old,חדש,adjectives,0.54
2242,firmly,ברכות,adverbs,0.2
2243,adult,הורה,nouns,1.6
2244,cradle,עריסה,nouns,4.77
2245,engage,להתחתן,verbs,1.57
2246,graph,תרשים,nouns,4.09
2247,historian,היסטוריוגרף,nouns,3.32
2248,childish,טיפשי,adjectives,1.99
2249,send,ללכת,verbs,0.51
2250,innovative,יצירתי,adjectives,3.87
2251,secularist,דת,nouns,0.76
2252,door,מרתף,nouns,0.49
2253,snow,סערה,nouns,1.74
2254,young,שמח,adjectives,0.39
2255,dumb,פיקח,adjectives,0.49
2256,dust,מטאטא,nouns,0.77
2257,reduce,להנמיך,verbs,3.93
2258,wall,קישוט,nouns,0.51
2259,learn,לשכוח,verbs,0.49
2260,softly,בנחישות,adverbs,0.2
2261,cabin,בקתה,nouns,3.64
2262,drip,לשפוך,verbs,1.74
2263,soup,סעודה,nouns,1.44
2264,ordinary,שגרתי,adjectives,5.34
2265,instantly,פעם אחת,adverbs,0.58
2266,warn,לעצור,verbs,0.83
2267,tribunal,צדק,nouns,2.1
2268,rate,ערך,nouns,1.42
2269,sweater,כותנה,nouns,0.81
2270,shield,באקלר,nouns,1.48
2271,read,להבין,verbs,1.44
2272,sincerely,ברצינות,adverbs,1.38
2273,realistically,באופן אידיאלי,adverbs,0.77
2274,navy,אי,nouns,0.2
2275,dumb,עצום,adjectives,0.14
2276,accurately,נמרצות,adverbs,0.69
2277,think,להרהר,verbs,4.79
2278,assist,לעזור,verbs,5.61
2279,candidate,מנצח,nouns,0.98
2280,crack,לשבור,verbs,3.23
2281,hear,להבחין,verbs,1.49
2282,survive,לחיות,verbs,2.89
2283,bell,מגדל,nouns,0.57
2284,princess,כלה,nouns,0.69
2285,irritate,להרגיז,verbs,4.61
2286,escape,למצוא,verbs,0.4
2287,gun,תותח,nouns,2.42
2288,reliably,בערך,adverbs,0.2
2289,enjoy,לשנוא,verbs,0.2
2290,pilot,נהג,nouns,2.24
2291,create,להרוס,verbs,0.54
2292,happy,עליז,adjectives,5.17
2293,pot,מכשיר,nouns,0.84
2294,argue,לנמק,verbs,2.96
2295,cliff,זנב,nouns,0.0
2296,elect,לבחור,verbs,4.0
2297,wrong,מדוייק,adjectives,0.5
2298,after,לפני,adverbs,0.54
2299,calendar,תאריך,nouns,1.21
2300,quit,להתחיל,verbs,0.54
2301,groom,כלה,nouns,1.54
2302,aggressive,חצוף,adjectives,1.36
2303,attorney,פרקליט,nouns,4.94
2304,theft,פשע,nouns,2.26
2305,bird,הודו,nouns,1.85
2306,pollination,אבקן,nouns,1.34
2307,accept,לקבל,verbs,2.44
2308,vitamin,ברזל,nouns,1.46
2309,dog,סוס,nouns,0.72
2310,whisper,לדבר,verbs,1.87
2311,hungry,עייף,adjectives,0.57
2312,save,לבזבז,verbs,0.54
2313,beautiful,נפלא,adjectives,1.96
2314,allowed,חוקי,adjectives,4.21
2315,withdraw,לספוג,verbs,0.2
2316,chaotically,בשלווה,adverbs,0.24
2317,suffrage,יציאה,nouns,0.0
2318,compass,פיל,nouns,0.0
2319,equation,נוסחה,nouns,4.54
2320,approve,להרשות,verbs,4.73
2321,ordinary,קר,adjectives,0.2
2322,umbrella,תנור חימום,nouns,0.55
2323,repair,לשקם,verbs,4.36
2324,raise,לשתות,verbs,0.0
2325,uncle,גבר,nouns,1.09
2326,broad,צר,adjectives,0.54
2327,collect,לאגד,verbs,4.92
2328,idea,דעה,nouns,2.74
2329,escape,להימלט,verbs,4.95
2330,cloud,אגם,nouns,0.4
2331,stomach,חדר שינה,nouns,0.05
2332,vector,מטריצה,nouns,2.3
2333,pretend,להראות,verbs,1.24
2334,guitar,תוף,nouns,1.36
2335,paper,קרטון,nouns,2.59
2336,blend,לצרף,verbs,4.3
2337,huge,גדול,adjectives,4.96
2338,woman,ג'ינס,nouns,0.3
2339,here,עכשיו,adverbs,2.26
2340,foot,ראש,nouns,0.59
2341,ancient,חדש,adjectives,0.54
2342,sly,קשוח,adjectives,0.25
2343,protect,לכסות,verbs,1.69
2344,chapter,זנב,nouns,0.2
2345,verify,להצדיק,verbs,1.75
2346,convince,לנסות,verbs,0.71
2347,bacon,שעועית,nouns,0.54
2348,multiply,להוסיף,verbs,1.04
2349,judge,להאשים,verbs,1.94
2350,senate,חוקה,nouns,0.61
2351,homeless,מיליונר,nouns,0.72
2352,generous,נחמד,adjectives,1.47
2353,tear,ללבוש,verbs,0.46
2354,proudly,בשלווה,adverbs,0.26
2355,pupil,סטודנט,nouns,5.45
2356,summer,חורף,nouns,0.89
2357,freedom,נווה מדבר,nouns,0.41
2358,oil,מינק,nouns,0.15
2359,mint,מוזיאון,nouns,0.24
2360,explain,להוכיח,verbs,2.06
2361,arm,גוף,nouns,0.91
2362,expand,לגדול,verbs,4.7
2363,deck,קומה,nouns,2.14
2364,steeple,קפלה,nouns,1.77
2365,body,דם,nouns,0.71
2366,collect,לסדר,verbs,1.5
2367,trial,פסיקה,nouns,1.8
2368,skill,אינטליגנציה,nouns,1.68
2369,prestige,עושר,nouns,2.06
2370,construction,הרס,nouns,0.57
2371,exciting,משעמם,adjectives,0.49
2372,involve,לכלול,verbs,3.2
2373,bottle,מכולה,nouns,1.3
2374,serious,מצחיק,adjectives,0.45
2375,importantly,ברצינות,adverbs,2.36
2376,pact,הסכם,nouns,5.1
2377,chest,גוף,nouns,1.23
2378,real,מזוייף,adjectives,0.54
2379,infection,מחלה,nouns,2.81
2380,pole,דגל,nouns,0.91
2381,order,תפריט,nouns,0.91
2382,water,הכתרה,nouns,0.05
2383,beef,בקר,nouns,3.44
2384,instructor,מורה,nouns,4.27
2385,chair,טלסקופ,nouns,0.15
2386,certain,עצבני,adjectives,0.15
2387,conversion,גובה,nouns,0.45
2388,humiliate,לנחם,verbs,0.39
2389,galaxy,אסטרונום,nouns,1.02
2390,fight,לחלוק,verbs,1.64
2391,demolish,לרסק,verbs,3.94
2392,win,להשיג,verbs,2.29
2393,comprehend,לדעת,verbs,2.58
2394,air,הליום,nouns,1.6
2395,bed,ספה,nouns,1.76
2396,abdomen,בטן,nouns,4.04
2397,release,לתפוס,verbs,0.54
2398,tail,פרק,nouns,0.2
2399,accident,ספר,nouns,0.0
2400,never,לאחר מכן,adverbs,0.62
2401,flight,תעופה,nouns,2.91
2402,doctor,מזג,nouns,0.0
2403,climb,לטייל,verbs,2.23
2404,terrible,עצוב,adjectives,1.47
2405,strategist,תחבולן,nouns,3.2
2406,supremacy,אומניפוטנטיות,nouns,1.8
2407,new,עתיק,adjectives,0.54
2408,independently,באופן אחראי,adverbs,1.09
2409,unnaturally,באופן שלילי,adverbs,0.57
2410,wood,שמיכה,nouns,0.15
2411,white,צר,adjectives,0.0
2412,bargain,אגורה,nouns,0.36
2413,strange,משונה,adjectives,5.07
2414,die,להתפורר,verbs,0.45
2415,priest,נביא,nouns,1.56
2416,day,בוקר,nouns,2.0
2417,gin,אלכוהול,nouns,2.06
2418,carpet,בית,nouns,0.54
2419,article,ספר,nouns,1.34
2420,pain,נזק,nouns,2.26
2421,phonology,מסך,nouns,0.15
2422,put,לתלות,verbs,0.94
2423,difficult,קל,adjectives,0.49
2424,river,ים,nouns,1.79
2425,weather,שלג,nouns,0.96
2426,coast,ספינת תותחים,nouns,0.64
2427,absorb,להחזיק,verbs,0.29
2428,circumstance,מצב,nouns,4.69
2429,democracy,מלוכה,nouns,1.26
2430,terminally,בעיקר,adverbs,0.04
2431,heroine,גיבור,nouns,3.42
2432,constitution,סנט,nouns,0.61
2433,purse,תיק,nouns,3.01
2434,lie,להאשים,verbs,0.48
2435,curved,ישר,adjectives,0.57
2436,attention,עניין,nouns,2.61
2437,house,אסם,nouns,1.07
2438,management,עכבר,nouns,0.0
2439,game,כיף,nouns,1.46
2440,dirt,בוץ,nouns,3.04
2441,cheap,בר השגה,adjectives,3.08
2442,accept,לסרב,verbs,0.49
2443,spiritual,חסר גוף,adjectives,1.19
2444,student,תלמיד,nouns,5.45
2445,apple,רוטב,nouns,0.73
2446,aisle,אולם,nouns,1.59
2447,bean,בייקון,nouns,0.54
2448,apartment,מלון,nouns,1.23
2449,head,ציפורן,nouns,0.35
2450,factory,מכונית,nouns,0.45
2451,reduce,להגביל,verbs,1.89
2452,stomach,וריד,nouns,0.4
2453,couch,בייסבול,nouns,0.1
2454,champagne,וויסקי,nouns,1.61
2455,meat,כריך,nouns,0.67
2456,remain,לקבל,verbs,0.35
2457,lake,ענן,nouns,0.4
2458,hen,ציפור,nouns,1.82
2459,vehicle,אוטובוס,nouns,1.91
2460,lonely,מסכן,adjectives,0.79
2461,planet,ירח,nouns,1.31
2462,deck,עכבר,nouns,0.05
2463,currency,תמימות דעים,nouns,0.64
2464,friend,חבר,nouns,4.71
2465,jaw,עצם,nouns,1.07
2466,car,מכונית,nouns,5.79
2467,orchestra,להקה,nouns,3.29
2468,agreement,ויכוח,nouns,0.54
2469,grasp,להבין,verbs,3.99
2470,vein,דם,nouns,1.75
2471,always,פעמיים,adverbs,0.53
2472,liquor,מאה,nouns,0.0
2473,scornful,בזוי,adjectives,4.04
2474,brightness,כוכב,nouns,1.01
2475,search,למצוא,verbs,1.71
2476,camera,עדשה,nouns,1.45
2477,spine,צוואר,nouns,1.52
2478,disintegrate,למות,verbs,0.45
2479,new,חדש,adjectives,3.82
2480,task,אישה,nouns,0.0
2481,clean,ללא רבב,adjectives,4.79
2482,cold,רגיל,adjectives,0.2
2483,elephant,מצפן,nouns,0.0
2484,lawyer,גלריה,nouns,0.0
2485,car,טנק,nouns,1.06
2486,officially,חשוב,adverbs,1.45
2487,molecule,אוויר,nouns,1.07
2488,devil,אל,nouns,1.17
2489,rain,טפטוף,nouns,3.17
2490,writer,מלחין,nouns,2.54
2491,hand,אגודל,nouns,1.42
2492,narrow,דק,adjectives,3.71
2493,choice,דעה,nouns,1.19
2494,violin,גיטרה,nouns,1.39
2495,door,מטבח,nouns,0.49
2496,happiness,עצב,nouns,0.59
2497,muscle,זרוע,nouns,1.04
2498,shirt,קרדיגן,nouns,1.46
2499,reliably,באופן אחראי,adverbs,2.81
2500,muffin,פטרוזיליה,nouns,0.4
2501,accomplish,להפוך,verbs,0.19
2502,kindly,בנדיבות,adverbs,2.79
2503,advise,להציע,verbs,3.81
2504,guy,חתיך,nouns,1.49
2505,sharp,מתון,adjectives,0.45
2506,reject,לגנות,verbs,1.9
2507,trick,גודל,nouns,0.0
2508,mayor,נשיא,nouns,1.64
2509,steak,בשר,nouns,3.44
2510,affordable,זול,adjectives,3.08
2511,narrow,מלוכלך,adjectives,0.0
2512,spoil,להריח,verbs,0.09
2513,belt,לולאה,nouns,0.99
2514,table,שקיעה,nouns,0.0
2515,house,שטיח,nouns,0.54
2516,recently,באופן מציאותי,adverbs,0.1
2517,tonight,מחר,adverbs,0.67
2518,do,לקרות,verbs,0.99
2519,undisclosed,גלוי,adjectives,0.77
2520,twice,תמיד,adverbs,0.53
2521,save,לטבוע,verbs,0.55
2522,refuse,לדחות,verbs,5.04
2523,finish,להתחרות,verbs,0.79
2524,bad,מעולה,adjectives,0.49
2525,bottom,פסגה,nouns,0.66
2526,pretend,לשקר,verbs,3.06
2527,foot,חול,nouns,0.25
2528,honestly,בכנות,adverbs,5.25
2529,elbow,עצם,nouns,1.4
2530,driver,טייס,nouns,2.24
2531,fragile,נוקשה,adjectives,0.3
2532,reef,חוף,nouns,1.34
2533,pour,לטפטף,verbs,1.74
2534,determine,לפנות,verbs,0.1
2535,yell,לצעוק,verbs,4.0
2536,orange,פרי הדר,nouns,2.94
2537,headword,תחביר,nouns,0.64
2538,strength,עוצמה,nouns,4.73
2539,dissolve,להמיס,verbs,2.39
2540,depression,עמק,nouns,0.5
2541,vanish,להיכחד,verbs,4.96
2542,locate,למצוא,verbs,4.83
2543,carefully,באופן מסוכן,adverbs,0.45
2544,pull,לדחוף,verbs,0.54
2545,violet,פרח,nouns,1.99
2546,tie,לשזור,verbs,2.61
2547,haul,להרים,verbs,2.09
2548,intention,רצון,nouns,3.99
2549,fee,משכורת,nouns,1.07
2550,ordinary,מוזר,adjectives,0.54
2551,suffix,מוספית,nouns,2.36
2552,dwarfish,זעיר,adjectives,4.38
2553,mainly,לרוב,adverbs,4.29
2554,meat,בקר,nouns,2.41
2555,drought,מים,nouns,0.39
2556,glass,תג,nouns,0.24
2557,knee,עצם,nouns,0.94
2558,fake,אמיתי,adjectives,0.54
2559,loose,גמיש,adjectives,1.85
2560,necessary,חיוני,adjectives,5.04
2561,accept,להכחיש,verbs,0.24
2562,throat,אף,nouns,0.84
2563,argue,להתלונן,verbs,1.79
2564,succeed,לנצח,verbs,2.64
2565,hug,למחוץ,verbs,1.43
2566,weekly,חודשי,adjectives,1.19
2567,tram,רכבת,nouns,2.58
2568,sonnet,יופי,nouns,0.32
2569,drift,לזרום,verbs,2.4
2570,management,משרה,nouns,1.02
2571,drum,גיטרה,nouns,1.36
2572,calmly,בנחישות,adverbs,0.46
2573,passive,אלים,adjectives,0.3
2574,messy,נקי,adjectives,0.49
2575,radical,אלים,adjectives,0.91
2576,delta,ים,nouns,1.02
2577,satisfy,להבין,verbs,0.22
2578,fall,למעוד,verbs,3.82
2579,complain,לטעון,verbs,1.79
2580,perspective,מרחק,nouns,1.59
2581,nepotism,מלך,nouns,0.76
2582,contemplate,לחשוב,verbs,4.79
2583,biography,בדיה,nouns,0.74
2584,wisdom,אינטליגנציה,nouns,4.53
2585,send,להגיע,verbs,0.45
2586,trick,אמבטיה,nouns,0.0
2587,car,רחוב,nouns,0.94
2588,gun,סמל,nouns,0.52
2589,depth,גודל,nouns,2.06
2590,environment,חרב,nouns,0.0
2591,responsibly,באופן עצמאי,adverbs,1.09
2592,confidence,גישה,nouns,1.31
2593,leave,להתעלם,verbs,1.02
2594,insect,דבורה,nouns,1.88
2595,heater,מטרייה,nouns,0.55
2596,hear,לדבר,verbs,0.54
2597,genie,מנורה,nouns,0.83
2598,wife,בעל,nouns,1.62
2599,meaningfully,לעומק,adverbs,2.99
2600,tell,להזכיר,verbs,1.66
2601,justice,זכות,nouns,1.34
2602,deeply,בעיקר,adverbs,0.66
2603,corruption,הונאה,nouns,2.83
2604,people,בלון,nouns,0.1
2605,bowl,צלחת,nouns,2.17
2606,clarify,להסביר,verbs,4.48
2607,spicy,חלש,adjectives,0.1
2608,fresh,רחב,adjectives,0.0
2609,sunset,חוט,nouns,0.0
2610,amazing,מלוכלך,adjectives,0.15
2611,crowd,חבורה,nouns,2.87
2612,wide,צר,adjectives,0.54
2613,floor,סיפון,nouns,2.14
2614,statistics,טניס,nouns,0.1
2615,cop,שריף,nouns,4.01
2616,leave,לפגוש,verbs,0.35
2617,passively,במרץ,adverbs,0.29
2618,reality,הזיה,nouns,0.84
2619,seed,מטחנה,nouns,0.57
2620,language,תקשורת,nouns,1.99
2621,square,מפה,nouns,0.45
2622,neck,זרוע,nouns,0.64
2623,flow,להיסחף,verbs,2.4
2624,become,לארגן,verbs,0.55
2625,parent,אבא,nouns,3.33
2626,give,לגנוב,verbs,0.44
2627,impatiently,בערך,adverbs,0.64
2628,anger,תסכול,nouns,3.55
2629,flower,אמונה,nouns,0.12
2630,join,להשתתף,verbs,2.92
2631,nail,אגודל,nouns,1.19
2632,subroutine,מהדר,nouns,1.21
2633,bubble,קצף,nouns,2.59
2634,express,לומר,verbs,3.76
2635,attract,להכות,verbs,0.45
2636,sinner,קדוש,nouns,0.53
2637,tongue,שריר,nouns,1.51
2638,meter,אינץ',nouns,1.39
2639,blitz,מתקפה,nouns,3.15
2640,announce,להכריז,verbs,4.96
2641,electric,מתוק,adjectives,0.0
2642,stomach,קורס,nouns,0.0
2643,dictionary,אנציקלופדיה,nouns,2.08
2644,illness,זיהום,nouns,2.79
2645,deliver,לקחת,verbs,0.81
2646,student,פרופסור,nouns,0.71
2647,bone,צוואר,nouns,0.67
2648,discuss,להסביר,verbs,1.5
2649,man,שומר,nouns,0.69
2650,truly,לחלוטין,adverbs,1.25
2651,multiple,פעמיים,adverbs,1.17
2652,bedroom,אופניים,nouns,0.15
2653,smallish,ננסי,adjectives,4.38
2654,worker,מכונאי,nouns,1.91
2655,young,עצבני,adjectives,0.24
2656,huge,מטומטם,adjectives,0.14
2657,finish,לסיים לימודים,verbs,1.92
2658,aunt,אחיין,nouns,0.77
2659,management,מנהלה,nouns,2.72
2660,metal,אלומיניום,nouns,1.91
2661,peace,חייל,nouns,0.4
2662,medium,מתון,adjectives,2.23
2663,dumb,אינטליגנטי,adjectives,0.49
2664,classroom,פרוזדור,nouns,0.44
2665,detach,לפצל,verbs,2.38
2666,punish,ללמד,verbs,0.5
2667,cloud,אובך,nouns,2.26
2668,dull,משמים,adjectives,4.07
2669,cotton,פוליאסטר,nouns,1.13
2670,difficulty,מאמץ,nouns,3.05
2671,say,לאמת,verbs,0.74
2672,often,לפעמים,adverbs,1.04
2673,sickness,סרטן,nouns,2.42
2674,mouse,סיפון,nouns,0.05
2675,loudly,בעדינות,adverbs,0.24
2676,prophet,כומר,nouns,1.56
2677,rabbit,חתול,nouns,0.96
2678,immature,חסר אחריות,adjectives,2.5
2679,plant,חקלאות,nouns,1.46
2680,think,לנסות,verbs,0.25
2681,humble,צנוע,adjectives,5.4
2682,conclude,להחליט,verbs,2.04
2683,essay,ספר,nouns,1.35
2684,accident,אסון,nouns,3.67
2685,necessary,מיותר,adjectives,0.59
2686,generously,באדיבות,adverbs,2.79
2687,basket,כדור,nouns,0.5
2688,civilization,אורח חיים,nouns,0.76
2689,treat,לשלם,verbs,0.39
2690,say,להשתתף,verbs,0.45
2691,cable, קפלה,nouns,0.0
2692,agriculture,צמח,nouns,1.46
2693,cloud,תחזית,nouns,1.02
2694,calm,נינוח,adjectives,4.88
2695,obviously,בחשאי,adverbs,0.14
2696,educate,ללמד,verbs,4.82
2697,monkey,קמפיין,nouns,0.0
2698,leader,מנהל,nouns,3.1
2699,cross,נזיר,nouns,0.71
2700,buddy,רע,nouns,5.29
2701,robotics,סימולציה,nouns,1.1
2702,deny,לקבל,verbs,0.24
2703,proud,מסכן,adjectives,0.1
2704,ceiling,קתדרלה,nouns,0.4
2705,corner,אזור,nouns,0.96
2706,failure,פשיטת רגל,nouns,1.32
2707,beach,שונית,nouns,1.34
2708,fraud,שחיתות,nouns,2.83
2709,trainers,מדליה,nouns,0.54
2710,big,כבד,adjectives,1.86
2711,steak,עוף,nouns,1.31
2712,cliff,גבעה,nouns,1.48
2713,marrow,דם,nouns,1.01
2714,chair,ספה,nouns,2.5
2715,uniform,חסר צורה,adjectives,0.1
2716,car,צופר,nouns,1.11
2717,gentleman,גברת,nouns,0.91
2718,gain,לקצור,verbs,2.34
2719,coronation,מים,nouns,0.05
2720,get,להפסיד,verbs,0.4
2721,testify,לשפוט,verbs,0.84
2722,homework,חיבור,nouns,2.16
2723,ceramic,קדרות,nouns,3.6
2724,office,עובד,nouns,0.71
2725,arrow,מטרה,nouns,0.94
2726,meet,לשחות,verbs,0.32
2727,school,ציון,nouns,0.96
2728,juice,כף,nouns,0.25
2729,pair,זוג,nouns,5.42
2730,boiled,מבושל,adjectives,2.87
2731,great,נפלא,adjectives,4.34
2732,wood,נייר,nouns,1.16
2733,bishop,מוסלמי,nouns,0.81
2734,buckler,מגן,nouns,1.48
2735,know,לשכוח,verbs,0.54
2736,loyally,בכנות,adverbs,1.8
2737,acetylcholine,איריס,nouns,0.3
2738,band,ליקר,nouns,0.0
2739,normally,יומיומי,adverbs,3.21
2740,star,בהירות,nouns,1.01
2741,woman,מזכירה,nouns,0.74
2742,borrow,לשמור,verbs,0.67
2743,monastery,מקלחת,nouns,0.0
2744,story,נושא,nouns,1.2
2745,cry,לצחוק,verbs,0.49
2746,repeat,להתאמן,verbs,1.42
2747,potato,חמאה,nouns,0.61
2748,happy,כועס,adjectives,0.54
2749,limp,ללכת,verbs,1.41
2750,gymnastics,סיוף,nouns,1.04
2751,entertain,לרצות,verbs,1.19
2752,diode,קבל,nouns,1.56
2753,replace,להחזיר,verbs,2.74
2754,hear,להקשיב,verbs,4.02
2755,bike,עור,nouns,0.1
2756,catch,ללכוד,verbs,4.65
2757,get,לקנות,verbs,1.48
2758,alcohol,קוקטייל,nouns,2.17
2759,ignorance,אינטליגנציה,nouns,0.49
2760,go,לטייל,verbs,2.22
2761,train,חשמלית,nouns,2.58
2762,candy,תפוח,nouns,0.64
2763,interest,קשב,nouns,2.61
2764,mouse,הנהלה,nouns,0.0
2765,charger,דיסק,nouns,0.27
2766,dumb,חכם,adjectives,0.54
2767,bishop,ארכיבישוף,nouns,3.44
2768,oasis,חופש,nouns,0.41
2769,flag,מוט,nouns,0.91
2770,obviously,בוודאי,adverbs,3.5
2771,obviously,בערך,adverbs,0.44
2772,case,חשמל,nouns,0.2
2773,leave,להיכנס,verbs,0.49
2774,symbol,קוד,nouns,2.08
2775,stay,להמתין,verbs,2.26
2776,clean,מסודר,adjectives,3.25
2777,theory,כימיה,nouns,0.29
2778,accurately,בדיוק,adverbs,5.02
2779,biotope,ביולוגיה,nouns,1.15
2780,woman,גבר,nouns,0.96
2781,hand,רגל,nouns,1.15
2782,mode,אופנה,nouns,1.27
2783,dollar,אנשים,nouns,0.05
2784,reject,לבחור,verbs,0.1
2785,information,ספר,nouns,1.16
2786,composer,סופר,nouns,2.54
2787,idea,תמונה,nouns,0.83
2788,people,אקדח,nouns,0.3
2789,winner,מטרה,nouns,0.66
2790,safe,חוקי,adjectives,0.83
2791,extramarital,בלתי נסלח,adjectives,0.17
2792,payment,עמלה,nouns,3.19
2793,barn,בית,nouns,1.07
2794,dirty,מדהים,adjectives,0.15
2795,tin,אלומיניום,nouns,1.79
2796,condemn,לדחות,verbs,1.9
2797,director,סינמטוגרפיה,nouns,1.02
2798,mother,חבר,nouns,1.21
2799,tennis,סטטיסטיקה,nouns,0.1
2800,undecided,ניטרלי,adjectives,1.87
2801,bury,לכסות,verbs,2.35
2802,oak,מייפל,nouns,1.57
2803,book,ספרות,nouns,2.22
2804,disown,להזניח,verbs,1.0
2805,leave,לפנות,verbs,0.77
2806,hen,הודו,nouns,1.38
2807,sun,שמיים,nouns,1.01
2808,score,שלב,nouns,0.91
2809,whiskey,שמפניה,nouns,1.61
2810,neglect,לנשל,verbs,1.0
2811,completely,אך ורק,adverbs,2.06
2812,teeth,פטיש,nouns,0.0
2813,officially,בחוזקה,adverbs,0.15
2814,hit,לכוון,verbs,0.56
2815,people,מסיבה,nouns,1.09
2816,fact,הוכחה,nouns,1.92
2817,protect,להגן,verbs,4.1
2818,racing,פילוסוף,nouns,0.0
2819,defend,להרוג,verbs,0.56
2820,door,אחווה,nouns,0.0
2821,marijuana,עשב,nouns,2.34
2822,sea,צונאמי,nouns,1.15
2823,strive,לעקל,verbs,0.1
2824,cup,צנצנת,nouns,1.95
2825,lower,להקטין,verbs,3.93
2826,organized,מבולגן,verbs,0.54
2827,simple,קשה,adjectives,0.44
2828,mostly,לעומק,adverbs,0.66
2829,street,מכונית,nouns,0.94
2830,day,שחר,nouns,2.21
2831,simply,לכאורה,adverbs,0.62
2832,polish,ליידע,verbs,0.0
2833,go,להתחיל,verbs,0.92
2834,monthly,שבועי,adjectives,1.19
2835,rapid,מהיר,adjectives,5.19
2836,fencing,התעמלות,nouns,1.04
2837,arithmetic,קצב,nouns,0.1
2838,inflection,זיהום,nouns,0.05
2839,fry,לאפות,verbs,1.71
2840,stomach,גוף,nouns,1.33
2841,cautiously,בקפידה,adverbs,4.23
2842,body,לבנים,nouns,0.35
2843,terrific,נפלא,adjectives,5.05
2844,horn,תוף,nouns,0.6
2845,write,לשרבט,verbs,2.6
2846,skyscraper,ארמון,nouns,0.96
2847,grown,ילדותי,adjectives,0.54
2848,insecure,תלותי,adjectives,1.34
2849,capability,כוח,nouns,2.5
2850,splash,צמיגות,nouns,0.41
2851,mansion,פסל,nouns,0.25
2852,victim,טלפון,nouns,0.15
2853,give,לשמור,verbs,0.3
2854,tonight,היום,adverbs,1.52
2855,worker,מצלמה,nouns,0.1
2856,wander,לעזוב,verbs,0.81
2857,earthquake,רעד,nouns,2.71
2858,parliament,קונגרס,nouns,3.51
2859,compiler,פונקציה,nouns,1.21
2860,unused,חדש,adjectives,4.27
2861,lawyer,בנקאי,nouns,0.87
2862,usually,לעיתים נדירות,adverbs,0.96
2863,rationalize,לטעון,verbs,2.96
2864,argue,להסכים,verbs,0.49
2865,rude,רועש,adjectives,0.59
2866,bath,תעלול,nouns,0.0
2867,university,קמפוס,nouns,2.15
2868,wife,אמא,nouns,2.13
2869,watch,חצאית,nouns,0.25
2870,salary,כסף,nouns,3.19
2871,desert,דיונה,nouns,1.86
2872,easy,פשוט,adjectives,4.01
2873,think,להחליט,verbs,1.22
2874,accident,חירום,nouns,2.36
2875,compare,לנתח,verbs,2.27
2876,helium,אוויר,nouns,1.6
2877,week,סוף שבוע,nouns,1.16
2878,nerve,מוח,nouns,0.62
2879,liver,ריאה,nouns,1.04
2880,appear,להפוך,verbs,0.09
2881,ring,אירוסין,nouns,1.71
2882,fantasy,מציאות,nouns,0.84
2883,despise,לשנוא,verbs,5.3
2884,restore,להחליף,verbs,2.74
2885,please,לספק,verbs,3.21
2886,biology,ביוטופ,nouns,1.15
2887,rule,מוסכמה,nouns,2.83
2888,victor,גבר,nouns,0.71
2889,riot,ציור,nouns,0.1
2890,gun,אנשים,nouns,0.3
2891,pencil,סיפור,nouns,0.3
2892,disappear,להתכווץ,verbs,1.44
2893,slender,רזה,adjectives,5.04
2894,cabin,צריף,nouns,3.38
2895,nail,יד,nouns,0.74
2896,citrus,תפוז,nouns,2.94
2897,arrange,לארגן,verbs,4.99
2898,apparently,פשוט,adverbs,0.62
2899,happen,לעשות,verbs,0.99
2900,boy,אח,nouns,2.15
