ID,RUS,SPA,PoS,score
2195,агрессивный,suave,adjectives,0.1
2196,сессия,paciente,nouns,0.5
2197,известный,nacional,adjectives,0.25
2198,узкий,ancho,adjectives,0.15
2199,музыка,melodía,nouns,4.05
2200,окно,nube,nouns,0.55
2201,конституция,senado,nouns,1.05
2202,анархия,caos,nouns,4.05
2203,инфекция,inflexión,nouns,0.1
2204,скоростной,veloz,adjectives,5.3
2205,беспокоить,agravar,verbs,0.6
2206,секулярист,religión,nouns,0.3
2207,мука,pan,nouns,1.2
2208,наука,psicología,nouns,1.3
2209,эпоха,década,nouns,1.85
2210,рука,rodilla,nouns,0.6
2211,мебель,apartamento,nouns,0.7
2212,город,pueblo,nouns,3.15
2213,продаваться,vender,verbs,0.45
2214,настрой,confianza,nouns,1.75
2215,пчела,reina,nouns,1.1
2216,галакси,aplicación,nouns,0.4
2217,ручка,proteína,nouns,0.15
2218,полагаться,fallar,verbs,0.1
2219,безопасный,tedioso,adjectives,0.05
2220,человек,víctor,nouns,0.8
2221,хихикать,reír,verbs,5.0
2222,ванная,habitación,nouns,0.95
2223,знать,olvidar,verbs,0.15
2224,бутылка,poder,nouns,0.5
2225,клуб,marca,nouns,0.45
2226,новости,editorial,nouns,1.15
2227,необычно,extrañamente,adverbs,3.1
2228,щёлкать,crujir,verbs,2.05
2229,складывать,dividir,verbs,0.2
2230,историк,historiógrafo,nouns,2.8
2231,облако,niebla,nouns,2.0
2232,ложка,vaso,nouns,1.0
2233,отделка,pared,nouns,0.95
2234,печальный,gracioso,adjectives,0.05
2235,курс,estómago,nouns,0.15
2236,кража,crimen,nouns,2.65
2237,умножать,añadir,verbs,0.8
2238,мяч,voleibol,nouns,1.15
2239,удаляться,retirar,verbs,3.8
2240,интимный,personal,adjectives,4.3
2241,губернатор,emperador,nouns,1.8
2242,получать,lograr,verbs,0.75
2243,порядоченный,sucio,adjectives,0.25
2244,теперь,delicadamente,adverbs,0.0
2245,уходящий,entrante,adjectives,0.15
2246,цент,tamaño,nouns,0.4
2247,стол,puesta de sol,nouns,0.05
2248,становиться,realizar,verbs,0.55
2249,протестант,cristiano,nouns,1.35
2250,открыто,macizamente,adverbs,0.25
2251,признание,negación,nouns,0.65
2252,усилие,dificultad,nouns,2.05
2253,платформа,envase,nouns,0.05
2254,пьяный,sobrio,adjectives,0.15
2255,разрушение,construcción,nouns,0.3
2256,получать,dar,verbs,0.2
2257,спрашивать,buscar,verbs,1.0
2258,возможно,probablemente,adverbs,4.0
2259,священный,precioso,adjectives,2.15
2260,строить,crear,verbs,3.65
2261,продавать,ir,verbs,0.45
2262,служанка,ayudante,nouns,3.0
2263,чай,limón,nouns,0.7
2264,якорь,bote,nouns,0.95
2265,оставаться,obtener,verbs,0.0
2266,остров,princesa,nouns,0.05
2267,алюминий,metal,nouns,1.75
2268,тупой,enorme,adjectives,0.0
2269,апокалипсис,fuego,nouns,1.0
2270,принцесса,galleta,nouns,0.0
2271,становиться,hacer,verbs,0.6
2272,море,tsunami,nouns,1.35
2273,спорить,grito,verbs,0.65
2274,такси,coche,nouns,3.3
2275,страус,huerta,nouns,0.2
2276,коробка,sombrero,nouns,0.4
2277,полицейский,copiloto,nouns,0.15
2278,сила,resistencia,nouns,2.9
2279,управление,trabajo,nouns,1.35
2280,стена,castillo,nouns,0.55
2281,сын,hermano,nouns,0.85
2282,правительство,lagartija,nouns,0.0
2283,отделять,adjuntar,verbs,0.05
2284,пианино,armonía,nouns,0.4
2285,скульптор,palacio,nouns,0.6
2286,химия,teoría,nouns,1.05
2287,большой,ancho,adjectives,1.65
2288,телевидение,guionista,nouns,1.05
2289,платье,danza,nouns,0.5
2290,нерегулярно,generalmente,adverbs,0.35
2291,мотор,pistón,nouns,2.0
2292,быстрый,rápido,adjectives,4.0
2293,незначительный,significativo,adjectives,0.15
2294,мотор,bote,nouns,0.65
2295,монокультура,agricultura,nouns,0.85
2296,улица,callejón,nouns,3.15
2297,шланг,coche,nouns,0.55
2298,мужчина,niño,nouns,0.75
2299,шляпка,uña,nouns,0.85
2300,механически,idealmente,adverbs,0.15
2301,покидать,permanecer,verbs,0.05
2302,фон,papel pintado,nouns,1.75
2303,смотреть,observar,verbs,3.8
2304,индейка,gallina,nouns,0.9
2305,правосудие,derecho,nouns,1.75
2306,повторять,practicar,verbs,2.25
2307,прыжки,cerca,nouns,0.5
2308,ходить,estar,verbs,0.2
2309,кампания,mono,nouns,0.05
2310,тюрьма,elección,nouns,0.15
2311,юриспруденция,colegio,nouns,0.8
2312,простой,difícil,adjectives,0.1
2313,тренери,medalla,nouns,0.25
2314,энтропия,información,nouns,0.45
2315,комбинатор,estratega,nouns,1.25
2316,ярд,pulgada,nouns,0.75
2317,завершать,decidir,verbs,1.85
2318,суд,juez,nouns,1.25
2319,занимать,mendigar,verbs,0.95
2320,условие,pacto,nouns,2.35
2321,кофе,frijol,nouns,0.5
2322,шлем,arma,nouns,1.25
2323,продавать,recordar,verbs,0.05
2324,ладонь,dedo,nouns,0.85
2325,тупой,inteligente,adjectives,0.35
2326,победитель,campeón,nouns,4.75
2327,задача,asignación,nouns,4.4
2328,теория,química,nouns,1.05
2329,наставник,ayudante,nouns,1.6
2330,трезвый,racional,adjectives,1.7
2331,работа,administración,nouns,1.35
2332,вода,hielo,nouns,1.55
2333,нечестный,malo,adjectives,1.3
2334,кинолента,película,nouns,4.9
2335,разрешать,refutar,verbs,0.3
2336,выигрывать,dominar,verbs,1.95
2337,добавлять,construir,verbs,0.75
2338,идеально,mecánicamente,adverbs,0.15
2339,ванна,esposa,nouns,0.1
2340,брать,aprovechar,verbs,1.05
2341,железо,vitamina,nouns,0.65
2342,входить,salir,verbs,0.05
2343,бревно,bañera,nouns,0.0
2344,удобный,vulnerable,adjectives,0.6
2345,структура,topología,nouns,2.05
2346,опекун,adulto,nouns,1.35
2347,необходимый,importante,adjectives,3.5
2348,официально,fuertemente,adverbs,0.2
2349,интерес,atención,nouns,3.85
2350,уверенный,nervioso,adjectives,0.1
2351,сиять,irradiar,verbs,4.35
2352,добиваться,persuadir,verbs,0.75
2353,девушка,chico,nouns,0.65
2354,соль,agua,nouns,0.4
2355,взрослый,guardián,nouns,1.35
2356,пакт,condición,nouns,2.35
2357,обычный,diferente,adjectives,0.15
2358,мнение,parcialidad,nouns,2.3
2359,ацетаминофен,bronquitis,nouns,0.8
2360,молиться,pedir,verbs,1.7
2361,деликатно,actualmente,adverbs,0.0
2362,армия,equipo,nouns,1.35
2363,отодвигать,rechazar,verbs,1.45
2364,дворец,rascacielos,nouns,0.75
2365,тело,pecho,nouns,1.25
2366,народ,centavo,nouns,0.05
2367,поэт,periodista,nouns,0.8
2368,помогать,asistir,verbs,4.45
2369,отговаривать,animar,verbs,0.2
2370,обнимать,sostener,verbs,0.75
2371,агрессивный,curvo,adjectives,0.0
2372,законченный,completar,adjectives,3.1
2373,боб,arroz,nouns,0.85
2374,гора,repisa,nouns,0.7
2375,слышать,percibir,verbs,1.85
2376,тупой,agudo,adjectives,0.05
2377,жена,centavo,nouns,0.15
2378,искать,deambular,verbs,1.15
2379,граница,límite,nouns,4.75
2380,виноватый,honesto,adjectives,0.05
2381,статуя,escultura,nouns,4.6
2382,остров,armada,nouns,0.55
2383,принц,rey,nouns,1.75
2384,покрывать,proteger,verbs,3.5
2385,кровь,virus,nouns,1.0
2386,младенец,hija,nouns,2.15
2387,брать,poseer,verbs,2.5
2388,буря,nube,nouns,1.15
2389,отрицать,mentir,verbs,1.15
2390,возлюбленный,compañero,nouns,1.5
2391,лошадь,perro,nouns,0.4
2392,диета,ensalada,nouns,0.85
2393,принимать,recibir,verbs,2.75
2394,говядина,carne,nouns,3.25
2395,духовный,incorpóreo,adjectives,3.25
2396,замок,pared,nouns,0.55
2397,впечатление,creencia,nouns,2.65
2398,занимать,dar,verbs,1.2
2399,защищать,mantener,verbs,1.85
2400,тяжелый,fácil,adjectives,0.15
2401,верование,concepto,nouns,1.7
2402,завоевание,himno,nouns,0.15
2403,прощать,entender,verbs,1.5
2404,носить,erosionar,verbs,0.0
2405,дерево,piedra,nouns,0.55
2406,книга,accidente,nouns,0.1
2407,символ,criptograma,nouns,2.3
2408,витамин,plancha,nouns,0.65
2409,отходить,separar,verbs,0.35
2410,мальчик,hermano,nouns,1.45
2411,ружье,cañón,nouns,1.65
2412,епископ,arzobispo,nouns,2.85
2413,книга,texto,nouns,2.25
2414,преступлениe,robo,nouns,2.65
2415,тычинка,polinización,nouns,1.1
2416,бабник,chico,nouns,0.75
2417,мотель,posada,nouns,3.65
2418,закрыть,vomitar,verbs,0.0
2419,другой,opuesto,adjectives,1.15
2420,доминировать,ganar,verbs,1.95
2421,юбка,reloj,nouns,0.25
2422,виноватый,malo,adjectives,0.9
2423,апельсин,cítrico,nouns,3.5
2424,замок,llave,nouns,1.65
2425,развитие,fertilizante,nouns,0.5
2426,беспокоить,ofender,verbs,1.0
2427,свежий,amplio,adjectives,0.05
2428,яблоко,limón,nouns,0.6
2429,жесткий,cruel,adjectives,2.65
2430,мясо,sándwich,nouns,0.75
2431,дружелюбно,improbable,adverbs,0.0
2432,эмоция,pasión,nouns,2.7
2433,беспокоить,interrumpir,verbs,3.2
2434,машина,tanque,nouns,1.0
2435,вредоносные программы,gusano,nouns,1.15
2436,разрешать,dar,verbs,1.2
2437,грубо,seguramente,adverbs,0.65
2438,парень,niña,nouns,0.65
2439,голова,hombro,nouns,1.05
2440,клен,roble,nouns,1.0
2441,боль,daño,nouns,1.75
2442,уродливый,sucio,adjectives,0.45
2443,трудный,tedioso,adjectives,3.55
2444,особняк,escultor,nouns,0.6
2445,лодка,ancla,nouns,0.95
2446,атом,carbón,nouns,1.45
2447,умолять,complacer,verbs,0.85
2448,угол,curva,nouns,2.45
2449,испуганный,inseguro,adjectives,1.65
2450,конечно,definitivamente,adverbs,3.4
2451,ночь,amanecer,nouns,0.55
2452,динозавр,elefante,nouns,0.7
2453,нагреватель,paraguas,nouns,0.1
2454,понимать,perdonar,verbs,1.5
2455,молекула,átomo,nouns,1.75
2456,прореха,acuerdo,nouns,0.0
2457,высота,conversión,nouns,0.35
2458,подражать,capturar,verbs,0.2
2459,внимание,interés,nouns,3.85
2460,актер,actriz,nouns,3.35
2461,защищать,matar,verbs,0.2
2462,звезда,planeta,nouns,2.5
2463,могущественный,potente,adjectives,3.75
2464,разрушать,construir,verbs,0.1
2465,покидать,llegar,verbs,0.2
2466,банка,botella,nouns,1.9
2467,углевод,sacarosa,nouns,1.85
2468,решающий,importante,adjectives,3.9
2469,посещать,llegar,verbs,1.65
2470,статья,libro,nouns,1.0
2471,записывать,garabatear,verbs,1.75
2472,самолет,chorro,nouns,0.75
2473,невероятно,muy,adverbs,0.5
2474,лодка,árbol,nouns,0.45
2475,епископ,musulmán,nouns,0.35
2476,бисквит,princesa,nouns,0.0
2477,слушаться,obedecer,verbs,3.1
2478,металл,aluminio,nouns,1.75
2479,суд,prueba,nouns,1.25
2480,нейтральный,calma,adjectives,1.55
2481,пляж,arrecife,nouns,1.25
2482,толпа,populacho,nouns,3.6
2483,чудовище,demonio,nouns,3.9
2484,уменьшить,restringir,verbs,2.35
2485,ребячливый,tonto,adjectives,2.0
2486,радостный,feliz,adjectives,4.85
2487,погода,nube,nouns,0.75
2488,багаж,circunnavegación,nouns,1.05
2489,кровать,habitación,nouns,1.35
2490,товарищ,chico,nouns,1.4
2491,самолет,helicóptero,nouns,1.2
2492,ткань,ropa,nouns,1.77
2493,повседневно,normalmente,adverbs,4.3
2494,облачность,pronóstico,nouns,1.25
2495,способность,competencia,nouns,2.85
2496,ночь,capítulo,nouns,0.35
2497,дразнить,herir,verbs,2.15
2498,туча,tormenta,nouns,1.15
2499,птица,pavo,nouns,2.45
2500,автотранспорт,autobús,nouns,2.2
2501,тащить,levantar,verbs,0.6
2502,помиловать,perdonar,verbs,3.3
2503,мать,esposa,nouns,2.0
2504,фотоаппарат,presidente,nouns,0.55
2505,в основном,profundamente,adverbs,0.7
2506,победитель,candidato,nouns,1.25
2507,работодатель,empleado,nouns,0.9
2508,кисть,muñeca,nouns,2.25
2509,человек,personaje,nouns,2.65
2510,благоразумно,obviamente,adverbs,0.45
2511,назначать,obtener,verbs,0.25
2512,яблоко,dieta,nouns,0.75
2513,национальный,grande,adjectives,0.2
2514,отрицательный,nunca,adjectives,1.8
2515,терапия,behaviorismo,nouns,0.7
2516,палец,dedo del pie,nouns,5.45
2517,рассерженный,alegre,adjectives,0.15
2518,грубо,aproximadamente,adverbs,0.5
2519,тело,sangre,nouns,0.7
2520,локоть,hueso,nouns,0.95
2521,находить,desaparecer,verbs,0.15
2522,преуспевать,tratar,verbs,0.4
2523,большой,fácil,adjectives,0.0
2524,музыка,flauta,nouns,1.3
2525,сельское хозяйство,monocultivo,nouns,0.85
2526,важно,verdaderamente,adverbs,0.25
2527,сержант,pistola,nouns,0.65
2528,счастливо,mortal,adverbs,0.15
2529,держать,abrazar,verbs,0.75
2530,задача,mujer,nouns,0.1
2531,непокрытый,cubierto,adjectives,0.15
2532,зарабатывать,merecer,verbs,1.95
2533,грубо,impacientemente,adverbs,0.5
2534,трудность,esfuerzo,nouns,2.05
2535,обвинять,juzgar,verbs,2.95
2536,душить,abrazar,verbs,0.65
2537,парад,multitud,nouns,1.85
2538,реальность,espejismo,nouns,0.4
2539,конь,potro,nouns,2.7
2540,спортсмен,corredor,nouns,2.65
2541,искать,preguntar,verbs,1.0
2542,фильм,teatro,nouns,0.8
2543,делать,dejar,verbs,0.3
2544,петь,reír,verbs,0.3
2545,судить,decidir,verbs,2.05
2546,материнская плата,placa base,nouns,2.85
2547,громко,locamente,adverbs,0.8
2548,спокойно,pacíficamente,adverbs,4.35
2549,конь,buey,nouns,1.05
2550,изогнутый,torcido,adjectives,4.25
2551,дверь,piso,nouns,0.75
2552,мельница,semilla,nouns,1.25
2553,солдат,niño,nouns,0.7
2554,искусственный,0,adjectives,3.65
2555,защищать,defender,verbs,4.55
2556,колледж,clase,nouns,1.2
2557,дружелюбный,generoso,adjectives,2.3
2558,удивительный,sucio,adjectives,0.0
2559,недавно,de manera realista,adverbs,0.0
2560,бой,beligerancia,nouns,2.7
2561,собор,iglesia,nouns,4.1
2562,инфекция,enfermedad,nouns,3.05
2563,чета,par,nouns,4.9
2564,слог,lema,nouns,0.55
2565,социобиология,mutante,nouns,0.45
2566,мешать,molestar,verbs,3.2
2567,убивать,ahogarse,verbs,1.65
2568,желать,querer,verbs,5.1
2569,читать,comprender,verbs,1.2
2570,адвокат,galería,nouns,0.1
2571,толкать,culpar,verbs,0.05
2572,избирательное право,salida,nouns,0.05
2573,взрослый,niño,nouns,0.65
2574,дважды,múltiple,adverbs,0.9
2575,принцесса,novia,nouns,0.8
2576,дышать,ahogarse,verbs,0.5
2577,убежденный,seguro,adjectives,2.7
2578,богатство,pobreza,nouns,0.2
2579,бык,ganado,nouns,3.2
2580,культура,sociedad,nouns,1.35
2581,выступать,saludar,verbs,0.7
2582,скромный,avergonzado,adjectives,0.65
2583,переговоры,diplomacia,nouns,2.2
2584,до,después,adverbs,0.05
2585,клетка,bar,nouns,0.15
2586,атмосфера,ozono,nouns,1.8
2587,поиск,objetivo,nouns,1.05
2588,политик,presidente,nouns,2.3
2589,иначе,extrañamente,adverbs,1.5
2590,иностранец,traductor,nouns,0.6
2591,моряк,capitán,nouns,1.6
2592,кровь,médula,nouns,0.95
2593,игнорировать,olvidar,verbs,2.25
2594,племянник,tía,nouns,0.7
2595,кувшин,vaso,nouns,1.8
2596,сегодня,esta noche,adverbs,2.0
2597,курс,acción,nouns,1.0
2598,готовить,freír,verbs,2.05
2599,политик,policía,nouns,0.3
2600,обижать,molestia,verbs,1.0
2601,актер,cantante,nouns,0.9
2602,гордость,alegría,nouns,1.35
2603,король,nepotismo,nouns,1.0
2604,покидать,entrar,verbs,0.05
2605,корона,llave,nouns,0.1
2606,взрослый,inmaduro,adjectives,0.3
2607,завтра,esta noche,adverbs,0.4
2608,присутствие,ganador,nouns,0.25
2609,сравнивать,analizar,verbs,2.95
2610,настраивать,inclinarse,verbs,1.2
2611,вешать,matar,verbs,0.95
2612,плоть,sangre,nouns,0.9
2613,амбар,casa,nouns,0.9
2614,размер,magnitud,nouns,4.85
2615,ехать,detener,verbs,0.35
2616,марка,club,nouns,0.45
2617,американский футбол,fútbol americano,nouns,2.5
2618,сладость,manzana,nouns,0.65
2619,портить,oler,verbs,0.0
2620,закат,mesa,nouns,0.05
2621,карта,puente,nouns,0.5
2622,ущипнуть,dar un puñetazo,verbs,0.55
2623,виноватый,avergonzado,adjectives,2.15
2624,металл,estaño,nouns,1.7
2625,интуиция,sentido,nouns,3.65
2626,выращивать,beber,verbs,0.0
2627,спорить,asistir,verbs,0.1
2628,толкать,tirar,verbs,1.25
2629,святой,pecador,nouns,0.15
2630,ранимый,fácil,adjectives,0.6
2631,изучение флагов,bandera,nouns,1.25
2632,вокалист,personal,nouns,0.25
2633,тяжелый,difícil,adjectives,3.55
2634,поднимать,recorrer,verbs,0.6
2635,мать,guardián,nouns,1.4
2636,бог,padre,nouns,1.55
2637,церковь,coro,nouns,1.25
2638,стекло,cristal,nouns,2.05
2639,пытаться,lograr,verbs,1.35
2640,достоинство,insignias,nouns,0.35
2641,лев,gato,nouns,0.9
2642,белый,estrecho,adjectives,0.0
2643,говорить,reconocer,verbs,0.8
2644,дождь,niebla,nouns,1.5
2645,встряхивать,recoger,verbs,0.2
2646,тревожно,nerviosamente,adverbs,3.6
2647,трапеза,cena,nouns,3.45
2648,пояс,lazo,nouns,1.05
2649,ящерица,serpiente,nouns,1.1
2650,тело,estómago,nouns,1.6
2651,коробка,ascensor,nouns,0.5
2652,страница,palabra,nouns,0.65
2653,наставник,amigo,nouns,1.15
2654,капитан,marinero,nouns,1.6
2655,грубый,crítico,adjectives,0.7
2656,неожиданный,imprevisto,adjectives,5.5
2657,блицкриг,ataque,nouns,3.05
2658,алкоголь,ginebra,nouns,2.2
2659,представление,creencia,nouns,1.7
2660,вычитать,perder,verbs,0.4
2661,помнить,olvidar,verbs,0.2
2662,соглашение,agujero,nouns,0.0
2663,матрица,lista,nouns,0.7
2664,пряжа,hilo,nouns,2.7
2665,внимание,conciencia,nouns,1.2
2666,шар,bañera,nouns,0.05
2667,утес,colina,nouns,2.0
2668,баллончик,botella,nouns,0.5
2669,толпа,desfile,nouns,1.85
2670,традиция,artesanía,nouns,1.1
2671,важно,seriamente,adverbs,1.7
2672,игрушка,cubo,nouns,0.85
2673,праздник,ceremonia,nouns,3.95
2674,лейтенант,oficial,nouns,1.8
2675,берег,barco de cañón,nouns,0.45
2676,прямой,curvo,adjectives,0.2
2677,безумно,ruidosamente,adverbs,0.8
2678,скорее всего,posiblemente,adverbs,4.0
2679,рот,diente,nouns,1.2
2680,женщина,piel,nouns,0.35
2681,оптимистически,posiblemente,adverbs,0.9
2682,часы,falda,nouns,0.25
2683,тонуть,salvar,verbs,0.2
2684,баскетбол,béisbol,nouns,1.25
2685,шаркать,montar,verbs,0.4
2686,множественный,dos veces,adverbs,0.9
2687,госпожа,hidalgo,nouns,1.35
2688,нетерпеливый,ansioso,adjectives,3.45
2689,пистолет,cuaderno,nouns,0.05
2690,перчатка,pelota,nouns,0.6
2691,биология,anatomía,nouns,1.85
2692,mинт,museo,nouns,0.0
2693,палец,uña,nouns,1.55
2694,входить,ir,verbs,1.15
2695,попкорн,cine,nouns,1.6
2696,пропадать,desaparecer,verbs,5.25
2697,рассерженный,infeliz,adjectives,1.6
2698,патология,hematología,nouns,1.1
2699,алюминий,estaño,nouns,0.55
2700,животное,persona,nouns,0.6
2701,смеяться,llorar,verbs,0.1
2702,ужасный,triste,adjectives,0.55
2703,акустика,sonido,nouns,3.4
2704,отец,hijo,nouns,1.25
2705,шея,brazo,nouns,0.55
2706,любезно,suavemente,adverbs,1.35
2707,медаль,zapatillas,nouns,0.25
2708,бекон,frijol,nouns,0.25
2709,диск,cargador,nouns,0.8
2710,шериф,policía,nouns,4.05
2711,смешанный,antiguo,adjectives,0.0
2712,дверь,ventana,nouns,0.75
2713,приносить,enviar,verbs,0.65
2714,заметный,obvio,adjectives,2.8
2715,руководитель,líder,nouns,3.7
2716,ранимый,impotente,adjectives,1.6
2717,сжиматься,crecer,verbs,0.1
2718,птица,halcón,nouns,2.05
2719,дерзкий,orgulloso,adjectives,0.65
2720,известие,periódico,nouns,1.2
2721,ущелье,valle,nouns,1.7
2722,загрязнение,atmósfera,nouns,1.05
2723,строить,añadir,verbs,0.75
2724,литература,palabra,nouns,1.75
2725,ящик,electricidad,nouns,0.3
2726,слабый,picante,adjectives,0.0
2727,мягкий,agudo,adjectives,0.25
2728,читатель,autor,nouns,0.8
2729,значительно,brillantemente,adverbs,0.75
2730,орган,riñón,nouns,2.7
2731,книга,artículo,nouns,1.0
2732,бунт,dibujo,nouns,0.05
2733,пациент,sesión,nouns,0.5
2734,дерево,papel,nouns,0.9
2735,соглашение,pacto,nouns,4.9
2736,мода,modo,nouns,0.5
2737,защищать,ayuda,verbs,1.95
2738,непредвиденный,no previsible,adjectives,5.5
2739,наказывать,obedecer,verbs,0.6
2740,мэр,jefe,nouns,2.25
2741,автомобиль,bicicleta,nouns,0.65
2742,машина,automóvil,nouns,5.6
2743,поездка,ruta,nouns,3.95
2744,тело,hombro,nouns,1.2
2745,священник,monje,nouns,3.35
2746,ненормально,normalmente,adverbs,0.1
2747,овца,cordero,nouns,3.4
2748,беспорядочный,limpiar,adjectives,0.45
2749,вирус,sangre,nouns,1.0
2750,оплата,moneda,nouns,1.65
2751,пряный,bueno,adjectives,0.35
2752,вена,estómago,nouns,0.5
2753,уравнение,fórmula,nouns,3.35
2754,легальный,seguro,adjectives,1.3
2755,свежий,antiguo,adjectives,0.05
2756,сносить,aplastar,verbs,2.35
2757,хороший,picante,adjectives,0.35
2758,пытаться,pensar,verbs,0.5
2759,джойстик,radar,nouns,0.45
2760,чистилище,más allá,nouns,2.15
2761,раздражать,adivinar,verbs,0.0
2762,помогать,proteger,verbs,1.95
2763,гонка,fin de semana,nouns,0.0
2764,перемешать,beber,verbs,0.35
2765,автомобиль,ascensor,nouns,0.55
2766,мечта,cielo,nouns,0.45
2767,коварный,que no es de fiar,adjectives,1.6
2768,прошлое,antecedente,nouns,3.65
2769,демократия,monarquía,nouns,0.7
2770,бровь,ojo,nouns,0.65
2771,мяч,cesta,nouns,0.55
2772,человек,animal,nouns,0.6
2773,вежливо,discretamente,adverbs,1.35
2774,перезахоронения,tumba,nouns,0.9
2775,бороться,discrepar,verbs,0.75
2776,давать,desconocer,verbs,0.05
2777,гудок,coche,nouns,0.45
2778,становиться,aparecer,verbs,0.8
2779,радостный,encantador,adjectives,2.75
2780,развлекать,complacer,verbs,1.1
2781,гол,ganador,nouns,0.5
2782,бренди,vino,nouns,1.45
2783,мораль,leyenda,nouns,0.6
2784,полицейский,sheriff,nouns,4.05
2785,чистый,modesto,adjectives,0.5
2786,фильм,filme,nouns,4.9
2787,полностью,ligeramente,adverbs,0.1
2788,налог,ingresos,nouns,0.7
2789,гейзер,primavera,nouns,0.4
2790,куб,dado,nouns,3.2
2791,микшировать,cocinar,verbs,0.65
2792,вязание,uniforme,nouns,0.35
2793,ярд,metro,nouns,1.9
2794,библия,libro,nouns,1.8
2795,обострять,molestar,verbs,0.6
2796,мир,soldado,nouns,0.45
2797,форма,moda,nouns,0.5
2798,небо,sueño,nouns,0.45
2799,арифметика,ritmo,nouns,0.55
2800,скрипка,instrumento,nouns,2.7
2801,серьезный,gracioso,adjectives,0.05
2802,выжимать,abrazar,verbs,0.45
2803,медбрат,científico,nouns,0.25
2804,редко,a menudo,adverbs,0.45
2805,путешествие,viaje,nouns,3.95
2806,хор,iglesia,nouns,1.25
2807,трескаться,romper,verbs,1.9
2808,небо,universo,nouns,1.25
2809,иметь,absorber,verbs,0.7
2810,примечание,pago,nouns,0.35
2811,угождать,entretener,verbs,1.1
2812,спутывать,aprender,verbs,0.1
2813,звезда,brillo,nouns,2.05
2814,оскорблять,ofender,verbs,3.8
2815,нормальный,extraño,adjectives,0.15
2816,потрясающий,ordinario,adjectives,0.2
2817,громкий,grosero,adjectives,1.1
2818,тупой,inteligente,adjectives,0.25
2819,стараться,ejecutar,verbs,0.35
2820,бесконечность,cero,nouns,0.55
2821,автобус,vehículo,nouns,2.2
2822,часовня,cable,nouns,0.0
2823,сталь,aleación,nouns,1.75
2824,говорить,oír,verbs,0.5
2825,ладить,complacer,verbs,1.2
2826,задание,nota,nouns,0.7
2827,страница,párrafo,nouns,1.3
2828,мирно,caóticamente,adverbs,0.15
2829,бревно,madera,nouns,3.55
2830,секретарь,mujer,nouns,0.55
2831,карандаш,historia,nouns,0.4
2832,бумага,cartulina,nouns,3.15
2833,лодыжка,ventana,nouns,0.05
2834,теленок,toro,nouns,2.25
2835,соглашаться,discutir,verbs,0.35
2836,красть,tomar,verbs,0.75
2837,рожок,tambor,nouns,0.7
2838,телевидение,actor,nouns,0.8
2839,бедствие,muerte,nouns,1.3
2840,бекон,carne,nouns,1.95
2841,игнорировать,explorar,verbs,0.1
2842,кошка,perro,nouns,0.55
2843,шея,hueso,nouns,0.4
2844,нос,cabeza,nouns,0.85
2845,наличные,dinero,nouns,4.25
2846,уведомлять,reconocer,verbs,0.75
2847,гончая,zorro,nouns,0.75
2848,получать,enviar,verbs,0.35
2849,трудный,fácil,adjectives,0.2
2850,игра,truco,nouns,1.45
2851,сделать ставку,jugar,verbs,2.6
2852,недорогой,barato,adjectives,5.0
2853,пальто,sombrero,nouns,0.75
2854,становиться,organizar,verbs,0.25
2855,легкий,difícil,adjectives,0.2
2856,бейсбол,fraternidad,nouns,0.45
2857,снег,avalancha,nouns,1.6
2858,бренди,alcohol,nouns,2.0
2859,прочный,duro,adjectives,4.25
2860,подъемник,coche,nouns,0.55
2861,зубы,martillo,nouns,0.1
2862,кипятить,freír,verbs,0.75
2863,рассерженный,estupendo,adjectives,0.3
2864,завтрак,cena,nouns,0.95
2865,заёмщик,crédito,nouns,2.15
2866,век,año,nouns,1.05
2867,минимально,completamente,adverbs,0.1
2868,признавать,notificar,verbs,0.75
2869,тело,espina,nouns,0.95
2870,бог,diablo,nouns,0.5
2871,отрывать,dividir,verbs,1.35
2872,бесстрастный,frágil,adjectives,0.05
2873,честный,culpable,adjectives,0.05
2874,большой,pesado,adjectives,1.25
2875,студент,profesor,nouns,0.65
2876,хрустеть,chasquear,verbs,2.05
2877,нападать,agravar,verbs,0.5
2878,пчела,insecto,nouns,2.45
2879,ходить,cojear,verbs,0.9
2880,солома,himno,nouns,0.05
2881,спокойно,firmemente,adverbs,0.65
2882,полностью,puramente,adverbs,1.75
2883,загрязнение,presidente,nouns,0.25
2884,активно,felizmente,adverbs,0.1
2885,ездить,barajar,verbs,0.4
2886,незначительный,medio,adjectives,1.6
2887,тяжелый,grande,adjectives,1.25
2888,задача,cañita,nouns,0.1
2889,щуриться,deslumbrar,verbs,0.6
2890,вертолет,avión,nouns,1.2
2891,справочник,guía,nouns,4.45
2892,иллюзия,realidad,nouns,0.4
2893,семя,molino,nouns,1.25
2894,плечо,cabeza,nouns,1.05
2895,собираться,asistir,verbs,0.6
2896,смеяться,reirse,verbs,5.0
2897,ужин,comida,nouns,3.3
2898,саженец,hoja,nouns,1.2
2899,матрица,molécula,nouns,0.7
2900,способность,competencia,nouns,2.55
2901,срыгивать,cerrar,verbs,0.0
2902,скромный,puro,adjectives,0.5
2903,ранимый,frígido,adjectives,0.05
2904,ужин,sopa,nouns,1.55
2905,салат,vinagre,nouns,0.85
2906,пиво,champán,nouns,1.2
2907,переводчик,extranjero,nouns,0.6
2908,конечно,claramente,adverbs,2.95
2909,примечание,trabajo,nouns,0.7
