ID,CMN,HEB,PoS,score
2147,防守,להרוג,verbs,0.58
2148,失败,להצליח,verbs,0.68
2149,门,פעמון,nouns,0.55
2150,身体,בטן,nouns,1.81
2151,黏,רטוב,adjectives,1.55
2152,高兴,שמח,adjectives,5.42
2153,判决书,משפט,nouns,2.01
2154,晚餐,מרק,nouns,1.13
2155,想像,להתחזות,verbs,0.59
2156,数,ספרה,nouns,4.88
2157,可能,באופטימיות,adverbs,0.68
2158,游泳,להיפגש,verbs,0.05
2159,农药,מזיק,nouns,0.78
2160,最近,באופן מציאותי,adverbs,0.1
2161,心脏,ניתוח,nouns,0.54
2162,恢复,להביא,verbs,0.65
2163,身体,חזה,nouns,1.8
2164,建议,לייעץ,verbs,3.31
2165,脆弱,נוח,adjectives,0.19
2166,戒指,אירוסין,nouns,1.64
2167,污染,אטמוספירה,nouns,0.39
2168,帽子,קופסה,nouns,0.05
2169,雨,טפטוף,nouns,3.23
2170,码,אינץ',nouns,2.33
2171,窄小,רחב,adjectives,0.64
2172,豆,אורז,nouns,0.97
2173,大薄片,מטוס,nouns,0.14
2174,听,ללמוד,verbs,1.08
2175,游戏,כיף,nouns,0.88
2176,争论,לנמק,verbs,2.99
2177,看,לחפש,verbs,1.45
2178,蛋白质,ידית,nouns,0.0
2179,选择,לרצות,verbs,0.96
2180,接受,להמליץ,verbs,0.69
2181,公主,לחמניה,nouns,0.0
2182,肉,בייקון,nouns,2.79
2183,批评,לשנוא,verbs,0.47
2184,精确地,במדוייק,adverbs,5.13
2185,证明,להסביר,verbs,2.54
2186,工人,מכונאי,nouns,2.13
2187,存款,אדם חסכן,nouns,0.78
2188,包皮,ברית מילה,nouns,1.17
2189,老板,מנהל,nouns,4.93
2190,男孩,אורז,nouns,0.2
2191,模式,אופנה,nouns,0.39
2192,肉,כריך,nouns,0.73
2193,偷偷,בבטחה,adverbs,0.45
2194,失去,לבשל,verbs,0.0
2195,床,חדר שינה,nouns,1.11
2196,故障,מערכת,nouns,0.2
2197,白兰地酒,אלכוהול,nouns,3.07
2198,广口瓶,בקבוק,nouns,3.53
2199,放,לתת,verbs,0.54
2200,侮辱,לפגוע,verbs,3.26
2201,强度,סבולת,nouns,2.63
2202,捏,לחבוט,verbs,0.43
2203,无实体,רוחני,adjectives,2.17
2204,芥末,גרגיר,nouns,0.97
2205,掩饰,לכסות,verbs,3.5
2206,球,כפפה,nouns,0.59
2207,头,רגל,nouns,0.64
2208,惩罚,לציית,verbs,0.49
2209,外交,הדיינות,nouns,1.81
2210,仆人,עבד,nouns,3.93
2211,掩盖,להגן,verbs,1.39
2212,脖子,גב,nouns,0.97
2213,寻求,מטרה,nouns,1.1
2214,单种栽培,חקלאות,nouns,1.14
2215,相机,נשיא,nouns,0.05
2216,人,דולר,nouns,0.05
2217,成功,לנסות,verbs,0.98
2218,作者,קורא,nouns,0.78
2219,洞,הסכם,nouns,0.0
2220,头,כתף,nouns,0.79
2221,用拳猛击,לצבוט,verbs,0.43
2222,承认,להסכים,verbs,3.68
2223,步行,לצלוע,verbs,2.02
2224,犯罪,הפרה,nouns,2.73
2225,火,אפוקליפסה,nouns,0.91
2226,相反,אחר,adjectives,0.43
2227,国王,שליט,nouns,4.65
2228,家具,דירה,nouns,0.55
2229,争论,להוכיח,verbs,1.71
2230,红色,כחול,adjectives,0.84
2231,小孩,מבוגר,nouns,0.97
2232,文学,מילה,nouns,1.75
2233,羞耻,בר מזל,adjectives,0.1
2234,正牙医生,רופא,nouns,3.02
2235,房间,בניין,nouns,0.79
2236,死亡,טרגדיה,nouns,2.33
2237,手臂,רגל,nouns,1.18
2238,船,עץ,nouns,0.55
2239,结婚,להצטרף,verbs,0.39
2240,非自然,בטבעיות,adverbs,0.63
2241,深度,גודל,nouns,1.36
2242,目标,מנצח,nouns,0.5
2243,开心,צעיר,adjectives,0.39
2244,听,להבין,verbs,1.58
2245,合作,להצטרף,verbs,0.87
2246,借,לרצות,verbs,0.24
2247,走开,לעזוב,verbs,3.44
2248,保持,להפסיד,verbs,0.44
2249,说服,להתווכח,verbs,2.04
2250,小说,סופר,nouns,0.8
2251,有意义地,במיוחד,adverbs,2.8
2252,不确定,מפוחד,adjectives,1.11
2253,借款人,אשראי,nouns,1.16
2254,试着,להתכוון,verbs,1.26
2255,学院,מקצוע,nouns,0.65
2256,阳光,תפוח,nouns,0.09
2257,分析,להשוות,verbs,2.37
2258,电话,קורבן,nouns,0.15
2259,探索,לגלות,verbs,2.76
2260,手套,כדור,nouns,0.59
2261,头盔,נשק,nouns,0.89
2262,之后,לפני,adverbs,0.68
2263,幼苗,עלה,nouns,1.31
2264,等待,לעזוב,verbs,0.38
2265,擦,להתדרדר,verbs,0.0
2266,周末,שבוע,nouns,1.98
2267,进入,לעזוב,verbs,0.63
2268,密码,סמל,nouns,0.7
2269,可靠地,באופן סביל,adverbs,0.5
2270,外国人,מתרגם,nouns,0.48
2271,灰尘,מטאטא,nouns,0.83
2272,司机,טייס,nouns,1.92
2273,清醒,לנחור,verbs,0.63
2274,月,אוגוסט,nouns,2.4
2275,害怕,עצבני,adjectives,1.5
2276,拖着脚走,לרכב,verbs,0.4
2277,建立,לחבר,verbs,1.65
2278,忘记,לסלוח,verbs,1.18
2279,突变体,סוציוביולוגיה,nouns,0.63
2280,锌,זהב,nouns,1.26
2281,使满意,להסכים,verbs,1.5
2282,母鸡,ציפור,nouns,1.87
2283,运动员,אצן,nouns,2.79
2284,摇床,עריסה,nouns,3.65
2285,肢体,רגל,nouns,2.45
2286,岛,חצי אי,nouns,3.12
2287,溅,צמיגות,nouns,0.29
2288,平淡,משועמם,adjectives,2.04
2289,钢笔,אלפבית,nouns,0.4
2290,搏斗,לחלוק,verbs,0.75
2291,救,להגן,verbs,2.48
2292,挂,להניח,verbs,1.01
2293,大灾难,תאונה,nouns,3.6
2294,不同意,להסכים,verbs,0.68
2295,猫,כלב,nouns,0.97
2296,身体,כתף,nouns,1.17
2297,完全必要,הכרחי,adjectives,5.28
2298,贫穷,גאה,adjectives,0.15
2299,小学生,סטודנט,nouns,4.6
2300,害怕,לא בטוח,adjectives,1.11
2301,平庸,משעמם,adjectives,1.05
2302,奇怪,תמוה,adjectives,5.13
2303,优雅,סגנון,nouns,1.91
2304,慷慨地,לעולם לא,adverbs,0.45
2305,站立,לצעוד,verbs,0.83
2306,黎明,אקדח,nouns,0.0
2307,和声,פסנתר,nouns,0.78
2308,理想地,מכנית,adverbs,0.24
2309,公开,חבוי,adjectives,0.59
2310,信息,אנטרופיה,nouns,1.08
2311,服从,להעניש,verbs,0.49
2312,棉,פוליאסטר,nouns,1.2
2313,行李,הקפת כדור הארץ,nouns,0.1
2314,臀部,שפה,nouns,0.7
2315,说服,לרדוף,verbs,0.34
2316,街,מכונית,nouns,0.69
2317,法官,בית משפט,nouns,1.26
2318,支气管炎,פרצטמול,nouns,0.74
2319,蠢,מטומטם,adjectives,5.31
2320,天气,גל,nouns,0.34
2321,等待,להפסיק,verbs,1.68
2322,门,חלון,nouns,0.97
2323,剧院,סרט,nouns,1.85
2324,装作,להראות,verbs,0.69
2325,旅行,מסע,nouns,4.14
2326,装作,לדמיין,verbs,0.59
2327,技巧,אינטליגנציה,nouns,1.98
2328,签证,גלובליזם,nouns,0.71
2329,裙子,שעון,nouns,0.25
2330,岛,חוף,nouns,1.29
2331,机灵,מטומטם,adjectives,0.54
2332,活动,גמיש,adjectives,0.68
2333,小心地,בזהירות,adverbs,4.08
2334,坚硬,קשיח,adjectives,3.64
2335,停,לשרוק,verbs,0.1
2336,狡诈,לא אמין,adjectives,2.09
2337,大,ענק,adjectives,3.91
2338,人,ילד,nouns,2.18
2339,私人的,ציבורי,adjectives,0.59
2340,柔韧,גדול,adjectives,0.24
2341,柄,חלבון,nouns,0.0
2342,对手,יריב,nouns,4.55
2343,强大,חלש,adjectives,0.5
2344,腿,זרוע,nouns,1.18
2345,黎明,לילה,nouns,0.8
2346,苹果,רוטב,nouns,0.44
2347,杀,להילחם,verbs,1.14
2348,画画,מהומה,nouns,0.15
2349,地板,סיפון,nouns,2.28
2350,放,לקבל,verbs,0.4
2351,显然,כביכול,adverbs,1.21
2352,床,רהיט,nouns,2.83
2353,写,לשרבט,verbs,3.13
2354,除,לכפול,verbs,1.08
2355,带来,להגיע,verbs,1.11
2356,英寸,יארד,nouns,2.33
2357,学校,חוק,nouns,0.68
2358,尖,קהה,adjectives,0.89
2359,依赖,לסמוך,verbs,3.69
2360,贫穷,בודד,adjectives,0.89
2361,存在,דלת,nouns,0.15
2362,家长,מבוגר,nouns,2.54
2363,订婚,טבעת,nouns,1.64
2364,屏幕,פונולוגיה,nouns,0.15
2365,猎鹰,עיט,nouns,2.99
2366,积极地,כנראה,adverbs,0.75
2367,退出,לספוג,verbs,0.2
2368,传染,חולי,nouns,1.69
2369,强调,נינוח,adjectives,0.5
2370,发炎,מחלה,nouns,2.66
2371,便条,משימה,nouns,0.57
2372,忽略,לבקש,verbs,0.44
2373,叶,נבט,nouns,1.31
2374,血液学,פתולוגיה,nouns,2.19
2375,摇动,לאסוף,verbs,0.15
2376,男孩,ילד,nouns,3.44
2377,意料之外,לא צפוי,adjectives,5.29
2378,断绝亲子关系,להתכחש,verbs,1.69
2379,座位,שיפוע,nouns,0.14
2380,盐,מים,nouns,0.73
2381,小麦粉,לחם,nouns,1.61
2382,减去,להפסיד,verbs,1.91
2383,两次,פעם אחת,adverbs,1.17
2384,风,סופה,nouns,2.66
2385,宇宙,שמיים,nouns,2.17
2386,小木屋,בקתה,nouns,3.31
2387,故事,נושא,nouns,1.02
2388,神经心理学,פרפסיכולוגיה,nouns,0.97
2389,射线,שמש,nouns,1.44
2390,明亮,כוכב,nouns,0.83
2391,争论,לדרוש,verbs,0.54
2392,困难,קל,adjectives,0.54
2393,小心地,בבטחה,adverbs,2.33
2394,神经,מעי,nouns,0.39
2395,离开,להתעלם,verbs,0.63
2396,分子,אטום,nouns,2.53
2397,监狱,בחירה,nouns,0.39
2398,勺子,כוס,nouns,0.8
2399,洗手间,חדר שינה,nouns,0.73
2400,水,בצורת,nouns,0.39
2401,神经,מוח,nouns,1.26
2402,动物,אדם,nouns,1.7
2403,一致地,לפעמים,adverbs,0.25
2404,知道,להאמין,verbs,0.91
2405,完美地,באמת,adverbs,0.93
2406,背景,טפט,nouns,3.1
2407,玩具,קובייה,nouns,0.84
2408,合作,להשתתף,verbs,1.11
2409,律师,תובע,nouns,1.98
2410,能力,כוח,nouns,2.81
2411,想,לנסות,verbs,0.53
2412,电梯,מכונית,nouns,0.4
2413,简单,פגיע,adjectives,0.19
2414,似乎,להתחזות,verbs,0.69
2415,真实,מזוייף,adjectives,0.64
2416,椅子,ספה,nouns,2.24
2417,电,תיבה,nouns,0.24
2418,电池,אנרגיה,nouns,1.92
2419,编译器,פונקציה,nouns,1.27
2420,球,תותח,nouns,0.5
2421,高度,המרה,nouns,0.49
2422,女人,משימה,nouns,0.0
2423,接受,לאשר,verbs,3.68
2424,征服,מסע,nouns,0.88
2425,得到,לקנות,verbs,1.01
2426,激进,אלים,adjectives,1.88
2427,续集,מצלמה,nouns,0.04
2428,抓住,לקבל,verbs,0.64
2429,锁起来,תא,nouns,1.35
2430,果园,יען,nouns,0.1
2431,害羞,מפוחד,adjectives,1.35
2432,天气,ענן,nouns,1.69
2433,赢得,להשיג,verbs,1.94
2434,甲板,סירה,nouns,1.21
2435,墙壁,קישוט,nouns,0.67
2436,心情,רגש,nouns,3.19
2437,裙带关系,מלך,nouns,0.78
2438,醋,סלט,nouns,0.64
2439,否认,להודות,verbs,0.68
2440,校验,להגיד,verbs,0.4
2441,募捐活动,ארוע,nouns,1.43
2442,厂,מכונית,nouns,0.54
2443,幸福,מזל,nouns,0.96
2444,故事,עפרון,nouns,0.43
2445,鸡尾酒,אלכוהול,nouns,2.98
2446,优雅地,יפה,adverbs,2.69
2447,操纵杆,רדאר,nouns,0.15
2448,刺激,להרגיז,verbs,4.74
2449,制服,חסר צורה,adjectives,0.1
2450,奇怪地,באופן חריג,adverbs,4.21
2451,符号,קוד,nouns,2.66
2452,有时,בוודאי,adverbs,0.05
2453,高兴,כועס,adjectives,0.78
2454,理解,לדעת,verbs,2.79
2455,车,צופר,nouns,0.74
2456,手臂,גוף,nouns,0.97
2457,才能,יכולת,nouns,4.19
2458,紧紧,בנחישות,adverbs,2.92
2459,离开,להיכנס,verbs,0.63
2460,伞,תנור חימום,nouns,0.6
2461,肩,ראש,nouns,0.79
2462,条件,חוזה,nouns,1.83
2463,警长,שוטר,nouns,4.11
2464,偷,לקנות,verbs,0.63
2465,灾难,מוות,nouns,2.24
2466,决定,לחשוב,verbs,0.68
2467,地区,אזור,nouns,4.85
2468,欲望,לרצות,verbs,4.14
2469,难看,מבולגן,adjectives,0.87
2470,消失,להיכחד,verbs,4.13
2471,小马,סוס,nouns,2.83
2472,床,מרפאה,nouns,0.72
2473,无知,אינטליגנציה,nouns,0.45
2474,今天晚上,היום,adverbs,1.93
2475,末期地,בעיקר,adverbs,0.0
2476,宽,טרי,adjectives,0.0
2477,非法,חוקי,adjectives,0.59
2478,多面体,שחקן,nouns,0.6
2479,汽车旅馆,אכסניה,nouns,4.03
2480,女英雄,גיבור,nouns,3.8
2481,汽车,צינור,nouns,0.29
2482,电话,תא,nouns,0.3
2483,果汁,תפוח,nouns,1.38
2484,选择,להצביע,verbs,3.01
2485,依靠,להיכשל,verbs,0.29
2486,电影,פילם,nouns,3.74
2487,懒,עסוק,adjectives,0.45
2488,电梯,לגרור,verbs,1.48
2489,想,לברר,verbs,0.69
2490,律师,משפטן,nouns,3.79
2491,吸收,להחזיק,verbs,0.33
2492,枯燥,משמים,adjectives,3.91
2493,宗教,חילוניות,nouns,0.6
2494,大炮,רובה,nouns,2.17
2495,老鹰,בז,nouns,2.99
2496,电缆,קוסם,nouns,0.15
2497,亿万富翁,חסר בית,nouns,0.45
2498,酒,מאה,nouns,0.0
2499,罐,בקבוק,nouns,2.22
2500,谷物,חיטה,nouns,3.13
2501,爬,לטייל,verbs,1.13
2502,坠落,להיפצע,verbs,1.02
2503,海军,צבא,nouns,3.61
2504,海滩,ים,nouns,2.42
2505,天神,רוח,nouns,0.55
2506,饮品,בירה,nouns,2.27
2507,顶,צד,nouns,0.39
2508,忽略,לחקור,verbs,0.25
2509,比较,לנתח,verbs,2.37
2510,蜥蜴,נחש,nouns,1.41
2511,肚子,וריד,nouns,0.54
2512,气旋,טייפון,nouns,3.79
2513,大,לאומי,adjectives,0.35
2514,董事,בוס,nouns,4.93
2515,咖啡,פול,nouns,0.88
2516,满足,לרצות,verbs,3.78
2517,页,פסקה,nouns,1.6
2518,退出,לדחות,verbs,0.61
2519,神话,סאטירה,nouns,0.73
2520,球,תחפושת,nouns,0.24
2521,容易,מורכב,adjectives,0.54
2522,闻名,מפורסם,adjectives,3.97
2523,错误,מדוייק,adjectives,0.59
2524,除法,כפל,nouns,1.41
2525,参加竞选,קוף,nouns,0.0
2526,老鼠,הנהלה,nouns,0.0
2527,小心地,באופן מסוכן,adverbs,0.63
2528,机械师,עובד,nouns,2.13
2529,沙文主义,דעה קדומה,nouns,1.89
2530,段,מכתב,nouns,0.89
2531,崇拜,להתפעל,verbs,4.22
2532,种子,מטחנה,nouns,0.54
2533,确定,לחזות,verbs,0.59
2534,饥饿,עייף,adjectives,0.68
2535,很少地,לרוב,adverbs,1.03
2536,穿,לשחוק,verbs,0.39
2537,牛排,בשר,nouns,3.79
2538,歌曲,מבצע,nouns,0.58
2539,歌剧,קולנוע,nouns,1.46
2540,燕麦,שדה,nouns,1.13
2541,路,כביש מהיר,nouns,3.96
2542,酒店,דירה,nouns,1.17
2543,怪诞,מוזר,adjectives,4.97
2544,演员,פאון,nouns,0.6
2545,贫困,עושר,nouns,0.5
2546,喜悦,גאווה,nouns,1.91
2547,带来,להחזיר,verbs,0.65
2548,主意,דעה,nouns,3.21
2549,卖,להזכיר,verbs,0.0
2550,自行车,עור,nouns,0.1
2551,汽车,גשר,nouns,0.49
2552,原子,פחמן,nouns,1.13
2553,州,בית,nouns,0.65
2554,状态,ילד,nouns,0.14
2555,枪,סכין,nouns,1.94
2556,谨慎地,בנימוס,adverbs,0.42
2557,晚上,שחר,nouns,0.8
2558,选择,להחליט,verbs,3.56
2559,意外,אסון,nouns,3.6
2560,总统,פוליטיקאי,nouns,2.59
2561,麻布,בד,nouns,2.55
2562,电动机,סירה,nouns,0.79
2563,冷,רגיל,adjectives,0.2
2564,部,סולטן,nouns,0.55
2565,胎压计,מכונית,nouns,0.54
2566,学生,פרופסור,nouns,0.73
2567,安慰,בטיחות,nouns,0.49
2568,烟斗,סיגר,nouns,2.36
2569,攻击,בליץ,nouns,3.38
2570,简直,לכאורה,adverbs,0.9
2571,愉快,נפלא,adjectives,2.83
2572,不清楚,מעורפל,adjectives,3.89
2573,高高兴兴地,בבטחה,adverbs,0.43
2574,价值观,אמונה,nouns,2.88
2575,作者,יוצר,nouns,3.95
2576,奇怪,ערמומי,adjectives,0.67
2577,最近,בזמן האחרון,adverbs,5.63
2578,钥匙,מנעול,nouns,1.16
2579,复诊,מטופל,nouns,0.73
2580,母马,סוס,nouns,3.42
2581,一般,באופן שגרתי,adverbs,4.2
2582,不公平地,ללא הגיון,adverbs,2.25
2583,头,אף,nouns,0.79
2584,创造者,מחבר,nouns,3.95
2585,智力,מיומנות,nouns,1.98
2586,豆,קפה,nouns,0.88
2587,普通,קר,adjectives,0.2
2588,给予,להכחיש,verbs,0.05
2589,老师,עוזר,nouns,1.21
2590,坏,מצוין,adjectives,0.39
2591,电池,תיאטרון,nouns,0.0
2592,杀,להגן,verbs,0.58
2593,新,ישן,adjectives,0.64
2594,妻子,אמבטיה,nouns,0.05
2595,必须,חיוני,adjectives,5.28
2596,弱,חזק,adjectives,0.5
2597,冬天,עונה,nouns,1.98
2598,在别处,בבית,adverbs,0.73
2599,靠不住的,ערמומי,adjectives,2.09
2600,到达,לעזוב,verbs,0.58
2601,文章,שיעורי בית,nouns,1.3
2602,提醒,להגיד,verbs,2.31
2603,班,צבא,nouns,1.27
2604,英雄,גיבורה,nouns,3.8
2605,军士,אקדח,nouns,0.34
2606,立即,בקרוב,adverbs,1.81
2607,宫殿,גורד שחקים,nouns,1.03
2608,弱,חריף,adjectives,0.1
2609,好心地,בנדיבות,adverbs,2.57
2610,停,להזהיר,verbs,0.49
2611,坚固地,ברכות,adverbs,0.2
2612,顽固,טיפש,adjectives,1.27
2613,教学大纲,מבחן,nouns,0.78
2614,轻蔑,לעגני,adjectives,4.08
2615,赛跑运动员,ספורטאי,nouns,2.79
2616,电影,פופקורן,nouns,0.72
2617,骨头,ברך,nouns,1.43
2618,覆盖着,לבוש,adjectives,2.68
2619,公开地,בעוצמה,adverbs,0.8
2620,谦逊地,בגאווה,adverbs,0.72
2621,威胁,סכנה,nouns,3.87
2622,学费,מלגה,nouns,1.02
2623,新郎,כלה,nouns,1.13
2624,内疚,רע,adjectives,0.49
2625,编剧,טלויזיה,nouns,0.93
2626,鸡,סעודה,nouns,0.54
2627,砖,קיר,nouns,1.17
2628,剧院,סוללה,nouns,0.0
2629,床,כיסא,nouns,0.78
2630,决定,לשפוט,verbs,2.45
2631,声明放弃,לנשל,verbs,1.69
2632,音系学,מסך,nouns,0.15
2633,迅速,זריז,adjectives,5.2
2634,肌肉,לשון,nouns,1.11
2635,准确地,נמרצות,adverbs,0.97
2636,方法,אופן,nouns,4.43
2637,战斗,לוחמנות,nouns,3.05
2638,携带,להביא,verbs,2.5
2639,唇,פה,nouns,1.93
2640,蟋蟀,אוהד,nouns,0.3
2641,锚,סירה,nouns,0.97
2642,培根,שעועית,nouns,0.5
2643,伤害,לתקוף,verbs,3.04
2644,疯狂,שמח,adjectives,0.78
2645,瓶子,פחית,nouns,2.22
2646,瘦,צנום,adjectives,4.58
2647,尖,חלק,adjectives,0.54
2648,迷惑,ללמוד,verbs,0.3
2649,雾气,ענן,nouns,1.95
2650,脆弱,חסר אונים,adjectives,2.6
2651,谨慎地,בקפידה,adverbs,4.08
2652,强大,חזק,adjectives,4.83
2653,狡猾,פיקח,adjectives,2.4
2654,牙,פטיש,nouns,0.0
2655,绑,לשזור,verbs,2.6
2656,雕塑,אנדרטה,nouns,4.73
2657,描绘,להודיע,verbs,0.45
2658,安排,לצרוך,verbs,0.15
2659,乏味,מוגן,adjectives,0.1
2660,增加,לצמוח,verbs,1.16
2661,战役,כיבוש,nouns,1.23
2662,朋友,אורח,nouns,2.64
2663,手机,טלפון,nouns,4.42
2664,肩,גוף,nouns,1.17
2665,从不,בכנות,adverbs,0.0
2666,银行家,פרקליט,nouns,0.69
2667,跛行,ללכת,verbs,2.02
2668,沙漠,דיונה,nouns,2.46
2669,得到,לשים,verbs,0.4
2670,走,להיכנס,verbs,0.8
2671,蚕,זחל,nouns,2.2
2672,讨厌,להינות,verbs,0.29
2673,羞愧,צער,nouns,1.05
2674,手,אגודל,nouns,1.03
2675,赶,להזדרז,verbs,4.65
2676,跟随,לרדוף,verbs,2.41
2677,谦逊地,בעוני,adverbs,0.25
2678,正常,משונה,adjectives,0.59
2679,创建,לצלול,verbs,0.1
2680,意识,עניין,nouns,2.06
2681,组织,לאסוף,verbs,1.54
2682,讨论,טיעון,nouns,2.92
2683,车,מונית,nouns,3.08
2684,避免,לדחות,verbs,1.18
2685,军队,יחידה,nouns,1.27
2686,告诉,להזכיר,verbs,2.31
2687,身体,דם,nouns,1.01
2688,锤,שיניים,nouns,0.0
2689,骨头,לסת,nouns,1.62
2690,手稿,מאמר,nouns,2.74
2691,词,ספרות,nouns,1.75
2692,足球,כיף,nouns,0.45
2693,排外主义,גזענות,nouns,2.79
2694,忘记,להזכיר,verbs,0.68
2695,奇怪,משונה,adjectives,4.63
2696,乐队,תזמורת,nouns,3.85
2697,原谅,לקבל,verbs,2.02
2698,费用,תשלום,nouns,2.41
2699,低语,לדבר,verbs,2.6
2700,不耐烦地,בערך,adverbs,0.1
2701,犯罪者,פושע,nouns,5.21
2702,午饭,כריך,nouns,0.89
2703,腿,גף,nouns,2.45
2704,刺激,לנחש,verbs,0.1
2705,游行,המון,nouns,0.94
2706,朋友,מורה,nouns,0.86
2707,拉比,מורה,nouns,1.47
2708,审查,חופש,nouns,0.55
2709,讽刺,מיתוס,nouns,0.73
2710,有时候,לעיתים קרובות,adverbs,1.94
2711,门,מסדרון,nouns,0.88
2712,克服,לשלוט,verbs,0.49
2713,打扰,להחמיר,verbs,0.1
2714,获胜者,מועמד,nouns,1.69
2715,杀,לתלות,verbs,2.25
2716,诈骗,פשע,nouns,2.56
2717,沟通,להתפלל,verbs,0.97
2718,季节,חורף,nouns,1.98
2719,想,לבחור,verbs,0.96
2720,尖叫,לצרוח,verbs,3.92
2721,无礼,ביקורתי,adjectives,0.82
2722,同音词,פוטופון,nouns,0.5
2723,装饰,מעטפה,nouns,0.52
2724,闻名,לאומי,adjectives,0.6
2725,愉快,משמח,adjectives,4.21
2726,这里,עכשיו,adverbs,2.45
2727,离开,להמתין,verbs,0.38
2728,毛毛虫,תולעת משי,nouns,2.2
2729,早餐,בייקון,nouns,0.92
2730,大厦,פסל,nouns,0.25
2731,抖动,לבחוש,verbs,2.15
2732,收费,לתעב,verbs,0.4
2733,手稿,ספר,nouns,1.25
2734,古老,חדש,adjectives,0.59
2735,篮子,כדור,nouns,0.55
2736,无辜,חופשי,adjectives,0.15
2737,破产,כישלון,nouns,1.21
2738,戒除,להתחיל,verbs,0.5
2739,分化,למות,verbs,0.43
2740,暖炉,מטרייה,nouns,0.6
2741,床,שמיכה,nouns,0.74
2742,充分,בעיקרון,adverbs,0.78
2743,房间,אמבטיה,nouns,0.7
2744,女人,ג'ינס,nouns,0.34
2745,大小,עומק,nouns,1.36
2746,强大,עוצמתי,adjectives,4.83
2747,美,סונטה,nouns,0.24
2748,脑,עצם,nouns,1.26
2749,小牛,שור,nouns,2.89
2750,听,לציית,verbs,2.96
2751,家伙,שותף,nouns,1.83
2752,使心烦,לדכא,verbs,1.58
2753,铝,מתכת,nouns,2.6
2754,出现,להפוך,verbs,0.23
2755,工作,הנהלה,nouns,0.82
2756,基质,מולקולה,nouns,0.51
2757,女王,דבורה,nouns,0.6
2758,狐狸,כלב,nouns,1.31
2759,大气层,אוזון,nouns,3.02
2760,灵活,רפוי,adjectives,1.76
2761,描绘,להחליט,verbs,0.2
2762,鼻子,ראש,nouns,0.79
2763,枪,מחברת,nouns,0.0
2764,滑雪板,סקי,nouns,2.13
2765,任务,קש,nouns,0.0
2766,偷,לקחת,verbs,1.65
2767,不诚实,ישר,adjectives,0.55
2768,喉,לשון,nouns,0.96
2769,粗鲁,תוקפני,adjectives,1.19
2770,接受,למסור,verbs,0.5
2771,和蔼,אכזרי,adjectives,0.4
2772,音乐,מנגינה,nouns,3.62
2773,假日,לוח שנה,nouns,1.02
2774,国民,מוכר,adjectives,0.6
2775,感觉到,להאמין,verbs,1.21
2776,汽车,רחוב,nouns,0.69
2777,态度,אמון,nouns,0.98
2778,行政管理,הנהלה,nouns,3.01
2779,检察官,עורך דין,nouns,1.98
2780,允许,להפריך,verbs,0.1
2781,字,רמז,nouns,0.44
2782,电梯,תיבה,nouns,0.3
2783,日落,זריחה,nouns,1.27
2784,中性,הססני,adjectives,0.92
2785,衬衣,קרדיגן,nouns,1.68
2786,成为,להשיג,verbs,0.52
2787,尝试,להצליח,verbs,0.98
2788,死气沉沉的,באושר,adverbs,0.33
2789,牛,סוס,nouns,1.07
2790,古怪,מוזר,adjectives,5.13
2791,覆盖着的,חשוף,adjectives,0.59
2792,放走,לתפוס,verbs,0.64
2793,照耀,לזהור,verbs,3.96
2794,沙发,מיטה,nouns,1.56
2795,僧侣,כומר,nouns,3.08
2796,非自然,באופן שלילי,adverbs,0.59
2797,运送,לשאת,verbs,1.68
2798,帽子,מעיל,nouns,1.19
2799,月亮,פלנטה,nouns,2.37
2800,参与,להגיד,verbs,0.3
2801,武士,גבר,nouns,1.18
2802,白兰地,יין,nouns,2.51
2803,标识,מועדון,nouns,0.0
2804,小孩,נערה,nouns,3.46
2805,注意,זהירות,nouns,2.93
2806,分离,לפצל,verbs,2.59
2807,一餐,מותן,nouns,0.4
2808,成年人,ילד,nouns,0.97
2809,熵,מידע,nouns,1.08
2810,收集,לנער,verbs,0.15
2811,开心,משוגע,adjectives,0.91
2812,家伙,חתיך,nouns,1.21
2813,目标,חץ,nouns,1.11
2814,枫木,אלון,nouns,2.18
2815,内疚,כן,adjectives,0.34
2816,威士忌酒,שמפניה,nouns,2.38
2817,城堡,קיר,nouns,0.97
2818,出口,זכות בחירה,nouns,0.18
2819,营地,ביתן,nouns,0.74
2820,尊严,סמל,nouns,0.65
2821,娱乐,להנות,verbs,1.35
2822,大概,בהחלט,adverbs,0.75
2823,罕见,יוצא דופן,adjectives,4.39
2824,忘记,לשמור,verbs,0.54
2825,蓝色,אדום,adjectives,0.84
2826,读,לנשוך,verbs,0.0
2827,非常好,מלוכלך,adjectives,0.15
2828,严肃,מצחיק,adjectives,0.45
2829,病原,חיידק,nouns,3.38
2830,伪装,להסוות,verbs,3.5
2831,碱,חומצה,nouns,0.73
2832,新,חדש,adjectives,3.06
2833,旧,מעורבב,adjectives,0.0
2834,疼痛,נזק,nouns,1.31
2835,财富,תהילה,nouns,1.35
2836,草,טחב,nouns,1.72
2837,罗盘,פיל,nouns,0.04
2838,奇怪,רגיל,adjectives,0.55
2839,山羊,פרה,nouns,1.07
2840,巧克力,פאי,nouns,0.72
2841,奖章,מאמנים,nouns,0.55
2842,携带,לקחת,verbs,2.36
2843,扭曲,מעוקל,adjectives,3.98
2844,卧室,מיטה,nouns,1.11
2845,平淡,מלהיב,adjectives,0.54
