ID,CMN,POL,PoS,score
2164,窄小,szeroki,adjectives,0.14
2165,偏压,opinia,nouns,0.34
2166,自行车,sypialnia,nouns,0.0
2167,赶,śpieszyć się,verbs,4.5
2168,跳跃,płot,nouns,0.1
2169,智力,umiejętność,nouns,2.28
2170,暖炉,parasol,nouns,0.04
2171,种子,młyn,nouns,0.14
2172,甲板,łódź,nouns,1.47
2173,蚂蚁,mucha,nouns,0.92
2174,微妙地,obecnie,adverbs,0.0
2175,作家,powieść,nouns,0.34
2176,杂乱无章,zorganizowany,verbs,0.18
2177,批评,zauważyć,verbs,1.17
2178,男人,wujek,nouns,1.98
2179,原谅,akceptować,verbs,2.47
2180,呛,oddychać,verbs,0.32
2181,肯定,pewny siebie,adjectives,3.75
2182,实质上,koniecznie,adverbs,0.73
2183,控制,zatrzymywać,verbs,0.39
2184,大风,koc,nouns,0.0
2185,弱,pikantny,adjectives,0.0
2186,容易,trudny,adjectives,0.09
2187,骨头,szyja,nouns,0.34
2188,培根,śniadanie,nouns,0.78
2189,监狱,pręt,nouns,0.33
2190,拒绝,odmawiać,verbs,4.23
2191,男孩,dziecko,nouns,3.09
2192,早餐,wieczerza,nouns,0.46
2193,创造者,wytwórca,nouns,3.33
2194,门口,wyjście,nouns,3.67
2195,通常,codziennie,adverbs,2.49
2196,电梯,holować,verbs,1.42
2197,保留,niszczyć,verbs,0.09
2198,士兵,pokój,nouns,0.2
2199,军士,pistolet,nouns,0.19
2200,行星,księżyc,nouns,2.06
2201,有趣,poważny,adjectives,0.0
2202,开始,rezygnować,verbs,0.0
2203,次要,istotny,adjectives,0.09
2204,服装,bal,nouns,0.24
2205,换算,wysokość,nouns,0.24
2206,毛,kobieta,nouns,0.0
2207,罪人,święty,nouns,0.04
2208,书,temat,nouns,1.35
2209,决定,wybierać,verbs,4.16
2210,警察,drugi pilot,nouns,0.04
2211,田,owies,nouns,0.82
2212,眼睛,brew,nouns,0.57
2213,学习,słuchać,verbs,0.53
2214,相反,unikatowy,adjectives,0.65
2215,礼物,pisarz,nouns,0.0
2216,汽车,most,nouns,0.09
2217,喝,wznosić,verbs,0.1
2218,糟糕,pokornie,adverbs,0.05
2219,科学家,pielęgniarka,nouns,0.09
2220,苗条,szczupły,adjectives,4.88
2221,膝盖,ramię,nouns,0.48
2222,妻子,słoma,nouns,0.09
2223,漫游,wędrować,verbs,3.55
2224,任务,praca,nouns,3.18
2225,嫌疑人,mężczyzna,nouns,0.53
2226,井然有序,niechlujny,adjectives,0.14
2227,个人,prywatny,adjectives,4.83
2228,恐吓,nawiedzać,verbs,0.83
2229,沐浴,żona,nouns,0.0
2230,费用,pensja,nouns,1.01
2231,年龄,piękno,nouns,0.18
2232,工人,mechanik,nouns,2.28
2233,笨,inteligentny,adjectives,0.09
2234,杜松子酒,alkohol,nouns,3.81
2235,神经,trzewia,nouns,0.34
2236,服从,słuchać,verbs,2.35
2237,溶解,wymieszać,verbs,0.93
2238,木,papier,nouns,0.68
2239,汽车,rower,nouns,0.43
2240,妻子,cent,nouns,0.23
2241,珍爱,zachować,verbs,0.28
2242,外国人,tłumacz,nouns,0.38
2243,守规矩,przestrzegać,verbs,3.35
2244,攻击,drażnić,verbs,0.63
2245,工业,biznes,nouns,1.6
2246,鼻子,głowa,nouns,0.54
2247,坚固地,spokojnie,adverbs,0.53
2248,机灵,przebiegły,adjectives,1.3
2249,走廊,hol,nouns,4.83
2250,状况,sytuacja,nouns,4.99
2251,警告,zatrzymywać,verbs,0.24
2252,湖,chmura,nouns,0.24
2253,协议,argument,nouns,0.43
2254,胎压计,samochód,nouns,0.14
2255,推,winić,verbs,0.18
2256,豆,bekon,nouns,0.2
2257,存在,zwycięzca,nouns,0.05
2258,合作,złączyć,verbs,0.82
2259,速度,słup,nouns,0.0
2260,手腕,ramię,nouns,0.55
2261,激情,emocja,nouns,2.74
2262,房屋,klucz,nouns,0.1
2263,容易,duży,adjectives,0.0
2264,谢绝,akceptować,verbs,0.18
2265,枫树,drzewo,nouns,3.53
2266,享受,zabawiać,verbs,0.65
2267,穿,erodować,verbs,0.14
2268,毯子,łóżko,nouns,0.29
2269,豆,ryż,nouns,0.53
2270,映像,wizerunek,nouns,2.94
2271,不久,natychmiast,adverbs,1.61
2272,搅拌,wymieszać,verbs,3.58
2273,决定,konkludować,verbs,2.78
2274,橡木,klon,nouns,2.08
2275,发送,uczęszczać,verbs,0.0
2276,钥匙,zamek,nouns,0.61
2277,才能,umiejętność,nouns,4.14
2278,布料,ubrania,nouns,1.27
2279,国民,duży,adjectives,0.0
2280,杂,stary,adjectives,0.05
2281,贫穷,samotny,adjectives,0.58
2282,侵蚀,nosić,verbs,0.14
2283,牙医,pułkownik,nouns,0.09
2284,美丽,wspaniały,adjectives,3.48
2285,布,ubrania,nouns,1.73
2286,这里,teraz,adverbs,1.55
2287,静脉,żołądek,nouns,0.29
2288,建造,robić,verbs,2.98
2289,说话,słyszeć,verbs,0.63
2290,律师,oskarżyciel,nouns,1.43
2291,地带,obszar,nouns,5.02
2292,发抖,zamarzać,verbs,0.43
2293,神圣,cenny,adjectives,1.18
2294,经济,ekosystem,nouns,0.05
2295,受害者,telefon,nouns,0.0
2296,获得,zbierać,verbs,2.08
2297,生存,żyć,verbs,2.78
2298,哭,śmiać się,verbs,0.23
2299,大脑,umysł,nouns,4.03
2300,驾驶,zatrzymywać,verbs,0.04
2301,读,rozumieć,verbs,0.72
2302,分析,porównywać,verbs,3.46
2303,不耐烦地,pobieżnie,adverbs,0.6
2304,观察,oglądać,verbs,4.48
2305,容易地,pobieżnie,adverbs,0.15
2306,权利,sprawiedliwość,nouns,0.93
2307,锌,złoto,nouns,0.61
2308,稍微地,pobieżnie,adverbs,1.55
2309,高速公路,zadanie,nouns,0.05
2310,优胜者,mistrz,nouns,5.17
2311,轻轻地,jasno,adverbs,0.15
2312,咖啡,ziarnko,nouns,0.73
2313,飞机,lotnisko,nouns,1.1
2314,退出,absorbować,verbs,0.0
2315,金,cynk,nouns,0.61
2316,昆虫,pszczoła,nouns,2.9
2317,倒,kapać,verbs,1.06
2318,晚上,świt,nouns,0.04
2319,系统,wada,nouns,0.05
2320,便条,zlecenie,nouns,0.53
2321,差数,reszta,nouns,1.98
2322,使气馁,zachęcać,verbs,0.18
2323,海军,armia,nouns,3.71
2324,扼杀,spalić,verbs,0.24
2325,激进,gwałtowny,adjectives,2.22
2326,知觉,wizja,nouns,1.23
2327,得到,kłaść,verbs,0.0
2328,批评,niegrzeczny,adjectives,0.62
2329,貂,olej,nouns,0.0
2330,掩盖,zakopać,verbs,2.58
2331,任务,kobieta,nouns,0.0
2332,保存,zbierać,verbs,4.63
2333,米,jard,nouns,2.33
2334,显然,lokalnie,adverbs,0.0
2335,赛跑,filozof,nouns,0.0
2336,检察官,prawnik,nouns,1.43
2337,假,sztuczny,adjectives,3.7
2338,意料之外,nieprzewidziany,adjectives,5.14
2339,自豪,biedny,adjectives,0.15
2340,武器,hełm,nouns,0.43
2341,降落,obniżać,verbs,0.89
2342,接受,dostarczać,verbs,0.0
2343,性能,kamea,nouns,0.2
2344,父亲,mężczyzna,nouns,2.38
2345,全球化,wiza,nouns,0.36
2346,飑,wiatr,nouns,3.01
2347,带来,nieść,verbs,2.65
2348,合唱,piosenkarz,nouns,0.92
2349,牛,owca,nouns,1.33
2350,不需要,konieczny,adjectives,0.09
2351,扫帚,kurz,nouns,0.28
2352,判决书,rozprawa,nouns,1.77
2353,正义,prawo,nouns,0.93
2354,同意,zadowalać,verbs,1.4
2355,傍晚,zmierzch,nouns,4.75
2356,墙壁,dekoracja,nouns,0.52
2357,爬,wędrować,verbs,0.73
2358,天神,diabeł,nouns,0.1
2359,新教,chrześcijanin,nouns,2.41
2360,伤害,atakować,verbs,2.69
2361,红色,niebieski,adjectives,0.09
2362,家伙,przyjaciel,nouns,1.19
2363,电,futerał,nouns,0.04
2364,碳,atom,nouns,0.92
2365,实现,próbować,verbs,0.61
2366,孩子,chłopiec,nouns,3.43
2367,争论,przekonywać,verbs,2.92
2368,正牙医生,doktor,nouns,3.52
2369,简单,sztywny,adjectives,0.09
2370,流行,znany,adjectives,4.37
2371,迅速,szybki,adjectives,5.35
2372,鸢尾花,acetylocholina,nouns,0.3
2373,晚餐,śniadanie,nouns,0.66
2374,电话,budka,nouns,0.65
2375,相机,prezydent,nouns,0.0
2376,保龄球选手,kręglarstwo,nouns,1.5
2377,刀,pistolet,nouns,1.4
2378,组织,stać się,verbs,0.05
2379,开心,rozzłoszczony,adjectives,0.05
2380,空气,hel,nouns,1.92
2381,叶,drzewo,nouns,0.48
2382,护士,naukowiec,nouns,0.09
2383,卖,pożyczać,verbs,0.28
2384,喜悦,duma,nouns,1.66
2385,冰,woda,nouns,1.59
2386,蜜蜂,insekt,nouns,2.9
2387,捕获,naśladować,verbs,0.0
2388,沙子,stopa,nouns,0.04
2389,碗,ogon,nouns,0.0
2390,无知,inteligencja,nouns,0.0
2391,年轻,szczęśliwy,adjectives,0.2
2392,财富,sława,nouns,0.8
2393,毁灭,robić,verbs,0.09
2394,争论,porozumienie,nouns,0.43
2395,天文学家,galaktyka,nouns,0.64
2396,奇怪,cudaczny,adjectives,4.57
2397,薄荷,guma,nouns,0.47
2398,防守,zabić,verbs,0.33
2399,儿童,chłopiec,nouns,3.09
2400,熵,informacja,nouns,0.38
2401,说,weryfikować,verbs,0.25
2402,宫殿,wieżowiec,nouns,0.68
2403,身体,ramię,nouns,0.97
2404,说服,argumentować,verbs,2.92
2405,光,klawiatura,nouns,0.04
2406,力量,moc,nouns,3.84
2407,原谅,rozumieć,verbs,1.32
2408,犯罪,pogwałcenie,nouns,3.48
2409,制服,udusić,verbs,0.6
2410,恐龙,słoń,nouns,0.34
2411,失去,odejmować,verbs,1.61
2412,目标,zwycięzca,nouns,0.1
2413,身体,żołądek,nouns,1.36
2414,拯救,ocalać,verbs,5.17
2415,乞求,prosić,verbs,4.25
2416,參加,odchodzić,verbs,0.18
2417,运动员,biegacz,nouns,2.94
2418,拒绝,unikać,verbs,1.77
2419,黎明,pistolet,nouns,0.0
2420,停,ostrzegać,verbs,0.24
2421,穆斯林,biskup,nouns,0.41
2422,制服,robótka szydełkowa,nouns,0.23
2423,高高兴兴地,śmiertelnie,adverbs,0.18
2424,徽章,szklanka,nouns,0.1
2425,词元,sylaba,nouns,0.65
2426,容器,mysz,nouns,0.05
2427,想,wybierać,verbs,1.06
2428,皮炎,egzema,nouns,3.17
2429,歌剧,kino,nouns,1.1
2430,喝醉,trzeźwy,adjectives,0.09
2431,滑雪,snowboard,nouns,1.63
2432,好心地,chojnie,adverbs,2.42
2433,承认,mówić,verbs,0.53
2434,失去,dostać,verbs,0.18
2435,高兴,szczęśliwy,adjectives,5.13
2436,台风,cyklon,nouns,3.74
2437,模式,moda,nouns,0.1
2438,管理,mysz,nouns,0.05
2439,给,kłaść,verbs,0.34
2440,搏斗,bawić się,verbs,0.18
2441,搅拌,trząść,verbs,1.96
2442,理解,pojmować,verbs,4.63
2443,胜利者,mężczyzna,nouns,0.33
2444,建造,destrukcja,nouns,0.14
2445,明亮地,lekko,adverbs,0.15
2446,点菜,menu,nouns,1.23
2447,酸,baza,nouns,0.14
2448,裙子,zegarek,nouns,0.05
2449,糟糕,świetny,adjectives,0.04
2450,汽车,powóz,nouns,2.25
2451,宇宙,niebo,nouns,2.03
2452,疯狂,niepoczytalny,adjectives,5.14
2453,困难,łatwy,adjectives,0.09
2454,和平,szczęście,nouns,2.13
2455,给,wyrzec się,verbs,0.05
2456,保龄,kręglarz,nouns,1.5
2457,小,ogromny,adjectives,0.09
2458,大致,marginalnie,adverbs,1.55
2459,牛肉,mięso,nouns,3.97
2460,白兰地酒,alkohol,nouns,3.47
2461,照耀,błyszczeć,verbs,4.21
2462,微妙地,głośno,adverbs,0.0
2463,忘记,wiedzieć,verbs,0.0
2464,名誉,bogactwo,nouns,0.8
2465,日常,normalnie,adverbs,2.49
2466,乱,brzydki,adjectives,0.92
2467,帮手,pokojówka,nouns,2.02
2468,频繁,nieświadomy,adjectives,0.04
2469,竞争,skończyć,verbs,0.05
2470,女人,mężczyzna,nouns,0.28
2471,喷气式飞机,samolot,nouns,3.82
2472,蔗糖,węglowodan,nouns,2.83
2473,基督教,protestant,nouns,2.41
2474,字,gazeta,nouns,1.02
2475,灌木,kwiat,nouns,0.87
2476,城堡,ściana,nouns,0.28
2477,香槟,whisky,nouns,1.78
2478,立即,niebawem,adverbs,1.61
2479,星系,astronom,nouns,0.64
2480,逃跑,uciec,verbs,5.67
2481,米饭,fasola,nouns,0.53
2482,汽车,wąż (ogrodowy),nouns,0.29
2483,圣歌,słoma,nouns,0.0
2484,宣告,proklamować,verbs,4.42
2485,手提电脑,notebook,nouns,4.64
2486,埋葬,umrzeć,verbs,1.69
2487,契约,porozumienie,nouns,4.72
2488,最近,nowy,adjectives,3.17
2489,鸡,stek,nouns,0.49
2490,偷,porwać,verbs,1.13
2491,草地,pastwisko,nouns,3.86
2492,海岸,plaża,nouns,3.2
2493,坏,świetny,adjectives,0.0
2494,收到,akceptować,verbs,1.35
2495,肾,organ,nouns,3.93
2496,灵活,ruchomy,adjectives,0.92
2497,离开,pojawić się,verbs,0.25
2498,勺子,filiżanka,nouns,0.24
2499,大致,niezawodnie,adverbs,0.19
2500,未成熟的,dorosły,adjectives,0.18
2501,存款,ciułacz,nouns,0.73
2502,剑,środowisko,nouns,0.18
2503,球拍,piłka,nouns,0.28
2504,搜索,wędrować,verbs,0.79
2505,运送,akceptować,verbs,0.0
2506,灵魂,brat,nouns,0.15
2507,新鲜,szeroki,adjectives,0.05
2508,出租车,autobus,nouns,1.69
2509,乙酰胆碱,tęczówka,nouns,0.3
2510,肌肉,język ,nouns,1.06
2511,成年人,niemowlę,nouns,0.28
2512,清洁,nieskazitelny,adjectives,5.11
2513,一次,dwukrotnie,adverbs,0.32
2514,海军,wyspa,nouns,0.1
2515,考古学,antropologia,nouns,1.21
2516,衣服,sukno,nouns,1.27
2517,自豪,arogancki,adjectives,2.56
2518,赢,powieść się,verbs,3.17
2519,危险,dolegliwość,nouns,0.38
2520,帽子,pudełko,nouns,0.1
2521,减少,obniżać,verbs,4.36
2522,忘记,zatrzymywać,verbs,0.39
2523,制作者,twórca,nouns,3.33
2524,岩石,kopalnia,nouns,1.21
2525,眼睛,łza,nouns,0.53
2526,嘴巴,nos,nouns,0.34
2527,火鸡,kura,nouns,2.74
2528,声明,ogłaszać,verbs,4.64
2529,加,mnożyć,verbs,0.33
2530,开心,zadowolony,adjectives,5.13
2531,冰雹,deszcz,nouns,1.23
2532,花朵,fiołek,nouns,3.42
2533,平面,płachta,nouns,0.39
2534,树枝,ramię,nouns,0.15
2535,欲望,chcieć,verbs,4.74
2536,走,wysyłać,verbs,0.04
2537,勺子,sok,nouns,0.0
2538,雇主,robotnik,nouns,0.43
2539,建立,dodawać,verbs,0.95
2540,古老,nowy,adjectives,0.09
2541,光标,slajd,nouns,0.09
2542,危险地,ostrożnie,adverbs,0.18
2543,脏,klejący,adjectives,1.17
2544,天空,marzenie,nouns,0.09
2545,肚子,kurs,nouns,0.0
2546,香槟酒,piwo,nouns,1.93
2547,毯,wichura,nouns,0.0
2548,对乙酰氨基酚,bronchit,nouns,0.34
2549,合法,nielegalny,adjectives,0.09
2550,公主,ciastko,nouns,0.0
2551,高兴,obłąkany,adjectives,0.28
2552,监狱,wybór,nouns,0.1
2553,减去,stracić,verbs,1.61
2554,自豪,radość,nouns,1.66
2555,歌曲,wykonawca,nouns,0.63
2556,鸡尾酒,alkohol,nouns,2.98
2557,电梯,samochód,nouns,0.0
2558,课程,akcja,nouns,0.63
2559,付款,notatka,nouns,0.55
2560,国王,władca,nouns,5.25
2561,同音词,fotofon,nouns,0.05
2562,灵活,luźny,adjectives,1.66
2563,床,pokój,nouns,0.2
2564,猎狗,lis,nouns,0.46
2565,乱七八糟,uporządkowany,adjectives,0.14
2566,瞇,razić,verbs,0.18
2567,谨慎地,ostrożnie,adverbs,4.38
2568,狭窄,biały,adjectives,0.18
2569,显然,pobieżnie,adverbs,0.38
2570,干旱,woda,nouns,0.04
2571,信封,dekoracja,nouns,0.42
2572,洗手间,kuchnia,nouns,0.39
2573,组合,unia,nouns,1.82
2574,有时,kiedykolwiek,adverbs,0.93
2575,时装,tryb,nouns,0.1
2576,听见,mówić,verbs,0.63
2577,沐浴,balon,nouns,0.0
2578,开始,iść,verbs,0.09
2579,带来,narzekać,verbs,0.09
2580,总统,burmistrz,nouns,1.85
2581,甘蔗,konsorcjum,nouns,0.05
2582,可悲的是,szalenie,adverbs,0.09
2583,查询,myśleć,verbs,0.29
2584,肉,kanapka,nouns,0.18
2585,教,karać,verbs,0.28
2586,不诚实,prawdomówny,adjectives,0.04
2587,公寓,hotel,nouns,0.96
2588,预测,zachmurzenie,nouns,0.15
2589,心情,gniew,nouns,1.88
2590,罐子,filiżanka,nouns,1.7
2591,新,starożytny,adjectives,0.09
2592,仁慈地,łagodnie,adverbs,2.78
2593,未拿定主意,neutralny,adjectives,1.37
2594,裂开,złamać się,verbs,2.6
2595,获得,ukraść,verbs,1.04
2596,车,samochód,nouns,5.61
2597,困难,prosty,adjectives,0.07
2598,沼泽,jezioro,nouns,0.53
2599,弯曲,zakrzywiony,adjectives,4.18
2600,攻击,ranić,verbs,2.69
2601,手臂,kość,nouns,0.68
2602,律师,galeria,nouns,0.0
2603,混乱,pokojowo,adverbs,0.0
2604,出口,prawo wyborcze,nouns,0.23
2605,稻草,zadanie,nouns,0.0
2606,玻璃,kryształ,nouns,1.46
2607,屋,stodoła,nouns,0.57
2608,扼杀,przytulić,verbs,0.0
2609,苏丹,ministerstwo,nouns,0.15
2610,判断,decydować,verbs,2.25
2611,窗口,dach,nouns,0.24
2612,荣誉,poważanie,nouns,1.22
2613,脸颊,język,nouns,0.3
2614,名单,ciąg,nouns,1.08
2615,打印,ignorować,verbs,0.0
2616,快,prędki,adjectives,5.15
2617,打扰,przeszkadzać,verbs,3.91
2618,伤心,dumny,adjectives,0.14
2619,演员,aktorka,nouns,2.98
2620,协议,warunek,nouns,1.94
2621,情感,nastrój,nouns,3.59
2622,漂移,płynąć,verbs,2.6
2623,逮捕,podejrzewać,verbs,0.78
2624,神经心理学,parapsychologia,nouns,0.87
2625,无知,regularny,adjectives,0.04
2626,鼻子,usta,nouns,0.34
2627,人们,przyjęcie,nouns,0.39
2628,帅哥,facet,nouns,0.81
2629,自由,wolność,nouns,4.64
2630,财富,bieda,nouns,0.1
2631,节奏,melodia,nouns,2.92
2632,娱乐,lubić,verbs,0.65
2633,母亲,żona,nouns,1.69
2634,平庸,niezły,adjectives,0.28
2635,失败,polegać,verbs,0.09
2636,相机,soczewka,nouns,0.53
2637,脖子,ramię,nouns,0.29
2638,国王,księżniczka,nouns,0.6
2639,词,literatura,nouns,2.0
2640,哥哥,syn,nouns,0.81
2641,人造,fałszywy,adjectives,3.7
2642,头,paznokieć,nouns,0.15
2643,真实地,perfekcyjnie,adverbs,0.68
2644,愉快,wspaniały,adjectives,2.77
2645,成功,wygrać,verbs,3.17
2646,种族主义,ksenofobia,nouns,2.89
2647,晚上,dzień,nouns,0.05
2648,偏见,szowinista,nouns,1.29
2649,脊柱,ciało,nouns,1.08
2650,车,miernik,nouns,0.14
2651,说话,uznawać,verbs,0.53
2652,自豪,smutny,adjectives,0.14
2653,考试,sylabus,nouns,0.38
2654,协议,dziura,nouns,0.0
2655,雪,lawina,nouns,1.86
2656,页,słowo,nouns,0.35
2657,伞,kaliber,nouns,0.04
2658,使气馁,zmartwić,verbs,1.83
2659,小提琴,instrument,nouns,3.93
2660,申请,aplikant,nouns,0.94
2661,冬天,pora roku,nouns,2.94
2662,政治家,policjant,nouns,0.1
2663,团结,dzielić,verbs,0.18
2664,身体,krew,nouns,0.71
2665,尺寸,trik,nouns,0.0
2666,模仿,ukazywać,verbs,0.28
2667,追逐,złapać,verbs,1.54
2668,建立,tworzyć,verbs,4.47
2669,扭曲,wygięty,adjectives,4.18
2670,放,wisieć,verbs,0.6
2671,足球,futbol,nouns,4.83
2672,玫瑰,motyl,nouns,0.38
2673,赢家,cel,nouns,0.1
2674,木,kamień,nouns,0.15
2675,伙伴,przyjaciel,nouns,4.25
2676,容器,butelka,nouns,2.71
2677,卖,iść,verbs,0.0
2678,完成,odroczyć,verbs,0.19
2679,朋友,facet,nouns,1.19
2680,煮熟的,zagotowany,adjectives,3.17
2681,蠢,tępy,adjectives,5.66
2682,屋顶,sufit,nouns,2.69
2683,母鸡,indyk,nouns,2.74
2684,蜥蜴,wąż ,nouns,0.76
2685,选举,odrzucić,verbs,0.2
2686,女英雄,bohater,nouns,4.4
2687,知道,rozumieć,verbs,2.84
2688,章节,noc,nouns,0.0
2689,徘徊,włóczyć się,verbs,3.55
2690,球状物,piłka,nouns,3.25
2691,地毯,dom,nouns,0.15
2692,盐,woda,nouns,0.48
2693,功课,esej,nouns,1.66
2694,雷达,dżojstik,nouns,0.04
2695,大灾难,wypadek,nouns,3.75
2696,似乎,stać się,verbs,0.39
2697,接受,uznawać,verbs,3.99
2698,皮肤,rower,nouns,0.0
2699,咬,czytać,verbs,0.0
2700,气旋,tajfun,nouns,3.74
2701,小巷,miska,nouns,0.0
2702,完结,skończony,adjectives,4.86
2703,罗盘,słoń,nouns,0.04
2704,航空,lot,nouns,2.5
2705,农药,szkodnik,nouns,0.93
2706,检查,skontrolować,verbs,4.02
2707,盒子,kapelusz,nouns,0.1
2708,自豪,silny,adjectives,0.68
2709,举起,wznosić,verbs,3.02
2710,校验,powiedzieć,verbs,0.25
2711,歌手,personel,nouns,0.23
2712,衬衣,kardigan,nouns,1.38
2713,水煮,gotowany,adjectives,3.17
2714,地板,sufit,nouns,0.1
2715,宽广,duży,adjectives,2.69
2716,大夫,doktor,nouns,5.11
2717,购买,dostać,verbs,0.51
2718,确定,ewakuować,verbs,0.0
2719,头,bark,nouns,0.44
2720,失去,zachować,verbs,0.09
2721,参议院,konstytucja,nouns,0.81
2722,玩,kłócić się,verbs,0.18
2723,饥饿,zmęczony,adjectives,0.38
2724,头盔,broń,nouns,0.43
2725,酒,wino,nouns,3.42
2726,关闭,wymiotować,verbs,0.0
2727,手术,serce,nouns,0.24
2728,轨,płot,nouns,0.3
2729,英雄,bohaterka,nouns,4.4
2730,肘,kość,nouns,0.69
2731,社会,kultura,nouns,1.24
2732,后部,ogon,nouns,3.06
2733,交换,waluta,nouns,0.65
2734,医生,profesor,nouns,1.1
2735,乐队,parada,nouns,0.28
2736,粘人,niepewny,adjectives,0.24
2737,奇怪,przebiegły,adjectives,0.32
2738,候选人,zwycięzca,nouns,1.44
2739,章,wybór,nouns,0.2
2740,乞求,pożyczać,verbs,1.0
2741,大海,rzeka,nouns,1.74
2742,插图,pęcherz,nouns,0.0
2743,牙医,ortodonta,nouns,4.04
2744,收缩,rosnąć,verbs,0.09
2745,雕塑家,posiadłość,nouns,0.0
2746,奴隶,służący,nouns,3.38
2747,雨,zamieć,nouns,0.92
2748,故事,temat ,nouns,0.77
2749,包皮,obrzezanie,nouns,0.92
2750,原木,wanna,nouns,0.0
2751,头,stopa,nouns,0.24
2752,发炎,dolegliwość,nouns,2.91
2753,碗,talerz,nouns,2.46
2754,旧,świeży,adjectives,0.09
2755,存在,drzwi,nouns,0.0
2756,绞刑,zabić,verbs,2.41
2757,贫穷,dumny,adjectives,0.15
2758,不公平地,nierozsądnie,adverbs,2.25
2759,菠萝,smartfon,nouns,0.0
2760,编织,wiązać,verbs,1.71
2761,谷物,pszenica,nouns,3.88
2762,抱怨,przynieść,verbs,0.09
2763,三角洲,morze,nouns,0.58
2764,男人,podejrzany,nouns,0.53
2765,重,duży,adjectives,0.82
2766,军官,deputowany,nouns,1.43
2767,小提琴,gitara,nouns,1.07
2768,膝盖,kość,nouns,1.38
2769,谦虚,czysty,adjectives,0.85
2770,柠檬,herbata,nouns,0.1
2771,偷偷,śmiało,adverbs,0.0
2772,震,trzęsienie ziemi,nouns,4.09
2773,惩罚,przestrzegać,verbs,0.49
2774,收到,dać,verbs,0.2
2775,正直地,dojrzale,adverbs,1.5
2776,蕊,zapylanie,nouns,0.46
2777,流言蜚语,wiadomości,nouns,1.94
2778,帮忙,pytać,verbs,0.09
2779,寻求,cel,nouns,1.2
2780,除,dodawać,verbs,0.23
2781,疾病,niebezpieczeństwo,nouns,0.38
2782,离开,czekać,verbs,0.18
2783,伙伴,facet,nouns,2.54
2784,悲剧,śmierć,nouns,2.54
2785,糖果,jabłko,nouns,0.24
2786,乘,dodawać,verbs,0.33
2787,艺术品,artysta ,nouns,0.91
2788,面包,mięso,nouns,0.09
2789,模拟,robotyka,nouns,0.73
2790,媒介,wiadomości,nouns,1.69
2791,杀,walczyć,verbs,1.14
2792,航空学,awionika,nouns,2.69
2793,自豪的,pokornie,adverbs,0.33
2794,感情上,smutno,adverbs,0.91
2795,日期,kalendarz,nouns,2.06
2796,需求,argumentować,verbs,0.39
2797,詞,strona,nouns,0.35
2798,钻石,pieniądze,nouns,0.8
2799,巨大,tępy,adjectives,0.04
2800,首词,składnia,nouns,0.43
2801,吸收,posiąść,verbs,0.88
2802,给予,otrzymywać,verbs,0.2
2803,臭氧,atmosfera,nouns,2.42
2804,借,chcieć,verbs,0.39
2805,裙带关系,król,nouns,0.53
2806,描绘,naśladować,verbs,0.28
2807,决定,ukazywać,verbs,0.05
2808,愤怒,nastrój,nouns,1.88
2809,手臂,kolano,nouns,0.48
2810,磁盘,ładowarka,nouns,0.24
2811,擦亮,informować,verbs,0.0
2812,不道德,nielegalny,adjectives,1.84
2813,烧伤,udusić,verbs,0.24
2814,人,balon,nouns,0.05
2815,宽,świeży,adjectives,0.05
2816,十字架,mnich,nouns,0.29
2817,开心,młody,adjectives,0.2
2818,车辆,autobus,nouns,3.2
2819,锁匙,korona ,nouns,0.05
2820,游戏,trik,nouns,0.82
2821,成功,próbować,verbs,0.18
2822,申请人,aplikacja,nouns,0.94
2823,樱桃,truskawka,nouns,1.88
2824,凹地,dolina,nouns,1.93
2825,自己,pewność siebie,nouns,0.73
2826,火山,magma,nouns,1.68
2827,松饼,pietruszka,nouns,0.0
2828,察觉,słyszeć,verbs,0.79
2829,道德,legenda,nouns,0.4
2830,疯,chory,adjectives,1.56
2831,身体,nerw,nouns,1.11
2832,骨头,kolano,nouns,1.38
2833,学校,prawo,nouns,0.28
2834,理论,twierdzenie,nouns,4.3
2835,经常,rzadko,adverbs,0.18
2836,问,ignorować,verbs,0.09
2837,蜜糖,nabiał,nouns,0.23
2838,脊柱,szyja,nouns,0.47
2839,小学生,student,nouns,4.25
2840,行星,gwiazda,nouns,2.63
2841,熔化,rozpuszczać,verbs,3.51
2842,正牙医生,dentysta,nouns,4.04
2843,帮手,nauczyciel,nouns,0.56
2844,男孩,brat,nouns,1.64
2845,说谎,zaprzeczać,verbs,0.77
2846,大厅,przejście,nouns,0.89
2847,探索,odkryć,verbs,3.06
2848,强大,mocny,adjectives,4.38
2849,说谎,udawać,verbs,2.58
2850,臀部,warga,nouns,0.1
2851,毁灭,zabić,verbs,2.54
2852,走廊,drzwi,nouns,0.28
2853,奇怪,dziwaczny,adjectives,4.98
2854,知会,polerować,verbs,0.0
2855,工作,kierownictwo,nouns,0.63
2856,犹豫,gniewny,adjectives,0.38
2857,精确地,niedokładnie,adverbs,0.18
2858,上校,dentysta,nouns,0.09
2859,找到,uciec,verbs,0.0
2860,句法,hasło,nouns,0.43
2861,程序,jedzenie,nouns,0.0
2862,区域,obszar,nouns,5.14
2863,黎明,noc,nouns,0.04
2864,天气,fala,nouns,0.1
2865,生气,szał,nouns,4.2
2866,元,milioner,nouns,0.25
2867,真实,fałszywy,adjectives,0.14
