ID,HEB,YUE,PoS,score
2135,וריד,肚,nouns,0.54
2136,להרוס,保留,verbs,0.34
2137,מנהרה,路徑,nouns,1.16
2138,קתדרלה,天花板,nouns,0.45
2139,פשתן,布,nouns,2.5
2140,היגיון,智力,nouns,2.76
2141,באופן מציאותי,理想地,adverbs,0.55
2142,קרב,征服,nouns,1.31
2143,יין,酒,nouns,2.54
2144,לרדוף,說服,verbs,0.39
2145,בעיקר,末期,adverbs,0.04
2146,לנגב,惡化,verbs,0.09
2147,קרח,水,nouns,2.34
2148,דעה,選擇,nouns,1.1
2149,מעוקל,歪斜,adjectives,3.98
2150,נוכחות,門,nouns,0.15
2151,ללמוד,評估,verbs,0.34
2152,תקרה,地板,nouns,0.78
2153,באופן מוזר,不同的,adverbs,0.24
2154,מוות,悲劇,nouns,1.79
2155,יומן,公式,nouns,0.2
2156,נורא,高高興興地,adverbs,0.2
2157,להכחיש,說謊,verbs,0.92
2158,לקרוע,穿,verbs,0.15
2159,כובע,大褸,nouns,0.73
2160,חתול,兔子,nouns,1.47
2161,עורלה,割禮,nouns,1.67
2162,סערה,毯,nouns,0.4
2163,משימה,女人,nouns,0.04
2164,בוודאי,有時,adverbs,0.05
2165,מעלית,汽車,nouns,0.49
2166,בוגר,複雜,adjectives,0.83
2167,מועדון,標識,nouns,0.04
2168,מלח,水,nouns,0.55
2169,ללמד,教育,verbs,3.55
2170,חתול,獅子,nouns,1.87
2171,לעזוב,見面,verbs,0.35
2172,להגיד,校驗,verbs,0.4
2173,ספר,文學,nouns,2.45
2174,מזיק,農藥,nouns,0.96
2175,תולעת משי,毛毛蟲,nouns,2.47
2176,סוסה,馬,nouns,3.42
2177,מדען,護士,nouns,0.29
2178,קולנוע,爆谷,nouns,0.82
2179,מדים,鈎織編織,nouns,0.15
2180,אופנה,風尚,nouns,3.25
2181,נסיך,國王,nouns,2.33
2182,ללא רבב,清潔,adjectives,4.6
2183,שקרן,壞,adjectives,1.04
2184,עצם,膝蓋,nouns,1.21
2185,פשוט,困難,adjectives,0.45
2186,מכונה,引擎,nouns,2.24
2187,לשחרר,按下,verbs,0.54
2188,מילה,報紙,nouns,1.25
2189,לנחם,羞辱,verbs,0.35
2190,מסיבה,面具,nouns,0.58
2191,לחסוך,花费,verbs,0.5
2192,חיטה,穀物,nouns,3.04
2193,יין,威士忌酒,nouns,3.42
2194,שמח,年輕,adjectives,0.39
2195,ללכת,離開,verbs,3.13
2196,כנראה,也許,adverbs,4.05
2197,לאשר,說話,verbs,0.68
2198,לגלות,探索,verbs,2.71
2199,תעופה,飛行,nouns,3.17
2200,חדש,新鮮,adjectives,3.07
2201,אחרת,終末,adverbs,0.15
2202,לחשוב,查詢,verbs,0.69
2203,נמרצות,準確地,adverbs,1.2
2204,בייסבול,沙發,nouns,0.1
2205,לריב,玩,verbs,1.03
2206,מיקרוסקופ,生物學家,nouns,0.92
2207,יריב,對手,nouns,4.73
2208,פיקח,笨,adjectives,0.73
2209,מד,車,nouns,0.4
2210,לברר,想,verbs,0.69
2211,לשתף,參加,verbs,0.69
2212,מידע,書,nouns,1.2
2213,מצחיק,枯燥,adjectives,0.49
2214,חשבון,韻律,nouns,0.1
2215,מחר,今晚,adverbs,0.69
2216,הזמנה,菜單,nouns,1.01
2217,בבהירות,非常,adverbs,0.65
2218,לעגני,輕蔑,adjectives,3.71
2219,ספרה,數,nouns,4.6
2220,דלת,兄弟會,nouns,0.0
2221,פשע,詐騙,nouns,2.47
2222,להסביר,澄清,verbs,3.96
2223,בית דין,正義,nouns,2.42
2224,קולנוע,電視,nouns,2.71
2225,לקבל,同意,verbs,3.4
2226,פאון,演員,nouns,0.88
2227,לחלוטין,真實地,adverbs,0.89
2228,פוסטר,紙,nouns,2.42
2229,גאה,貧窮,adjectives,0.1
2230,בקלות,大致地,adverbs,0.47
2231,רהיט,公寓,nouns,0.68
2232,כבל,巫師,nouns,0.15
2233,לצרוח,尖叫,verbs,4.01
2234,לבחור,想,verbs,0.69
2235,דמעה,眼睛,nouns,1.07
2236,הנהלה,管理,nouns,2.79
2237,רכילות,新聞,nouns,1.56
2238,דלת,大門,nouns,4.92
2239,מכונאי,工人,nouns,1.9
2240,חוף,島,nouns,1.06
2241,לכווץ,減少,verbs,3.05
2242,חמאה,土豆,nouns,0.55
2243,עושר,貧困,nouns,0.64
2244,סופר,小說,nouns,0.97
2245,הכרחי,完全必要,adjectives,5.18
2246,להגיע,走,verbs,0.79
2247,מיץ,牛奶,nouns,1.02
2248,באופן פסיבי,積極地,adverbs,0.29
2249,לשלוח,走,verbs,0.35
2250,קישוט,信封,nouns,0.2
2251,ויכוח,協議,nouns,0.59
2252,בקבוק,罐,nouns,2.13
2253,מעבר,大廳,nouns,0.6
2254,חור,妻子,nouns,0.0
2255,להופיע,成為,verbs,0.18
2256,אישה,毛,nouns,0.2
2257,שוטר,副駕駛,nouns,0.65
2258,שפע,豐富,nouns,3.52
2259,דינוזאור,大象,nouns,0.73
2260,אלגברה,手術,nouns,0.55
2261,ללכת,發送,verbs,0.35
2262,נביא,牧師,nouns,1.18
2263,סגסוגת,鋼,nouns,2.84
2264,גג,天花板,nouns,3.54
2265,בשלווה,混亂,adverbs,0.2
2266,תלותי,缺乏信心,adjectives,0.88
2267,שבוע,週末,nouns,2.26
2268,טיפשי,孩子氣,adjectives,2.17
2269,גשש,射手,nouns,0.15
2270,מתמטיקאי,節目,nouns,0.1
2271,רקע,牆紙,nouns,2.69
2272,צעצוע,立方體,nouns,0.84
2273,באופן אמין,大致,adverbs,0.43
2274,להתחיל,走,verbs,0.15
2275,חוקי,安全,adjectives,0.86
2276,פעולה,代數,nouns,0.55
2277,להעליב,得罪,verbs,3.63
2278,מדהים,脏,adjectives,0.15
2279,להעמיד פנים,講大話,verbs,3.06
2280,חוזה,協議,nouns,4.46
2281,משכורת,錢,nouns,3.75
2282,תמימות דעים,貨幣,nouns,0.6
2283,חום,流感,nouns,1.25
2284,מתכת,鋁,nouns,2.19
2285,שמחה,自豪,nouns,2.18
2286,להשאיר,得到,verbs,0.9
2287,לבהות,瞇,verbs,0.8
2288,לימודים,年級,nouns,1.08
2289,יוצר,作者,nouns,3.77
2290,כאוס,類別,nouns,0.1
2291,לחוב,進入,verbs,0.0
2292,שבועי,每月,adjectives,1.52
2293,אופן,方法,nouns,4.53
2294,מאפין,香芹,nouns,0.45
2295,אישה,牛仔褲,nouns,0.39
2296,אגודל,手,nouns,1.67
2297,שריר,手臂,nouns,0.97
2298,סרטן,疾病,nouns,2.97
2299,מצב,憤怒,nouns,0.63
2300,להסכים,不同意,verbs,0.59
2301,דעה קדומה,沙文主義,nouns,2.89
2302,עתיק,現代,adjectives,0.59
2303,לפגוע,侮辱,verbs,3.63
2304,גיוס כספים,發展,nouns,0.49
2305,להמתין,離開,verbs,0.2
2306,קרמיקה,陶藝,nouns,3.54
2307,תפוח,陽光,nouns,0.0
2308,להחזיק,保持,verbs,3.41
2309,עץ,沖涼,nouns,0.1
2310,פילוסוף,賽跑,nouns,0.09
2311,גדול,巨大,adjectives,4.41
2312,לפגוע,搞到唔開心,verbs,0.73
2313,צנצנת,杯子,nouns,2.19
2314,הומופון,光線電話機,nouns,0.5
2315,בצורה יפה,仁慈地,adverbs,4.32
2316,קוד,符號,nouns,1.66
2317,קשה,强硬,adjectives,3.82
2318,פרווה,女人,nouns,0.2
2319,לאומי,聞名,adjectives,0.6
2320,תות,櫻桃,nouns,2.27
2321,מכונית,廠,nouns,0.45
2322,דוכס,共和國,nouns,0.63
2323,לשחרר,抓住,verbs,0.72
2324,פרה,家牛,nouns,4.0
2325,בהחלט,肯定地,adverbs,5.03
2326,רגיל,奇怪,adjectives,0.55
2327,להתחנן,借,verbs,0.32
2328,לנשום,嗆,verbs,0.86
2329,להיכנס,離開,verbs,0.49
2330,וידוי,否認,nouns,0.57
2331,להבריק,通知,verbs,0.0
2332,סערה,雲,nouns,1.92
2333,שריפה,大災變,nouns,0.64
2334,לחשוב,合理的解釋,verbs,0.7
2335,לחבק,擠壓,verbs,0.55
2336,עצלן,珍貴,adjectives,0.04
2337,תבונה,智力,nouns,4.6
2338,אחוזה,雕塑家,nouns,0.25
2339,לחלוק,同意,verbs,0.59
2340,כתף,頭,nouns,0.97
2341,ארון,衣服,nouns,0.96
2342,שחר,槍,nouns,0.0
2343,מדע,心理學,nouns,1.4
2344,בית,地毯,nouns,0.72
2345,עקשן,蠢,adjectives,0.63
2346,זיהום,疾病,nouns,1.7
2347,מילת מפתח,句法,nouns,0.73
2348,סכנה,威脅,nouns,4.13
2349,חגיגה,儀式,nouns,2.92
2350,בחירה,監獄,nouns,0.35
2351,לעשות,建造,verbs,2.84
2352,להתחתן,訂婚,verbs,2.46
2353,ספירה,球,nouns,3.26
2354,ארוך,短,adjectives,0.64
2355,לנחור,醒覺,verbs,0.45
2356,חשוב,必須,adjectives,3.24
2357,להחזיק,吸收,verbs,0.24
2358,כלכלה,生態系統,nouns,0.64
2359,פרופסור,學生,nouns,0.73
2360,להפסיק,等待,verbs,0.96
2361,פח,金屬,nouns,1.98
2362,להגביל,減少,verbs,1.21
2363,טרי,新,adjectives,3.07
2364,ממתק,蘋果,nouns,0.69
2365,לא בטוח,害怕,adjectives,0.97
2366,הופעה,客串角色,nouns,0.05
2367,תחזית,雲,nouns,0.92
2368,שמיכה,木,nouns,0.15
2369,בערך,可靠地,adverbs,0.43
2370,מורכב,容易,adjectives,0.63
2371,רגיל,冷,adjectives,0.2
2372,להטריח,打稿,verbs,0.65
2373,ברכות,大聲地,adverbs,0.39
2374,ציפור,鷹,nouns,2.83
2375,שריף,警察,nouns,4.07
2376,עקומה,角度,nouns,2.31
2377,כומר,天神,nouns,0.97
2378,חירום,意外,nouns,2.69
2379,חייל,男孩,nouns,1.0
2380,להבטיח,發誓,verbs,4.32
2381,דלת,地窖,nouns,0.54
2382,המולה,喧鬧聲,nouns,4.12
2383,בדיה,傳記,nouns,1.22
2384,להביא,抱怨,verbs,0.0
2385,טייס,警察,nouns,0.65
2386,ארכיבישוף,主教,nouns,3.59
2387,שד,燈,nouns,0.54
2388,מהיר,迅速,adjectives,5.18
2389,אוויוניקה,航空學,nouns,2.68
2390,חוש,直覺,nouns,4.34
2391,באופן לא סדיר,平時,adverbs,0.63
2392,לספוג,减少,verbs,0.29
2393,להודות,否認,verbs,0.55
2394,זנב,後部,nouns,1.16
2395,מלאכותי,假,adjectives,3.48
2396,מחלה,危險,nouns,0.96
2397,להיכשל,成功,verbs,0.5
2398,עצוב,可怕,adjectives,0.79
2399,אננס,手機,nouns,0.0
2400,להסביר,證明,verbs,2.4
2401,פטרוזיליה,瑪芬,nouns,0.45
2402,חתול,狗,nouns,1.07
2403,לקבל,購買,verbs,0.6
2404,לעקל,努力,verbs,0.1
2405,עובד,機器匠,nouns,1.9
2406,ללמוד,吸收,verbs,2.44
2407,לגדל,喝,verbs,0.0
2408,טלפון סלולרי,電話,nouns,4.33
2409,תרנגולת,火雞,nouns,1.89
2410,לשקר,否認,verbs,0.92
2411,שד,天使,nouns,0.79
2412,ספר,故事,nouns,2.6
2413,רעיה,洞,nouns,0.0
2414,זרוע,手腕,nouns,1.31
2415,פרק,選擇,nouns,0.15
2416,פעם אחת,馬上,adverbs,0.29
2417,מטומטם,聰明,adjectives,0.55
2418,ספר,意外,nouns,0.0
2419,תקשורת,偈,nouns,2.55
2420,דובדבן,士多啤梨,nouns,2.27
2421,חוף,小炮艦,nouns,0.65
2422,זהירות,注意,nouns,3.21
2423,לתת,借,verbs,3.78
2424,לתקשר,祈禱,verbs,0.79
2425,הדגמה,起泡,nouns,0.04
2426,ליצור,潛水,verbs,0.15
2427,להקשיב,學習,verbs,0.98
2428,כישלון,破產,nouns,1.29
2429,צריח,教堂,nouns,1.32
2430,להב,草,nouns,0.25
2431,בחשאיות,信心十足地,adverbs,0.45
2432,שיניים,嘴巴,nouns,1.12
2433,אמבטיה,氣球,nouns,0.05
2434,לחקור,發現,verbs,2.71
2435,מילון,定義,nouns,1.35
2436,חוקה,參議院,nouns,0.96
2437,לעזוב,攞,verbs,0.2
2438,גלקסי,應用程式,nouns,0.3
2439,כנראה,積極地,adverbs,1.11
2440,רדיאטור,傳感器,nouns,0.77
2441,לטייל,爬,verbs,1.26
2442,פאי,巧克力,nouns,0.64
2443,מצב,男孩,nouns,0.04
2444,פלילי,不道德,adjectives,2.42
2445,כדור,排球,nouns,2.69
2446,כביש מהיר,路,nouns,3.74
2447,לגרור,電梯,verbs,0.97
2448,בחירה,選舉,nouns,2.58
2449,משרת,奴隸,nouns,4.25
2450,לצרף,混合,verbs,4.01
2451,אחיין,阿姨,nouns,1.24
2452,רצועה,耐力,nouns,0.1
2453,חריף,好,adjectives,0.49
2454,עוזר,老師,nouns,1.03
2455,להקשיב,聽見,verbs,3.9
2456,גבר,女人,nouns,1.12
2457,נחמד,残酷,adjectives,0.4
2458,מעיק,安全,adjectives,0.15
2459,להמר,打賭,verbs,3.4
2460,טרי,寬,adjectives,0.0
2461,ילד,士兵,nouns,1.0
2462,לאשר,通知,verbs,0.97
2463,גאה,膽大,adjectives,1.07
2464,להפתיע,慶祝,verbs,0.7
2465,מבוהל,興奮,adjectives,0.88
2466,אחווה,棒球,nouns,0.39
2467,אגורה,便宜貨,nouns,0.34
2468,מחברת,槍,nouns,0.0
2469,פסגה,側面,nouns,0.47
2470,סירה,甲板,nouns,1.3
2471,צנזורה,自由,nouns,0.55
2472,להיפרד,離開,verbs,3.04
2473,לצחוק,唱,verbs,0.53
2474,זיהום,大氣層,nouns,0.62
2475,לרדוף,嚇,verbs,0.34
2476,אורתודונט,醫生,nouns,2.88
2477,לריב,咬,verbs,0.82
2478,גשם,薄霧,nouns,1.22
2479,למה,音節,nouns,1.16
2480,חשוב,關鍵,adjectives,3.69
2481,רעש,吵鬧,nouns,4.12
2482,להפסיד,保持,verbs,0.39
2483,כרכרה,四輪貨運馬車,nouns,3.84
2484,לדמיין,假扮,verbs,0.59
2485,אומללות,絕望,nouns,3.32
2486,שמחה,運氣,nouns,1.01
2487,בן,父親,nouns,2.0
2488,משרד,工作者,nouns,0.78
2489,רזה,苗條,adjectives,4.76
2490,להוכיח,解釋,verbs,2.4
2491,ניהיליזם,電影,nouns,0.24
2492,מהיר,快,adjectives,5.33
2493,ילד,米飯,nouns,0.24
2494,סכין,槍,nouns,1.85
2495,מלכה,蜜蜂,nouns,0.6
2496,מים,乾旱,nouns,0.35
2497,אדן,山,nouns,0.2
2498,מכונית,船,nouns,1.03
2499,חץ,目標,nouns,1.25
2500,בושה,悲傷,nouns,1.73
2501,שיר,韻律,nouns,1.42
2502,שגרתי,普通,adjectives,5.3
2503,אף,嘴巴,nouns,0.73
2504,צבא,海軍,nouns,3.38
2505,לטאה,蛇,nouns,1.36
2506,מוזר,古怪,adjectives,5.08
2507,להעריץ,敬佩,verbs,4.27
2508,לכאורה,簡直,adverbs,0.71
2509,יוצר,創造者,nouns,4.64
2510,קוסם,電纜,nouns,0.15
2511,להגיע,聚集,verbs,1.07
2512,לא ברור,模糊,adjectives,4.03
2513,באופן אידיאלי,現實地,adverbs,0.55
2514,אלכוהול,白蘭地酒,nouns,3.07
2515,להתארס,結婚,verbs,2.46
2516,נסיכה,國王,nouns,2.04
2517,תלמיד,老師,nouns,1.21
2518,כועס,高興,adjectives,0.78
2519,חדר,床,nouns,0.63
2520,מסגרת,打,nouns,0.14
2521,ים,海灘,nouns,2.38
2522,בזמן האחרון,最近,adverbs,5.67
2523,חוקי,允許,adjectives,3.77
2524,להישאר,離開,verbs,0.55
2525,כלב,貓,nouns,1.07
2526,לקדם,前進,verbs,1.51
2527,דולר,百萬富翁,nouns,0.78
2528,להצהיר,宣告,verbs,3.56
2529,עובדה,證明,nouns,1.35
2530,להימנע,拒絕,verbs,0.73
2531,להודיע,描繪,verbs,0.45
2532,חקלאות,單一耕作,nouns,1.46
2533,אריה,貓,nouns,1.87
2534,מסודר,乾淨,adjectives,3.78
2535,להניח,假扮,verbs,0.28
2536,להודיע,宣布,verbs,4.48
2537,זמר,合唱,nouns,1.21
2538,בליץ,攻擊,nouns,3.19
2539,לכסות,保護,verbs,1.17
2540,תנועה,活動,nouns,2.32
2541,תג,玻璃,nouns,0.29
2542,גס,核突,adjectives,1.11
2543,רוח,天神,nouns,0.55
2544,עדשה,相機,nouns,1.36
2545,שמפניה,啤酒,nouns,2.56
2546,אסון,意外,nouns,3.56
2547,שביל,隧道,nouns,1.16
2548,יהלום,錢,nouns,0.96
2549,פרה,山羊,nouns,1.98
2550,בבגרות,正直地,adverbs,0.39
2551,אלפבית,鋼筆,nouns,0.4
2552,בערך,稍微地,adverbs,0.95
2553,לרצות,借,verbs,0.19
2554,רוחני,無實體,adjectives,1.21
2555,בצורת,水,nouns,0.35
2556,כריך,午飯,nouns,1.26
2557,לרכוש,偷,verbs,0.92
2558,להתווכח,說服,verbs,1.18
2559,חילוניות,宗教,nouns,0.69
2560,קשה,容易,adjectives,0.55
2561,נחש,蜥蜴,nouns,1.36
2562,אנשים,人口,nouns,3.15
2563,שמח,高興,adjectives,5.33
2564,לעזוב,等待,verbs,0.2
2565,להתווכח,同意,verbs,0.52
2566,להחזיק,保持,verbs,2.08
2567,סופר,作曲家,nouns,2.13
2568,מצלמה,鏡片,nouns,1.36
2569,דלת,窗,nouns,1.11
2570,מטרייה,品質,nouns,0.3
2571,רעיון,形象,nouns,0.49
2572,לגנות,指控,verbs,2.61
2573,מסיבה,人們,nouns,1.11
2574,יום הולדת,年,nouns,1.1
2575,אינטליגנציה,無知,nouns,0.49
2576,למות,分化,verbs,0.3
2577,טהור,謙虛,adjectives,0.73
2578,נסיכה,餅乾,nouns,0.0
2579,שיניים,骨頭,nouns,1.8
2580,להתחבק,摟抱,verbs,4.17
2581,עבריין,罪犯,nouns,5.57
2582,צפון,南,nouns,1.39
2583,פול,咖啡,nouns,0.97
2584,מוסיקה,旋律,nouns,3.21
2585,מסודר,亂七八糟,adjectives,0.59
2586,מחלבה,蜜糖,nouns,0.39
2587,וריד,容器,nouns,1.13
2588,אורז,男孩,nouns,0.24
2589,לטגן,煮沸,verbs,1.07
2590,לקבל,失去,verbs,0.45
2591,לרדת,減少,verbs,0.7
2592,בדרך כלל,日常,adverbs,3.49
2593,רגל,手,nouns,1.56
2594,מונית,車,nouns,3.44
2595,תחום,國境,nouns,4.01
2596,זרם,河,nouns,2.54
2597,כבד,大,adjectives,1.07
2598,מכה,陷害,nouns,0.14
2599,לחקות,捕獲,verbs,0.15
2600,כדורסל,棒球,nouns,1.97
2601,ערפל,雲,nouns,2.11
2602,גל,天氣,nouns,0.34
2603,באופן עצמאי,負責可靠地,adverbs,1.39
2604,לדחוף,拉,verbs,0.64
2605,שעועית,煙肉,nouns,0.5
2606,זרוע,身體,nouns,1.16
2607,איחוד,組合,nouns,3.08
2608,עוני,財富,nouns,0.64
2609,גיבור,女英雄,nouns,3.8
2610,מוסר,傳說,nouns,0.2
2611,הססן,憤怒,adjectives,0.73
2612,ללכת,賣,verbs,0.1
2613,כפפה,球,nouns,0.59
2614,בחור,朋友,nouns,1.35
2615,שחקן,教練,nouns,0.65
2616,גדה,海岸,nouns,3.09
2617,מטבח,洗手間,nouns,0.93
2618,סמל,密碼,nouns,1.15
2619,אוגוסט,月,nouns,2.33
2620,באופן ידידותי,不會,adverbs,0.0
2621,קרן,鼓,nouns,0.73
2622,אף,喉嚨,nouns,0.83
2623,בעוצמה,公開地,adverbs,0.53
2624,נחמד,大方,adjectives,1.74
2625,זעיר,矬小,adjectives,4.37
2626,גישה,自信,nouns,0.76
2627,להוסיף,乘,verbs,1.02
2628,ביולוגיה,解剖學,nouns,2.77
2629,מוזיאון,薄荷,nouns,0.24
2630,ציון,學校,nouns,1.08
2631,לקבור,冚住,verbs,2.58
2632,חשוב,正式地,adverbs,0.86
2633,עוף,米飯,nouns,0.78
2634,כתב יד,文章,nouns,2.33
2635,מותר,合法,adjectives,3.77
2636,שכר לימוד,獎學金,nouns,1.02
2637,לשפוט,作證,verbs,0.5
2638,המנון,征服,nouns,0.25
2639,חדשות,社論,nouns,2.37
2640,אי,任務,nouns,0.0
2641,מעלית,盒子,nouns,0.34
2642,להזניח,斷絕父子關係,verbs,0.55
2643,לאחרונה,最近,adverbs,5.67
2644,משימה,島,nouns,0.0
2645,רעש,搖鈴,nouns,2.33
2646,סוף שבוע,種族,nouns,0.05
2647,ננסי,短小,adjectives,4.37
2648,מטוס,直升機,nouns,2.54
2649,מקצב,詩,nouns,1.42
2650,לשרוד,生活,verbs,3.17
2651,לשנוא,批評,verbs,0.53
2652,להקשיב,服從,verbs,3.41
2653,ללכוד,模仿,verbs,0.15
2654,נוירופסיכולוגיה,通靈研究,nouns,0.7
2655,בטבעיות,非自然,adverbs,0.49
2656,מטאור,地心吸力,nouns,0.78
2657,לדעת,理解,verbs,2.54
2658,סעודה,雞,nouns,0.54
2659,אח,靈魂,nouns,0.1
2660,מעולה,瘋狂,adjectives,0.3
2661,לקחת,交付,verbs,1.0
2662,משאית,汽車,nouns,2.63
2663,זנב,章,nouns,0.24
2664,לעיתים רחוקות,經常,adverbs,0.6
2665,תוקפנות,敵意,nouns,3.88
2666,צריף,避難所,nouns,1.13
2667,בערך,粗糙地,adverbs,1.67
2668,תוכנית,食物,nouns,0.25
2669,תמונה,主意,nouns,0.49
2670,מציאה,便士,nouns,0.34
2671,בהרס,和平地,adverbs,0.2
2672,מיטה,沙發,nouns,2.51
2673,בקביעות,偶然,adverbs,0.97
2674,צוואר,脊柱,nouns,1.93
2675,פסל,雕像,nouns,4.28
2676,גינה,軟管,nouns,0.65
2677,למצוא,獲得,verbs,1.92
2678,לציית,聽,verbs,3.41
2679,אזור,地區,nouns,4.45
2680,חליל,音樂,nouns,1.48
2681,מינק,油,nouns,0.2
2682,גמיש,容易,adjectives,1.74
2683,תינוק,成人,nouns,0.88
2684,מולקולה,原子,nouns,2.44
2685,קצב,旋律,nouns,3.33
2686,מובך,幸運,adjectives,0.1
2687,גבינה,麵包,nouns,0.83
2688,אורז,雞,nouns,0.78
2689,גאה,傲慢,adjectives,3.4
2690,תפוח,醬,nouns,0.53
2691,זהה,類似,adjectives,3.54
2692,סופר,禮物,nouns,0.7
2693,ישר,不誠實,adjectives,0.55
2694,אם,爸爸,nouns,2.06
2695,גשר,汽車,nouns,0.54
2696,לב,手術,nouns,0.81
2697,לסרב,接受,verbs,0.45
2698,מתכת,錫,nouns,1.98
2699,מוכר,國民,adjectives,0.6
2700,מתון,適中,adjectives,2.8
2701,אסון,死亡,nouns,1.65
2702,רמז,字,nouns,0.48
2703,להפסיד,得到,verbs,0.45
2704,טנק,汽車,nouns,1.11
2705,לצחוק,哭,verbs,0.49
2706,הצגה,數學家,nouns,0.1
2707,ליקר,世紀,nouns,0.04
2708,ספסל,椅子,nouns,2.98
2709,מטאטא,灰塵,nouns,1.1
2710,לשחוק,褪色,verbs,1.99
2711,רומן,作家,nouns,0.97
2712,מנחה,貢獻,nouns,2.8
2713,ג'נטלמן,女士,nouns,1.01
2714,להקטין,淋透,verbs,0.29
2715,ספרות,詞,nouns,2.02
2716,תיאטרון,電影,nouns,1.99
2717,אישה,男人,nouns,1.12
2718,קבורה,死亡,nouns,2.33
2719,מטבח,門,nouns,0.63
2720,חשוב,真實地,adverbs,0.53
2721,חוזק,耐力,nouns,2.76
2722,לחפש,看,verbs,1.27
2723,יארד,米,nouns,2.64
2724,לילה,白天,nouns,0.64
2725,באופן מקומי,明顯地,adverbs,0.19
2726,מלך,裙帶關係,nouns,0.65
2727,ניטרלי,冷靜,adjectives,1.08
2728,מלוכלך,非常好,adjectives,0.15
2729,מוזיקה,長笛,nouns,1.48
2730,ביהביוריזם,治療,nouns,0.65
2731,יום,晚上,nouns,0.64
2732,לסלוח,明白,verbs,0.78
2733,מכונית,汽車,nouns,5.95
2734,בערך,不耐煩地,adverbs,0.28
2735,חדש,古老,adjectives,0.59
2736,לדעת,相信,verbs,0.68
2737,שקופית,光標,nouns,0.34
2738,להרוויח,收割,verbs,1.78
2739,חקר דגלים,旗,nouns,1.21
2740,דודה,侄子,nouns,1.24
2741,פיתוח,募捐,nouns,0.49
2742,להכחיש,給予,verbs,0.05
2743,הלילה,今天,adverbs,1.11
2744,טרגדיה,死亡,nouns,1.79
2745,בזהירות,安全地,adverbs,2.64
2746,באושר,死氣沈沈的,adverbs,0.2
2747,מכונית,軟管,nouns,0.34
2748,גדול,柔韌,adjectives,0.15
2749,זריחה,日落,nouns,1.32
2750,לשתות,提高,verbs,0.0
2751,לטאה,政府,nouns,0.1
2752,לדעת,忘記,verbs,0.55
2753,לחלוטין,輕微,adverbs,0.45
2754,מרוץ,哲學家,nouns,0.09
2755,לשכוח,提醒,verbs,0.55
2756,להיעלם,收縮,verbs,1.27
2757,לתת,收到,verbs,1.08
2758,זר,翻譯者,nouns,0.43
2759,להרוג,掐死,verbs,3.06
2760,מוח,神經,nouns,0.9
2761,לציית,懲罰,verbs,0.54
2762,להרגיש,相信,verbs,0.89
2763,הוכחה,事實,nouns,1.35
2764,מחשב,磁盘,nouns,1.14
2765,אינטליגנציה,智慧,nouns,4.6
2766,אבן,木,nouns,0.72
2767,להשתתף,合作,verbs,0.93
2768,בת,嬰兒,nouns,2.56
2769,מילון,字,nouns,1.31
2770,לדשדש,騎,verbs,0.4
2771,להתכוון,试着,verbs,0.63
2772,סיפור,書,nouns,2.6
2773,מבצר,壁,nouns,0.83
2774,מסטיק,薄荷,nouns,0.78
2775,חודש,八月,nouns,2.33
2776,בחירה,意見,nouns,1.1
2777,אישה,老公,nouns,1.94
2778,אמבטיה,廚房,nouns,0.93
2779,קבל,二極管,nouns,2.17
2780,להתחזות,似乎,verbs,0.73
2781,שליט,國王,nouns,4.33
2782,סנט,妻子,nouns,0.0
2783,קל,大,adjectives,0.35
2784,לתת,拒絕,verbs,0.05
2785,דם,靜脈,nouns,1.13
2786,אלגנטיות,風格,nouns,1.36
2787,עבודה,任務,nouns,3.49
2788,חשמלי,甜,adjectives,0.0
2789,לבשל,失去,verbs,0.04
2790,לטגן,烘烤,verbs,2.28
2791,להמליץ,建議,verbs,2.85
2792,בינוני,壞,adjectives,0.35
2793,סערה,雪,nouns,1.42
2794,שוטר,政治家,nouns,0.39
2795,טוב,平庸,adjectives,0.69
2796,אקדח,戲法,nouns,0.1
2797,משוגע,極好,adjectives,0.3
2798,זעם,生氣,nouns,4.59
2799,להזהיר,停,verbs,0.54
2800,בשלווה,自豪地,adverbs,0.38
2801,כוח,威力,nouns,4.08
2802,תאריך,生日,nouns,1.75
2803,תוקפני,無禮貌,adjectives,0.64
2804,חסר ביטחון,黏人,adjectives,0.88
2805,כלה,新郎,nouns,2.13
2806,להטות,偏見,verbs,3.53
2807,מעולה,攞命,adjectives,0.49
2808,לפתור,完成,verbs,2.36
2809,חוזה,條件,nouns,1.48
2810,גוף,胸部,nouns,1.67
2811,בעדינות,目前,adverbs,0.18
2812,אירוסין,戒指,nouns,1.69
2813,לחזות,假設,verbs,4.44
2814,תאונה,書,nouns,0.0
2815,מטומטם,傻,adjectives,4.62
2816,לשכוח,知道,verbs,0.55
2817,לעזור,保護,verbs,2.07
2818,למעוד,跌倒,verbs,4.29
2819,סירה,錨,nouns,1.02
2820,נוירוזה,頭腦,nouns,0.82
2821,הכתרה,水,nouns,0.05
2822,מקלדת,光,nouns,0.09
2823,שוביניסט,偏見,nouns,2.89
2824,להציל,毀滅,verbs,0.34
2825,מזג,醫生,nouns,0.18
2826,אסטרטג,陰謀家,nouns,3.06
2827,בטן,睡房,nouns,0.1
2828,מיטה,房間,nouns,0.63
2829,אמבטיה,戲法,nouns,0.04
2830,לרכוש,加入,verbs,0.15
