ID,POL,YUE,PoS,score
2158,obfitość,許多,nouns,4.07
2159,smutny,搞笑,adjectives,0.04
2160,niesprawiedliwie,公平,adverbs,0.04
2161,sypialnia,肚,nouns,0.04
2162,rezygnować,做,verbs,0.04
2163,trener,播放機,nouns,0.35
2164,sos,蘋果,nouns,0.23
2165,kryształ,玻璃,nouns,2.37
2166,jabłko,糖果,nouns,0.29
2167,gubernator,皇帝,nouns,0.81
2168,łokieć,踝,nouns,0.72
2169,zachować,給,verbs,0.19
2170,pokład,老鼠,nouns,0.04
2171,poliester,棉,nouns,0.53
2172,boleć,跌,verbs,0.33
2173,grzejnik,遮,nouns,0.04
2174,definicja,字典,nouns,1.29
2175,przypuszczać,預測,verbs,4.44
2176,oddzielać,連接,verbs,0.0
2177,potrzebujący,缺乏信心,adjectives,0.43
2178,organ,肝臟,nouns,3.02
2179,dać,知道,verbs,0.15
2180,stać się,出現,verbs,0.89
2181,głośno,輕輕的,adverbs,0.14
2182,fantazja,現實,nouns,0.36
2183,drażnić,攻擊,verbs,0.49
2184,czuć,相信,verbs,0.73
2185,trik,遊戲,nouns,0.68
2186,głośny,無禮貌,adjectives,0.73
2187,nauczyciel,拉比,nouns,1.65
2188,wąski,髒,adjectives,0.0
2189,często,不經常,adverbs,0.04
2190,precyzyjny,錯誤,adjectives,0.14
2191,wystrzelić,发送,verbs,1.25
2192,ubrania,布料,nouns,1.73
2193,zapominać,學習,verbs,0.04
2194,racjonalny,清醒,adjectives,3.02
2195,pytać,唔睬,verbs,0.0
2196,pojemnik,老鼠,nouns,0.05
2197,cent,妻子,nouns,0.05
2198,inteligentny,笨,adjectives,0.28
2199,mierny,好的,adjectives,0.19
2200,musztarda,種子,nouns,0.55
2201,ważny,必須,adjectives,3.69
2202,zwycięzca,候選人,nouns,0.76
2203,grypa,發熱,nouns,1.2
2204,gitara,鱒魚,nouns,0.0
2205,pobieżnie,容易地,adverbs,0.47
2206,kościół,合唱團,nouns,0.82
2207,ulica,汽車,nouns,0.47
2208,uchwyt,蛋白質,nouns,0.04
2209,armia,軍團,nouns,3.18
2210,dekoracja,信封,nouns,0.1
2211,wartość,信念,nouns,2.63
2212,mężczyzna,丈夫,nouns,2.19
2213,krew,身體,nouns,0.61
2214,wymieszać,溶解,verbs,0.74
2215,samochód,的士,nouns,3.84
2216,iść,允許,verbs,0.1
2217,blaknąć,侵蝕,verbs,1.23
2218,dolegliwość,危險,nouns,0.52
2219,złapać,收到,verbs,0.48
2220,dziwny,古怪,adjectives,5.03
2221,blacha,鋁,nouns,2.49
2222,nerw,身體,nouns,0.48
2223,egzamin,教學大綱,nouns,0.65
2224,pacjent,複診,nouns,0.32
2225,panna młoda,公主,nouns,0.43
2226,kwiat,忍耐力,nouns,0.04
2227,wierzyć,感覺到,verbs,0.73
2228,miesięczny,每週,adjectives,0.97
2229,rzadki,笨,adjectives,0.14
2230,dekoracja,牆壁,nouns,0.38
2231,garncarstwo,陶瓷,nouns,2.89
2232,ramię,膝蓋,nouns,0.48
2233,dziennikarz,詩人,nouns,0.29
2234,ignorować,打印,verbs,0.0
2235,porozumienie,契約,nouns,4.26
2236,organizować,成為,verbs,0.14
2237,podróż,旅行,nouns,5.05
2238,głośno,微妙地,adverbs,0.04
2239,pojemnik,四輪貨運馬車,nouns,0.1
2240,nasienie,磨坊,nouns,0.18
2241,bóg,獵物,nouns,0.0
2242,kosz,球,nouns,0.39
2243,pokojówka,幫手,nouns,1.84
2244,jasno,非常,adverbs,0.75
2245,plaża,海岸,nouns,3.56
2246,dziecko,男孩,nouns,2.64
2247,zamykać,嘔吐,verbs,0.0
2248,prawdziwy,假,adjectives,0.14
2249,zaczynać,戒除,verbs,0.04
2250,reszta,差數,nouns,2.17
2251,ramię,肌肉,nouns,0.93
2252,niezwykły,罕見,adjectives,4.26
2253,rządać,訓斥,verbs,0.7
2254,soczewka,相機,nouns,0.71
2255,bal,大炮,nouns,0.14
2256,dumny,傲慢,adjectives,2.65
2257,kierownictwo,老鼠,nouns,0.1
2258,biznes,工業,nouns,2.47
2259,uporządkowany,亂七八糟,adjectives,0.09
2260,wspomagać,協助,verbs,4.49
2261,mutant,社會生物學,nouns,0.29
2262,mówić,低語,verbs,1.69
2263,jabłko,醬,nouns,0.23
2264,przeżyć,生活,verbs,3.37
2265,chronić,保持,verbs,1.13
2266,łóżko,傢俱,nouns,2.81
2267,uczęszczać,拗撬,verbs,0.04
2268,hol,課堂,nouns,0.24
2269,płachta,平面,nouns,0.61
2270,zmienić,改變,verbs,3.74
2271,ciąg,名單,nouns,1.44
2272,rozumieć,讀,verbs,0.72
2273,słyszeć,察覺,verbs,0.6
2274,gotówka,錢,nouns,5.34
2275,natychmiast,不久,adverbs,1.02
2276,szkodnik,農藥,nouns,1.11
2277,szeptać,說話,verbs,1.69
2278,zbadać,追求,verbs,0.7
2279,mianować,選舉,verbs,0.6
2280,alkohol,威士忌酒,nouns,3.55
2281,guzik,衣服,nouns,0.71
2282,niechlujny,核突,adjectives,0.96
2283,rozpadać się,死,verbs,0.4
2284,koń,小馬,nouns,3.42
2285,przyjazny,大方,adjectives,1.64
2286,niebezpiecznie,小心地,adverbs,0.09
2287,sufit,地板,nouns,0.23
2288,słoń,恐龍,nouns,0.43
2289,prawo,正義,nouns,0.93
2290,woda,鹽,nouns,0.3
2291,zorganizowany,雜亂無章,adjectives,0.04
2292,ostrożnie,謹慎地,adverbs,4.52
2293,student,小學生,nouns,3.75
2294,chirurgia,心臟,nouns,0.52
2295,światło,鍵盤,nouns,0.09
2296,owies,田,nouns,1.01
2297,nowatorski,有創意,adjectives,4.28
2298,skomplikowany,簡單,adjectives,0.04
2299,akceptować,同意,verbs,4.45
2300,prezydent,污染,nouns,0.1
2301,ewakuować,確定,verbs,0.0
2302,erodować,褪色,verbs,1.23
2303,pietruszka,瑪芬,nouns,0.04
2304,rabin,老師,nouns,1.65
2305,mięso,牛扒,nouns,4.09
2306,kot,老鼠,nouns,0.29
2307,ekran,音系學,nouns,0.0
2308,książka,正文,nouns,1.5
2309,przekonywać,嘗試,verbs,0.7
2310,nielegalny,不道德,adjectives,2.07
2311,pewny,自信,adjectives,4.29
2312,muzułmanin,主教,nouns,0.14
2313,pręt,監獄,nouns,0.2
2314,nieprawdopodobny,普通,adjectives,0.05
2315,łatwy,大,adjectives,0.0
2316,mozaika,教堂,nouns,0.2
2317,organ,腎,nouns,3.48
2318,rozwalić,打碎,verbs,4.5
2319,zadowolony,瘋狂,adjectives,0.28
2320,kupować,得到,verbs,0.1
2321,zachęcać,使氣餒,verbs,0.0
2322,zamarzać,發抖,verbs,0.3
2323,śpieszyć,匆忙,verbs,4.72
2324,mżawka,雨,nouns,3.93
2325,weekend,種族,nouns,0.0
2326,narzędzia,案件,nouns,0.34
2327,mokry,黏,adjectives,1.07
2328,pewny siebie,肯定,adjectives,4.29
2329,legenda,道德,nouns,0.45
2330,wanna,房間,nouns,0.38
2331,stulecie,年,nouns,0.76
2332,jeździć,跑,verbs,0.19
2333,rozkoszny,精彩,adjectives,2.87
2334,plaża,島,nouns,1.26
2335,sukienka,舞蹈,nouns,0.0
2336,nigdy,稍後,adverbs,0.3
2337,ojciec,哥哥,nouns,0.98
2338,działo,球,nouns,0.14
2339,świetny,精彩,adjectives,3.4
2340,kultura,社會,nouns,1.02
2341,zwierzę,人,nouns,0.18
2342,wieczór,日落,nouns,3.53
2343,szef,董事,nouns,4.5
2344,wanna,妻子,nouns,0.04
2345,pchać,拉,verbs,0.39
2346,obecność,缺席,nouns,0.09
2347,zasadniczo,關鍵地,adverbs,0.78
2348,osądzać,決定,verbs,2.25
2349,alkohol,啤酒,nouns,3.84
2350,świt,晚上,nouns,0.23
2351,kontemplować,想,verbs,3.03
2352,powieść,作家,nouns,0.53
2353,papieros,煙草,nouns,3.22
2354,język,臉頰,nouns,0.48
2355,brzeg,座位,nouns,0.15
2356,zadowolony,開心,adjectives,5.03
2357,skała,礦,nouns,0.76
2358,zdrowy,聞名,adjectives,0.55
2359,doktor,脾氣,nouns,0.18
2360,czysty,整齊,adjectives,4.63
2361,decydować,得出結論,verbs,2.83
2362,telefon,受害者,nouns,0.04
2363,pistolet,筆記本,nouns,0.0
2364,kraść,攞,verbs,0.82
2365,rękawica,球,nouns,0.19
2366,brudny,狹窄,adjectives,0.0
2367,wujek,姨媽,nouns,0.78
2368,słowo,文學,nouns,2.27
2369,bydło,牛,nouns,4.5
2370,zbadać,檢查,verbs,3.74
2371,okrutny,嚴酷,adjectives,3.96
2372,frytki,遊標,nouns,0.04
2373,zostać,等待,verbs,1.18
2374,bydło,羊,nouns,1.6
2375,pieniądze,珍珠,nouns,0.33
2376,niepoczytalny,瘋狂,adjectives,5.23
2377,pewnie,明顯地,adverbs,4.15
2378,dać,允許,verbs,2.17
2379,uderzyć,瞄准,verbs,1.29
2380,piosenka,故事,nouns,0.54
2381,film,虛無主義,nouns,0.09
2382,nauka,心理學,nouns,1.5
2383,kłócić się,抱怨,verbs,0.84
2384,wznosić,舉起,verbs,2.62
2385,literatura,詞,nouns,2.27
2386,oficjalnie,重要的,adverbs,1.21
2387,wołowina,肉,nouns,3.79
2388,szkwał,風,nouns,2.96
2389,warunek,男孩,nouns,0.04
2390,nienawidzić,喜愛,verbs,0.09
2391,samochód,電梯,nouns,0.09
2392,policzek,舌頭,nouns,0.48
2393,skrzypce,吉他,nouns,2.02
2394,pies,馬,nouns,1.02
2395,szczęśliwy,年輕,adjectives,0.2
2396,braterstwo,男人,nouns,1.55
2397,podatek,收入,nouns,0.38
2398,regularnie,偶然,adverbs,0.53
2399,niezawodnie,負責任,adverbs,2.44
2400,cesarz,州長,nouns,0.81
2401,gwiazda,明亮,nouns,1.82
2402,śmiały,自豪,adjectives,1.48
2403,wymieszać,煮,verbs,0.38
2404,bazylika,馬賽克,nouns,0.2
2405,dumny,傷心,adjectives,0.0
2406,komunikacja,偈,nouns,2.95
2407,jednakowy,類似,adjectives,3.15
2408,występować,敬禮,verbs,0.05
2409,siła,威力,nouns,3.98
2410,dodawać,建立,verbs,0.77
2411,wrażenie,信念,nouns,1.18
2412,informować,擦亮,verbs,0.0
2413,woda,乾旱,nouns,0.0
2414,melodia,音樂,nouns,3.36
2415,rolnictwo,單一耕作,nouns,1.76
2416,wychodzić,出現,verbs,0.29
2417,zaręczyny,戒指,nouns,0.98
2418,dusić,呼吸,verbs,0.36
2419,nieświadomy,頻繁,adjectives,0.04
2420,zakryty,沒有冚住的,adjectives,0.1
2421,dżinsy,女人,nouns,0.09
2422,cygaro,盒子,nouns,0.04
2423,gryźć,讀,verbs,0.09
2424,klasa,走廊,nouns,0.24
2425,eksplorować,發現,verbs,3.01
2426,kaloryfer,傳感器,nouns,0.41
2427,mózg,神經,nouns,0.9
2428,samochód,高速公路,nouns,0.6
2429,nurkować,創建,verbs,0.04
2430,pchać,責怪,verbs,0.23
2431,uczyć się,聽,verbs,0.43
2432,narciarstwo,滑雪板,nouns,1.31
2433,dwukrotnie,總是,adverbs,0.18
2434,slajd,光標,nouns,0.14
2435,mięso,血液,nouns,0.48
2436,telefon,手提電話,nouns,4.88
2437,straszny,傷心,adjectives,0.19
2438,lotnictwo,飛行,nouns,2.73
2439,dodać,加入,verbs,3.32
2440,dziecinny,傻,adjectives,2.33
2441,rytm,算術,nouns,0.0
2442,walczyć,咬,verbs,0.68
2443,oszczędzać,收藏,verbs,4.3
2444,północ,南,nouns,0.73
2445,nerw,腦,nouns,0.9
2446,słup,速度,nouns,0.0
2447,oddychać,嗆,verbs,0.36
2448,ocet,沙拉,nouns,0.38
2449,wysyłać,帶來,verbs,0.09
2450,mnich,神職人員,nouns,2.84
2451,wino,酒,nouns,3.37
2452,ciężki,容易,adjectives,0.18
2453,szalony,瘋,adjectives,5.23
2454,przędza,線,nouns,3.36
2455,zwiadowca,射手,nouns,0.8
2456,podekscytowany,受驚,adjectives,0.43
2457,tkanina,麻布,nouns,3.56
2458,miecz,王座,nouns,0.05
2459,głodny,累,adjectives,0.43
2460,aktor,女演員,nouns,3.08
2461,lubić,娛樂,verbs,0.7
2462,widowisko,數學家,nouns,0.04
2463,żona,老公,nouns,1.44
2464,niszczyć,腐爛,verbs,1.03
2465,argument,協議,nouns,0.29
2466,satysfakcjonować,使滿意,verbs,5.04
2467,ryż,豆,nouns,0.57
2468,niebo,宇宙,nouns,1.84
2469,uczciwy,內疚,adjectives,0.14
2470,zakładać,假扮,verbs,0.38
2471,milioner,元,nouns,0.43
2472,tkanina,衣服,nouns,1.64
2473,jogurt,家牛,nouns,0.33
2474,jard,米,nouns,2.29
2475,przestrzegać,守規矩,verbs,3.03
2476,zatrzymywać,禁止,verbs,2.12
2477,egzema,皮炎,nouns,3.31
2478,narodowy,聞名,adjectives,0.25
2479,niebo,夢想,nouns,0.0
2480,raz,兩次,adverbs,0.09
2481,dorosły,小孩,nouns,0.28
2482,źródło,噴泉,nouns,3.17
2483,pewnie,當然,adverbs,4.88
2484,pręt,籠子,nouns,0.47
2485,mieszany,舊,adjectives,0.18
2486,tworzyć,潛水,verbs,0.04
2487,jastrząb,鳥,nouns,3.53
2488,wybór,選舉,nouns,2.43
2489,zwycięzca,冠軍,nouns,4.58
2490,mięso,麵包,nouns,0.18
2491,rzadki,非一般,adjectives,4.26
2492,obierać,選擇,verbs,1.15
2493,nieśmiały,害怕,adjectives,2.23
2494,dostarczać,攜帶,verbs,2.94
2495,prawdopodobnie,積極地,adverbs,1.42
2496,uczęszczać,聚集,verbs,1.18
2497,kobieta,任務,nouns,0.04
2498,cytryna,茶,nouns,0.18
2499,odkryty,冚住,adjectives,0.1
2500,królik,貓,nouns,1.37
2501,guma,薄荷,nouns,0.33
2502,mięsień,骨頭,nouns,0.23
2503,wybór,意見,nouns,0.8
2504,książę,國王,nouns,1.88
2505,zbierać,保存,verbs,4.3
2506,niebawem,立即,adverbs,1.02
2507,ortodonta,醫生,nouns,3.38
2508,pogoda,波浪,nouns,0.1
2509,samochód,船,nouns,0.53
2510,popcorn,電影,nouns,0.52
2511,sierżant,槍,nouns,0.38
2512,język,喉,nouns,0.95
2513,trudny,簡單,adjectives,0.14
2514,zapoczątkować,開始,verbs,3.29
2515,pokój,士兵,nouns,0.2
2516,łóżko,房間,nouns,0.33
2517,niemowlę,成人,nouns,0.18
2518,krew,肉,nouns,0.48
2519,uciec,逃跑,verbs,5.48
2520,półwysep,島,nouns,1.59
2521,niedokładnie,精確地,adverbs,0.04
2522,uwalniać,按下,verbs,0.09
2523,zastąpić,恢復,verbs,1.06
2524,pić,混合,verbs,0.1
2525,ratować,淹,verbs,0.04
2526,podnieść,運輸,verbs,0.92
2527,serce,手術,nouns,0.52
2528,nauczyciel,幫手,nouns,0.38
2529,iść,賣,verbs,0.04
2530,doktor,大夫,nouns,5.2
2531,paznokieć,拇指,nouns,1.5
2532,dostarczać,接受,verbs,0.0
2533,płukać,洗,verbs,3.75
2534,okropny,偉大,adjectives,0.09
2535,ortodonta,牙醫,nouns,4.32
2536,świt,槍,nouns,0.0
2537,logika,智力,nouns,2.61
2538,świetny,攞命,adjectives,0.09
2539,ścigać,跟隨,verbs,2.88
2540,wąski,寬廣,adjectives,0.14
2541,koperta,裝飾,nouns,0.1
2542,radykalny,暴力,adjectives,2.45
2543,hymn,征服,nouns,0.0
2544,długopis,字母,nouns,0.05
2545,niewiarygodnie,緊緊地,adverbs,0.43
2546,bagaż,環球航行,nouns,0.23
2547,niezależnie,負責可靠地,adverbs,1.04
2548,zaprzeczać,承認,verbs,0.04
2549,prymitywny,無禮貌,adjectives,0.63
2550,samochód,廠,nouns,0.1
2551,sława,財富,nouns,0.62
2552,ptak,鷹,nouns,3.53
2553,spokojnie,巧妙的,adverbs,1.66
2554,młody,開心,adjectives,0.2
2555,bezdomny,億萬富翁,nouns,0.04
2556,rozpadać się,毀滅,verbs,1.03
2557,aprobować,准許,verbs,3.68
2558,zły,不誠實,adjectives,1.79
2559,kanapa,棒球,nouns,0.0
2560,stek,肉,nouns,4.09
2561,znak,俱樂部,nouns,0.04
2562,płaszczyzna,大薄片,nouns,0.61
2563,zima,夏天,nouns,0.44
2564,brat,靈魂,nouns,0.15
2565,wizerunek,映像,nouns,3.22
2566,przyjaciel,夥伴,nouns,4.38
2567,narzekać,帶來,verbs,0.0
2568,przezornie,小心地,adverbs,4.52
2569,żona,一分錢,nouns,0.05
2570,wskazówka,字,nouns,0.58
2571,socjobiologia,突變體,nouns,0.29
2572,odrzucać,謝絕,verbs,4.0
2573,wanna,戲法,nouns,0.04
2574,zachód słońca,日出,nouns,0.47
2575,mówić,聽見,verbs,0.49
2576,leniwy,珍貴,adjectives,0.04
2577,dorosły,家長,nouns,2.79
2578,długi,狹窄,adjectives,0.42
2579,uderzyć,吸引,verbs,0.0
2580,wygrać,完成,verbs,1.6
2581,autobus,的士,nouns,1.92
2582,archeologia,人類學,nouns,1.93
2583,przestraszony,緊張,adjectives,2.3
2584,sylabus,考試,nouns,0.65
2585,rozmiar,戲法,nouns,0.0
2586,infekcja,詞性變化,nouns,0.14
2587,lis,獵狗,nouns,0.73
2588,teraz,這裡,adverbs,0.73
2589,astronom,星系,nouns,1.64
2590,ciało,肚,nouns,1.68
2591,zgadywać,刺激,verbs,0.33
2592,zamieszki,畫畫,nouns,0.04
2593,język,溝通,nouns,1.98
2594,początkowo,創造性地,adverbs,0.29
2595,dobry,辣,adjectives,0.29
2596,prezydent,小學生,nouns,0.04
2597,mundur,鈎織編織,nouns,0.0
2598,rafa,海灘,nouns,0.39
2599,apokalipsa,火,nouns,0.69
2600,złączyć,獲得,verbs,0.1
2601,król,公主,nouns,1.65
2602,samochód,喇叭,nouns,0.19
2603,sekretarka,女人,nouns,2.17
2604,sałatka,醋,nouns,0.38
2605,stopa,頭,nouns,0.29
2606,puszka,瓶子,nouns,1.63
2607,pręt,窗帘,nouns,0.14
2608,ręka,腳,nouns,1.26
2609,kość,手臂,nouns,0.63
2610,werdykt,審判,nouns,2.4
2611,akapit,信,nouns,0.15
2612,chmura,天氣,nouns,0.72
2613,składnia,首詞,nouns,0.48
2614,czysty,謙虛,adjectives,0.54
2615,zachód słońca,傍晚,nouns,3.53
2616,otrzymywać,發送,verbs,0.29
2617,śmiać się,哭,verbs,0.1
2618,samotny,貧窮,adjectives,0.45
2619,udawać,講大話,verbs,2.91
2620,bilioner,無家可歸,nouns,0.04
2621,wypadek,書,nouns,0.0
2622,sąd,法官,nouns,1.3
2623,precyzyjnie,精確地,adverbs,5.37
2624,odkryć,認識到,verbs,3.68
2625,pokorny,謙虛,adjectives,4.63
2626,głowa,腳,nouns,0.29
2627,negatywnie,非自然,adverbs,0.46
2628,piwnica,門,nouns,0.19
2629,szosa,任務,nouns,0.05
2630,cynamon,糖果,nouns,0.23
2631,szkło,水晶,nouns,2.37
2632,kontrolować,停止,verbs,0.53
2633,ciasno,難以置信地,adverbs,0.43
2634,jedzenie,程序,nouns,0.0
2635,znaleźć,逃逸,verbs,0.0
2636,pogwałcenie,犯罪,nouns,3.38
2637,czekać,留,verbs,1.18
2638,gwóźdź,手,nouns,0.41
2639,pokój,床,nouns,0.33
2640,pakt,協議,nouns,4.26
2641,przynieść,抱怨,verbs,0.0
2642,nieregularnie,平時,adverbs,0.23
2643,ziarnko,咖啡,nouns,0.83
2644,rozbić,摔碎,verbs,3.34
2645,swoboda,自由,nouns,4.92
2646,tworzyć,建立,verbs,4.06
2647,wydawać,保存,verbs,0.0
2648,rower,皮膚,nouns,0.04
2649,administracja,行政管理,nouns,3.54
2650,dumny,堅強,adjectives,0.58
2651,wzgardliwy,輕視,adjectives,3.71
2652,zamek,壁,nouns,0.14
2653,chłopiec,狀態,nouns,0.04
2654,homofon,光線電話機,nouns,0.05
2655,oszczędność,儲蓄者,nouns,1.05
2656,sad,鴕鳥,nouns,0.0
2657,lato,冬天,nouns,0.44
2658,słowo,報紙,nouns,0.7
2659,gitara,鼓,nouns,0.81
2660,przychodzący,向外,adjectives,0.55
2661,nieskazitelny,清潔,adjectives,5.15
2662,bezradny,脆弱,adjectives,1.46
2663,piasek,腳,nouns,0.04
2664,sypialnia,單車,nouns,0.0
2665,śpiewać,大笑,verbs,0.28
2666,nietoperz,吸血殭屍,nouns,0.9
2667,zaułek,街,nouns,3.1
2668,posiadać,保持,verbs,1.73
2669,symulacja,機器人技術,nouns,0.68
2670,żłobek,幼兒,nouns,1.53
2671,chmura,湖,nouns,0.38
2672,matematyk,節目,nouns,0.04
2673,ignorancja,智力,nouns,0.04
2674,smartfon,菠蘿,nouns,0.0
2675,pokojowo,自豪地,adverbs,0.28
2676,rozwalić,撞,verbs,3.34
2677,redukować,降低,verbs,4.27
2678,żołądek,睡房,nouns,0.04
2679,nudny,刺激,adjectives,0.18
2680,odłączyć,裂開,verbs,3.17
2681,uczyć się,忘記,verbs,0.04
2682,grubo,大致,adverbs,0.93
2683,morze,河流,nouns,1.79
2684,wybierać,選舉,verbs,1.15
2685,nadgarstek,手臂,nouns,0.86
2686,opary,雲,nouns,2.08
2687,owca,羊肉,nouns,3.87
2688,koniecznie,實質上,adverbs,0.87
2689,nerw,腸子,nouns,0.39
2690,kuchnia,洗手間,nouns,0.48
2691,poeta,記者,nouns,0.29
2692,niebo,陽光,nouns,1.1
2693,nudny,沉悶,adjectives,2.31
2694,grób,重新安葬,nouns,1.35
2695,stary,新鮮,adjectives,0.0
2696,śnieg,風暴,nouns,0.81
2697,przykryć,埋葬,verbs,2.58
2698,lotnisko,飛機,nouns,0.87
2699,ostrożność,注意,nouns,3.25
2700,silny,自豪,adjectives,0.58
2701,nieujawniony,公開,adjectives,0.09
2702,dzielić,團結,verbs,0.0
2703,odchodzić,留,verbs,0.04
2704,ziemniak,牛油,nouns,0.24
2705,tutaj,現在,adverbs,0.73
2706,pojęcie,信念,nouns,1.3
2707,głupi,頑固,adjectives,0.53
2708,płyta matka,主板,nouns,3.56
2709,zakryć,保護,verbs,1.42
2710,cesarz,憲法,nouns,0.18
2711,ciało,神經,nouns,0.48
2712,dom,公寓,nouns,4.49
2713,wiek,美人,nouns,0.04
2714,dziewczyna,男人,nouns,0.32
2715,parasol,品質,nouns,0.0
2716,odrzucić,選舉,verbs,0.2
2717,szczęśliwie,死氣沈沈的,adverbs,0.04
2718,głęboko,有意義,adverbs,1.77
2719,krótki,長,adjectives,0.14
2720,żołądek,靜脈,nouns,0.29
2721,wybrzeże,小炮艦,nouns,0.04
2722,trząść,收集,verbs,0.05
2723,śmiertelnie,高高興興地,adverbs,0.04
2724,wolność,自由,nouns,4.92
2725,wspaniały,愉快,adjectives,2.87
2726,posiłek,腰部,nouns,0.05
2727,zatrzymywać,控制,verbs,0.53
2728,przewodnik,手冊,nouns,3.0
2729,klasa,大學,nouns,0.34
2730,król,王子,nouns,1.88
2731,nabyć,偷,verbs,0.63
2732,prosić,乞求,verbs,4.03
2733,rozdzielić,分離,verbs,3.17
2734,syn,男孩子,nouns,2.56
2735,domek,營地,nouns,0.43
2736,niezawodnie,被動地,adverbs,0.1
2737,pikantny,弱,adjectives,0.04
2738,wiedzieć,明白,verbs,3.16
2739,kuzyn,叔叔,nouns,1.38
2740,korytarz,門,nouns,0.28
2741,koledż,職業,nouns,0.04
2742,meble,床,nouns,2.81
2743,nowy,古老,adjectives,0.09
2744,uczęszczać,到達,verbs,2.46
2745,glina,副駕駛,nouns,0.04
2746,bieda,財富,nouns,0.24
2747,cząsteczka,空氣,nouns,0.77
2748,zapylanie,蕊,nouns,0.56
2749,słownik,定義,nouns,1.29
2750,naprawdę,大概,adverbs,1.42
2751,plusk,粘性,nouns,0.0
2752,spokojnie,堅固地,adverbs,0.76
2753,pakt,條件,nouns,1.58
2754,pojawić się,成為,verbs,0.89
2755,kopać,傷害,verbs,1.82
2756,gazeta,資料,nouns,2.12
2757,planeta,星星,nouns,2.0
2758,leniwy,忙碌,adjectives,0.09
2759,alkohol,葡萄酒,nouns,3.37
2760,wąski,白色,adjectives,0.0
2761,niesamowity,脏,adjectives,0.0
2762,nieukształtowany,制服,adjectives,0.05
2763,dostać,失去,verbs,0.04
2764,mysz,貓,nouns,0.29
2765,życzliwie,慷慨地,adverbs,2.83
2766,flaga,旗幟學,nouns,1.01
2767,normalnie,常規地,adverbs,3.71
2768,wytrzymałość,樂隊,nouns,0.0
2769,tron,劍,nouns,0.05
2770,konsorcjum,甘蔗,nouns,0.05
2771,fikcja,傳記,nouns,0.97
2772,kompetencja,能力,nouns,4.0
2773,krew,骨髓,nouns,0.67
2774,zaniedbać,斷絕父子關係,verbs,0.65
2775,przemoczyć,减少,verbs,0.04
2776,samochód,單車,nouns,0.98
2777,jasno,輕輕地,adverbs,0.29
2778,stać się,組織,verbs,0.14
2779,wchodzić,離開,verbs,0.29
2780,zakończony,完成,adjectives,4.63
2781,susza,水,nouns,0.0
2782,nie zgadzać się,同意,verbs,0.09
2783,gitara,小提琴,nouns,2.02
2784,neuroza,頭腦,nouns,0.53
2785,dzielić,乘,verbs,0.19
2786,śmieszny,傷心,adjectives,0.04
2787,sok,奶昔,nouns,0.67
2788,śmiało,偷偷,adverbs,0.0
2789,drzwi,地窖,nouns,0.19
2790,rysować,創建,verbs,1.18
2791,biodro,嘴唇,nouns,0.19
2792,wół,馬,nouns,1.71
2793,futro,槍,nouns,0.04
2794,wyścig,週末,nouns,0.0
2795,otrzymywać,攞,verbs,2.88
2796,kolacja,早餐,nouns,1.21
2797,szczęka,骨頭,nouns,1.55
2798,pasywnie,靜靜地,adverbs,0.77
2799,jabłko,陽光,nouns,0.05
2800,kupować,付款,verbs,2.83
2801,burza,雲,nouns,1.22
2802,koc,木,nouns,0.0
2803,kwestowanie,發展,nouns,0.14
2804,przestępca,罪犯,nouns,5.38
2805,książka,話題,nouns,0.35
2806,kurczyć się,減少,verbs,3.2
2807,głowa,肩,nouns,0.63
2808,cytryna,蘋果,nouns,0.52
2809,uderzyć,懲罰,verbs,0.6
2810,porażka,破產,nouns,1.75
2811,pakunek,貨車,nouns,0.59
2812,dzwon,塔,nouns,0.43
2813,trzymać,擁抱,verbs,0.5
2814,samochód,軟管,nouns,0.34
2815,pracodawca,工作者,nouns,0.57
2816,emocja,激情,nouns,2.19
2817,ogar,狐狸,nouns,0.73
2818,biegacz,運動員,nouns,3.3
2819,powieść się,嘗試,verbs,0.14
2820,mętny,不清楚,adjectives,4.28
2821,istotny,次要,adjectives,0.14
2822,cukierek,肉桂,nouns,0.23
2823,łóżko,睡房,nouns,1.52
2824,szczęśliwy,瘋狂,adjectives,0.5
2825,śmierdzieć,溺愛,verbs,0.6
2826,czytelnik,作者,nouns,0.18
2827,dorosły,嬰兒,nouns,0.18
2828,kąt,彎曲,nouns,1.3
2829,cenny,懶,adjectives,0.04
2830,polityk,警察,nouns,0.1
2831,spód,上面,nouns,0.0
2832,chojnie,好心地,adverbs,2.83
2833,gałęź,手臂,nouns,0.1
2834,miska,尾巴,nouns,0.0
2835,kanapka,肉,nouns,0.09
2836,weksylologia,旗,nouns,1.01
2837,bohater,女英雄,nouns,4.4
2838,kabel,教堂,nouns,0.05
2839,posiąść,吸收,verbs,0.79
2840,pożyczać,保持,verbs,0.0
2841,przedszkole,幼兒園,nouns,1.53
2842,entropia,信息,nouns,0.19
2843,gwizdać,停,verbs,0.18
2844,przynieść,發送,verbs,0.09
2845,zwykle,不定期地,adverbs,0.23
2846,robotnik,辦公室,nouns,0.33
2847,ustalać,撤離,verbs,0.0
2848,gorączka,流感,nouns,1.2
2849,ocalać,拯救,verbs,5.48
2850,jałowcówka,酒,nouns,4.0
2851,krzak,花,nouns,1.46
2852,łucznik,探路者,nouns,0.8
2853,zatrzymywać,忘記,verbs,0.34
2854,krowa,家牛,nouns,4.5
