ID,CYM,SPA,PoS,score
2109,nodyn,trabajo,nouns,0.65
2110,cwrw,champán,nouns,1.3
2111,yn hael,nunca,adverbs,0.0
2112,gitâr,violín,nouns,0.75
2113,yn gadarn,herméticamente,adverbs,0.8
2114,twp,obstinado,adjectives,0.45
2115,ymosodiad,delito,nouns,2.0
2116,ffon reoli,radar,nouns,0.25
2117,cyngres,parlamento,nouns,3.0
2118,gwrthod,elegir,verbs,0.2
2119,plesio,entretener,verbs,1.8
2120,meddwl,preguntar,verbs,0.9
2121,morwr,capitán,nouns,1.45
2122,dechrau,originar,verbs,3.85
2123,anghofio,perdonar,verbs,1.7
2124,twf,fertilizante,nouns,0.8
2125,cig,pan,nouns,0.35
2126,cyfradd,valor,nouns,2.4
2127,entropi,información,nouns,0.5
2128,bowliwr,bolos,nouns,1.75
2129,ffrind,profesor,nouns,0.5
2130,ffabrig,lino,nouns,2.4
2131,amlwg,no revelado,adjectives,0.0
2132,yn wahanol,extrañamente,adverbs,1.75
2133,arfordir,barco de cañón,nouns,0.4
2134,sgert,reloj,nouns,0.15
2135,deinosor,elefante,nouns,0.55
2136,amau,arrestar,verbs,0.45
2137,siarad,oír,verbs,0.7
2138,asgwrn,tobillo,nouns,1.2
2139,pren,tronco,nouns,3.5
2140,dynwared,capturar,verbs,0.2
2141,anaml,generalmente,adverbs,0.1
2142,creigres,playa,nouns,1.15
2143,swyddog,diputado,nouns,1.2
2144,yn annheg,justamente,adverbs,0.1
2145,gwaith celf,artista,nouns,1.45
2146,system,culpa,nouns,0.1
2147,meddu ar,absorber,verbs,0.65
2148,duw,sacerdote,nouns,1.2
2149,erydu,permitir,verbs,0.0
2150,heno,hoy,adverbs,2.0
2151,nod,ganador,nouns,0.4
2152,car,puente,nouns,0.25
2153,atgoffa,contar,verbs,0.6
2154,ap,galaxia,nouns,0.1
2155,esgus,mentira,verbs,1.25
2156,palas,rascacielos,nouns,0.4
2157,ymgynnull,recoger,verbs,3.7
2158,actores,actor,nouns,4.05
2159,dianc,encontrar,verbs,0.2
2160,cinio,sandwich,nouns,1.05
2161,yn ddelfrydol,mecánicamente,adverbs,0.1
2162,swper,comida,nouns,3.45
2163,angenrheidiol,innecesario,adjectives,0.1
2164,gosod mewn trefn,organizar,verbs,5.2
2165,gwrthbrofi,permitir,verbs,0.25
2166,bowlen,plato,nouns,1.85
2167,cred,concepto,nouns,2.7
2168,derbyn,lograr,verbs,0.25
2169,cath,perro,nouns,0.9
2170,ffynhonnell,caja,nouns,0.1
2171,batri,teatro,nouns,0.1
2172,wedi ei dychryn,emocionado,adjectives,1.35
2173,organ,hígado,nouns,1.95
2174,esgus,imaginar,verbs,1.6
2175,yfed,aumentar,verbs,0.0
2176,maer,jefe,nouns,1.3
2177,cyfarch,reunirse,verbs,0.75
2178,caffael,robar,verbs,0.85
2179,deallusrwydd,ignorancia,nouns,0.4
2180,poen,dolor,nouns,3.0
2181,potel,poder,nouns,0.0
2182,gwybod,entender,verbs,3.05
2183,amherchnogi,dar,verbs,0.55
2184,brandi,alcohol,nouns,2.05
2185,coes,brazo,nouns,0.65
2186,sinc,oro,nouns,0.85
2187,mynd  ,enviar,verbs,0.9
2188,troi drosodd,herir,verbs,0.6
2189,yn wael,humildemente,adverbs,0.15
2190,erfyn,pedir,verbs,2.6
2191,tarddu,descubrir,verbs,0.95
2192,ystafell,edificio,nouns,0.95
2193,siarcol,carbón,nouns,2.75
2194,tudalen,párrafo,nouns,1.2
2195,merch,niño,nouns,0.8
2196,drws,campana,nouns,0.35
2197,siofinist,prejuicio,nouns,2.1
2198,cul,blanco,adjectives,0.0
2199,person dan amheuaeth,hombre,nouns,0.55
2200,bronceitus,acetaminofeno,nouns,0.55
2201,ystafell wely,bicicleta,nouns,0.15
2202,planhigyn,agricultura,nouns,0.75
2203,lliain,tela,nouns,2.4
2204,methu,tener éxito,verbs,0.15
2205,busnes,industria,nouns,2.5
2206,ergyd,marco,nouns,0.15
2207,dod yn,realizar,verbs,0.5
2208,portreadu,pretender,verbs,0.8
2209,persli,mollete,nouns,0.3
2210,llywydd,político,nouns,1.75
2211,treth,ingresos,nouns,0.65
2212,ceirchen,campo,nouns,0.45
2213,hydoddi,mezclar,verbs,1.9
2214,egluro,probar,verbs,1.8
2215,yma,ahora,adverbs,2.0
2216,braich,pierna,nouns,0.65
2217,egluro,aclarar,verbs,4.45
2218,corn,coche,nouns,0.2
2219,cyflogwr,obrero,nouns,0.8
2220,dirmygu,cargar,verbs,0.3
2221,cwpwrdd,ropa,nouns,1.2
2222,cythruddo,adivinar,verbs,0.0
2223,pren,tronco,nouns,3.75
2224,bwrw,castigar,verbs,1.1
2225,gwddf,brazo,nouns,0.4
2226,cenllysg,lluvia,nouns,1.6
2227,sillaf,lema,nouns,0.3
2228,bregus,frígido,adjectives,0.15
2229,yn annhebygol,simpático,adverbs,0.0
2230,pêl-fas,fraternidad,nouns,0.15
2231,yn fras,obviamente,adverbs,0.6
2232,benthyg,vender,verbs,0.35
2233,prif air,sintaxis,nouns,0.6
2234,drwg,culpable,adjectives,1.3
2235,hapusrwydd,paz,nouns,1.85
2236,yn ddiweddarach,nunca,adverbs,0.3
2237,braich,músculo,nouns,1.0
2238,brwnt,increíble,adjectives,0.0
2239,rhoi,prestar,verbs,1.8
2240,o ddifrif,sinceramente,adverbs,1.75
2241,dyweddïad,anillo,nouns,1.85
2242,gormesu,renunciar,verbs,0.6
2243,anhrefn,anarquía,nouns,3.95
2244,seiclon,tifón,nouns,4.25
2245,aderyn,pavo,nouns,2.6
2246,ffrind,huésped,nouns,1.1
2247,gorffen,aplazar,verbs,0.6
2248,cyflawni,tener éxito,verbs,4.65
2249,gafr,vaca,nouns,1.25
2250,yn annibynnol,responsablemente,adverbs,0.35
2251,claf,sesión,nouns,0.35
2252,asgwrn,cuello,nouns,0.35
2253,bwrw,pellizcar,verbs,0.75
2254,fel arfer,irregularmente,adverbs,0.35
2255,swigen,jabonaduras,nouns,1.0
2256,awdur,compositor,nouns,2.8
2257,alaw,música,nouns,3.55
2258,cyntedd,clase,nouns,0.3
2259,gwrando,aprender,verbs,0.8
2260,doethineb,inteligencia,nouns,3.6
2261,maneg,pelota,nouns,0.6
2262,anaeddfed,crecido,adjectives,0.3
2263,gwn,cuchillo,nouns,1.2
2264,hwyl,juego,nouns,1.15
2265,cul,delgado,adjectives,3.95
2266,dewis,desear,verbs,1.2
2267,cyd-beilot,policía,nouns,0.2
2268,mae'n debyg,simplemente,adverbs,0.4
2269,sgil,inteligencia,nouns,2.05
2270,dal gafael,mantener,verbs,4.8
2271,perygl,enfermedad,nouns,0.5
2272,ffrâm,golpear,nouns,0.15
2273,awyr,universo,nouns,1.05
2274,plentyn,adulto,nouns,0.65
2275,sylweddol,menor,adjectives,0.1
2276,menyw,pantalones,nouns,0.2
2277,yn ddiamynedd,aproximadamente,adverbs,0.25
2278,wedi eu cyfuno,mezclado,adjectives,2.65
2279,anarferol,bizarro,adjectives,3.65
2280,mam,esposa,nouns,1.95
2281,symudol,flexible,adjectives,2.0
2282,gwahardd,detener,verbs,3.15
2283,craig,mía,nouns,0.15
2284,o reidrwydd,esencialmente,adverbs,3.9
2285,sâl,loco,adjectives,0.85
2286,darlun,ampolla,nouns,0.0
2287,morgrugyn,abeja,nouns,0.85
2288,pren,manta,nouns,0.05
2289,lens,cámara,nouns,2.1
2290,lleihau,empapar,verbs,0.0
2291,gwaith llaw,tradición,nouns,0.8
2292,bowlen,callejón,nouns,0.0
2293,diflas,emocionante,adjectives,0.15
2294,digonedd,mucho,nouns,4.65
2295,anonest,veraz,adjectives,0.1
2296,yn llachar,muy,adverbs,0.2
2297,ufuddhau,comportarse,verbs,2.3
2298,mawr,flexible,adjectives,0.1
2299,bwrdd,puesta de sol,nouns,0.05
2300,llaeth,jugo,nouns,0.8
2301,tramorwr,traductor,nouns,0.4
2302,brenhines,abeja,nouns,0.45
2303,sugnwr gwaed,murciélago,nouns,1.45
2304,canwr,actor,nouns,0.95
2305,ceirios,fresa,nouns,1.2
2306,reis,niño,nouns,0.0
2307,rasio,filósofo,nouns,0.15
2308,priodi,unirse,verbs,2.5
2309,oer,ordinario,adjectives,0.05
2310,côn,vaso,nouns,0.75
2311,curo,mezclar,verbs,0.55
2312,canrif,año,nouns,1.25
2313,yn anarferol,normalmente,adverbs,0.25
2314,rhestr,formación,nouns,0.7
2315,cynddaredd,enfado,nouns,4.05
2316,cymryd,aprovechar,verbs,1.05
2317,dianc,huir,verbs,5.3
2318,gogledd,sur,nouns,0.65
2319,morthwyl,dientes,nouns,0.05
2320,offeiriad,profeta,nouns,1.3
2321,claddedigaeth,muerte,nouns,1.45
2322,flwyddyn,siglo,nouns,1.25
2323,hedfaniad,aviación,nouns,2.65
2324,unwaith,dos veces,adverbs,0.55
2325,popcorn,cine,nouns,1.4
2326,llyfr,artículo,nouns,0.9
2327,cyfarfod,saludar,verbs,0.75
2328,cymryd,salir,verbs,0.25
2329,blodyn,bulbo,nouns,1.05
2330,amddiffyn,salvar,verbs,2.65
2331,chwibanu,detener,verbs,0.3
2332,drud,tímido,adjectives,0.2
2333,cyfeiliornus,que no es de fiar,adjectives,1.1
2334,yn ysgafn,brillantemente,adverbs,0.0
2335,cadair,taburete,nouns,3.05
2336,yn bennaf,terminalmente,adverbs,0.6
2337,yn feirniadol,esencialmente,adverbs,0.45
2338,coctel,alcohol,nouns,2.05
2339,poster,papel,nouns,1.55
2340,rhyfedd,astuto,adjectives,0.15
2341,dec,piso,nouns,1.4
2342,brifo,enfadar,verbs,0.6
2343,dec,bote,nouns,1.1
2344,jîns,mujer,nouns,0.2
2345,arbed,ahogar,verbs,0.2
2346,annheg,cruel,adjectives,1.85
2347,cythraul,monstruo,nouns,2.85
2348,angenrheidiol,esencial,adjectives,4.95
2349,ceisio,lograr,verbs,0.9
2350,enillydd,gol,nouns,0.4
2351,yn ddiffuant,honestamente,adverbs,4.7
2352,cloch,puerta,nouns,0.35
2353,baglu,caerse,verbs,4.25
2354,trafod,explicar,verbs,1.45
2355,ceunant,valle,nouns,2.55
2356,credu,aceptar,verbs,1.4
2357,mêl,lácteos,nouns,0.35
2358,marwolaeth,catástrofe,nouns,1.55
2359,gwarcheidwad,adulto,nouns,1.35
2360,yfed,mezcla,verbs,0.45
2361,lladd,lucha,verbs,0.7
2362,rhaglen,comida,nouns,0.1
2363,ysgyfaint,hígado,nouns,0.7
2364,rhoi,obtener,verbs,0.25
2365,ardal,zona,nouns,5.3
2366,cliw,palabra,nouns,0.3
2367,gorchuddio,disfrazar,verbs,1.65
2368,crochenwaith,cerámico,nouns,4.35
2369,atgyweirio,restaurar,verbs,4.25
2370,hawdd,vulnerable,adjectives,0.65
2371,ceg,labio,nouns,2.45
2372,brenhiniaeth,democracia,nouns,0.8
2373,gwellt,esposa,nouns,0.15
2374,gwirio,ajedrez,nouns,0.1
2375,drws,fraternidad,nouns,0.2
2376,ymddygiadaeth,terapia,nouns,1.35
2377,gwybod,comprender,verbs,2.55
2378,economi,ecosistema,nouns,0.25
2379,taliad,cuota,nouns,4.5
2380,plesio,alegar,verbs,0.35
2381,cywilydd,dolor,nouns,1.05
2382,ymerawdwr,constitución,nouns,0.65
2383,perswadio,discutir,verbs,1.5
2384,main,estrecho,adjectives,3.95
2385,iaith,comunicación,nouns,1.9
2386,rhannu,unir,verbs,0.15
2387,log,madera,nouns,3.75
2388,diemwnt,dinero,nouns,0.85
2389,bar,cárcel,nouns,0.3
2390,cas,electricidad,nouns,0.0
2391,saeth,objetivo,nouns,0.9
2392,sgôr,nivel,nouns,2.8
2393,gorffen,competir,verbs,0.1
2394,ennill,merecer,verbs,1.1
2395,tram,tren,nouns,2.95
2396,papur lapio,puerto,nouns,0.05
2397,argraffu,ignorar,verbs,0.0
2398,profi,discutir,verbs,0.3
2399,yn naturiol,tranquilamente,adverbs,0.8
2400,rhesel,cuna,nouns,1.75
2401,log,bañera,nouns,0.0
2402,derbyn,negar,verbs,0.15
2403,anghofio,ignorar,verbs,1.7
2404,yn ysgafn,amablemente,adverbs,1.45
2405,sgrîn,fonología,nouns,0.05
2406,dysgu,confundir,verbs,0.1
2407,patholeg,hematología,nouns,1.65
2408,rhyfedd,ordinario,adjectives,0.1
2409,ffens,carril,nouns,0.45
2410,gwestai,amigo,nouns,1.1
2411,drwg,genial,adjectives,0.05
2412,colli,cocinar,verbs,0.05
2413,yn weithredol,precisamente,adverbs,0.9
2414,band,desfile,nouns,1.45
2415,modur,coche,nouns,5.25
2416,bargeinio,vender,verbs,0.85
2417,anghenus,inseguro,adjectives,0.75
2418,nyddu,empatar,verbs,0.6
2419,gwaed,médula,nouns,0.95
2420,byth,después,adverbs,0.3
2421,crefydd,materialista,nouns,0.7
2422,afu,órgano,nouns,1.95
2423,cymysgu,beber,verbs,0.45
2424,rhoi,mantener,verbs,0.4
2425,planed,estrella,nouns,2.4
2426,cardbord,papel,nouns,2.9
2427,salwch,cáncer,nouns,3.0
2428,gaeaf,temporada,nouns,2.65
2429,athro,estudiante,nouns,0.75
2430,atgoffa,olvidar,verbs,0.1
2431,cipio,agarrar,verbs,3.3
2432,ciwb,dado,nouns,3.15
2433,fel arfer,rutinariamente,adverbs,4.1
2434,tad,madre,nouns,2.0
2435,cyffrous,aburrido,adjectives,0.15
2436,targed,flecha,nouns,0.9
2437,ifanc,inquieto,adjectives,0.25
2438,yn gyfrinachol,con confianza,adverbs,0.7
2439,cwpan,cono,nouns,0.75
2440,cyfreithiwr,galería,nouns,0.1
2441,gair,periódico,nouns,0.85
2442,trydanol,mecánico,adjectives,0.8
2443,emyn,biblia,nouns,0.55
2444,offeiriad,dios,nouns,1.2
2445,iro,untar,verbs,0.25
2446,hen,mezclado,adjectives,0.1
2447,dod i feddiant,obtener,verbs,4.45
2448,cyfamod,acuerdo,nouns,5.3
2449,tarddu,empezar,verbs,3.85
2450,cyfathrebu,rezar,verbs,0.7
2451,modrwy,compromiso,nouns,1.85
2452,gweinidogaeth,sultán,nouns,0.35
2453,de,norte,nouns,0.65
2454,yn sicr,a veces,adverbs,0.45
2455,cwch,motor,nouns,0.6
2456,anghefnogi,animar,verbs,0.15
2457,ciledrych,deslumbrar,verbs,0.25
2458,cyhoeddi,declarar,verbs,4.45
2459,byddin,legión,nouns,3.35
2460,morwyn,ayudante,nouns,2.2
2461,corff,espina,nouns,0.6
2462,casglu,asistir,verbs,0.55
2463,pennu,evacuar,verbs,0.35
2464,hylif,boquilla,nouns,0.2
2465,cadw,perder,verbs,0.25
2466,pêl,raqueta,nouns,1.1
2467,onest,deshonesto,adjectives,0.1
2468,newyddiadurwr,poeta,nouns,0.65
2469,ychydig,aproximadamente,adverbs,0.2
2470,enaid,hermano,nouns,0.15
2471,hel,capturar,verbs,1.2
2472,ymchwilio,examinar,verbs,4.0
2473,yn uchel,suavemente,adverbs,0.05
2474,athro,amigo,nouns,0.5
2475,bara,queso,nouns,0.5
2476,nenfwd,tejado,nouns,4.6
2477,deintydd,coronel,nouns,0.15
2478,brigeryn,polinización,nouns,1.05
2479,salad,dieta,nouns,0.9
2480,capel,campanario,nouns,0.5
2481,caniatáu,refutar,verbs,0.25
2482,toddi,disolver,verbs,2.85
2483,canol,estómago,nouns,1.1
2484,bricsen,pared,nouns,1.25
2485,mynd,viajar,verbs,2.55
2486,dinistrio,matar,verbs,2.4
2487,gwregys,lazo,nouns,0.6
2488,beddrod,tumba,nouns,0.65
2489,doniol,aburrido,adjectives,0.1
2490,brechdan,carne,nouns,0.55
2491,mawr,nacional,adjectives,0.45
2492,tric,bañera,nouns,0.0
2493,serameg,cerámica,nouns,4.35
2494,gwartheg,yogur,nouns,0.35
2495,credu,saber,verbs,1.4
2496,ymwybyddiaeth,atención,nouns,1.9
2497,canu,reír,verbs,0.4
2498,dwyn,comprar,verbs,0.15
2499,darganfod,darse cuenta de,verbs,4.15
2500,gadael,retirarse,verbs,2.9
2501,dillad,tela,nouns,2.05
2502,yn aeddfed,rectamente,adverbs,0.85
2503,gwerthfawr,sagrado,adjectives,1.8
2504,disgybl,estudiante,nouns,5.2
2505,arestio,sospechar,verbs,0.45
2506,thema,libro,nouns,0.55
2507,niweidio,molestar,verbs,1.3
2508,bachgen,hermano,nouns,1.65
2509,argraff,creencia,nouns,1.85
2510,drachtio,tragar,verbs,2.5
2511,brawd,padre,nouns,0.7
2512,geiriadur,palabra,nouns,1.45
2513,magma,volcán,nouns,2.05
2514,ased,valores,nouns,3.0
2515,breuddwyd,cielo,nouns,0.35
2516,gwern,lago,nouns,2.05
2517,ffin,límite,nouns,4.6
2518,stumog,habitación,nouns,0.1
2519,cefnfor,mar,nouns,4.1
2520,coridor,pasillo,nouns,4.7
2521,pêl,guante,nouns,0.6
2522,gweithiwr,oficina,nouns,0.45
2523,dyn,niña,nouns,1.0
2524,tynnu,perder,verbs,0.3
2525,rheiddiadur,sensor,nouns,0.7
2526,rhifyddeg,lógica,nouns,1.45
2527,cristion,protestante,nouns,1.1
2528,clun,labio,nouns,0.35
2529,paragraff,página,nouns,1.2
2530,sychu,deteriorarse,verbs,0.5
2531,cyd-beilot,cabina,nouns,0.35
2532,cymysgu,golpear,verbs,0.55
2533,yn hanfodol,necesariamente,adverbs,3.9
2534,gwisg unffurf,tejer,nouns,0.15
2535,ceisio,pensar,verbs,0.5
2536,llygoden,rata,nouns,3.85
2537,trafodaeth,discusión,nouns,2.95
2538,anghofio,saber,verbs,0.15
2539,organ,riñón,nouns,2.9
2540,pennaeth,alcalde,nouns,1.3
2541,twll,acuerdo,nouns,0.0
2542,swydd,herramienta,nouns,0.4
2543,car,calle,nouns,0.5
2544,beibl,libro,nouns,2.0
2545,tristwch,vergüenza,nouns,1.05
2546,hapus,alegre,adjectives,5.25
2547,cymharu,analizar,verbs,2.4
2548,jin,alcohol,nouns,2.15
2549,miniog,templado,adjectives,0.3
2550,gofyn,mendigar,verbs,2.6
2551,diangen,necesario,adjectives,0.1
2552,drws,presencia,nouns,0.3
2553,ceisio,tener éxito,verbs,0.7
2554,garddwrn,brazo,nouns,1.15
2555,ystlum,vampiro,nouns,1.45
2556,ystafell ymolchi,habitación,nouns,1.55
2557,ofnus,tímido,adjectives,2.15
2558,dyfarniad,juicio,nouns,2.65
2559,angau,tragedia,nouns,1.8
2560,hyfforddiant,beca,nouns,1.05
2561,cynffon,capítulo,nouns,0.05
2562,bagiau,circunnavegación,nouns,0.55
2563,balchder,negrita,adjectives,0.6
2564,creu,volverse,verbs,0.25
2565,llwyddo,ganar,verbs,3.6
2566,datblygiad,recaudación de fondos,nouns,0.6
2567,tasg,autopista,nouns,0.05
2568,troed,arena,nouns,0.25
2569,achub,salvar,verbs,5.1
2570,arwres,héroe,nouns,3.4
2571,llaw,pie,nouns,0.75
2572,papur,cartulina,nouns,2.9
2573,plesio,estar de acuerdo,verbs,0.9
2574,hurt,raro,adjectives,0.1
2575,ymbarél,calentador,nouns,0.1
2576,cyfraniad,ofrecimiento,nouns,2.75
2577,swltan,ministerio,nouns,0.35
2578,cysyniad,creencia,nouns,2.7
2579,dod â,venir,verbs,1.25
2580,dweud celwydd,negar,verbs,0.7
2581,cyfoeth,fama,nouns,1.2
2582,cwest,objetivo,nouns,1.65
2583,pot,aparato,nouns,0.15
2584,yn ddiffuant,seriamente,adverbs,1.75
2585,dysgu,absorber,verbs,1.15
2586,golchi,enjuagar,verbs,3.35
2587,llynges,isla,nouns,0.3
2588,fflat,hotel,nouns,0.65
2589,wedi ei orchuddio,vestido,adjectives,2.1
2590,person,personaje,nouns,2.95
2591,gwyddonydd,enfermera,nouns,0.4
2592,eilradd,significativo,adjectives,0.1
2593,yn ofalus,cautelosamente,adverbs,3.8
2594,derbyn,recomendar,verbs,0.6
2595,dyddiad,calendario,nouns,1.85
2596,llyfr,información,nouns,1.0
2597,esgob,arzobispo,nouns,3.0
2598,perfformiwr,canción,nouns,0.7
2599,plismon,político,nouns,0.3
2600,rheoli,detener,verbs,0.65
2601,adfer,traer,verbs,0.05
2602,gwn,gente,nouns,0.1
2603,parch,honor,nouns,2.25
2604,nenfwd,catedral,nouns,0.25
2605,cleddyf,ambiente,nouns,0.05
2606,nerf,cuerpo,nouns,0.4
2607,car,cuerno,nouns,0.2
2608,llunio,hacer,verbs,3.6
2609,gwenynen,hormiga,nouns,0.85
2610,canrif,espíritu,nouns,0.05
2611,yn hysbys,nacional,adjectives,0.2
2612,minc,petróleo,nouns,0.05
2613,anfoesol,malo,adjectives,2.9
2614,ceffyl,buey,nouns,1.1
2615,eira,hielo,nouns,3.05
2616,brenin,príncipe,nouns,1.65
2617,diwydiant,negocio,nouns,2.5
2618,tasg,mujer,nouns,0.1
2619,aros,salir,verbs,0.1
2620,hedyn,mostaza,nouns,1.05
2621,prif fwrdd,tarjeta madre,nouns,2.35
2622,castell,pared,nouns,0.55
2623,ymaflyd,tomar,verbs,1.05
2624,gwych,estupendo,adjectives,5.55
2625,gwan,picante,adjectives,0.0
2626,esgusodi,perdonar,verbs,2.5
2627,digon,abundancia,nouns,4.65
2628,eglwys gadeiriol,techo,nouns,0.25
2629,emosiwn,pasión,nouns,3.55
2630,anniben,ordenado,adjectives,0.15
2631,gwraidd,hierba,nouns,0.8
2632,yn ddiogel,felizmente,adverbs,0.3
2633,gweinyddiaeth,gestión,nouns,2.85
2634,rheolaidd,ignorante,adjectives,0.0
2635,disgyn,retirarse,verbs,0.75
2636,maes awyr,avión,nouns,1.65
2637,tatws,mantequilla,nouns,0.45
2638,ffidil,instrumento,nouns,2.65
2639,rhannu,añadir,verbs,0.2
2640,gyferbyn,otro,adjectives,1.05
2641,argymell,aceptar,verbs,0.6
2642,meddwl,tratar,verbs,0.5
2643,actor,televisión,nouns,0.8
2644,newyddiadur,artículo,nouns,2.25
2645,mathemategydd,show,nouns,0.05
2646,ceiniog,ganga,nouns,0.6
2647,pêl,cañón,nouns,0.5
2648,cymryd,llevar,verbs,0.7
2649,awst,mes,nouns,2.6
2650,gwythïen,buque,nouns,0.0
2651,twymyn,enfermedad,nouns,2.8
2652,marw,desintegrarse,verbs,0.4
2653,diflannu,desaparecer,verbs,5.3
2654,ehangu,crecer,verbs,4.6
2655,wythnos,fin de semana,nouns,1.9
2656,awdur,lector,nouns,0.6
2657,bàth,habitación,nouns,0.55
2658,lluwchwynt,lluvia,nouns,0.75
2659,boch,lengua,nouns,0.55
2660,band,orquesta,nouns,3.7
2661,ysbryd,lámpara,nouns,0.5
2662,gohirio,terminar,verbs,0.6
2663,lifft,caja,nouns,0.15
2664,tynnu'n ôl,absorber,verbs,0.5
2665,teledu,comunicación,nouns,1.25
2666,afal,limón,nouns,0.85
2667,gwlyb,pegajoso,adjectives,0.55
2668,yn fecanyddol,idealmente,adverbs,0.1
2669,blwch,fuente,nouns,0.1
2670,datgelwyd,cubierto,adjectives,0.1
2671,sibrwd,hablar,verbs,1.85
2672,adfer,reparar,verbs,4.25
2673,damwain,emergencia,nouns,2.35
2674,haearn,vitamina,nouns,0.65
2675,cyn,después,adverbs,0.1
2676,derbyn,entregar,verbs,0.25
2677,papur newydd,información,nouns,1.55
2678,mêl,azúcar,nouns,1.6
2679,cyferbyn,único,adjectives,0.6
2680,emyn,cañita,nouns,0.05
2681,rhagfarn,chauvinista,nouns,2.1
2682,dygnwch,flor,nouns,0.15
2683,gofyn,ayudar,verbs,0.4
2684,anelu,golpear,verbs,0.75
2685,maint,truco,nouns,0.0
2686,bysellfwrdd,ligero,nouns,0.25
2687,cyllell,pistola,nouns,1.2
2688,cinio,pollo,nouns,1.2
2689,yn weithredol,pasivamente,adverbs,0.1
2690,coeden,arce,nouns,3.3
2691,gweiddi,discutir,verbs,1.35
2692,crwt,hija,nouns,0.8
2693,allbriodasol,inmencionable,adjectives,0.15
2694,mewnwelediad,hecho,nouns,0.65
2695,yn hapus,mortal,adverbs,0.05
2696,siriol,feliz,adjectives,5.25
2697,ynad,juez,nouns,3.75
2698,car,bicicleta,nouns,0.85
2699,môr,río,nouns,1.8
2700,byth,generosamente,adverbs,0.0
2701,melin,semilla,nouns,0.85
2702,darganfod,adquirir,verbs,1.35
2703,erydu,descolorarse,verbs,1.7
2704,bol,abdomen,nouns,4.4
2705,moleciwl,átomo,nouns,2.15
2706,barnu,testificar,verbs,0.85
2707,penderfynu,retratar,verbs,0.3
2708,car,tanque,nouns,0.7
2709,sitrws,naranja,nouns,3.1
2710,cylchfordaith,equipaje,nouns,0.55
2711,bacwn,frijol,nouns,0.25
2712,yn negyddol,antinaturalmente,adverbs,1.25
2713,ymddengys,volverse,verbs,0.85
2714,esgeuluso,desconocer,verbs,0.9
2715,cyhyrau,hueso,nouns,0.45
2716,rheolwr,líder,nouns,3.45
2717,purdan,más allá,nouns,2.1
2718,sudd,leche,nouns,0.8
2719,gwraig,bañera,nouns,0.1
2720,anrheg,escritor,nouns,0.05
2721,brwnt,pegajoso,adjectives,1.1
2722,annog,desalentar,verbs,0.15
2723,ale,cuenco,nouns,0.0
2724,coginio,freír,verbs,2.4
2725,dugiaeth,principado,nouns,2.2
2726,cywilydd,modesto,adjectives,0.4
2727,llwyddo,lograr,verbs,4.65
2728,actor,poliedro,nouns,0.0
2729,aseiniad,tarea,nouns,4.85
2730,eglwys gadeiriol,iglesia,nouns,3.9
2731,credyd,prestatario,nouns,1.8
2732,soffa,cama,nouns,1.4
2733,stryd,callejón,nouns,3.2
2734,stondin,teléfono,nouns,0.6
2735,gadael,aparecer,verbs,0.35
2736,cytoplasm,dígito,nouns,0.0
2737,cymysgu,remover,verbs,3.05
2738,rhyfelwr,hombre,nouns,0.6
2739,cwmwl,tormenta,nouns,1.0
2740,meddwl,neurosis,nouns,1.35
2741,diplomyddiaeth,negociación,nouns,2.45
2742,cwmwl,clima,nouns,0.85
2743,yn feddal,firmemente,adverbs,0.35
2744,derbyn,aceptar,verbs,3.35
2745,heb ei ddefnyddio,nuevo,adjectives,5.0
2746,cam,curvo,adjectives,2.75
2747,hunan,confianza,nouns,0.65
2748,menyw,tarea,nouns,0.1
2749,haint,enfermedad,nouns,3.9
2750,dychmygu,pretender,verbs,1.6
2751,llun,alboroto,nouns,0.05
2752,cotwm,poliéster,nouns,1.45
2753,dal,lanzar,verbs,0.75
2754,parti,máscara,nouns,0.3
2755,sarsiant,pistola,nouns,0.5
2756,gwisgedig,cubierto,adjectives,2.1
2757,gair,frase,nouns,1.7
2758,gwasgu,abrazar,verbs,1.5
2759,bachgen,hijo,nouns,3.45
2760,traethawd,libro,nouns,1.1
2761,dyfalu,irritar,verbs,0.0
2762,pen,alfabeto,nouns,0.4
2763,bach,enorme,adjectives,0.15
2764,priffordd,coche,nouns,1.1
2765,dillad,botón,nouns,0.8
2766,pen,uña,nouns,0.3
2767,anthropoleg,arqueología,nouns,1.35
2768,dosbarth,universidad,nouns,1.35
2769,taith,viaje,nouns,3.35
2770,cyflog,dinero,nouns,3.3
2771,cael,perder,verbs,0.15
2772,tarw,becerro,nouns,2.05
2773,brwydr,conquista,nouns,2.25
2774,diflas,mediocre,adjectives,0.45
2775,taro,objetivo,verbs,0.75
2776,mamfwrdd,placa base,nouns,2.35
2777,gwddf,espina,nouns,0.7
2778,arian,salario,nouns,3.3
2779,banereg,bandera,nouns,0.95
2780,germ,patógeno,nouns,3.65
2781,cymeradwyo,permitir,verbs,2.85
2782,hurt,enorme,adjectives,0.0
2783,casáu,disfrutar,verbs,0.05
2784,ardderchog,genial,adjectives,4.75
2785,prysur,perezoso,adjectives,0.15
2786,colli,sustraer,verbs,0.3
2787,cerddorfa,banda,nouns,3.7
2788,brandi,vino,nouns,1.35
2789,dweud,participar,verbs,0.6
2790,ymgeisydd,ganador,nouns,1.25
2791,cymyl,niebla,nouns,2.4
2792,oedolyn,niño,nouns,0.65
