ID,EST,POL,PoS,score
2056,kass,zwięrzę domowe,nouns,2.75
2057,naine,sekretarka,nouns,1.55
2058,tõestama,tłumaczyć,verbs,2.0
2059,usaldusväärselt,pasywnie,adverbs,0.3
2060,ilmselge,zauważalny,adjectives,3.4
2061,haiget tegema,dokuczać,verbs,2.8
2062,pidu,ludzie,nouns,0.7
2063,tugev,dumny,adjectives,0.8
2064,praegu,delikatnie,adverbs,0.2
2065,vähenema,spadać,verbs,1.35
2066,tädi,wujek,nouns,1.2
2067,minevik,poprzednik,nouns,1.35
2068,lamp,dżin,nouns,0.7
2069,põhiliselt,krytycznie,adverbs,0.75
2070,saama,pojawić się,verbs,1.1
2071,süüdistama,oskarżać,verbs,3.8
2072,tsensuur,swoboda,nouns,0.2
2073,kartul,masło,nouns,0.7
2074,kokkuhoid,ciułacz,nouns,1.45
2075,loll,bystry,adjectives,0.35
2076,pakt,warunek,nouns,0.9
2077,stsenarist,telewizja,nouns,0.65
2078,pöörane,straszliwy,adjectives,2.65
2079,voodi,krzesło,nouns,0.6
2080,kuju,rzeźba,nouns,4.9
2081,mitu korda,dwukrotnie,adverbs,1.35
2082,saatma,otrzymywać,verbs,0.55
2083,tekk,podłoga,nouns,1.75
2084,hirmunud,niepewny,adjectives,2.2
2085,jaanalind,sad,nouns,0.0
2086,bänd,orkiestra,nouns,3.5
2087,aken,drzwi,nouns,1.1
2088,galerii,prawnik,nouns,0.0
2089,rassism,ksenofobia,nouns,3.1
2090,linnapea,przewodniczący,nouns,1.8
2091,nüri,ostry,adjectives,0.35
2092,vahekohus,sprawiedliwość,nouns,1.9
2093,teavitama,uznawać,verbs,0.85
2094,koidik,dzień,nouns,1.8
2095,linateos,film,nouns,4.8
2096,vähendama,kurczyć się,verbs,3.0
2097,kroon,klucz,nouns,0.5
2098,pea,stopa,nouns,0.6
2099,logaritm,formuła,nouns,1.45
2100,kitsas,długi,adjectives,0.55
2101,voodi,meble,nouns,2.45
2102,leegion,armia,nouns,3.15
2103,täiskasvanu,niemowlę,nouns,0.45
2104,kolonel,dentysta,nouns,0.05
2105,heidutama,nawalić,verbs,0.65
2106,lugema,rozumieć,verbs,0.9
2107,kohv,ziarnko,nouns,1.25
2108,nägemine,percepcja,nouns,2.25
2109,kaebama,kłócić się,verbs,1.3
2110,kurvalt,emocjonalnie,adverbs,1.3
2111,kritseldama,pisać,verbs,2.6
2112,kelder,drzwi,nouns,0.6
2113,tagasihoidlik,giętki,adjectives,0.35
2114,mobiiltelefon,telefon,nouns,4.75
2115,märk,symbol,nouns,5.2
2116,turvaliselt,ostrożnie,adverbs,3.65
2117,võitma,pobić,verbs,1.95
2118,seersant,pistolet,nouns,0.55
2119,rivi,lista,nouns,1.6
2120,minut,sekunda,nouns,1.3
2121,tähelepanu,zainteresowanie,nouns,3.4
2122,algama,iść,verbs,0.3
2123,tuba,budynek,nouns,1.3
2124,karusnahk,pistolet,nouns,0.3
2125,näljane,spragniony,adjectives,1.5
2126,keha,krew,nouns,0.9
2127,seletama,wyjaśniać,verbs,5.05
2128,veok,samochód,nouns,3.4
2129,valetama,oskarżać,verbs,0.25
2130,sultan,ministerstwo,nouns,0.25
2131,raamat,manuskrypt,nouns,2.75
2132,kokku suruma,pojmować,verbs,0.55
2133,käsi,stopa,nouns,1.1
2134,kleepuv,mokry,adjectives,1.2
2135,kalju,wzgórze,nouns,2.1
2136,vihm,grad,nouns,1.7
2137,aktsepteerima,wybaczać,verbs,2.45
2138,telefon,ofiara,nouns,0.15
2139,meelde tuletama,zapominać,verbs,0.35
2140,fotofon,homofon,nouns,0.15
2141,pakk,ciężarówka,nouns,1.15
2142,pea,nos,nouns,0.85
2143,vastandlik,unikatowy,adjectives,0.7
2144,kanjon,dolina,nouns,3.45
2145,sassis,brzydki,adjectives,1.4
2146,jalgratas,sypialnia,nouns,0.05
2147,liit,kombinacja,nouns,1.75
2148,koor,kościół,nouns,1.3
2149,närv,mózg,nouns,1.25
2150,riie,ubrania,nouns,1.6
2151,tähestik,długopis,nouns,0.35
2152,klaaspurk,filiżanka,nouns,1.25
2153,edu saavutama,nawalić,verbs,0.3
2154,võitma,dominować,verbs,2.25
2155,õpetaja,pomocnik,nouns,1.05
2156,pesapall,braterstwo,nouns,0.1
2157,valetama,udawać,verbs,2.8
2158,skulptuur,statua,nouns,4.9
2159,abitu,potrzebujący,adjectives,2.9
2160,kontrollima,zbadać,verbs,3.15
2161,rüüpama,pić,verbs,4.15
2162,õnnelikult,bezpiecznie,adverbs,1.7
2163,merevägi,wyspa,nouns,0.25
2164,kätte toimetama,brać,verbs,0.5
2165,kabel,kabel,nouns,0.05
2166,plärtsatus,lepkość,nouns,0.1
2167,oponent,przeciwnik,nouns,5.35
2168,luu,łokieć,nouns,1.25
2169,sünnipäev,rok,nouns,0.9
2170,purustama,demolować,verbs,4.35
2171,uhke,arogancki,adjectives,2.65
2172,andma,kraść,verbs,0.15
2173,näitleja,telewizja,nouns,1.0
2174,luu,kolano,nouns,1.25
2175,kallas,wybrzeże ,nouns,4.15
2176,teenima,robić,verbs,0.8
2177,skeem,pomysł,nouns,2.2
2178,taganema,odchodzić,verbs,2.85
2179,keskpärane,nudny,adjectives,2.0
2180,lihtne,łatwy,adjectives,4.85
2181,palk,drewno,nouns,3.55
2182,süüdistama,pchać,verbs,0.25
2183,osalema,gromadzić się,verbs,1.75
2184,arvamus,wybór,nouns,0.9
2185,katus,okno,nouns,0.7
2186,tapeet,tło,nouns,3.0
2187,käsitöö,tradycja,nouns,0.7
2188,huul,biodro,nouns,0.4
2189,avastama,zdać sobie sprawę,verbs,3.7
2190,miljonär,dolar,nouns,0.7
2191,massivne,astronomiczny,adjectives,2.4
2192,mõnikord,jednorodnie,adverbs,0.3
2193,päev,poranek,nouns,1.95
2194,kuningas,nepotyzm,nouns,1.0
2195,surm,katastrofa,nouns,1.75
2196,tipp,bok,nouns,0.6
2197,lubama,aprobować,verbs,3.85
2198,normaalne,dziwaczny,adjectives,0.3
2199,seisma,chodzić,verbs,0.25
2200,kallis,leniwy,adjectives,0.15
2201,rand,brzeg morski,nouns,3.75
2202,vaimustav,nudny,adjectives,0.05
2203,aken,chmura,nouns,0.15
2204,närv,trzewia,nouns,0.5
2205,metsamajake,pole,nouns,0.85
2206,imenduma,wycofać,verbs,0.05
2207,ühendama,wiązać,verbs,3.65
2208,siiralt,zwykle,adverbs,0.8
2209,naarits,olej,nouns,0.2
2210,intelligentsus,mądrość,nouns,4.6
2211,õnnelik,młody,adjectives,0.55
2212,suurus,cent,nouns,0.35
2213,korporatsioon,mężczyźni,nouns,1.1
2214,ülaosa,spód,nouns,0.45
2215,äsja,realistycznie,adverbs,0.15
2216,hävitama,ratować,verbs,0.15
2217,leidma,zniknąć,verbs,0.35
2218,õun,światło słoneczne,nouns,0.25
2219,põhiseadus,senat,nouns,0.95
2220,heaks kiitma,pozwalać,verbs,3.85
2221,taim,rolnictwo,nouns,0.95
2222,asjaolu,sytuacja,nouns,4.1
2223,tööstus,biznes,nouns,2.2
2224,kohalolek,nieobecność,nouns,0.45
2225,hirmus,smutny,adjectives,0.55
2226,võlgnema,wchodzić,verbs,0.05
2227,alandama,pocieszać,verbs,0.0
2228,kõht,ciało,nouns,1.35
2229,klassiruum,hol,nouns,0.65
2230,uba,kawa ,nouns,1.25
2231,tase,wynik,nouns,2.3
2232,haigutama,budzić się,verbs,0.55
2233,saar,plaża,nouns,1.4
2234,ajaleht,słowo,nouns,0.75
2235,tuli,szachy,nouns,1.9
2236,räpane,klejący,adjectives,1.85
2237,suur,wielki,adjectives,4.8
2238,suur,giętki,adjectives,0.2
2239,homme,dzisiaj wieczorem,adverbs,0.15
2240,omama,zachować,verbs,2.05
2241,armastaja,towarzysz,nouns,1.9
2242,naps,wino,nouns,2.85
2243,patsient,sesja,nouns,0.4
2244,trumm,gitara,nouns,1.05
2245,korrutama,dodawać,verbs,0.7
2246,aktsepteerima,uznawać,verbs,4.0
2247,tööline,aparat,nouns,0.2
2248,võimekus,kompetencja,nouns,3.9
2249,saak,bóg,nouns,0.1
2250,unustama,wiedzieć,verbs,0.2
2251,õrnalt,głośno,adverbs,0.0
2252,juur,trawa,nouns,0.75
2253,süüdistama,kłamać,verbs,0.25
2254,hirmunud,nieśmiały,adjectives,1.85
2255,haigla,łóżko,nouns,0.75
2256,ebaloomulikult,negatywnie,adverbs,0.6
2257,kutt,przyjaciel,nouns,1.45
2258,selgitama,definiować,verbs,4.05
2259,saatma,iść,verbs,0.35
2260,autor,twórca,nouns,5.6
2261,tubakas,papieros,nouns,2.85
2262,teema,opowieść,nouns,1.5
2263,kapp,ubrania,nouns,0.5
2264,pöörane,chory,adjectives,1.75
2265,teadma,dać,verbs,0.1
2266,kass,mysz,nouns,0.5
2267,väetis,wzrost,nouns,1.0
2268,tõend,fakt,nouns,3.3
2269,illusioon,rzeczywistość,nouns,0.6
2270,laine,pogoda,nouns,0.25
2271,lind,indyk,nouns,2.7
2272,katastroof,śmierć,nouns,1.75
2273,mees,mąż,nouns,2.8
2274,hädasti,szybko,adverbs,3.55
2275,valik,wybory,nouns,2.8
2276,napp,rzadki,adjectives,1.05
2277,leidma,szukać,verbs,1.0
2278,lein,agonia,nouns,1.4
2279,naljakas,smutny,adjectives,0.35
2280,kuninganna,pszczoła,nouns,0.75
2281,raha,perła,nouns,0.35
2282,reostus,prezydent,nouns,0.15
2283,vahekäik,przedpokój,nouns,1.35
2284,vajalik,niepotrzebny,adjectives,0.25
2285,sisenema,wychodzić,verbs,0.5
2286,poiss,żołnierz,nouns,0.4
2287,käsivars,noga,nouns,1.15
2288,astronoom,galaktyka,nouns,1.15
2289,mees,kobieta,nouns,0.65
2290,laenama,błagać,verbs,1.35
2291,kuulsus,bogactwo,nouns,0.85
2292,kutt,ogier,nouns,1.15
2293,kaunistus,koperta,nouns,0.35
2294,valge,wąski,adjectives,0.1
2295,puu,liść,nouns,0.95
2296,võitja,mistrz,nouns,4.95
2297,compass,słoń,nouns,0.55
2298,eeldama,przewidywać,verbs,3.0
2299,ananass,smartfon,nouns,0.05
2300,valimisõigus,wyjście,nouns,0.2
2301,ülbe,dumny,adjectives,2.65
2302,küpsetama,smażyć,verbs,2.75
2303,preester,mnich,nouns,2.25
2304,normaalselt,rutynowo,adverbs,3.05
2305,lill,wytrzymałość,nouns,0.15
2306,otsima,patrzeć,verbs,0.95
2307,kägistama,zabić,verbs,2.3
2308,vastane,oponent,nouns,5.35
2309,aitama,chronić,verbs,2.15
2310,pudel,puszka,nouns,1.1
2311,hammas,usta,nouns,0.95
2312,täna õhtul,jutro,adverbs,0.15
2313,salaja,śmiało,adverbs,0.4
2314,teleskoop,krzesło,nouns,0.0
2315,lubama,przysięgać,verbs,3.9
2316,rand,wybrzeże,nouns,3.3
2317,ministeerium,sułtan,nouns,0.25
2318,intelligentsus,ignorancja,nouns,0.3
2319,sigar,rura,nouns,0.5
2320,sõdur,pokój,nouns,0.35
2321,kiire,prędki,adjectives,4.05
2322,vannituba,kuchnia,nouns,0.95
2323,haiget tegema,kopać,verbs,1.5
2324,defineerima,wyjaśniać,verbs,4.05
2325,sild,samochód,nouns,0.3
2326,põhi,zachód,nouns,0.9
2327,küpselt,bystrze,adverbs,3.05
2328,elama,przeżyć,verbs,2.7
2329,ründama,ranić,verbs,2.4
2330,tagasihoidlikult,marnie,adverbs,0.6
2331,teksad,kobieta,nouns,0.15
2332,mõis,rzeźbiarz,nouns,0.1
2333,kana,ryż,nouns,0.45
2334,kindlustunne,własna osoba,nouns,1.05
2335,lõuna,północ,nouns,0.7
2336,majandus,ekosystem,nouns,0.65
2337,heameelt tegema,zgadzać się,verbs,0.85
2338,kool,prawo,nouns,0.3
2339,lagunemine,faktoryzacja,nouns,1.0
2340,tahtma,wybierać,verbs,1.35
2341,ekraan,fonologia,nouns,0.1
2342,hirmul,zaniepokojony,adjectives,3.1
2343,ütlema,uczestniczyć,verbs,0.35
2344,üksildane,biedny,adjectives,0.8
2345,rumal,tępy,adjectives,5.25
2346,dieet,jabłko,nouns,0.35
2347,loputama,myć,verbs,3.4
2348,hambad,młotek,nouns,0.1
2349,kallis,nieśmiały,adjectives,0.05
2350,tormama,śpieszyć się,verbs,4.7
2351,liiv,stopa,nouns,0.05
2352,eine,wieczerza,nouns,3.9
2353,unustama,uczyć się,verbs,0.25
2354,tähtsalt,oficjalnie,adverbs,2.05
2355,lill,krzak,nouns,1.25
2356,vihmavari,grzejnik,nouns,0.05
2357,saama,nabyć,verbs,2.95
2358,mees,dziecko,nouns,0.65
2359,ohutult,szczęśliwie,adverbs,1.7
2360,baas,stopa,nouns,0.55
2361,kallistama,udusić,verbs,0.35
2362,ostma,płacić,verbs,2.35
2363,kinematograafia,reżyser,nouns,1.25
2364,vinge,szalony,adjectives,2.65
2365,põõsas,kwiat,nouns,1.25
2366,ignorantsus,inteligencja,nouns,0.3
2367,rada,tunel,nouns,0.6
2368,huvi,uwaga,nouns,3.4
2369,mees,wujek,nouns,1.9
2370,kohalolek,drzwi,nouns,0.2
2371,maks,dochód,nouns,0.6
2372,vann,trik,nouns,0.0
2373,enne,po,adverbs,0.5
2374,määrama,ewakuować,verbs,0.05
2375,laskuma,wycofywać się,verbs,1.3
2376,osalema,wysyłać,verbs,0.35
2377,lõik,list,nouns,0.5
2378,positiivselt,prawdopodobnie,adverbs,1.5
2379,veider,normalny,adjectives,0.3
2380,vaene,samotny,adjectives,0.8
2381,sisalik,wąż ,nouns,1.3
2382,mugavalt,łatwo,adverbs,1.9
2383,õudne,zły,adjectives,3.45
2384,autopasun,samochód,nouns,0.6
2385,valik,żyła,nouns,0.05
2386,muru,korzeń,nouns,0.75
2387,putukas,pestycyd,nouns,1.3
2388,priius,swoboda,nouns,5.35
2389,pöörane,zadowolony,adjectives,0.3
2390,võtma,uzyskać,verbs,1.75
2391,korter,hotel,nouns,1.15
2392,muffin,pietruszka,nouns,0.2
2393,uskumus,pojęcie,nouns,1.75
2394,kaste,jabłko,nouns,0.25
2395,taldrik,miska,nouns,2.75
2396,alkohol,wino,nouns,2.75
2397,süsivesik,sacharoza,nouns,2.75
2398,maatriks,cząsteczka,nouns,0.45
2399,saama,kłaść,verbs,0.1
2400,regulaarne,nieświadomy,adjectives,0.2
2401,keha,żołądek,nouns,1.35
2402,ronima,wędrować,verbs,1.35
2403,puhastustuli,zaświaty,nouns,1.8
2404,filosoof,wyścigi,nouns,0.0
2405,kõht,żyła,nouns,0.3
2406,vastu võtma,dostarczać,verbs,0.3
2407,veen,żołądek,nouns,0.3
2408,kell,drzwi,nouns,0.3
2409,voodi,kanapa,nouns,3.05
2410,andma,zachować,verbs,0.35
2411,keel,gardło,nouns,1.05
2412,tita,córka,nouns,2.05
2413,dinosaurus,słoń,nouns,0.65
2414,kleepuv,brudny,adjectives,1.85
2415,kodus,daleko,adverbs,0.35
2416,lisama,budować,verbs,0.9
2417,alus,kwas,nouns,0.5
2418,tooma,przywrócić,verbs,0.9
2419,heli,akustyka,nouns,2.15
2420,vaenulikkus,agresja,nouns,4.2
2421,lagunema,umrzeć,verbs,1.35
2422,medal,adidasy,nouns,0.2
2423,univesum,niebo,nouns,1.7
2424,kihlus,pierścień,nouns,0.95
2425,segama,bić,verbs,1.1
2426,vaimulik,rabin,nouns,4.35
2427,täht,asteroida,nouns,1.8
2428,vaatama,szukać,verbs,0.95
2429,kaotama,zachować,verbs,0.2
2430,alustama,zaczynać,verbs,4.4
2431,rääkima,szeptać,verbs,2.2
2432,mänguasi,sześcian,nouns,0.4
2433,kool,ocena,nouns,1.15
2434,lisama,oddzielać,verbs,0.15
2435,olukord,okoliczność,nouns,4.1
2436,põlv,ramię,nouns,0.8
2437,linnapea,prezydent,nouns,1.5
2438,katedraal,kościół,nouns,4.1
2439,rahvas,balon,nouns,0.15
2440,mugavus,bezpieczeństwo,nouns,1.3
2441,meri,tsunami,nouns,1.0
2442,jooma,połykać,verbs,2.4
2443,hirmunud,nerwowy,adjectives,1.85
2444,valjult,subtelnie,adverbs,0.0
2445,kaitsma,zakryć,verbs,1.7
2446,radikaalne,gwałtowny,adjectives,1.8
2447,kissitama,razić,verbs,0.65
2448,teadustama,deklarować,verbs,4.55
2449,slaid,wskaźnik,nouns,0.05
2450,tool,sofa,nouns,1.4
2451,vastu võtma,polecać,verbs,0.45
2452,õhupall,ludzie,nouns,0.15
2453,lahkuma,wędrować,verbs,0.75
2454,õun,sok,nouns,1.15
2455,uitama,szukać,verbs,1.5
2456,teater,bateria,nouns,0.2
2457,pealik,burmistrz,nouns,1.8
2458,vahetama,przerobić,verbs,3.15
2459,uba,ryż,nouns,0.9
2460,intelligentne,bystry,adjectives,5.05
2461,loll,niemądry,adjectives,4.7
2462,sahharoos,węglowodan,nouns,2.75
2463,kana,ptak,nouns,2.55
2464,vaidlema,rządać,verbs,1.0
2465,äri,firma,nouns,4.4
2466,sajand,dekada,nouns,1.1
2467,noomima,rządać,verbs,1.0
2468,vastutustundlikult,niezależnie,adverbs,1.2
2469,algvorm,sylaba,nouns,0.8
2470,mõtlema,próbować,verbs,0.7
2471,surema,pochować,verbs,1.1
2472,lõimima,ruszać,verbs,0.2
2473,deemon,potwór,nouns,3.95
2474,lahkuma,eksmitować,verbs,0.9
2475,teostama,stać się,verbs,1.5
2476,partner,facet,nouns,2.35
2477,küüs,ręka,nouns,0.55
2478,kalts,ubrania,nouns,1.65
2479,gripp,gorączka,nouns,1.9
2480,stressis,zrelaksowany,adjectives,0.3
2481,külge tõmbama,uderzyć,verbs,0.3
2482,pruut,pan młody,nouns,1.0
2483,viga,system,nouns,0.35
2484,karp,narzędzia,nouns,0.45
2485,õlu,alkohol,nouns,3.15
2486,jogurt,bydło,nouns,0.35
2487,määrama,obierać,verbs,1.65
2488,parim,piąty,adjectives,0.35
2489,kiirustama,śpieszyć,verbs,4.7
2490,mees,podejrzany,nouns,0.7
2491,globalism,wiza,nouns,0.5
2492,kurat,bóg,nouns,0.65
2493,negatiivne,nigdy,adjectives,0.45
2494,sümbol,kryptogram,nouns,2.75
2495,tüütu,pewny,adjectives,0.25
2496,saama,dać,verbs,0.6
2497,selgroog,ciało,nouns,1.2
2498,semu,towarzysz,nouns,4.35
2499,tsivilisatsioon,styl życia,nouns,0.9
2500,tehing,pens,nouns,0.1
2501,kummaline,przebiegły,adjectives,0.5
2502,kaer,pole,nouns,1.4
2503,lusikas,filiżanka,nouns,0.8
2504,poiss,brat,nouns,1.5
2505,poiss,dziecko,nouns,2.5
2506,ajakirjanik,poeta,nouns,0.95
2507,luud,kurz,nouns,0.65
2508,kauss,talerz,nouns,2.75
2509,õpetaja,instruktor,nouns,4.35
2510,ignoreerima,unikać,verbs,3.75
2511,lubama,dać,verbs,2.05
2512,petma,zwieść,verbs,4.95
2513,tõlge,obcokrajowiec,nouns,0.7
2514,proovima,myśleć,verbs,0.7
2515,krokodill,jaszczurka,nouns,1.95
2516,iga,piękno,nouns,0.4
2517,rütm,arytmetyka,nouns,0.65
2518,minema,zaczynać,verbs,0.3
2519,tabama,chybić,verbs,0.45
2520,mitte kunagi,chojnie,adverbs,0.1
2521,nahkhiir,wampir,nouns,0.9
2522,põgenema,umknąć,verbs,5.55
2523,minema,podróżować,verbs,2.5
2524,ebakindel,potrzebujący,adjectives,1.05
2525,episood,występ,nouns,0.55
2526,saama,brać,verbs,1.95
2527,hull,szalony,adjectives,4.95
2528,tööline,biuro,nouns,0.5
2529,kari,jogurt,nouns,0.35
2530,oksendama,zamykać,verbs,0.0
2531,kass,pies,nouns,0.75
2532,edu saavutama,próbować,verbs,0.75
2533,intiimne,osobisty,adjectives,3.8
2534,lõpetama,rozwiązać,verbs,3.35
2535,umbes,łatwo,adverbs,0.6
2536,muutma,zmienić,verbs,3.15
2537,privaatne,publiczny,adjectives,0.6
2538,kummaline,zwykły,adjectives,0.35
2539,pall,kula,nouns,2.05
2540,soetama,ukraść,verbs,0.65
2541,meenutama,sprzedawać,verbs,0.0
2542,relv,futro,nouns,0.3
2543,eesmärk,poszukiwanie,nouns,1.45
2544,kiiver,broń,nouns,0.6
2545,üllatama,celebrować,verbs,0.55
2546,õde,brat,nouns,0.95
2547,regulaarselt,czasami,adverbs,1.05
2548,meri,rzeka,nouns,1.5
2549,uhkelt,pokojowo,adverbs,0.35
2550,artikkel,książka,nouns,1.05
2551,satiir,mit,nouns,1.4
2552,vampiir,nietoperz,nouns,0.9
2553,lõpmatus,zero,nouns,0.7
2554,käivitama,wysyłać,verbs,0.5
2555,tooma,wysyłać,verbs,0.3
2556,andma,pożyczyć,verbs,1.9
2557,auto,szosa,nouns,0.7
2558,uus,stary,adjectives,0.35
2559,tina,aluminium,nouns,2.05
2560,teavitama,ukazywać,verbs,0.75
2561,aeg-ajalt,regularnie,adverbs,1.05
2562,korraldama,wymagać,verbs,0.6
2563,edendama,promować,verbs,3.25
2564,udu,chmura,nouns,1.95
2565,avastama,eksplorować,verbs,3.1
2566,ilmselgelt,pewnie,adverbs,3.6
2567,tugevalt,spokojnie,adverbs,0.65
2568,ühendama,dzielić,verbs,0.55
2569,ebakindel,przestraszony,adjectives,2.2
2570,julm,miły,adjectives,0.0
2571,valik,więzienie,nouns,0.25
2572,kange,łatwy,adjectives,0.05
2573,tõenäoliselt,naprawdę,adverbs,1.5
2574,televisioon,scenarzysta,nouns,0.65
2575,rahul,szczęśliwy,adjectives,4.25
2576,krüptogramm,symbol,nouns,2.75
2577,mood,tryb,nouns,0.55
2578,tilkuma,nalewać,verbs,1.25
2579,soolikas,nerw,nouns,0.5
2580,kindlalt,potajemnie,adverbs,0.4
2581,juhendaja,nauczyciel,nouns,4.35
2582,jälitama,złapać,verbs,1.5
2583,otsustama,ukazywać,verbs,0.25
2584,häbenev,zmartwiony,adjectives,0.45
2585,kasutamata,nowy,adjectives,4.75
2586,seebivaht,bańka,nouns,2.0
2587,moodus,moda,nouns,0.55
2588,kostüüm,bal,nouns,0.9
2589,toetaja,krykiet,nouns,0.2
2590,alati,dwukrotnie,adverbs,0.05
2591,puitmaterjal,polano,nouns,3.55
2592,korter,meble,nouns,0.85
2593,sügavalt,znacząco,adverbs,2.75
2594,muuseum,mennica,nouns,0.05
2595,iidne,nowy,adjectives,0.2
2596,mesi,nabiał,nouns,0.2
2597,kong,pokój,nouns,2.0
2598,suruma,uwalniać,verbs,0.2
2599,raske,prosty,adjectives,0.25
2600,paindlik,skromny,adjectives,0.35
2601,karvapealt,precyzyjnie,adverbs,5.6
2602,hambaarst,pułkownik,nouns,0.05
2603,naerma,płakać,verbs,0.6
2604,ründama,drażnić,verbs,1.1
2605,vabariik,książę,nouns,0.35
2606,puhas,niechlujny,adjectives,0.25
2607,intelligentne,tępy,adjectives,0.35
2608,korporatsioon,baseball,nouns,0.1
2609,põllumajandus,monokultura,nouns,1.7
2610,automobiil,samochód,nouns,5.2
2611,naerma,śpiewać,verbs,0.3
2612,lõpetama,rywalizować,verbs,0.25
2613,mehaanik,robotnik,nouns,2.25
2614,vaesus,bogactwo,nouns,0.5
2615,klaas,odznaka,nouns,0.2
2616,kaamera,soczewka,nouns,1.05
2617,vahekäik,hol,nouns,3.35
2618,kätte toimetama,nieść,verbs,2.2
2619,organ,wątroba,nouns,2.8
2620,hiiglasuur,malutki,adjectives,0.25
2621,imelikult,inaczej,adverbs,1.95
2622,tüütama,przeszkadzać,verbs,3.75
2623,tabama,celować,verbs,1.75
2624,loll,inteligentny,adjectives,0.35
2625,varastama,kupować,verbs,0.3
2626,näidik,samochód,nouns,0.6
2627,häbelik,drogi,adjectives,0.05
2628,hiljem,nigdy,adverbs,0.35
2629,jahu,chleb,nouns,0.9
2630,säästja,oszczędność,nouns,1.45
2631,videvik,wieczór,nouns,4.3
2632,rahvas,cent,nouns,0.1
2633,rott,mysz,nouns,1.75
2634,kell,wieża,nouns,0.9
2635,harilik,dziwny,adjectives,0.35
2636,põletama,udusić,verbs,0.3
2637,öö,rozdział,nouns,0.05
2638,ema,tata,nouns,1.05
2639,kandidaat,zwycięzca,nouns,0.95
2640,lähedaselt,lokalnie,adverbs,2.25
2641,punane,niebieski,adjectives,0.25
2642,klaas,kryształ,nouns,2.05
2643,kong,areszt,nouns,4.05
2644,ignoreerima,drukować,verbs,0.0
2645,peatükk,wybór,nouns,0.55
2646,pehmelt,głośno,adverbs,0.1
2647,mära,koń,nouns,3.0
2648,silp,lemma,nouns,0.8
2649,juhtkond,administracja,nouns,4.0
2650,vürtsine,słaby,adjectives,0.0
2651,auto,łódź,nouns,0.7
2652,helikopter,samolot,nouns,1.8
2653,laps,dziewczyna,nouns,1.35
2654,arutlema,argumentować,verbs,3.1
2655,režissöör,kinematografia,nouns,1.25
2656,elekter,futerał,nouns,0.2
2657,kahanema,redukować,verbs,3.0
2658,ooper,kino,nouns,1.15
2659,leht,drzewo,nouns,0.95
2660,rist,mnich,nouns,0.7
2661,rabi,duchowny,nouns,4.35
2662,makse,notatka,nouns,0.65
2663,liha,chleb,nouns,0.35
2664,putukas,pszczoła,nouns,2.8
2665,sümbol,kod,nouns,1.9
2666,mosaiik,bazylika,nouns,0.55
2667,tapma,niszczyć,verbs,2.3
2668,heldelt,nigdy,adverbs,0.1
2669,abistama,asystować,verbs,4.65
2670,esinema,pozdrawiać,verbs,0.2
2671,pakkumine,wkład,nouns,1.5
2672,vallutus,hymn,nouns,0.15
2673,vastupidavus,zespół,nouns,0.15
2674,põiktänav,miska,nouns,0.0
2675,sõitma,tasować,verbs,0.1
2676,intelligentsus,wgląd,nouns,0.1
2677,aktsepteerima,wierzyć,verbs,1.4
2678,käsi,kolano,nouns,0.8
2679,poiss,ryż,nouns,0.05
2680,tahtma,pożyczać,verbs,0.55
2681,tee,sposób,nouns,1.35
2682,paluma,pożyczać,verbs,1.35
2683,spetsiaalselt,znacząco,adverbs,2.1
2684,pisik,patogen,nouns,4.0
2685,jooksma,jeździć,verbs,0.5
2686,brändi,alkohol,nouns,2.85
2687,mõtlema,decydować,verbs,2.25
2688,reisima,iść,verbs,2.5
2689,depressioon,dolina,nouns,1.0
2690,leebe,ostry,adjectives,0.15
2691,poster,papier,nouns,1.55
2692,sissetulek,podatek,nouns,0.6
2693,lühike,długi,adjectives,0.25
2694,käsi,kciuk,nouns,1.45
2695,emaplaat,płyta główna,nouns,3.45
2696,ruum,cela,nouns,2.0
2697,kodutöö,esej,nouns,2.15
2698,vallutus,bitwa,nouns,2.3
2699,hämmastav,brudny,adjectives,0.25
2700,värav,drzwi,nouns,3.65
2701,järgima,zbadać,verbs,0.75
2702,peatükk,ogon,nouns,0.05
2703,püüdma,ścigać,verbs,1.5
2704,rütm,kadencja,nouns,1.35
2705,realistlikult,idealnie,adverbs,0.9
2706,patune,święty,nouns,0.4
2707,teavitama,informować,verbs,5.7
2708,tööandja,pracownik,nouns,1.2
2709,lumi,burza,nouns,1.25
2710,vektor,matryca,nouns,0.9
2711,silm,łza,nouns,1.0
2712,toru,cygaro,nouns,0.5
2713,esineja,piosenka,nouns,1.0
2714,uks,bractwo,nouns,0.2
2715,vann,pokój,nouns,0.45
2716,segama,gotować,verbs,0.65
2717,süsteemiplaat,płyta matka,nouns,3.45
2718,leib,mąka,nouns,0.9
2719,karp,elektryczność,nouns,0.2
2720,vaatama,obserwować,verbs,3.95
2721,tormakas,pośpieszny,adjectives,4.05
2722,näitleja,wielościan,nouns,0.15
2723,nina,głowa,nouns,0.85
2724,hea,znany,adjectives,0.35
2725,lämbuma,oddychać,verbs,0.35
2726,karistama,przestrzegać,verbs,0.7
2727,keeruline,prosty,adjectives,0.35
2728,hobune,pies,nouns,0.75
2729,kuulma,słuchać,verbs,2.6
2730,ebaseaduslik,prawowity,adjectives,0.35
2731,õnnetus,książka,nouns,0.05
