ID,ENG,POL,PoS,score
2203,bench,krzesło,nouns,2.11
2204,help,chronić,verbs,2.15
2205,glass,kryształ,nouns,1.89
2206,development,kwestowanie,nouns,0.09
2207,hashtag,temat,nouns,1.39
2208,apartment,hotel,nouns,1.02
2209,accident,książka,nouns,0.0
2210,think,decydować,verbs,1.82
2211,sea,delta,nouns,0.72
2212,suspect,mężczyzna,nouns,0.33
2213,bacon,fasola,nouns,0.24
2214,yard,metr,nouns,2.16
2215,multiply,dzielić,verbs,0.26
2216,drive,zatrzymywać,verbs,0.0
2217,mill,nasienie,nouns,0.17
2218,educate,uczyć  ,verbs,5.42
2219,clothes,guzik,nouns,0.61
2220,princess,ciastko,nouns,0.0
2221,bacon,śniadanie,nouns,0.86
2222,twice,zawsze,adverbs,0.13
2223,slender,szczupły,adjectives,5.34
2224,cinema,telewizja,nouns,1.14
2225,here,teraz,adverbs,1.36
2226,absence,obecność,nouns,0.12
2227,certain,pewny,adjectives,4.74
2228,stop,ostrzegać,verbs,0.58
2229,brain,umysł,nouns,3.42
2230,text,książka,nouns,2.16
2231,ugly,prymitywny,adjectives,0.91
2232,crime,pogwałcenie,nouns,3.17
2233,well,znany,adjectives,0.32
2234,information,książka,nouns,0.91
2235,blanket,łóżko,nouns,0.56
2236,flexible,luźny,adjectives,1.75
2237,fight,zabić,verbs,0.84
2238,deny,dać,verbs,0.0
2239,sonnet,piękno,nouns,0.22
2240,avoid,odrzucić,verbs,1.43
2241,teeth,kość,nouns,2.19
2242,silently,pasywnie,adverbs,1.22
2243,window,chmura,nouns,0.0
2244,wall,dekoracja,nouns,0.35
2245,deserve,zarabiać,verbs,1.82
2246,temper,doktor,nouns,0.0
2247,headword,składnia,nouns,0.39
2248,poor,dumny,adjectives,0.1
2249,funny,poważny,adjectives,0.0
2250,tin,aluminium,nouns,2.2
2251,hit,pociągać,verbs,0.0
2252,fraud,korupcja,nouns,3.19
2253,catastrophe,wypadek,nouns,3.83
2254,spoon,sok,nouns,0.0
2255,inquire,myśleć,verbs,0.7
2256,young,niespokojny,adjectives,0.44
2257,justice,trybunał,nouns,2.0
2258,erode,zezwalać,verbs,0.0
2259,molecule,matryca,nouns,0.14
2260,income,podatek,nouns,0.35
2261,strength,moc,nouns,4.63
2262,hypothesis,teoria,nouns,4.51
2263,cat,królik,nouns,0.86
2264,remember,myśleć,verbs,0.72
2265,fragile,oziębły,adjectives,0.15
2266,acquire,znaleźć,verbs,2.07
2267,twice,raz,adverbs,0.5
2268,cat,mysz,nouns,0.3
2269,honestly,lojalnie,adverbs,2.35
2270,think,próbować,verbs,0.25
2271,string,zachód słońca,nouns,0.0
2272,universe,niebo,nouns,1.15
2273,nerve,ciało,nouns,0.2
2274,bus,pojazd,nouns,2.66
2275,simply,najwyraźniej,adverbs,0.87
2276,information,entropia,nouns,0.48
2277,presence,drzwi,nouns,0.0
2278,jacket,ubrania,nouns,1.87
2279,forget,zatrzymywać,verbs,0.3
2280,launch,wysyłać,verbs,1.25
2281,wrist,ręka,nouns,1.56
2282,grow,kurczyć się,verbs,0.04
2283,door,brama,nouns,3.38
2284,theme,książka,nouns,0.04
2285,mix,mieszać,verbs,3.61
2286,wrapper,port,nouns,0.05
2287,remind,zapominać,verbs,0.04
2288,sometimes,kiedykolwiek,adverbs,0.92
2289,save,wydawać,verbs,0.04
2290,therapy,behawioryzm,nouns,1.23
2291,journal,artykuł,nouns,1.65
2292,exit,prawo wyborcze,nouns,0.05
2293,jaw,kość,nouns,0.87
2294,timber,polano,nouns,3.26
2295,narrow,biały,adjectives,0.0
2296,shatter,rozwalić,verbs,4.38
2297,understand,słuchać,verbs,1.09
2298,baseball,braterstwo,nouns,0.0
2299,money,diament,nouns,0.41
2300,tribunal,sprawiedliwość,nouns,2.0
2301,come,przynieść,verbs,0.09
2302,worker,pracodawca,nouns,1.34
2303,communication,konwersacja,nouns,3.26
2304,suffix,afiks,nouns,1.66
2305,race,weekend,nouns,0.0
2306,mother,przyjaciel,nouns,0.86
2307,pie,czekolada,nouns,0.47
2308,decoration,ściana,nouns,0.35
2309,blue,czerwony,adjectives,0.31
2310,blame,oskarżać,verbs,4.33
2311,officially,silnie,adverbs,0.51
2312,cathedral,sufit,nouns,0.25
2313,fee,pensja,nouns,1.13
2314,piece,lotnisko,nouns,0.0
2315,inexpensive,tani,adjectives,5.47
2316,bronchitis,acetaminofen,nouns,0.29
2317,intelligent,bystry,adjectives,5.39
2318,sucrose,węglowodan,nouns,2.08
2319,generous,przyjazny,adjectives,1.16
2320,failure,bankructwo,nouns,1.77
2321,winner,kandydat,nouns,0.73
2322,disagree,walczyć,verbs,1.89
2323,dance,sukienka,nouns,0.0
2324,fiction,biografia,nouns,0.49
2325,ring,zaręczyny,nouns,1.0
2326,honestly,nigdy,adverbs,0.0
2327,take,nieść,verbs,0.46
2328,corruption,oszustwo,nouns,3.19
2329,palm,palec,nouns,1.04
2330,comfort,bezpieczeństwo,nouns,1.41
2331,chapter,epizod,nouns,3.06
2332,crystal,szkło,nouns,1.89
2333,telephone,budka,nouns,0.92
2334,avoid,ignorować,verbs,2.98
2335,guest,przyjaciel,nouns,1.56
2336,break,pękać,verbs,3.03
2337,pot,urządzenie,nouns,0.39
2338,elegantly,pięknie,adverbs,3.17
2339,magnitude,głębia,nouns,1.81
2340,roam,wędrować,verbs,4.47
2341,car,fabryka,nouns,0.1
2342,leg,ramię,nouns,0.66
2343,wipe,pogorszyć się,verbs,0.2
2344,lose,zachować,verbs,0.0
2345,great,okropny,adjectives,0.04
2346,lazy,zajęty,adjectives,0.0
2347,politician,prezydent,nouns,3.34
2348,street,samochód,nouns,0.54
2349,death,tragedia,nouns,2.17
2350,prophet,ksiądz,nouns,0.76
2351,strike,chybić,verbs,0.05
2352,hang,kłaść,verbs,0.54
2353,belief,wartość,nouns,2.26
2354,lake,chmura,nouns,0.2
2355,bowl,zaułek,nouns,0.04
2356,lawyer,bankier,nouns,0.47
2357,confidently,potajemnie,adverbs,0.27
2358,vein,ramię,nouns,0.09
2359,newspaper,informacja,nouns,1.26
2360,tongue,policzek,nouns,0.65
2361,journey,wycieczka,nouns,5.21
2362,song,ballada,nouns,3.5
2363,meaningfully,specjalnie,adverbs,2.36
2364,month,sierpień,nouns,2.1
2365,entropy,informacja,nouns,0.48
2366,ignore,drukować,verbs,0.0
2367,enjoy,nienawidzić,verbs,0.0
2368,fraternity,mężczyźni,nouns,0.9
2369,apocalypse,ogień,nouns,0.74
2370,take,kraść,verbs,1.64
2371,agreement,pakt,nouns,4.9
2372,good,pikantny,adjectives,0.25
2373,nozzle,płyn,nouns,0.04
2374,stone,drewno,nouns,0.14
2375,uniform,nieukształtowany,adjectives,0.05
2376,president,aparat,nouns,0.0
2377,arrow,cel,nouns,0.34
2378,nose,głowa,nouns,0.64
2379,symbol,kod,nouns,1.89
2380,glad,obłąkany,adjectives,0.0
2381,bridge,karta,nouns,0.5
2382,yell,kłócić się,verbs,2.44
2383,chapel,kabel,nouns,0.05
2384,mayor,prezydent,nouns,1.54
2385,happily,śmiertelnie,adverbs,0.0
2386,great,wspaniały,adjectives,5.04
2387,humiliate,pocieszać,verbs,0.04
2388,newspaper,słowo,nouns,0.28
2389,before,po,adverbs,0.24
2390,tongue,gardło,nouns,0.83
2391,coach,gracz,nouns,0.51
2392,pretend,kłamać,verbs,2.91
2393,joystick,radar,nouns,0.12
2394,lion,kot,nouns,2.19
2395,hut,schronienie,nouns,2.16
2396,participate,współpracować,verbs,3.04
2397,easy,sztywny,adjectives,0.0
2398,minister,rabin,nouns,3.74
2399,sugarcane,konsorcjum,nouns,0.05
2400,dumb,niemądry,adjectives,4.46
2401,national,duży,adjectives,0.12
2402,head,nos,nouns,0.64
2403,father,brat,nouns,0.39
2404,cockpit,drugi pilot,nouns,0.22
2405,fall,boleć,verbs,0.3
2406,partner,chłopiec,nouns,0.63
2407,free,niewinny,adjectives,1.36
2408,singer,refren,nouns,0.79
2409,remain,zatrzymywać,verbs,0.9
2410,pact,warunek,nouns,1.15
2411,despise,obciążać,verbs,0.1
2412,leaf,drzewo,nouns,0.66
2413,pray,komunikować,verbs,0.54
2414,noticeable,oczywisty,adjectives,3.79
2415,winner,obecność,nouns,0.05
2416,bible,hymn,nouns,0.73
2417,clarify,tłumaczyć,verbs,5.23
2418,generously,życzliwie,adverbs,2.64
2419,energy,bateria,nouns,1.77
2420,dinner,zupa,nouns,1.34
2421,sunshine,jabłko,nouns,0.05
2422,screenwriter,telewizja,nouns,0.32
2423,marry,angażować,verbs,1.02
2424,door,piwnica,nouns,0.14
2425,party,ludzie,nouns,0.59
2426,story,książka,nouns,2.06
2427,top,spód,nouns,0.15
2428,tonight,dzisiaj,adverbs,1.92
2429,band,orkiestra,nouns,3.24
2430,supremacy,wszechmoc,nouns,1.41
2431,idea,opinia,nouns,2.08
2432,optimistically,możliwie,adverbs,0.49
2433,bedroom,rower,nouns,0.0
2434,daughter,ojciec,nouns,0.28
2435,room,łóżko,nouns,0.34
2436,bicycle,samochód,nouns,0.54
2437,try,przekonywać,verbs,0.77
2438,cathedral,kościół,nouns,3.84
2439,plane,odrzutowiec,nouns,4.39
2440,bar,klatka,nouns,0.56
2441,storm,śnieg,nouns,1.14
2442,receive,brać,verbs,1.56
2443,ball,siatkówka,nouns,1.59
2444,purely,kompletnie,adverbs,2.25
2445,new,niedawny,adjectives,3.92
2446,band,trunek,nouns,0.0
2447,preheat,odgrzewać,nouns,1.38
2448,important,konieczny,adjectives,4.1
2449,waist,posiłek,nouns,0.05
2450,bother,przeszkadzać,verbs,3.92
2451,new,świeży,adjectives,3.79
2452,make,konstruować,verbs,3.75
2453,man,podejrzany,nouns,0.33
2454,bite,walczyć,verbs,0.79
2455,atmosphere,zanieczyszczenie,nouns,0.35
2456,find,szukać,verbs,1.36
2457,nature,flora,nouns,2.82
2458,rare,niezwykły,adjectives,4.75
2459,profession,koledż,nouns,0.19
2460,apple,sok,nouns,0.69
2461,drum,róg,nouns,0.41
2462,moss,trawa,nouns,1.36
2463,mouse,kierownictwo,nouns,0.05
2464,generous,miły,adjectives,1.17
2465,float,śpiewać,verbs,0.0
2466,angel,demon,nouns,0.22
2467,leave,wędrować,verbs,0.46
2468,friend,nauczyciel,nouns,0.26
2469,tram,pociąg,nouns,2.23
2470,fever,schorzenie,nouns,1.97
2471,millionaire,dolar,nouns,0.36
2472,ride,tasować,verbs,0.0
2473,anthropology,archeologia,nouns,1.18
2474,receive,dać,verbs,0.24
2475,balloon,wanna,nouns,0.0
2476,drink,wymieszać,verbs,0.05
2477,dirty,niesamowity,adjectives,0.0
2478,baby,dorosły,nouns,0.15
2479,television,scenarzysta,nouns,0.32
2480,new,nieużywany,adjectives,4.87
2481,door,bractwo,nouns,0.05
2482,cable,kaplica,nouns,0.05
2483,top,piąty,adjectives,0.0
2484,god,ksiądz,nouns,0.49
2485,collect,trząść,verbs,0.05
2486,path,tunel,nouns,0.42
2487,music,flet,nouns,0.85
2488,squint,razić,verbs,0.54
2489,opinion,wybór,nouns,0.89
2490,never,później,adverbs,0.57
2491,eye,łza,nouns,0.38
2492,shore,wybrzeże ,nouns,4.33
2493,pardon,wybaczać,verbs,4.33
2494,awake,chrapać,verbs,0.09
2495,hug,trzymać,verbs,1.5
2496,fight,bawić się,verbs,0.0
2497,wide,świeży,adjectives,0.05
2498,obviously,dyskretnie,adverbs,0.04
2499,amazingly,fantastycznie,adverbs,5.09
2500,disappear,znaleźć,verbs,0.0
2501,vanish,zniknąć,verbs,4.87
2502,once,dwukrotnie,adverbs,0.5
2503,curved,agresywny,adjectives,0.0
2504,task,wyspa,nouns,0.0
2505,biologist,mikroskop,nouns,0.42
2506,seedling,liść,nouns,0.44
2507,loyally,szczerze,adverbs,2.35
2508,graph,diagram,nouns,4.29
2509,bother,urazić,verbs,1.93
2510,communication,telewizja,nouns,0.79
2511,astronomical,ogromny,adjectives,2.81
2512,accurately,aktywnie,adverbs,0.34
2513,seek,szukać,verbs,5.21
2514,chapter,noc,nouns,0.0
2515,floor,dach,nouns,0.45
2516,box,źródło,nouns,0.0
2517,wide,wąski,adjectives,0.04
2518,easy,trudny,adjectives,0.04
2519,confuse,uczyć się,verbs,0.0
2520,originate,zaczynać,verbs,3.85
2521,mouse,kot,nouns,0.3
2522,president,burmistrz,nouns,1.54
2523,pull,pchać,verbs,0.29
2524,light,klawiatura,nouns,0.0
2525,accept,dostarczać,verbs,0.0
2526,movement,aktywność,nouns,3.64
2527,eagle,sokół,nouns,2.09
2528,matrix,cząsteczka,nouns,0.14
2529,let,zezwalać,verbs,5.1
2530,friendly,nieprawdopodobny,adverbs,0.05
2531,lose,odejmować,verbs,1.81
2532,parsley,babeczka,nouns,0.0
2533,generously,nigdy,adverbs,0.0
2534,winner,cel,nouns,0.26
2535,happy,rozzłoszczony,adjectives,0.09
2536,fake,sztuczny,adjectives,4.63
2537,organize,zbierać,verbs,1.65
2538,grow,rozprzestrzeniać się,verbs,4.3
2539,build,tworzyć,verbs,4.0
2540,intimate,osobisty,adjectives,3.39
2541,negative,nigdy,adjectives,0.15
2542,museum,mennica,nouns,0.09
2543,mansion,rzeźbiarz,nouns,0.0
2544,sharp,tępy,adjectives,0.04
2545,vitamin,żelazo,nouns,1.17
2546,meet,pozdrawiać,verbs,1.36
2547,arm,żyła,nouns,0.09
2548,paper,drewno,nouns,0.91
2549,aggravate,naprzykrzać się,verbs,2.7
2550,star,planeta,nouns,1.81
2551,guitar,bęben,nouns,0.76
2552,cellar,drzwi,nouns,0.14
2553,strange,zwykły,adjectives,0.04
2554,orderly,niechlujny,adjectives,0.04
2555,telescope,burza mózgów,nouns,0.0
2556,creative,nowatorski,adjectives,4.27
2557,unanticipated,nieprzewidziany,adjectives,5.36
2558,leave,pozostać,verbs,0.12
2559,portray,decydować,verbs,0.05
2560,comprehend,czytać,verbs,1.29
2561,son,brat,nouns,0.83
2562,appear,wychodzić,verbs,0.29
2563,never,chojnie,adverbs,0.0
2564,skin,rower,nouns,0.0
2565,flexible,skromny,adjectives,0.0
2566,critical,niegrzeczny,adjectives,0.72
2567,explore,odkryć,verbs,2.8
2568,attend,wysyłać,verbs,0.0
2569,club,stowarzyszenie,nouns,4.85
2570,press,uwalniać,verbs,0.0
2571,young,szczęśliwy,adjectives,0.19
2572,fertilizer,wzrost,nouns,0.49
2573,strive,przejąć,verbs,0.0
2574,bother,drażnić,verbs,2.7
2575,choose,chcieć,verbs,1.01
2576,bulb,kwiat,nouns,1.19
2577,punch,uszczypnąć,verbs,0.37
2578,join,przyłączać,verbs,3.8
2579,flee,uciec,verbs,5.2
2580,combine,miksować,verbs,4.46
2581,gut,nerw,nouns,0.79
2582,brightly,lekko,adverbs,0.72
2583,proudly,pokojowo,adverbs,0.15
2584,busy,leniwy,adjectives,0.0
2585,cat,zwięrzę domowe,nouns,2.87
2586,decrease,spadać,verbs,1.15
2587,notify,uznawać,verbs,0.74
2588,chips,kursor,nouns,0.0
2589,ignore,unikać,verbs,2.98
2590,doctor,usposobienie,nouns,0.0
2591,thirsty,głodny,adjectives,0.93
2592,taxi,taksówka,nouns,5.79
2593,course,akcja,nouns,1.29
2594,digit,liczba,nouns,4.88
2595,bad,okropny,adjectives,4.14
2596,remind,sprzedawać,verbs,0.0
2597,book,wypadek,nouns,0.0
2598,sure,pewien,adjectives,4.74
2599,woman,dżinsy,nouns,0.0
2600,phonology,ekran,nouns,0.0
2601,speed,słup,nouns,0.0
2602,white,wąski,adjectives,0.0
2603,dull,śmieszny,adjectives,0.0
2604,cow,bydło,nouns,4.57
2605,emotion,pasja,nouns,2.46
2606,multiple,dwukrotnie,adverbs,1.02
2607,fur,norka,nouns,1.66
2608,liver,płuco,nouns,0.79
2609,acknowledge,mówić,verbs,0.52
2610,mix,pić,verbs,0.05
2611,beauty,sonet,nouns,0.22
2612,pest,pestycyd,nouns,1.06
2613,crime,atak,nouns,1.84
2614,neutral,spokojny,adjectives,1.56
2615,evict,opuścić,verbs,1.99
2616,handicraft,tradycja,nouns,0.15
2617,dissolve,topić,verbs,3.14
2618,syntax,hasło,nouns,0.39
2619,decoration,koperta,nouns,0.1
2620,rice,fasola,nouns,0.69
2621,planet,księżyc,nouns,1.01
2622,start,zaczynać,verbs,4.84
2623,refuse,odmawiać,verbs,4.59
2624,forget,przypominać,verbs,0.04
2625,cash,pieniądze,nouns,5.26
2626,chair,teleskop,nouns,0.0
2627,actress,aktor,nouns,3.15
2628,discover,eksplorować,verbs,2.8
2629,cone,filiżanka,nouns,0.34
2630,cube,kości,nouns,1.54
2631,argue,zgadzać się,verbs,0.04
2632,bake,smażyć,verbs,2.0
2633,inaccurately,dokładnie,adverbs,0.04
2634,humble,skromny,adjectives,4.45
2635,win,dominować,verbs,1.96
2636,brilliant,świetny,adjectives,3.35
2637,shut,wymiotować,verbs,0.0
2638,weapon,hełm,nouns,0.49
2639,slave,służący,nouns,3.24
2640,easy,ciężki,adjectives,0.04
2641,infection,schorzenie,nouns,3.14
2642,known,zdrowy,adjectives,0.32
2643,put,wisieć,verbs,0.54
2644,teacher,rabin,nouns,2.11
2645,teach,edukować,verbs,5.42
2646,agreement,dziura,nouns,0.0
2647,give,wiedzieć,verbs,0.14
2648,create,rysować,verbs,1.56
2649,past,poprzednik,nouns,1.75
2650,weak,silny,adjectives,0.04
2651,ancient,współczesny,adjectives,0.04
2652,rain,zamieć,nouns,0.9
2653,encourage,zniechęcać,verbs,0.04
2654,greatly,jasno,adverbs,0.52
2655,soul,brat,nouns,0.15
2656,brain,nerw,nouns,0.62
2657,victor,mężczyzna,nouns,0.46
2658,crowd,grupa,nouns,2.82
2659,attention,świadomość,nouns,3.26
2660,seashore,plaża,nouns,4.12
2661,attach,złączyć,verbs,3.8
2662,rare,tępy,adjectives,0.0
2663,importantly,poważnie,adverbs,2.56
2664,long,krótki,adjectives,0.04
2665,afterworld,czyściec,nouns,2.61
2666,ball,rakieta,nouns,0.44
2667,shrink,rosnąć,verbs,0.04
2668,agree,różnić się,verbs,0.04
2669,chapter,wybór,nouns,0.15
2670,south,północ,nouns,0.41
2671,sincerely,zwykle,adverbs,0.3
2672,hold,przytulić,verbs,1.5
2673,spicy,słaby,adjectives,0.0
2674,classroom,hol,nouns,0.24
2675,arm,szyja,nouns,0.24
2676,control,zatrzymywać,verbs,0.52
2677,sticky,mokry,adjectives,0.57
2678,electric,słodki,adjectives,0.0
2679,passion,emocja,nouns,2.46
2680,save,topić,verbs,0.0
2681,private,publiczny,adjectives,0.04
2682,captain,żeglarz,nouns,2.54
2683,game,akcja,nouns,0.81
2684,run,jeździć,verbs,0.29
2685,reliably,pobieżnie,adverbs,0.1
2686,neck,kość,nouns,0.32
2687,accomplish,wygrać,verbs,2.44
2688,couch,baseball,nouns,0.0
2689,bathroom,sypialnia,nouns,0.81
2690,seed,młyn,nouns,0.17
2691,camp,domek,nouns,0.59
2692,unforeseen,nieoczekiwany,adjectives,5.36
2693,brainstorming,teleskop,nouns,0.0
2694,city,miasteczko,nouns,3.52
2695,body,kręgosłup,nouns,0.59
2696,retreat,odchodzić,verbs,3.16
2697,locally,oczywiście,adverbs,0.0
2698,blend,bić,verbs,0.41
2699,bowling,kręglarz,nouns,1.52
2700,confidence,postawa,nouns,2.16
2701,denial,wyznanie,nouns,0.42
2702,deck,podłoga,nouns,2.24
2703,wallpaper,tło,nouns,3.14
2704,breakfast,kolacja,nouns,0.71
2705,wind,szkwał,nouns,2.71
2706,uniform,robótka szydełkowa,nouns,0.0
2707,coffee,ziarnko,nouns,0.9
2708,ceiling,dach,nouns,2.95
2709,century,rok,nouns,0.62
2710,complain,przynieść,verbs,0.0
2711,greet,spotykać,verbs,1.36
2712,arm,kolano,nouns,0.34
2713,happen,robić,verbs,0.59
2714,weekend,tydzień,nouns,0.76
2715,cheek,język,nouns,0.65
2716,basilica,mozaika,nouns,0.39
2717,gold,cynk,nouns,0.51
2718,cry,śmiać się,verbs,0.09
2719,bat,wampir,nouns,0.67
2720,inflection,infekcja,nouns,0.05
2721,harmony,pianino,nouns,0.27
2722,definition,słownik,nouns,0.94
2723,unclear,mętny,adjectives,4.74
2724,animal,osoba,nouns,0.31
2725,orchestra,zespół,nouns,3.24
2726,muscle,kość,nouns,0.13
2727,helicopter,samolot,nouns,1.61
2728,tonight,jutro,adverbs,0.12
2729,foreclose,dążyć,verbs,0.0
2730,gossip,wiadomości,nouns,1.92
2731,canyon,dolina,nouns,3.53
2732,flour,chleb,nouns,0.65
2733,locate,znaleźć,verbs,4.53
2734,achieve,powieść się,verbs,3.35
2735,broom,kurz,nouns,0.22
2736,whiskey,jałowcówka,nouns,1.25
2737,sing,unosić się,verbs,0.0
2738,pour,kapać,verbs,1.24
2739,parliament,kongres,nouns,2.66
2740,overcome,dominować,verbs,2.19
2741,tragedy,śmierć,nouns,2.17
2742,reduce,obniżać,verbs,4.53
2743,tree,klon,nouns,2.4
2744,dissolve,wymieszać,verbs,1.34
2745,hound,lis,nouns,0.48
2746,conquest,hymn,nouns,0.0
2747,drink,połykać,verbs,2.19
2748,mighty,mocny,adjectives,4.86
2749,tail,rozdział,nouns,0.0
2750,honest,winny,adjectives,0.0
2751,birthday,data,nouns,1.79
2752,child,mężczyzna,nouns,0.13
2753,speak,uznawać,verbs,0.52
2754,covered,odkryty,adjectives,0.09
2755,keep,pożyczać,verbs,0.12
2756,gauge,samochód,nouns,0.0
2757,crown,klucz,nouns,0.05
2758,friend,matka,nouns,0.86
2759,brother,siostra,nouns,1.19
2760,cannon,pistolet,nouns,1.81
2761,big,ciężki,adjectives,1.71
2762,dumb,bystry,adjectives,0.04
2763,explain,wyjaśniać,verbs,5.23
2764,body,żołądek,nouns,0.89
2765,messy,uporządkowany,adjectives,0.04
2766,clearly,pewnie,adverbs,3.7
2767,shrink,zniknąć,verbs,1.69
2768,restore,zastąpić,verbs,2.04
2769,search,polować,verbs,2.92
2770,root,trawa,nouns,0.51
2771,give,kłaść,verbs,0.35
2772,alcohol,wino,nouns,2.44
2773,potato,masło,nouns,0.32
2774,cardigan,koszula,nouns,1.16
2775,parade,zespół,nouns,0.37
2776,shoulder,ciało,nouns,0.69
2777,ozone,atmosfera,nouns,2.29
2778,reject,akceptować,verbs,0.04
2779,bone,mięsień,nouns,0.13
2780,wealth,prestiż,nouns,1.66
2781,digit,cytoplazma,nouns,0.0
2782,rain,mżawka,nouns,3.42
2783,background,tapeta,nouns,3.14
2784,devil,bóg,nouns,0.32
2785,mink,olej,nouns,0.0
2786,bite,czytać,verbs,0.0
2787,pesticide,szkodnik,nouns,1.06
2788,honey,cukier,nouns,0.59
2789,table,zachód słońca,nouns,0.0
2790,fail,zniechęcać,verbs,0.12
2791,galaxy,aplikacja,nouns,0.0
2792,roughly,oczywiście,adverbs,0.14
2793,acquire,ukraść,verbs,1.09
2794,growth,nawóz,nouns,0.49
2795,flexible,wielki,adjectives,0.0
2796,emperor,gubernator,nouns,1.33
2797,envelope,dekoracja,nouns,0.1
2798,dumb,ogromny,adjectives,0.04
2799,psychology,nauka,nouns,1.66
2800,mother,opiekun,nouns,2.67
2801,disintegrate,umrzeć,verbs,0.56
2802,opposite,unikatowy,adjectives,0.54
2803,homeless,bilioner,nouns,0.27
2804,harsh,okrutny,adjectives,3.74
2805,image,odbicie,nouns,2.36
2806,companion,kumpel,nouns,4.6
2807,governor,cesarz,nouns,1.33
2808,inquire,wymagać,verbs,0.2
2809,acid,baza,nouns,0.27
2810,effort,trudność,nouns,3.41
2811,deeply,przeważnie,adverbs,0.15
2812,yogurt,bydło,nouns,0.42
2813,forgive,ułaskawić,verbs,4.33
2814,battery,teatr,nouns,0.0
2815,administration,kierownictwo,nouns,3.47
2816,day,świt,nouns,2.16
2817,atom,węgiel,nouns,1.35
2818,quit,robić,verbs,0.04
2819,cinema,popcorn,nouns,0.32
2820,surgery,serce,nouns,0.22
2821,film,ekranizacja,nouns,5.13
2822,photophone,homofon,nouns,0.09
2823,accomplish,osiągnąć,verbs,5.39
2824,affix,sufiks,nouns,1.66
2825,difficulty,wysiłek,nouns,3.41
2826,essay,praca domowa,nouns,2.51
2827,book,literatura,nouns,3.07
2828,matrix,wektor,nouns,1.25
2829,attend,argumentować,verbs,0.0
2830,believe,akceptować,verbs,1.54
2831,cinnamon,cukierek,nouns,0.17
2832,song,opowieść,nouns,0.56
2833,funny,nudny,adjectives,0.0
2834,exchange,zastępstwo,nouns,3.05
2835,beat,wygrać,verbs,2.69
2836,unsure,przestraszony,adjectives,1.38
2837,car,wąż (ogrodowy),nouns,0.25
2838,nervous,przestraszony,adjectives,2.15
2839,create,budować,verbs,4.0
2840,mind,mózg,nouns,3.42
2841,bean,bekon,nouns,0.24
2842,castle,ściana,nouns,0.12
2843,lie,oskarżać,verbs,0.07
2844,endurance,siła,nouns,2.73
2845,door,obecność,nouns,0.0
2846,cabin,pole,nouns,0.59
2847,athlete,biegacz,nouns,2.42
2848,aluminium,blacha,nouns,2.2
2849,mechanical,elektryczny,adjectives,0.47
2850,gymnastics,szermierka,nouns,0.79
2851,grass,korzeń,nouns,0.51
2852,inform,polerować,verbs,0.0
2853,suggest,radzić,verbs,4.01
2854,fail,polegać,verbs,0.0
2855,theatre,bateria,nouns,0.0
2856,intention,wola,nouns,3.34
2857,argue,rządać,verbs,0.44
2858,mare,koń,nouns,2.98
2859,calf,byk,nouns,1.81
2860,fact,wgląd,nouns,1.73
2861,doctor,lekarz,nouns,5.04
2862,incoming,towarzyski,adjectives,0.54
2863,medium,łagodny,adjectives,1.38
2864,acquire,złączyć,verbs,0.26
2865,advise,polecić,verbs,3.97
2866,plead,pytać,verbs,2.25
2867,arm,noga,nouns,0.66
2868,car,miernik,nouns,0.0
2869,behaviorism,terapia,nouns,1.23
2870,navy,wyspa,nouns,0.05
2871,elbow,kość,nouns,1.05
2872,reality,fantazja,nouns,0.19
2873,immature,dorosły,adjectives,0.04
2874,camera,kontynuacja,nouns,0.0
2875,north,zachód,nouns,0.9
2876,ignore,zapominać,verbs,1.08
2877,lucky,zawstydzony,adjectives,0.05
2878,motor,łódź,nouns,0.61
2879,drink,sączyć,verbs,3.07
2880,sinner,święty,nouns,0.07
2881,astronomer,galaktyka,nouns,0.82
2882,formula,równanie,nouns,3.89
2883,shelter,chatka,nouns,2.16
2884,responsibly,niezawodnie,adverbs,2.36
2885,guy,przyjaciel,nouns,1.06
2886,star,jasność,nouns,0.86
2887,frustrate,zniechęcać,verbs,1.49
2888,competence,umiejętność,nouns,4.36
2889,terrible,smutny,adjectives,0.87
2890,illustration,pęcherz,nouns,0.0
2891,nose,usta,nouns,0.65
2892,protein,uchwyt,nouns,0.0
2893,tough,przebiegły,adjectives,0.65
2894,pick,selekcjonować,verbs,5.32
2895,actively,precyzyjnie,adverbs,0.34
2896,operation,algebra,nouns,0.51
2897,saving,ciułacz,nouns,1.48
2898,possess,zachować,verbs,2.59
2899,cab,taxi,nouns,5.79
2900,corridor,drzwi,nouns,0.14
2901,flower,wytrzymałość,nouns,0.0
2902,university,kampus,nouns,2.65
2903,protect,zakryć,verbs,1.94
2904,viscosity,plusk,nouns,0.15
2905,lose,dostać,verbs,0.0
2906,marginally,pobieżnie,adverbs,1.01
2907,crucial,ważny,adjectives,5.24
2908,bell,wieża,nouns,0.33
2909,game,trik,nouns,0.84
2910,dog,kot,nouns,0.36
2911,popcorn,kino,nouns,0.32
2912,child,dorosły,nouns,0.19
2913,topic,opowieść,nouns,0.95
2914,dull,znudzony,adjectives,1.94
2915,oasis,wolność,nouns,0.45
2916,applicant,aplikacja,nouns,0.65
2917,brandy,wino,nouns,1.39
2918,peninsula,wyspa,nouns,1.32
2919,wire,przewód,nouns,3.61
2920,bath,żona,nouns,0.0
