ID,FRA,POL,PoS,score
2113,crépuscule,wieczór,nouns,4.6
2114,violent,miękki,adjectives,0.65
2115,expliquer,wyjaśniać,verbs,5.7
2116,insulter,urazić,verbs,4.85
2117,mélodie,muzyka,nouns,4.5
2118,ballade,piosenka ,nouns,4.25
2119,froid,zwyczajny,adjectives,0.2
2120,formule,równanie,nouns,3.85
2121,livre,opowieść,nouns,2.75
2122,maison,dywan,nouns,0.75
2123,sournois,pojętny,adjectives,1.25
2124,rejeter,potępić,verbs,3.2
2125,tranchant,gładki,adjectives,1.0
2126,geyser,źródło,nouns,3.4
2127,application,galaktyka,nouns,0.1
2128,corps,klatka piersiowa,nouns,2.15
2129,violon,instrument,nouns,3.9
2130,mourir,pochować,verbs,1.75
2131,livre,biblia,nouns,3.45
2132,couloir,przejście,nouns,3.35
2133,compilateur,podprogram,nouns,2.0
2134,mode,styl,nouns,4.55
2135,sûrement,czasem,adverbs,0.65
2136,étui,narzędzia,nouns,1.2
2137,sûrement,oczywiście,adverbs,4.05
2138,herbe,marihuana,nouns,5.4
2139,prairie,pastwisko,nouns,4.2
2140,venir,przynieść,verbs,0.5
2141,portable,pistolet,nouns,0.1
2142,muffin,pietruszka,nouns,0.3
2143,flexible,łatwy,adjectives,1.1
2144,chanson,opowieść,nouns,1.4
2145,coucher de soleil,stół,nouns,0.0
2146,siroter,przełykać,verbs,1.55
2147,population,ludzie,nouns,4.45
2148,éviter,ignorować,verbs,3.35
2149,sentiment,intuicja,nouns,4.05
2150,hymne,słoma,nouns,0.1
2151,pacte,warunek,nouns,1.95
2152,appareil photo,prezydent,nouns,0.05
2153,aller,zaczynać,verbs,0.65
2154,nain,przymały,adjectives,3.9
2155,carte,kwadrat,nouns,0.4
2156,grossièrement,niezawodnie,adverbs,0.55
2157,fatigué,nudny,adjectives,0.95
2158,poète,dziennikarz,nouns,1.15
2159,truite,gitara,nouns,0.05
2160,foule,grupa,nouns,3.8
2161,siffler,zatrzymywać,verbs,0.3
2162,calendrier,święto,nouns,1.65
2163,frire,gotować,verbs,3.0
2164,stupide,uparty,adjectives,1.3
2165,adversaire,oponent,nouns,5.45
2166,briser,rozwalić,verbs,4.95
2167,mouiller,redukować,verbs,0.05
2168,rire,chichotać,verbs,5.3
2169,errer,włóczyć się,verbs,3.4
2170,laisser,czekać,verbs,0.65
2171,mal,straszliwy,adjectives,2.9
2172,alcool,jałowcówka,nouns,3.85
2173,femme,dziura,nouns,0.1
2174,bétail,krowa,nouns,4.5
2175,mal,winny,adjectives,2.35
2176,arrêter,gwizdać,verbs,0.3
2177,honnête,winny,adjectives,0.6
2178,peuple,balon,nouns,0.05
2179,délicieux,wspaniały,adjectives,3.5
2180,père,bóg,nouns,2.5
2181,jeu,zabawa,nouns,4.7
2182,tour,gra,nouns,1.7
2183,basket,baseball,nouns,2.4
2184,ignorer,drukować,verbs,0.1
2185,pointeur,slajd,nouns,0.1
2186,bras,żyła,nouns,0.8
2187,conduire,tasować,verbs,0.1
2188,rejoindre,przyłączać,verbs,2.6
2189,topologie,struktura,nouns,3.15
2190,étrange,osobliwy,adjectives,5.35
2191,genou,kość,nouns,2.05
2192,donner,pożyczać,verbs,1.8
2193,personne,populacja,nouns,4.45
2194,veau,byk,nouns,2.55
2195,coureur,atleta,nouns,3.2
2196,nerf,ciało,nouns,1.0
2197,lâche,giętki,adjectives,1.35
2198,voiture,łódź,nouns,1.35
2199,doucement,głośno,adverbs,0.55
2200,viser,uderzyć,verbs,2.15
2201,gros,łatwy,adjectives,0.2
2202,fête,ludzie,nouns,0.85
2203,communication,telewizja,nouns,1.9
2204,houille,węgiel,nouns,4.25
2205,brin,nić,nouns,3.65
2206,devenir,robić,verbs,0.65
2207,acquérir,złączyć,verbs,0.7
2208,chapitre,noc,nouns,0.1
2209,récipient,wóz,nouns,0.25
2210,contraire,inny,adjectives,2.05
2211,clé,korona ,nouns,0.1
2212,fermement,niewiarygodnie,adverbs,0.5
2213,strictement,kompletnie,adverbs,2.7
2214,métal,aluminium,nouns,2.85
2215,noyer,ratować,verbs,0.75
2216,syntaxe,hasło,nouns,0.85
2217,femme,cent,nouns,0.1
2218,germe,patogen,nouns,3.85
2219,portail,drzwi,nouns,4.4
2220,homme,ojciec,nouns,2.8
2221,triste,dumny,adjectives,0.65
2222,perspicacité,fakt,nouns,1.3
2223,menthe,guma,nouns,0.65
2224,piston,silnik,nouns,2.6
2225,précisément,niedokładnie,adverbs,0.75
2226,offenser,naprzykrzać się,verbs,2.35
2227,savoir,rozumieć,verbs,2.95
2228,vin,trunek,nouns,3.2
2229,étroit,biały,adjectives,0.05
2230,boîte,źródło,nouns,0.0
2231,exiger,ganić,verbs,1.15
2232,appareil photo,robotnik,nouns,0.2
2233,câliner,przytulić,verbs,5.35
2234,transporter,podnieść,verbs,1.9
2235,étroit,długi,adjectives,0.95
2236,mettre,wisieć,verbs,0.65
2237,coin,obszar,nouns,0.8
2238,tranchant,tępy,adjectives,0.05
2239,développer,rosnąć,verbs,4.05
2240,explorer,ignorować,verbs,0.3
2241,triste,śmieszny,adjectives,0.6
2242,foule,parada,nouns,2.4
2243,femme,dżinsy,nouns,0.05
2244,parfois,kiedykolwiek,adverbs,0.9
2245,musée,mennica,nouns,0.05
2246,pont,samochód,nouns,0.3
2247,liqueur,wino,nouns,3.2
2248,étroit,szczupły,adjectives,2.8
2249,nécessiteux,bezradny,adjectives,2.15
2250,attacher,jednoczyć,verbs,4.05
2251,loucher,razić,verbs,0.15
2252,bain,balon,nouns,0.1
2253,tasse,łyżka,nouns,1.15
2254,flexible,luźny,adjectives,1.35
2255,vélo,sypialnia,nouns,0.05
2256,théorie,hipoteza,nouns,4.65
2257,corps,nerw,nouns,1.0
2258,fleur,cebulka,nouns,2.2
2259,fille,niemowlę,nouns,2.6
2260,vomir,zamykać,verbs,0.05
2261,taille,posiłek,nouns,0.2
2262,chasser,złapać,verbs,1.3
2263,tuer,walczyć,verbs,1.55
2264,idiot,tępy,adjectives,5.35
2265,imprévu,nieprzewidziany,adjectives,5.55
2266,frire,zagotować,verbs,2.75
2267,code,symbol,nouns,2.7
2268,impuissant,potrzebujący,adjectives,2.15
2269,hymne,podbój,nouns,0.4
2270,chat,lew,nouns,2.75
2271,montagne,półka (skalna),nouns,2.2
2272,délinquant,kryminalista,nouns,5.1
2273,injustement,nierozsądnie,adverbs,2.2
2274,chirurgie,serce,nouns,1.05
2275,guerrier,mężczyzna,nouns,1.8
2276,promettre,przysięgać,verbs,4.95
2277,philosophe,wyścigi,nouns,0.15
2278,chasser,szukać,verbs,2.3
2279,ver à soie,gąsienica,nouns,3.25
2280,compter,nawalić,verbs,0.2
2281,garçon,ryż,nouns,0.05
2282,sonnet,piękno,nouns,0.5
2283,personne,cent,nouns,0.1
2284,sauce,jabłko,nouns,0.8
2285,force,moc,nouns,5.05
2286,sale,wąski,adjectives,0.1
2287,dieu,duch,nouns,2.55
2288,ajouter,złączyć,verbs,3.65
2289,épée,środowisko,nouns,0.05
2290,pièce,cela,nouns,2.9
2291,blesser,atakować,verbs,2.4
2292,mature,wyrafinowany,adjectives,1.45
2293,humilier,pocieszać,verbs,0.45
2294,pièce,wanna,nouns,0.85
2295,chaise,teleskop,nouns,0.2
2296,vieux,mieszany,adjectives,0.1
2297,construire,tworzyć,verbs,4.65
2298,film,ekranizacja,nouns,5.2
2299,champ,owies,nouns,1.55
2300,sophistiqué,dojrzały,adjectives,1.45
2301,fiablement,pobieżnie,adverbs,0.55
2302,ballon,wanna,nouns,0.1
2303,jouer,kłócić się,verbs,0.7
2304,arriver,przyjść,verbs,4.75
2305,déni,wyznanie,nouns,1.0
2306,poulet,kolacja,nouns,1.05
2307,os,kolano,nouns,2.05
2308,intelligence,mądrość,nouns,4.35
2309,atteindre,powieść się,verbs,3.9
2310,sauver,topić,verbs,0.75
2311,préjudice,szowinista,nouns,0.95
2312,élégamment,pięknie,adverbs,3.5
2313,verger,struś,nouns,0.05
2314,justifier,weryfikować,verbs,2.25
2315,neuropsychologie,parapsychologia,nouns,1.85
2316,entrer,iść,verbs,3.05
2317,réussir,osiągnąć,verbs,3.9
2318,rester,zatrzymywać,verbs,1.4
2319,fenêtre,dach,nouns,1.05
2320,alliage,stal,nouns,2.9
2321,irrégulièrement,zwykle,adverbs,0.75
2322,frais,nowy,adjectives,4.25
2323,entrant,towarzyski,adjectives,0.7
2324,colère,frustracja,nouns,3.85
2325,mal,świetny,adjectives,0.3
2326,paume,palec,nouns,1.8
2327,impression,przekonanie,nouns,2.35
2328,œil,łza,nouns,1.2
2329,plante,rolnictwo,nouns,1.1
2330,gorge,język,nouns,1.65
2331,porte,piwnica,nouns,0.7
2332,ciel,wrzechświat,nouns,2.35
2333,nuage,burza,nouns,1.45
2334,cognac,alkohol,nouns,3.45
2335,recevoir,kupować,verbs,0.95
2336,discrètement,grzecznie,adverbs,1.75
2337,ennuyeux,zmęczony,adjectives,0.95
2338,subtilement,głośno,adverbs,0.65
2339,cheval,źrebak,nouns,3.85
2340,carton,papier,nouns,3.8
2341,hôtel,mieszkanie,nouns,1.9
2342,queue,rozdział,nouns,0.0
2343,porter,przynieść,verbs,3.05
2344,fraude,korupcja,nouns,3.95
2345,accepter,uznawać,verbs,5.0
2346,cigare,pudełko,nouns,0.7
2347,femme,wanna,nouns,0.05
2348,vendre,pożyczać,verbs,0.6
2349,mine,skała,nouns,1.3
2350,ouvrier,biuro,nouns,0.6
2351,colline,klif,nouns,2.55
2352,sûr,legalny,adjectives,2.6
2353,stupide,gęsty,adjectives,0.05
2354,agresser,drażnić,verbs,1.1
2355,doux,gwałtowny,adjectives,0.65
2356,décennie,era,nouns,2.85
2357,tuyau,samochód,nouns,0.35
2358,confiance,własna osoba,nouns,1.35
2359,entendre,mówić,verbs,1.35
2360,supplier,pożyczać,verbs,1.0
2361,yaourt,bydło,nouns,0.3
2362,soustraire,stracić,verbs,1.85
2363,livre,temat,nouns,1.05
2364,ciel,marzenie,nouns,0.4
2365,simulation,robotyka,nouns,1.2
2366,météore,grawitacja,nouns,0.85
2367,rue,samochód,nouns,0.8
2368,bocal,filiżanka,nouns,2.1
2369,film,nihilizm,nouns,0.15
2370,étroit,brudny,adjectives,0.1
2371,type,partner,nouns,2.3
2372,sculpture,statua,nouns,5.15
2373,trouver,uciec,verbs,0.3
2374,long métrage,film,nouns,5.2
2375,fuir,uciec,verbs,5.75
2376,porter,drzeć,verbs,0.1
2377,bateau,pokład,nouns,1.95
2378,descendre,wycofywać się,verbs,1.05
2379,crochet,mundur,nouns,0.05
