ID,SPA,YUE,PoS,score
2236,frustrar,使氣餒,verbs,4.16
2237,decir,校驗,verbs,0.4
2238,madera,紙,nouns,0.72
2239,decir,參與,verbs,0.6
2240,playa,海滨,nouns,2.67
2241,traqueteo,噪聲,nouns,2.92
2242,granero,屋,nouns,0.77
2243,melodía,音樂,nouns,3.41
2244,silenciosamente,被動地,adverbs,0.67
2245,legal,非法,adjectives,0.19
2246,religión,世俗主義,nouns,0.19
2247,tragedia,死亡,nouns,1.79
2248,vaso,匙羹,nouns,1.1
2249,ortodoncista,牙醫,nouns,4.27
2250,alegar,問,verbs,0.35
2251,cristal,玻璃,nouns,2.12
2252,chubasco,風,nouns,2.06
2253,pesado,大,adjectives,0.72
2254,agua,加冕禮,nouns,0.0
2255,cerebro,頭腦,nouns,4.13
2256,abundancia,許多,nouns,4.32
2257,juez,作證,verbs,0.45
2258,administración,行政管理,nouns,3.33
2259,saltando,籬笆,nouns,0.2
2260,obispo,大主教,nouns,3.54
2261,ventana,屋頂,nouns,0.52
2262,salir,驅逐,verbs,2.67
2263,libro,資料,nouns,1.1
2264,habitación,單身牢房,nouns,0.28
2265,bulbo,花朵,nouns,0.75
2266,batería,能量,nouns,2.83
2267,difícil,容易,adjectives,0.28
2268,médico,教授,nouns,0.72
2269,cine,電視,nouns,2.56
2270,obispo,穆斯林,nouns,0.29
2271,ganar,成功,verbs,3.64
2272,helicóptero,飛機,nouns,1.58
2273,capacidad,力量,nouns,3.04
2274,mujer,任務,nouns,0.15
2275,bote,樹,nouns,0.2
2276,antiguo,現代,adjectives,0.19
2277,estrella,小行星,nouns,3.44
2278,creencia,花,nouns,0.05
2279,aclarar,說明,verbs,4.26
2280,segundo,分鐘,nouns,2.84
2281,edificio,房間,nouns,0.54
2282,comprender,滿足,verbs,0.35
2283,catástrofe,意外,nouns,3.16
2284,árbol,葉,nouns,1.02
2285,ratón,貓,nouns,0.39
2286,violento,激進,adjectives,2.65
2287,equipo,軍隊,nouns,0.55
2288,armario,衣服,nouns,1.21
2289,músculo,骨頭,nouns,0.43
2290,chisme,新聞,nouns,1.51
2291,astronómico,大規模,adjectives,0.98
2292,conquista,戰役,nouns,1.36
2293,vaso,水晶,nouns,2.12
2294,esposa,稻草,nouns,0.15
2295,estrella,明亮,nouns,2.63
2296,infección,詞性變化,nouns,0.19
2297,originar,開始,verbs,3.59
2298,cantante,演員,nouns,1.54
2299,caso,電,nouns,0.0
2300,groseramente,大致,adverbs,0.97
2301,vaso,錐形蛋筒,nouns,0.7
2302,extraño,普通,adjectives,0.15
2303,increíblemente,緊緊地,adverbs,0.14
2304,aparecer,成為,verbs,0.58
2305,caos,無政府,nouns,3.39
2306,iris,乙酰膽鹼,nouns,0.15
2307,llovizna,雨,nouns,4.33
2308,tarea,島,nouns,0.05
2309,lápiz,故事,nouns,0.4
2310,nuevo,古老,adjectives,0.19
2311,mono,参加競選,nouns,0.14
2312,patógeno,病菌,nouns,2.96
2313,torcido,彎曲,adjectives,3.48
2314,calibre,車,nouns,0.2
2315,manguera,汽車,nouns,0.24
2316,cuidadosamente,安全地,adverbs,3.54
2317,mascota,貓,nouns,3.01
2318,prohibir,停止,verbs,2.52
2319,lengua,喉,nouns,1.05
2320,dos veces,一次,adverbs,0.34
2321,perder,保持,verbs,0.1
2322,comparar,分析,verbs,3.03
2323,seriamente,真誠地,adverbs,2.75
2324,quizás,大概,adverbs,4.05
2325,realizar,敬禮,verbs,0.15
2326,jugo,牛奶,nouns,0.63
2327,necesario,重要,adjectives,3.34
2328,dulce,電動,adjectives,0.0
2329,gobierno,蜥蜴,nouns,0.04
2330,mentir,否認,verbs,0.82
2331,grosero,批評,adjectives,0.77
2332,caballo,小馬,nouns,3.17
2333,cubierta,船,nouns,0.96
2334,preguntar,想,verbs,0.44
2335,realizar,贏得,verbs,1.54
2336,escudo,小圆盾,nouns,0.93
2337,ordinario,奇怪,adjectives,0.15
2338,sacerdote,預言家,nouns,0.88
2339,centavo,尺寸,nouns,0.15
2340,será,意圖,nouns,1.25
2341,frío,普通,adjectives,0.05
2342,hacer,賺,verbs,0.25
2343,monje,神職人員,nouns,3.24
2344,diapositiva,光標,nouns,0.39
2345,evaluar,學習,verbs,0.49
2346,lluvia,薄霧,nouns,0.72
2347,feliz,瘋狂,adjectives,0.6
2348,isla,海軍,nouns,0.2
2349,tema,故事,nouns,0.85
2350,enojado,極好,adjectives,0.05
2351,flor,燈泡,nouns,0.75
2352,rascacielos,宮殿,nouns,0.43
2353,negociación,外交,nouns,2.38
2354,cautelosamente,小心地,adverbs,4.62
2355,educar,學習,verbs,2.35
2356,infección,疾病,nouns,1.5
2357,esposa,女人,nouns,2.58
2358,poner,掛,verbs,1.41
2359,deteriorarse,抹,verbs,0.29
2360,sorprender,慶祝,verbs,0.55
2361,asaltar,加劇,verbs,0.55
2362,acorazado,主力艦,nouns,2.88
2363,año,世紀,nouns,1.06
2364,responsablemente,獨立地,adverbs,0.94
2365,grado,學校,nouns,1.02
2366,personaje,人,nouns,3.53
2367,multiplicación,除法,nouns,1.21
2368,sobrino,阿姨,nouns,0.89
2369,entrar,走,verbs,1.02
2370,pesticida,蟲害,nouns,0.61
2371,puerta,門口,nouns,3.11
2372,hashtag,話題,nouns,3.07
2373,pared,裝飾,nouns,0.58
2374,pierna,肢體,nouns,3.03
2375,senado,憲法,nouns,1.16
2376,duque,共和國,nouns,0.28
2377,idea,意見,nouns,4.32
2378,estómago,睡房,nouns,0.15
2379,decoración,信封,nouns,0.05
2380,cielo,宇宙,nouns,1.65
2381,reemplazo,交換,nouns,3.65
2382,agonía,悲痛,nouns,4.34
2383,sofá,椅子,nouns,2.84
2384,asistir,拗撬,verbs,0.15
2385,pedir,祈禱,verbs,0.93
2386,tormenta,雲,nouns,1.37
2387,techo,大教堂,nouns,0.24
2388,condensador,二極管,nouns,2.28
2389,rígido,簡單,adjectives,0.05
2390,muerte,災難,nouns,1.2
2391,monje,十字架,nouns,0.14
2392,alboroto,畫畫,nouns,0.1
2393,sueño,天空,nouns,0.25
2394,testificar,判斷,verbs,0.45
2395,sangre,肉,nouns,0.48
2396,dignidad,徽章,nouns,0.48
2397,brillo,星,nouns,2.63
2398,no revelado,公開,adjectives,0.09
2399,tocino,豆,nouns,0.15
2400,obrero,相機,nouns,0.23
2401,puerta,存在,nouns,0.3
2402,pedir prestado,賣,verbs,0.24
2403,nieve,天氣,nouns,0.68
2404,sospechar,逮捕,verbs,0.58
2405,dieta,蘋果,nouns,0.73
2406,una vez,馬上,adverbs,0.54
2407,bote,錨,nouns,0.82
2408,flor,信念,nouns,0.05
2409,salir,到達,verbs,0.2
2410,cinturón,環,nouns,1.73
2411,montar,拖著腳走,verbs,0.3
2412,capítulo,尾巴,nouns,0.1
2413,inteligente,笨,adjectives,0.57
2414,habitación,床,nouns,1.43
2415,cámara,工作者,nouns,0.23
2416,estado,家,nouns,0.15
2417,cadera,嘴唇,nouns,0.34
2418,escaso,稀少,adjectives,3.77
2419,piel,槍,nouns,0.1
2420,perfectamente,真實地,adverbs,0.58
2421,musulmán,主教,nouns,0.29
2422,armonía,鋼琴,nouns,0.47
2423,robar,給,verbs,0.1
2424,pedir,拗撬,verbs,0.34
2425,iglesia,大教堂,nouns,4.88
2426,brazo,肌肉,nouns,0.97
2427,nublado,預測,nouns,0.74
2428,esquina,地區,nouns,0.34
2429,reducir,限制,verbs,1.47
2430,rata,老鼠,nouns,4.61
2431,cañita,任務,nouns,0.05
2432,inteligencia,無知,nouns,0.39
2433,coronel,牙醫,nouns,0.2
2434,historia,鉛筆,nouns,0.4
2435,teléfono inteligente,菠蘿,nouns,0.0
2436,inseguro,害怕,adjectives,1.27
2437,riqueza,名譽,nouns,1.17
2438,viento,颮,nouns,2.06
2439,madera,原木,nouns,4.22
2440,orgullo,喜悅,nouns,1.78
2441,moral,傳說,nouns,0.34
2442,desintegrarse,死,verbs,0.35
2443,niño,兒子,nouns,2.92
2444,bañera,原木,nouns,0.0
2445,radical,暴力,adjectives,2.65
2446,cierto,緊張,adjectives,0.1
2447,pedir,唔睬,verbs,0.1
2448,niña,女傭,nouns,0.47
2449,saludar,見面,verbs,0.61
2450,leer,理解,verbs,1.07
2451,desalentar,鼓勵,verbs,0.15
2452,bestia,動物,nouns,3.77
2453,obstinado,蠢,adjectives,0.57
2454,nariz,嘴巴,nouns,0.58
2455,civilización,生活方式,nouns,0.87
2456,untar,塗抹,verbs,0.34
2457,aritmética,韻律,nouns,0.45
2458,aluminio,錫,nouns,1.69
2459,avión,機場,nouns,1.02
2460,bancarrota,失敗,nouns,1.65
2461,perdonar,明白,verbs,0.68
2462,brazo,肩膀,nouns,1.36
2463,cáncer,疾病,nouns,3.27
2464,ascensor,汽車,nouns,0.24
2465,salvar,毀滅,verbs,0.1
2466,portón,門,nouns,5.22
2467,cuota,工資,nouns,1.59
2468,cabeza,腳,nouns,0.39
2469,delta,海,nouns,0.97
2470,manzana,糖果,nouns,0.34
2471,grande,巨大,adjectives,4.41
2472,nadar,見面,verbs,0.04
2473,necesario,不需要,adjectives,0.15
2474,elefante,指南針,nouns,0.1
2475,amorfo,無形,adjectives,2.74
2476,vaso,罐子,nouns,2.29
2477,agresión,敵意,nouns,3.23
2478,volverse,似乎,verbs,0.56
2479,polinización,蕊,nouns,0.91
2480,fácil,脆弱,adjectives,0.78
2481,terminar,競爭,verbs,0.19
2482,cuerno,鼓,nouns,0.63
2483,seguro,合法,adjectives,1.11
2484,importante,必須,adjectives,3.34
2485,participar,說,verbs,0.6
2486,ozono,大氣層,nouns,2.68
2487,perla,錢,nouns,0.72
2488,ir,離開,verbs,3.42
2489,desdeñoso,輕視,adjectives,3.67
2490,cabina,副駕駛,nouns,0.48
2491,caja,資源,nouns,0.15
2492,comprobar,西洋棋,nouns,0.1
2493,estar de acuerdo,不同意,verbs,0.49
2494,circunstancia,情況,nouns,5.53
2495,hueso,頸,nouns,0.43
2496,tonto,聰明,adjectives,0.15
2497,sucio,井然有序,adjectives,0.19
2498,aceptar,拒絕,verbs,0.42
2499,ignorancia,智力,nouns,0.39
2500,beber,吞,verbs,1.56
2501,casco,武器,nouns,1.52
2502,culpa,系統,nouns,0.15
2503,comportarse,服從,verbs,3.08
2504,resolver,完成,verbs,3.01
2505,aburrido,刺激,adjectives,0.28
2506,apestar,發出氣味,verbs,2.63
2507,duro,强硬,adjectives,4.28
2508,libro,聖經,nouns,1.41
2509,firmemente,冷靜地,adverbs,0.81
2510,universidad,校園,nouns,2.98
2511,seguir,追逐,verbs,3.08
2512,vulnerable,簡單,adjectives,0.78
2513,mano,拇指,nouns,1.52
2514,dólar,人,nouns,0.05
2515,fallar,依靠,verbs,0.15
2516,tristeza,幸福,nouns,0.49
2517,tribunal,正義,nouns,2.62
2518,apostar,賭,verbs,3.35
2519,pulgar,指甲,nouns,1.8
2520,creer,知道,verbs,0.68
2521,cruel,不公平,adjectives,1.27
2522,emocionado,受驚,adjectives,0.63
2523,estrecho,寬大,adjectives,0.19
2524,traer,發送,verbs,0.59
2525,sostener,擁抱,verbs,0.55
2526,hielo,雪,nouns,3.33
2527,olvidar,無視,verbs,2.42
2528,peligrosamente,小心地,adverbs,0.24
2529,palomitas de maiz,電影,nouns,1.37
2530,tobillo,肘,nouns,0.52
2531,hablar,聽見,verbs,0.44
2532,formación,名單,nouns,0.89
2533,lácteos,蜜糖,nouns,0.39
2534,marca,俱樂部,nouns,0.49
2535,tambor,喇叭,nouns,0.63
2536,chasquear,捏碎,verbs,2.6
2537,modesto,靈活,adjectives,0.29
2538,repetir,練習,verbs,2.81
2539,duro,簡單,adjectives,0.15
2540,detener,控制,verbs,0.78
2541,político,警察,nouns,0.24
2542,piedra,木,nouns,0.77
2543,coche,軟管,nouns,0.24
2544,hipótesis,理論,nouns,3.44
2545,playa,暗礁,nouns,0.94
2546,mueble,公寓,nouns,0.43
2547,herir,跌,verbs,0.73
2548,puro,謙虛,adjectives,0.43
2549,niña,男人,nouns,0.92
2550,ataque,閃電攻擊,nouns,2.94
2551,dar,拒絕,verbs,0.05
2552,triste,自豪,adjectives,0.05
2553,fertilizante,發展,nouns,0.72
2554,alumno,總統,nouns,0.15
2555,literatura,書,nouns,2.65
2556,atraer,打,verbs,0.05
2557,correr,騎,verbs,0.29
2558,bailarín,歌曲,nouns,0.25
2559,ventana,雲,nouns,0.35
2560,población,人,nouns,3.35
2561,fraternidad,男人,nouns,1.55
2562,culpar,推,verbs,0.28
2563,caminar,站立,verbs,0.28
2564,hueso,牙齒,nouns,1.85
2565,envase,老鼠,nouns,0.05
2566,ligeramente,大致,adverbs,0.7
2567,profundamente,大多,adverbs,1.11
2568,roncar,醒覺,verbs,0.1
2569,principalmente,末期,adverbs,0.24
2570,cama,醫院,nouns,0.48
2571,raíz,草,nouns,0.82
2572,apreciar,保持,verbs,0.24
2573,ojo,眉頭,nouns,0.53
2574,policía,副駕駛,nouns,0.2
2575,inteligente,聰明,adjectives,4.79
2576,sopa,晚餐,nouns,1.64
2577,parlamento,國會,nouns,3.44
2578,percibir,聽,verbs,1.41
2579,mirar,尋求,verbs,2.63
2580,neuropsicología,通靈研究,nouns,0.6
2581,nunca,否定,adjectives,1.26
2582,gato,狗,nouns,0.67
2583,ancho,狹窄,adjectives,0.24
2584,carne de vaca,肉,nouns,3.58
2585,salir,等待,verbs,0.2
2586,célula,鎖起來,nouns,0.8
2587,normalmente,日常,adverbs,3.29
2588,orgulloso,傲慢,adjectives,3.29
2589,hombres,兄弟會,nouns,1.55
2590,aparecer,離開,verbs,0.34
2591,ejecutar,努力,verbs,0.35
2592,arqueología,人類學,nouns,1.73
2593,ascensor,盒子,nouns,0.2
2594,hierba,根,nouns,0.82
2595,instrumento,小提琴,nouns,2.4
2596,uña,頭,nouns,0.29
2597,tragar,喝,verbs,1.56
2598,muy,明亮地,adverbs,0.65
2599,limpiar,亂,adjectives,0.54
2600,ritmo,詩,nouns,0.86
2601,fuerte,自豪,adjectives,0.68
2602,oponente,對手,nouns,5.08
2603,materialista,宗教,nouns,0.19
2604,ratón,甲板,nouns,0.04
2605,entrar,離開,verbs,0.1
2606,mano,腳,nouns,1.46
2607,respirar,嗆,verbs,0.61
2608,dar,保持,verbs,0.44
2609,mantener,失去,verbs,0.1
2610,curso,行動,nouns,0.93
2611,carne,牛肉,nouns,3.58
2612,barra,窗帘,nouns,0.34
2613,palabra,報紙,nouns,1.05
2614,grande,國民,adjectives,0.15
2615,hormiga,蜜蜂,nouns,1.22
2616,tobillo,窗口,nouns,0.14
2617,tarea,工作,nouns,3.84
2618,canción,演員,nouns,0.25
2619,desear,選擇,verbs,0.79
2620,chapoteo,粘性,nouns,0.45
2621,sacarosa,醣類,nouns,1.94
2622,estar,步行,verbs,0.28
2623,tamaño,戲法,nouns,0.0
2624,incorrecto,精確,adjectives,0.18
2625,toro,小牛,nouns,2.83
2626,parte superior,側面,nouns,0.82
2627,restringir,減少,verbs,1.47
2628,novia,新郎,nouns,2.88
2629,regular,無知,adjectives,0.04
2630,teléfono,手提電話,nouns,4.73
2631,suavemente,大聲地,adverbs,0.18
2632,paño,衣服,nouns,2.03
2633,héroe,女英雄,nouns,3.5
2634,escuchar,聽見,verbs,4.55
2635,batalla,征服,nouns,1.36
2636,pistola,毛,nouns,0.1
2637,buscar,徘徊,verbs,0.63
2638,culpable,壞,adjectives,0.97
2639,volverse,組織,verbs,0.19
2640,esposa,老公,nouns,1.84
2641,beber,提高,verbs,0.0
2642,nieve,雪崩,nouns,1.98
2643,ofender,打稿,verbs,0.75
2644,ropa,鈕扣,nouns,1.11
2645,cañón,槍,nouns,1.69
2646,esposa,一分錢,nouns,0.15
2647,caso,硬件,nouns,0.39
2648,hueso,膝蓋,nouns,0.91
2649,azúcar,蜜糖,nouns,1.88
2650,enviar,接收,verbs,0.34
2651,puerta,地窖,nouns,0.24
2652,completar,完成,adjectives,3.73
2653,hermano,父親,nouns,0.98
2654,cigarrillo,煙草,nouns,3.62
2655,insulso,沉悶,adjectives,3.51
2656,apocalipsis,火,nouns,0.58
2657,costoso,害羞,adjectives,0.2
2658,complacer,同意,verbs,1.82
2659,oler,發出惡臭,verbs,2.63
2660,aparecer,出席,verbs,3.03
2661,día,晚上,nouns,0.64
2662,tratar,想,verbs,0.71
2663,esposa,母親,nouns,2.42
2664,traductor,外國人,nouns,0.39
2665,un pan,芝士,nouns,0.48
2666,dedo,手掌,nouns,1.13
2667,largo,狹窄,adjectives,0.47
2668,últimamente,最近,adverbs,5.22
2669,curva,角度,nouns,2.06
2670,resistencia,花朵,nouns,0.1
2671,apropiado,正式,adjectives,3.09
2672,ilegal,不道德,adjectives,2.07
2673,juguete,立方體,nouns,0.59
2674,sabiduría,智力,nouns,3.9
2675,prueba,事實,nouns,1.79
2676,bañera,氣球,nouns,0.05
2677,intuición,感覺,nouns,3.79
2678,semana,週末,nouns,2.51
2679,encontrar,獲得,verbs,1.82
2680,puntero,幻灯片,nouns,0.39
2681,perder,打中,verbs,0.15
2682,brillar,發光,verbs,3.77
2683,yegua,馬,nouns,3.13
2684,salir,走開,verbs,3.42
2685,ejército,海軍,nouns,3.93
2686,diamante,錢,nouns,0.76
2687,película,虛無主義,nouns,0.19
2688,poseer,保持,verbs,1.98
2689,sheriff,警察,nouns,3.71
2690,vena,手臂,nouns,0.34
2691,de manera realista,最近,adverbs,0.32
2692,crear,畫,verbs,0.97
2693,estudiante,教授,nouns,0.43
2694,hecho,證明,nouns,1.79
2695,flor,忍耐力,nouns,0.1
2696,industria,商業,nouns,2.87
2697,gato,獅子,nouns,1.42
2698,animal,野獸,nouns,3.77
2699,espina,身體,nouns,0.57
2700,poner,得到,verbs,0.1
2701,arrecife,海灘,nouns,0.94
2702,permanecer,保留,verbs,3.63
2703,pistola,軍士,nouns,0.57
2704,actualmente,最近,adverbs,3.33
2705,verdaderamente,完美地,adverbs,0.58
2706,grande,柔韌,adjectives,0.04
2707,aproximadamente,不耐煩地,adverbs,0.23
2708,perseguir,調查,verbs,1.1
2709,buey,馬,nouns,1.61
2710,sediento,飢餓,adjectives,1.65
2711,hacer,毀滅,verbs,0.24
2712,asistir,到達,verbs,2.56
2713,bañera,戲法,nouns,0.04
2714,mendigar,借,verbs,0.97
2715,brazo,腿,nouns,0.48
2716,combinar,混合,verbs,4.01
2717,cuchara,杯子,nouns,1.1
2718,imitar,描繪,verbs,1.6
2719,mosaico,教堂,nouns,0.2
2720,frijol,咖啡,nouns,0.38
2721,pie,基底,nouns,2.78
2722,patología,血液學,nouns,2.12
2723,agudo,平滑,adjectives,0.25
2724,amigo,傢伙,nouns,1.35
2725,cuidadosamente,危險地,adverbs,0.24
2726,hablar,低語,verbs,1.34
2727,miel,乳製品,nouns,0.39
2728,no usado,新,adjectives,5.08
2729,terminalmente,不同,adverbs,0.04
2730,potro,馬,nouns,3.17
2731,frustración,憤怒,nouns,4.62
2732,castigar,服從,verbs,0.64
2733,tristemente,猛烈地,adverbs,0.39
2734,neurosis,頭腦,nouns,0.97
2735,niña,小孩,nouns,2.83
2736,televisión,編劇,nouns,0.96
2737,originar,發現,verbs,1.02
2738,cuchara,果汁,nouns,0.28
2739,arbusto,花,nouns,1.96
2740,pasión,情緒,nouns,2.59
2741,capilla,電纜,nouns,0.0
2742,crucial,重要,adjectives,4.29
2743,discutir,辯解,verbs,0.53
2744,puente,卡,nouns,0.0
2745,enfermera,科學家,nouns,0.24
2746,asistir,援助,verbs,4.19
2747,asustado,不肯定,adjectives,1.27
2748,basílica,馬賽克,nouns,0.2
2749,polo,旗,nouns,0.52
2750,moneda,並行性,nouns,0.15
2751,centavo,人,nouns,0.18
2752,cabeza,肩,nouns,1.02
2753,ovillo,線,nouns,2.46
2754,limón,蘋果,nouns,0.57
2755,estado animico,情感,nouns,3.24
2756,jugo,匙羹,nouns,0.28
2757,crudo,核突,adjectives,0.66
2758,molécula,原子,nouns,2.38
2759,niño,人,nouns,1.31
2760,paciente,複診,nouns,0.67
2761,calle,小巷,nouns,3.3
2762,molino,種子,nouns,0.89
2763,capa,衣服,nouns,1.88
2764,malo,不誠實,adjectives,1.29
2765,tío,表哥,nouns,1.07
2766,desfile,人群,nouns,1.6
2767,efectivo,錢,nouns,4.79
2768,palabra principal,句法,nouns,0.73
2769,movimiento,編織,verbs,0.15
2770,terminalmente,主要,adverbs,0.24
2771,saber,相信,verbs,0.68
2772,grande,大規模,adjectives,2.94
2773,abogado,畫廊,nouns,0.1
2774,hombre,女人,nouns,1.07
2775,ojear,怒視,verbs,0.29
2776,astrónomo,星系,nouns,1.89
2777,tener éxito,贏,verbs,3.64
2778,ducha,修道院,nouns,0.0
2779,agravar,攻擊,verbs,0.55
2780,estar de acuerdo,賣,verbs,0.91
2781,sangre,身體,nouns,0.61
2782,enfadado,高興,adjectives,0.38
2783,catedral,教堂,nouns,4.88
2784,herméticamente,難以置信地,adverbs,0.14
2785,borracho,清醒,adjectives,0.19
2786,espíritu,世紀,nouns,0.1
2787,moneda,交換,nouns,1.08
2788,volverse,出現,verbs,0.58
2789,cordero,羊,nouns,3.76
2790,comunicación,偈,nouns,3.1
2791,guerrero,男人,nouns,0.95
2792,intercambio,替換,nouns,3.65
2793,balada,歌曲,nouns,4.08
2794,oír,聽,verbs,4.55
2795,agravar,打稿,verbs,0.55
2796,matriz,向量,nouns,1.23
2797,cuenco,尾巴,nouns,0.1
2798,presencia,優勝者,nouns,0.24
2799,moda,風尚,nouns,3.4
2800,explicar,澄清,verbs,4.26
2801,adulto,小孩,nouns,0.53
2802,apartamento,屋,nouns,4.14
2803,cerca,軌,nouns,0.4
2804,confiar,失敗,verbs,0.15
2805,nota,付款,nouns,0.63
2806,fabricante,創造者,nouns,3.9
2807,intención,意志,nouns,1.25
2808,cigarro,煙鬥,nouns,0.29
2809,inteligencia,邏輯,nouns,3.11
2810,ecosistema,經濟,nouns,0.34
2811,oír,察覺,verbs,1.41
2812,sociedad,文化,nouns,1.31
2813,desear,想要,verbs,4.07
2814,granizo,雨,nouns,1.06
2815,mentir,指控,verbs,0.34
2816,madre,爸爸,nouns,2.06
2817,escuchar,學習,verbs,0.68
2818,profesor,拉比,nouns,0.8
2819,increíble,脏,adjectives,0.0
2820,desierto,沙丘,nouns,2.43
2821,racismo,排外主義,nouns,4.48
2822,prepucio,割禮,nouns,1.82
2823,libertad,綠洲,nouns,0.1
2824,vagón,容器,nouns,0.04
2825,zona,區城,nouns,4.04
2826,libro,意外,nouns,0.1
2827,vacaciones,日曆,nouns,0.92
2828,empezar,走,verbs,0.3
2829,siglo,酒,nouns,0.1
2830,raramente,經常,adverbs,0.45
2831,división,乘法,nouns,1.21
2832,clima,雲,nouns,0.67
2833,construcción,毀滅,nouns,0.29
2834,sangre,病毒,nouns,0.88
2835,globo,世界,nouns,3.54
2836,cabeza,指甲,nouns,0.29
2837,ampolla,插圖,nouns,0.04
2838,abiertamente,大規模,adverbs,0.33
2839,víctor,男人,nouns,0.53
2840,autobús,的士,nouns,2.27
2841,cuchillo,槍,nouns,1.8
2842,artículo,手稿,nouns,2.28
2843,cultura,社會,nouns,1.31
2844,limpiar,通知,verbs,0.0
2845,riqueza,聲望,nouns,0.55
2846,suelto,靈活,adjectives,1.2
2847,valor,信念,nouns,2.68
2848,matriz,分子,nouns,0.66
2849,nieve,冰,nouns,3.33
2850,cajón,衣服,nouns,0.88
2851,coro,歌手,nouns,1.21
2852,noche,黎明,nouns,0.43
2853,puerta,地板,nouns,0.63
2854,tomar,交付,verbs,0.95
2855,multitud,束,nouns,0.4
2856,lazo,帶,nouns,1.73
2857,obviamente,本地,adverbs,0.09
2858,investigar,檢查,verbs,4.29
2859,agarrar,捕獲,verbs,3.38
2860,enfermos,瘋,adjectives,0.74
2861,esperar,離開,verbs,0.2
2862,pasivamente,靜靜地,adverbs,0.67
2863,hombro,手臂,nouns,1.36
2864,mundo,地球,nouns,3.54
2865,discrepar,搏鬥,verbs,0.5
2866,cable,巫師,nouns,0.0
2867,gravedad,流星,nouns,0.97
2868,entrenador,播放機,nouns,0.25
2869,extraño,狡猾,adjectives,0.56
2870,opinión,選擇,nouns,1.01
2871,coche,貨車,nouns,1.78
2872,radiador,傳感器,nouns,0.96
2873,sucio,清潔,adjectives,0.54
2874,bicicleta,睡房,nouns,0.15
2875,escapar,逃跑,verbs,5.38
2876,explorar,發現,verbs,2.92
2877,hija,嬰兒,nouns,2.4
2878,miembro,腿,nouns,3.03
2879,inflexión,感染,nouns,0.19
2880,clase,大學,nouns,0.8
2881,felizmente,積極地,adverbs,0.51
2882,ruido,搖鈴,nouns,2.92
2883,invierno,夏天,nouns,0.39
2884,nervio,腦,nouns,1.04
2885,recaudación de fondos,發展,nouns,0.49
2886,herir,攻擊,verbs,2.8
2887,mente,神經官能症,nouns,0.97
2888,niño,合作夥伴,nouns,0.48
2889,mantener,珍愛,verbs,0.24
2890,suavemente,堅固地,adverbs,0.2
2891,paz,士兵,nouns,0.2
2892,carbón,木炭,nouns,2.83
2893,venir,到達,verbs,2.13
2894,silla,凳子,nouns,3.78
2895,trucha,吉他,nouns,0.0
2896,justificar,拗撬,verbs,0.53
2897,irritar,對抗,verbs,0.18
2898,empatar,編織,verbs,0.55
2899,vena,容器,nouns,0.23
2900,segadora,甘蔗,nouns,0.2
2901,tía,侄子,nouns,0.89
2902,excusar,原諒,verbs,2.94
2903,honesto,內疚,adjectives,0.18
2904,ropa,布料,nouns,2.03
2905,cortésmente,謹慎地,adverbs,1.54
2906,avión,大薄片,nouns,0.36
2907,necesitado,無助,adjectives,1.0
2908,perdonar,赦免,verbs,2.94
2909,sequía,水,nouns,0.5
2910,palma,手指,nouns,1.13
2911,cartulina,紙,nouns,3.02
2912,sandwich,午飯,nouns,0.96
2913,disfrutar,討厭,verbs,0.14
2914,multiplicar,除,verbs,0.44
2915,probar,拗撬,verbs,0.3
2916,pavo,母雞,nouns,1.49
2917,álgebra,手術,nouns,0.8
2918,cintura,一餐,nouns,0.25
2919,atleta,賽跑運動員,nouns,3.65
2920,sociobiología,突變體,nouns,0.34
2921,puente,汽車,nouns,0.24
2922,gente,一分錢,nouns,0.18
2923,actitud,自信,nouns,1.36
2924,ilegal,合法,adjectives,0.19
2925,sucio,狹窄,adjectives,0.0
2926,química,理論,nouns,0.64
2927,político,總統,nouns,2.69
2928,lista,陣列,nouns,0.89
2929,cuerda,日落,nouns,0.0
2930,mariposa,玫瑰,nouns,0.2
2931,extraño,怪誕,adjectives,4.13
2932,pedir,求情,verbs,0.35
2933,flexible,容易,adjectives,1.99
2934,pensar,決定,verbs,1.12
2935,pasillo,課堂,nouns,0.2
2936,nihilismo,電影,nouns,0.19
2937,página,詞,nouns,0.53
2938,cantante,合唱,nouns,1.21
2939,llave,鎖,nouns,1.7
2940,presencia,缺席,nouns,0.24
2941,desayuno,晚餐,nouns,1.65
2942,silla,床,nouns,1.61
2943,recibir,發送,verbs,0.34
2944,río,河谷,nouns,2.88
2945,limpiar,惡化,verbs,0.29
2946,perezoso,珍貴,adjectives,0.04
2947,despreciar,收費,verbs,0.3
2948,posada,汽車旅館,nouns,3.06
2949,tarea,稻草,nouns,0.05
2950,competencia,能力,nouns,3.41
2951,terremoto,震,nouns,4.02
2952,tragar,啜,verbs,1.13
2953,cazar,搜索,verbs,1.21
2954,hielo,水,nouns,1.49
2955,mirar,觀察,verbs,4.28
2956,terrible,傷心,adjectives,0.34
2957,animar,使氣餒,verbs,0.15
2958,servidor,奴隸,nouns,3.4
2959,calibre,遮,nouns,0.1
2960,siempre,兩次,adverbs,0.18
2961,estrecho,長,adjectives,0.47
2962,feliz,快樂,adjectives,5.15
2963,guionista,電視,nouns,0.96
2964,sal,水,nouns,0.2
2965,planta,農業,nouns,0.85
