ID,ENG,RUS,PoS,score
2293,style,элегантность,nouns,3.55
2294,discourage,подбодрять,verbs,0.09
2295,apparently,просто,adverbs,0.92
2296,blend,бить,verbs,0.21
2297,bored,скучный,adjectives,2.29
2298,machine,компьютер,nouns,1.61
2299,log,древесина,nouns,2.81
2300,evaluate,анализировать,verbs,4.11
2301,word,ключ,nouns,0.05
2302,haze,облако,nouns,2.46
2303,leaf,дерево,nouns,0.81
2304,belief,впечатление,nouns,2.6
2305,marginally,полностью,adverbs,0.09
2306,reliably,ответственно,adverbs,2.86
2307,dinner,трапеза,nouns,2.96
2308,hand,ноготь,nouns,0.84
2309,priest,монах,nouns,3.35
2310,death,бедствие,nouns,0.99
2311,brother,мальчик,nouns,1.44
2312,winter,лето,nouns,0.44
2313,mosaic,базилика,nouns,0.34
2314,activity,движение,nouns,3.09
2315,save,тратить,verbs,0.09
2316,plant,сельское хозяйство,nouns,1.1
2317,easy,гибкий,adjectives,1.93
2318,game,сноровка,nouns,0.79
2319,protect,помогать,verbs,2.15
2320,asteroid,звезда,nouns,1.77
2321,beef,скот,nouns,2.99
2322,hymn,завоевание,nouns,0.0
2323,unnecessary,необходимый,adjectives,0.09
2324,monitor,экран,nouns,4.28
2325,attend,собираться,verbs,0.42
2326,shoulder,голова,nouns,0.76
2327,destroy,строить,verbs,0.04
2328,task,задание,nouns,4.41
2329,university,кампус,nouns,1.75
2330,admire,обожать,verbs,3.17
2331,algebra,операция,nouns,0.31
2332,syntax,заглавное слово,nouns,0.34
2333,opinion,идея,nouns,2.38
2334,rare,необычный,adjectives,4.1
2335,worker,фотоаппарат,nouns,0.25
2336,modest,пристыженный,adjectives,0.36
2337,currently,деликатно,adverbs,0.0
2338,fever,болезнь,nouns,1.92
2339,butter,картофель,nouns,0.41
2340,violent,пассивный,adjectives,0.05
2341,steeple,часовня,nouns,1.42
2342,wrist,кисть,nouns,1.8
2343,disagree,бороться,verbs,1.14
2344,reality,иллюзия,nouns,0.41
2345,top,бок,nouns,0.35
2346,old,свежий,adjectives,0.09
2347,mouse,крыса,nouns,2.31
2348,normally,ежедневно,adverbs,2.16
2349,biology,анатомия,nouns,2.13
2350,fundraiser,event,nouns,1.39
2351,limp,ходить,verbs,1.1
2352,situation,состояние,nouns,2.24
2353,combine,сахарный тростник,nouns,0.1
2354,sculpture,статуя,nouns,4.41
2355,never,щедро,adverbs,0.0
2356,die,закапывать,verbs,0.79
2357,join,добавлять,verbs,2.0
2358,camera,продолжение,nouns,0.0
2359,trout,гитара,nouns,0.0
2360,prestige,богатство,nouns,0.91
2361,arm,ветка,nouns,0.61
2362,irritate,угадывать,verbs,0.0
2363,chair,табуретка,nouns,2.83
2364,knee,рука,nouns,0.39
2365,alike,похожий,adjectives,5.62
2366,cloth,одежда,nouns,1.58
2367,bone,локоть,nouns,1.0
2368,choice,вена,nouns,0.0
2369,woman,задача,nouns,0.0
2370,fight,укусить,verbs,0.69
2371,forget,напоминать,verbs,0.04
2372,strategist,комбинатор,nouns,2.45
2373,band,спиртное,nouns,0.15
2374,father,родитель,nouns,3.42
2375,battery,энергия,nouns,1.67
2376,meat,стейк,nouns,3.79
2377,roof,пол,nouns,0.45
2378,peace,солдат,nouns,0.3
2379,hear,говорить,verbs,0.19
2380,insane,сумасшедший,adjectives,5.47
2381,calmly,решительно,adverbs,0.56
2382,fabric,одежда,nouns,1.57
2383,entropy,информация,nouns,0.43
2384,loudly,тонко,adverbs,0.04
2385,story,книга,nouns,1.36
2386,branch,рука,nouns,0.61
2387,warrior,мужчина,nouns,0.97
2388,might,сила,nouns,4.58
2389,lonely,бедный,adjectives,0.19
2390,ankle,окно,nouns,0.0
2391,laugh,плакать,verbs,0.04
2392,proud,высокомерный,adjectives,3.2
2393,nervous,испуганный,adjectives,2.09
2394,historian,историограф,nouns,3.22
2395,destroy,создавать,verbs,0.09
2396,softly,твердо,adverbs,0.05
2397,tram,поезд,nouns,2.33
2398,map,площадь,nouns,0.35
2399,dollar,народ,nouns,0.0
2400,legend,мораль,nouns,0.41
2401,incline,настраивать,verbs,1.21
2402,mouse,контейнер,nouns,0.0
2403,style,мода,nouns,3.65
2404,mechanic,работник,nouns,1.86
2405,cruel,несправедливый,adjectives,1.79
2406,ashamed,виноватый,adjectives,3.21
2407,polyester,хлопок,nouns,0.57
2408,flour,хлеб,nouns,0.99
2409,flower,выносливость,nouns,0.0
2410,usually,нерегулярно,adverbs,0.17
2411,digit,цитоплазма,nouns,0.0
2412,boiled,варёный,adjectives,2.57
2413,silkworm,гусеница,nouns,2.29
2414,west,север,nouns,0.65
2415,firmly,спокойно,adverbs,0.56
2416,election,выбор,nouns,2.06
2417,offender,преступник,nouns,4.44
2418,truck,посылка,nouns,0.15
2419,succeed,пытаться,verbs,0.54
2420,night,рассвет,nouns,0.54
2421,gravity,метеор,nouns,0.22
2422,calmly,тонко,adverbs,0.54
2423,officer,лейтенант,nouns,1.9
2424,leave,появляться,verbs,0.09
2425,mutant,социобиология,nouns,0.25
2426,listen,узнавать,verbs,0.73
2427,flower,фиалка,nouns,1.99
2428,go,начинать,verbs,0.92
2429,door,кухня,nouns,0.44
2430,hang,класть,verbs,0.64
2431,assault,раздражать,verbs,0.42
2432,arm,тело,nouns,0.71
2433,log,формула,nouns,0.28
2434,check,шахматы,nouns,0.88
2435,side,верх,nouns,0.35
2436,century,десятилетие,nouns,0.49
2437,limb,нога,nouns,2.58
2438,mountain,выступ,nouns,0.77
2439,regularly,иногда,adverbs,0.67
2440,stop,предупреждать,verbs,0.54
2441,unhappy,рассерженный,adjectives,1.22
2442,blood,вирус,nouns,0.71
2443,say,выражать,verbs,2.92
2444,charger,диск,nouns,0.71
2445,structure,топология,nouns,2.26
2446,dumb,огромный,adjectives,0.04
2447,ignorant,обычный,adjectives,0.13
2448,sonnet,красота,nouns,0.17
2449,south,север,nouns,0.51
2450,come,идти,verbs,0.91
2451,attack,блицкриг,nouns,3.15
2452,baggage,кругосветное плавание,nouns,0.57
2453,cattle,бык,nouns,2.99
2454,make,создавать,verbs,4.45
2455,payment,гонорар,nouns,3.64
2456,symbol,код,nouns,1.44
2457,actor,телевидение,nouns,0.54
2458,join,приобретать,verbs,0.26
2459,character,человек,nouns,2.52
2460,practice,повторять,verbs,1.98
2461,breakfast,бекон,nouns,0.71
2462,sharp,тупой,adjectives,0.09
2463,long,узкий,adjectives,0.3
2464,aid,ассистировать,verbs,5.0
2465,ordinary,обычный,adjectives,5.54
2466,dishonest,плохой,adjectives,1.13
2467,cardigan,рубашка,nouns,0.81
2468,erode,разрешать,verbs,0.0
2469,defend,убивать,verbs,0.15
2470,calmly,мирно,adverbs,4.55
2471,locate,находить,verbs,4.72
2472,flora,природа,nouns,2.72
2473,spoon,сок,nouns,0.15
2474,hate,критиковать,verbs,0.74
2475,criticism,спор,nouns,1.48
2476,difficult,легкий,adjectives,0.14
2477,death,погребение,nouns,1.27
2478,greet,встречать,verbs,1.96
2479,husband,жена,nouns,1.12
2480,blood,мозг,nouns,0.61
2481,maker,создатель,nouns,4.82
2482,differently,терминально,adverbs,0.09
2483,telephone,будка,nouns,0.72
2484,private,личный,adjectives,4.01
2485,church,собор,nouns,3.75
2486,well,известный,adjectives,0.37
2487,suds,пузырь,nouns,2.34
2488,body,кровь,nouns,0.6
2489,anger,ярость,nouns,4.82
2490,leader,руководитель,nouns,3.6
2491,terrible,плохой,adjectives,4.3
2492,cab,автобус,nouns,0.94
2493,desire,хотеть,verbs,5.61
2494,speak,признавать,verbs,0.67
2495,population,народ,nouns,2.67
2496,muslim,епископ,nouns,0.3
2497,crystal,стекло,nouns,2.19
2498,mostly,в основном,adverbs,3.34
2499,dance,платье,nouns,0.35
2500,nerve,тело,nouns,0.3
2501,hate,наслаждаться,verbs,0.0
2502,unite,делить,verbs,0.09
2503,dreary,скучный,adjectives,3.97
2504,beat,смешивать,verbs,0.21
2505,mouth,нос,nouns,0.74
2506,cry,смеяться,verbs,0.04
2507,germ,патогенный микроорганизм,nouns,4.22
2508,coin,оплата,nouns,1.21
2509,statistics,теннис,nouns,0.0
2510,log,дерево,nouns,2.84
2511,winner,гол,nouns,0.3
2512,wander,искать,verbs,1.08
2513,shower,монастырь,nouns,0.0
2514,gun,народ,nouns,0.05
2515,receive,брать,verbs,1.06
2516,proud,дерзкий,adjectives,1.54
2517,bird,индейка,nouns,2.15
2518,accept,отказывать,verbs,0.04
2519,tonight,завтра,adverbs,0.32
2520,key,дом,nouns,0.52
2521,crib,колыбель,nouns,4.67
2522,die,распадаться,verbs,0.51
2523,meet,приветствовать,verbs,1.96
2524,naturally,тихо,adverbs,0.09
2525,needy,беспомощный,adjectives,2.46
2526,honey,сахар,nouns,0.9
2527,drum,гитара,nouns,0.76
2528,save,выручать,verbs,4.61
2529,strange,чудной,adjectives,5.02
2530,scared,неуверенный,adjectives,1.07
2531,reject,отодвигать,verbs,1.3
2532,colonel,дантист,nouns,0.04
2533,hit,целиться,verbs,0.61
2534,roughly,очевидно,adverbs,0.04
2535,weekend,неделя,nouns,0.61
2536,author,читатель,nouns,0.71
2537,office,работник,nouns,0.57
2538,bat,вампир,nouns,0.37
2539,keep,занимать,verbs,0.22
2540,imagine,создавать,verbs,0.94
2541,haunt,попугать,verbs,1.39
2542,arrest,подозревать,verbs,0.22
2543,ceremony,праздник,nouns,3.44
2544,car,завод,nouns,0.2
2545,private,общественный,adjectives,0.04
2546,rarely,обычно,adverbs,0.12
2547,take,доставлять,verbs,0.51
2548,soft,агрессивный,adjectives,0.0
2549,couch,бейсбол,nouns,0.0
2550,demand,спорить,verbs,0.64
2551,array,список,nouns,1.1
2552,level,гол,nouns,0.46
2553,disk,зарядное устройство,nouns,0.71
2554,matrix,вектор,nouns,1.75
2555,son,брат,nouns,0.79
2556,inform,сообщать,verbs,4.64
2557,take,завладевать,verbs,2.21
2558,handle,белок,nouns,0.0
2559,tongue,мускул,nouns,1.21
2560,happily,активно,adverbs,0.21
2561,fight,противоречить,verbs,1.14
2562,childish,безрассудный,adjectives,1.94
2563,grassland,луг,nouns,2.34
2564,keyboard,свет,nouns,0.0
2565,red,синий,adjectives,0.36
2566,rain,град,nouns,1.52
2567,caliber,зонтик,nouns,0.0
2568,announce,провозглашать,verbs,4.97
2569,salute,выступать,verbs,0.55
2570,card,бридж,nouns,0.5
2571,dishonest,правдивый,adjectives,0.04
2572,liver,легкое,nouns,0.74
2573,fashion,стиль,nouns,3.65
2574,information,книга,nouns,1.16
2575,disown,запускать,verbs,0.5
2576,mind,мозги,nouns,2.81
2577,danger,болезнь,nouns,0.45
2578,secularist,религия,nouns,0.35
2579,receive,давать,verbs,0.09
2580,instructor,учитель,nouns,4.87
2581,sergeant,пистолет,nouns,0.62
2582,note,оплата,nouns,0.31
2583,champagne,пиво,nouns,1.05
2584,headword,синтаксис,nouns,0.34
2585,warn,останавливаться,verbs,0.54
2586,plane,аэропорт,nouns,0.74
2587,crude,уродливый,adjectives,1.11
2588,room,камера,nouns,1.37
2589,send,приносить,verbs,0.19
2590,lamp,джинн,nouns,0.48
2591,father,сын,nouns,0.76
2592,arm,запястье,nouns,1.27
2593,sad,смешной,adjectives,0.12
2594,monastery,душ,nouns,0.0
2595,ancient,современный,adjectives,0.09
2596,surely,точно,adverbs,3.95
2597,mad,ужасный,adjectives,0.25
2598,logic,интеллект,nouns,2.54
2599,rain,метель,nouns,0.74
2600,mechanical,электрический,adjectives,0.42
2601,leg,рука,nouns,0.61
2602,hit,наказать,verbs,0.76
2603,forecast,облачность,nouns,0.76
2604,blitz,атака,nouns,3.15
2605,reject,избегать,verbs,1.07
2606,window,облако,nouns,0.2
2607,uncovered,покрытый,adjectives,0.09
2608,sky,солнце,nouns,0.81
2609,exit,проход,nouns,2.6
2610,usually,редко,adverbs,0.12
2611,cup,кувшин,nouns,1.44
2612,rapid,скорый,adjectives,5.32
2613,galaxy,астроном,nouns,1.02
2614,cruel,милый,adjectives,0.0
2615,yell,спорить,verbs,1.08
2616,skirt,часы,nouns,0.1
2617,allow,идти,verbs,0.14
2618,likely,возможно,adverbs,3.39
2619,elbow,кость,nouns,1.0
2620,mood,эмоция,nouns,2.8
2621,turkey,птица,nouns,2.15
2622,surgery,сердце,nouns,0.48
2623,billionaire,бездомный,nouns,0.32
2624,agriculture,монокультура,nouns,0.79
2625,accept,доставлять,verbs,0.1
2626,fur,норка,nouns,2.25
2627,cage,пруток,nouns,0.31
2628,owe,входить,verbs,0.0
2629,singer,хор,nouns,1.44
2630,shake,собирать,verbs,0.0
2631,arm,колено,nouns,0.39
2632,cytoplasm,цифра,nouns,0.0
2633,straw,псалом,nouns,0.0
2634,put,получать,verbs,0.19
2635,humbly,гордо,adverbs,0.37
2636,perspective,расстояние,nouns,1.09
2637,bean,бекон,nouns,0.14
2638,sheriff,полицейский,nouns,4.01
2639,dumb,интеллектуальный,adjectives,0.09
2640,wine,спиртное,nouns,1.91
2641,clothes,шкаф,nouns,0.66
2642,drought,вода,nouns,0.29
2643,actor,певец,nouns,0.81
2644,bury,покрывать,verbs,1.5
2645,worry,тратить,verbs,0.0
2646,perceive,слышать,verbs,1.59
2647,trick,ружье,nouns,0.05
2648,date,календарь,nouns,1.31
2649,eye,бровь,nouns,0.97
2650,guardian,мать,nouns,1.63
2651,tobacco,сигарета,nouns,1.98
2652,laden,тяжелый,adjectives,2.96
2653,weekly,ежемесячный,adjectives,0.48
2654,earn,добывать,verbs,3.15
2655,buy,платить,verbs,1.21
2656,monkey,кампания,nouns,0.0
2657,seriously,важно,adverbs,2.11
2658,choir,церковь,nouns,0.84
2659,herb,марихуана,nouns,1.99
2660,importantly,серьезно,adverbs,2.11
2661,racism,ксенофобия,nouns,3.41
2662,hat,пальто,nouns,0.51
2663,reduce,пропитывать,verbs,0.0
2664,discourage,расстраивать,verbs,0.84
2665,comfort,унижать,verbs,0.09
2666,soul,брат,nouns,0.5
2667,hand,палец,nouns,1.07
2668,action,курс,nouns,1.19
2669,cruel,жесткий,adjectives,2.69
2670,subroutine,компилятор,nouns,1.31
2671,compete,заканчивать,verbs,0.69
2672,slide,указатель,nouns,0.0
2673,emperor,конституция,nouns,0.28
2674,mouth,зуб,nouns,0.88
2675,shrink,расти,verbs,0.04
2676,knife,ружье,nouns,1.01
2677,passively,молча,adverbs,1.62
2678,capacitor,диод,nouns,1.31
2679,odd,ненормальный,adjectives,4.29
2680,release,нажимать,verbs,0.0
2681,employer,работник,nouns,1.54
2682,criticize,ненавидеть,verbs,0.74
2683,blister,иллюстрация,nouns,0.0
2684,drink,выращивать,verbs,0.0
2685,discover,изучать,verbs,2.3
2686,music,флейта,nouns,0.95
2687,fame,богатство,nouns,1.11
2688,century,спиртное,nouns,0.0
2689,persuade,добиваться,verbs,0.59
2690,racket,мяч,nouns,0.94
2691,corner,область,nouns,0.31
2692,viscosity,всплеск,nouns,0.35
2693,bedroom,велосипед,nouns,0.0
2694,renounce,подавлять,verbs,0.39
2695,nihilism,фильм,nouns,0.0
2696,ordinary,потрясающий,adjectives,0.14
2697,sinner,святой,nouns,0.22
2698,size,величина,nouns,4.66
2699,nervous,уверенный,adjectives,0.05
2700,pathfinder,лучник,nouns,0.45
2701,fiction,биография,nouns,0.84
2702,repeat,практиковаться,verbs,1.98
2703,dull,смешной,adjectives,0.05
2704,tsunami,море,nouns,0.95
2705,coffee,боб,nouns,0.74
2706,glass,значок,nouns,0.04
2707,tradition,ремесло,nouns,0.51
2708,trick,ванна,nouns,0.0
2709,sweater,пиджак,nouns,1.82
2710,zero,бесконечность,nouns,0.51
2711,mouse,управление,nouns,0.35
2712,diamond,деньги,nouns,0.56
2713,tired,скучный,adjectives,0.41
2714,car,танк,nouns,1.01
2715,carry,родить,verbs,0.7
2716,beautifully,элегантно,adverbs,3.26
2717,bell,дверь,nouns,0.61
2718,great,прекрасный,adjectives,4.79
2719,proud,бедный,adjectives,0.05
2720,cathedral,потолок,nouns,0.15
2721,conquest,путешествие,nouns,0.57
2722,friend,гость,nouns,1.56
2723,disease,опасность,nouns,0.45
2724,protect,отстаивать,verbs,4.05
2725,nepotism,король,nouns,0.3
2726,decoration,стена,nouns,0.71
2727,politician,президент,nouns,2.5
2728,travel,ходить,verbs,2.08
2729,pollution,атмосфера,nouns,0.56
2730,demand,выговаривать,verbs,0.29
2731,army,легион,nouns,2.48
2732,infection,сгибание,nouns,0.0
2733,please,умолять,verbs,0.81
2734,extramarital,неприличный,adjectives,0.13
2735,dirty,липкий,adjectives,1.4
2736,friendly,навряд ли,adverbs,0.0
2737,guardian,взрослый,nouns,1.47
2738,swim,встретить,verbs,0.27
2739,reject,избирать,verbs,0.1
2740,boat,якорь,nouns,0.6
2741,encyclopedia,словарь,nouns,1.83
2742,xenophobia,расизм,nouns,3.41
2743,cyclone,тайфун,nouns,3.83
2744,applicant,приложение,nouns,0.44
2745,car,датчик,nouns,0.45
2746,image,идея,nouns,1.23
2747,mediocre,плохой,adjectives,1.06
2748,altitude,преобразование,nouns,0.0
2749,deny,избежать,verbs,0.29
2750,student,ученик,nouns,5.54
2751,flexible,эластичный,adjectives,4.03
2752,create,строить,verbs,3.5
2753,mint,музей,nouns,0.04
2754,servant,рабыня,nouns,2.44
2755,passive,агрессивный,adjectives,0.05
2756,proof,факт,nouns,2.81
2757,write,строчить,verbs,2.21
2758,session,пациент,nouns,0.22
2759,arithmetic,ритм,nouns,0.1
2760,brilliant,отличный,adjectives,4.1
2761,menu,заказ,nouns,0.81
2762,lose,проваливать,verbs,2.14
2763,agony,горе,nouns,2.13
2764,sunshine,луч,nouns,0.97
2765,sandwich,обед,nouns,1.44
2766,philosopher,разгон,nouns,0.0
2767,illegal,законный,adjectives,0.14
2768,give,одалживать,verbs,2.19
2769,help,защищать,verbs,2.15
2770,chapel,кабель,nouns,0.0
2771,overcome,доминировать,verbs,2.29
2772,inflection,инфекция,nouns,0.0
2773,shoulder,рука,nouns,1.08
2774,meet,покидать,verbs,0.0
2775,adult,ребенок,nouns,0.59
2776,honestly,искренне,adverbs,4.65
2777,calm,нейтральный,adjectives,1.81
2778,surprise,праздновать,verbs,0.29
2779,concurrency,валюта,nouns,0.04
2780,topic,книга,nouns,0.48
2781,suffrage,выход,nouns,0.0
2782,person,персонаж,nouns,2.52
2783,highway,дорога,nouns,4.14
2784,peacefully,хаотично,adverbs,0.14
2785,purse,сумка,nouns,3.82
2786,rod,занавеска,nouns,0.56
2787,temper,врач,nouns,0.15
2788,pineapple,смартфон,nouns,0.0
2789,comfort,безопасность,nouns,1.11
2790,illusion,реальность,nouns,0.41
2791,shiver,замерзать,verbs,1.24
2792,trick,размер,nouns,0.05
2793,television,актер,nouns,0.54
2794,cover,защищать,verbs,2.49
2795,certain,нервный,adjectives,0.05
2796,hail,дождь,nouns,1.52
2797,roughly,минимально,adverbs,0.46
2798,pesticide,вредитель,nouns,0.76
2799,bad,безнравственный,adjectives,2.91
2800,lazy,драгоценный,adjectives,0.0
2801,attract,ударять,verbs,0.0
2802,virus,кровь,nouns,0.71
2803,crunch,щёлкать,verbs,1.6
2804,jacket,одежда,nouns,1.62
2805,create,рисовать,verbs,1.06
2806,film,театр,nouns,1.19
2807,story,песня,nouns,0.3
2808,shirt,кардиган,nouns,0.81
2809,husband,мужчина,nouns,2.16
2810,house,ключ,nouns,0.52
2811,bottle,баллончик,nouns,1.16
2812,kill,защищать,verbs,0.15
2813,sunshine,яблоко,nouns,0.0
2814,agree,спорить,verbs,0.14
2815,motherboard,главная плата,nouns,3.15
2816,give,держать,verbs,0.1
2817,guilty,честный,adjectives,0.0
2818,new,старый,adjectives,0.04
2819,cigar,трубка,nouns,1.69
2820,think,размышлять,verbs,4.75
2821,cheap,доступный,adjectives,3.04
2822,unusual,редкий,adjectives,4.1
2823,jar,чашка,nouns,1.44
2824,behaviorism,терапия,nouns,0.68
2825,make,зарабатывать,verbs,3.15
2826,river,долина,nouns,0.77
2827,seldom,часто,adverbs,0.17
2828,dictionary,энциклопедия,nouns,1.83
2829,hymn,библия,nouns,1.44
2830,reduce,сжиматься,verbs,3.63
2831,science,психология,nouns,1.56
2832,wait,покидать,verbs,0.1
2833,deliver,принимать,verbs,0.1
2834,dissolve,смешивать,verbs,1.59
2835,speak,шептать,verbs,1.37
2836,catch,гнаться,verbs,1.22
2837,choose,хотеть,verbs,0.66
2838,film,нигилизм,nouns,0.0
2839,myth,сатира,nouns,0.42
2840,kidney,орган,nouns,2.1
2841,disappear,находить,verbs,0.0
2842,floor,дверь,nouns,0.34
2843,proudly,смиренно,adverbs,0.37
2844,screen,монитор,nouns,4.28
2845,whiskey,алкоголь,nouns,1.96
2846,nozzle,жидкость,nouns,0.04
2847,tail,миска,nouns,0.0
2848,carry,приносить,verbs,2.1
2849,completely,чисто,adverbs,1.75
2850,renounce,отрицать,verbs,3.77
2851,compare,анализировать,verbs,2.87
2852,deck,пол,nouns,1.69
2853,deceive,мошенничать,verbs,3.8
2854,water,лед,nouns,2.08
2855,bed,комната,nouns,0.54
2856,destroy,разлагаться,verbs,0.76
2857,scare,преследовать,verbs,1.39
2858,alcohol,бренди,nouns,1.79
2859,bed,мебель,nouns,1.94
2860,send,получать,verbs,0.09
2861,cotton,свитер,nouns,0.56
2862,surely,явно,adverbs,3.4
2863,pathogen,микроб,nouns,4.22
2864,predict,определять,verbs,1.59
2865,nerve,мужество,nouns,1.44
2866,home,далеко,adverbs,0.26
2867,leave,встретить,verbs,0.0
2868,malware,червяк,nouns,0.57
2869,legal,допущенный,adjectives,3.65
2870,meal,ужин,nouns,2.75
2871,rain,изморось,nouns,1.99
2872,people,цент,nouns,0.0
2873,vulnerable,удобный,adjectives,0.34
2874,pay,лечить,verbs,0.29
2875,meter,дюйм,nouns,0.98
2876,clue,слово,nouns,0.05
2877,story,тема,nouns,0.85
2878,vocalist,штат сотрудников,nouns,0.0
2879,win,преуспевать,verbs,2.39
2880,steal,приобретать,verbs,0.79
2881,want,выбирать,verbs,0.66
2882,heavy,груженный,adjectives,2.96
2883,song,история,nouns,0.3
2884,sacred,драгоценный,adjectives,2.61
2885,son,отец,nouns,0.76
2886,lizard,правительство,nouns,0.0
2887,young,счастливый,adjectives,0.14
2888,director,кинематография,nouns,1.02
2889,please,развлекать,verbs,1.19
2890,portray,уведомлять,verbs,0.0
2891,alcohol,джин,nouns,2.01
2892,evening,сумерки,nouns,3.59
2893,seed,мельница,nouns,0.61
2894,grass,мох,nouns,1.56
2895,impatiently,грубо,adverbs,0.99
2896,decrease,спускаться,verbs,0.54
2897,meat,хлеб,nouns,0.24
2898,mechanically,идеально,adverbs,0.05
2899,ask,игнорировать,verbs,0.0
2900,strength,способность,nouns,1.75
2901,quickly,срочно,adverbs,3.46
2902,metal,олово,nouns,1.61
2903,organize,становиться,verbs,0.15
2904,brainstorming,телескоп,nouns,0.0
2905,sunset,стол,nouns,0.0
2906,gauge,автомобиль,nouns,0.45
2907,possibly,оптимистически,adverbs,0.39
2908,prey,бог,nouns,0.15
2909,spine,шея,nouns,1.52
2910,girl,ребенок,nouns,1.73
2911,copilot,кокпит,nouns,0.32
2912,fake,искусственный,adjectives,4.38
2913,incoming,уходящий,adjectives,0.09
2914,pot,прибор,nouns,0.59
2915,saver,сбережения,nouns,1.33
2916,confession,отрицание,nouns,0.32
2917,nerve,мозг,nouns,0.77
2918,stomach,спальня,nouns,0.0
2919,gate,дверь,nouns,3.19
2920,condition,мальчик,nouns,0.0
2921,sword,окружение,nouns,0.2
2922,president,загрязнение,nouns,0.12
2923,destruction,построение,nouns,0.22
2924,magnitude,глубина,nouns,1.71
2925,rose,бабочка,nouns,0.3
2926,paper,плакат,nouns,1.84
2927,truly,совершенно,adverbs,1.45
2928,straw,задача,nouns,0.05
2929,boring,усталый,adjectives,0.41
2930,negatively,неестественно,adverbs,0.22
2931,differently,странно,adverbs,1.74
2932,cat,мышка,nouns,0.45
2933,lemon,яблоко,nouns,0.51
2934,send,идти,verbs,0.21
2935,kitchen,дверь,nouns,0.44
2936,professor,студент,nouns,0.46
2937,gun,нож,nouns,1.01
2938,violation,преступление,nouns,3.42
2939,bad,ужасный,adjectives,4.15
2940,satire,миф,nouns,0.42
2941,door,братство,nouns,0.0
2942,event,сбор пожертвований,nouns,1.39
2943,parent,взрослый,nouns,1.5
2944,weapon,шлем,nouns,0.74
2945,imitate,захватить,verbs,0.12
2946,gale,покрывало,nouns,0.0
2947,suffix,аффикс,nouns,1.41
2948,holiday,календарь,nouns,0.52
2949,theme,книга,nouns,0.44
2950,capability,сила,nouns,1.75
2951,sound,акустика,nouns,3.0
2952,engine,механизм,nouns,2.14
2953,oat,поле,nouns,0.5
2954,milk,сок,nouns,0.41
2955,mad,довольный,adjectives,0.05
2956,growth,удобрение,nouns,0.29
2957,journey,завование,nouns,0.57
2958,remind,продавать,verbs,0.05
2959,reap,получать,verbs,2.39
2960,arithmetic,логика,nouns,1.52
2961,accomplish,становиться,verbs,0.49
2962,riot,рисование,nouns,0.0
2963,wife,женщина,nouns,1.46
2964,mustard,зерно,nouns,1.04
2965,molecule,атом,nouns,1.39
2966,size,цент,nouns,0.3
2967,mask,вечеринка,nouns,0.35
2968,underwear,тело,nouns,0.3
2969,allowed,легальный,adjectives,3.65
2970,roof,потолок,nouns,3.0
2971,believe,чувствовать,verbs,1.49
2972,fraternity,дверь,nouns,0.0
2973,bee,насекомое,nouns,1.93
2974,restore,ремонтировать,verbs,4.11
2975,palm,палец,nouns,0.84
2976,choice,выборы,nouns,2.06
2977,restore,приносить,verbs,0.13
2978,retain,забывать,verbs,0.05
2979,contemplate,думать,verbs,4.75
2980,depart,отделять,verbs,0.7
2981,list,матрица,nouns,1.1
2982,summer,зима,nouns,0.44
2983,deck,судно,nouns,0.94
2984,insecure,нуждающийся,adjectives,0.69
2985,stamen,опыление,nouns,0.99
2986,happen,действовать,verbs,1.29
2987,big,широкий,adjectives,2.01
2988,daily,обычно,adverbs,2.16
2989,decade,эпоха,nouns,1.48
2990,mayor,глава,nouns,2.38
2991,never,честно говоря,adverbs,0.0
2992,exciting,скучный,adjectives,0.09
2993,argue,вопить,verbs,1.08
2994,hesitant,гневный,adjectives,0.05
2995,galaxy,приложение,nouns,0.3
2996,evacuate,определить,verbs,0.1
2997,bite,читать,verbs,0.0
2998,uniform,вязание,nouns,0.2
2999,deserve,зарабатывать,verbs,2.42
3000,kill,душить,verbs,1.65
3001,dirt,слякоть,nouns,4.25
3002,victim,телефон,nouns,0.0
3003,journal,статья,nouns,1.7
3004,add,делить,verbs,0.21
3005,cooperate,объединяться,verbs,2.38
3006,goal,победитель,nouns,0.3
3007,path,тоннель,nouns,0.72
3008,crazy,больной,adjectives,0.91
3009,island,пляж,nouns,0.85
3010,goal,поиск,nouns,1.38
3011,easy,ранимый,adjectives,0.34
3012,battle,завоевание,nouns,2.06
3013,car,автомобиль,nouns,5.7
3014,reflection,образ,nouns,1.91
3015,rude,критичный,adjectives,0.68
3016,eczema,дерматит,nouns,3.29
3017,normally,повседневно,adverbs,4.78
3018,believe,принимать,verbs,1.29
3019,bold,гордый,adjectives,1.54
3020,public,частный,adjectives,0.04
3021,salary,деньги,nouns,2.79
3022,passion,эмоция,nouns,2.46
3023,car,судно,nouns,0.57
3024,promote,продвигаться,verbs,1.84
3025,mine,камень,nouns,0.37
3026,convince,спорить,verbs,1.61
3027,bird,ястреб,nouns,2.06
3028,theory,химия,nouns,0.74
3029,give,вкладывать,verbs,0.51
3030,peninsula,остров,nouns,1.47
3031,smooth,острый,adjectives,0.05
3032,communicate,молиться,verbs,0.49
3033,solve,заканчивать,verbs,1.84
3034,dull,захватывающий,adjectives,0.09
3035,rabbi,наставник,nouns,1.56
3036,innovative,творческий,adjectives,3.97
3037,big,легкий,adjectives,0.0
